,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,7.3181304931640625,7.318115234375,7.318138122558594,[-100.          -48.86999893],[-107.31813049  -48.86999893],[-114.63624573  -48.86999893],[-121.95438385  -48.86999893]
1,7.3181304931640625,7.318115234375,7.318138122558594,[-100.          -48.86999893],[-107.31813049  -48.86999893],[-114.63624573  -48.86999893],[-121.95438385  -48.86999893]
2,7.3181304931640625,7.318115234375,7.318138122558594,[-100.          -48.86999893],[-107.31813049  -48.86999893],[-114.63624573  -48.86999893],[-121.95438385  -48.86999893]
3,7.3200836181640625,7.318115234375,7.3181304931640625,[-99.99635315 -48.86999893],[-107.31643677  -48.86999893],[-114.634552    -48.86999893],[-121.9526825   -48.86999893]
4,7.339241028911641,7.318069458088346,7.317268372063299,[-99.95761871 -48.86987686],[-107.29685974  -48.87000275],[-114.6149292   -48.86996841],[-121.93219757  -48.87005234]
5,7.420387268948889,7.317375186336079,7.316589363703763,[-99.87469482 -48.87005615],[-107.29508209  -48.86994171],[-114.61245728  -48.86972427],[-121.92904663  -48.87007141]
6,7.516242981096427,7.320304873293088,7.316902168345197,[-99.76821899 -48.86988831],[-107.28446198  -48.86993408],[-114.60476685  -48.86973572],[-121.92166901  -48.87007141]
7,7.618026733613334,7.323951722085509,7.3186111488411285,[-99.63518524 -48.86982346],[-107.25321198  -48.86988068],[-114.5771637   -48.86976624],[-121.89577484  -48.87000275]
8,7.7397155768571935,7.3354797363320925,7.320434575755229,[-99.46208954 -48.86988068],[-107.20180511  -48.86977768],[-114.53728485  -48.86977005],[-121.85771942  -48.87005234]
9,7.863548279016781,7.36043548587543,7.324363714853797,[-99.25876617 -48.86988068],[-107.12231445  -48.86982346],[-114.48274994  -48.86980057],[-121.80711365  -48.87010574]
10,7.9851760869077975,7.396484375062957,7.332763673974608,[-99.02732086 -48.86972046],[-107.01249695  -48.8698082 ],[-114.40898132  -48.86983871],[-121.741745    -48.87001419]
11,8.104957595737822,7.448699951993372,7.342269898606497,[-98.76364136 -48.86936951],[-106.86859894  -48.86986542],[-114.31729889  -48.86997604],[-121.65956879  -48.87010574]
12,8.219253586867909,7.514343270274436,7.360755923292563,[-98.46864319 -48.8689003 ],[-106.68789673  -48.86977768],[-114.20223999  -48.87013626],[-121.56299591  -48.86993027]
13,8.333374132852233,7.588760393450342,7.384803776663483,[-98.14409637 -48.86832809],[-106.4774704  -48.8696785],[-114.06623077  -48.87019348],[-121.45103455  -48.86993027]
14,8.445160117283184,7.672241225755443,7.415550233747788,[-97.78945923 -48.86771393],[-106.23461914  -48.8695755 ],[-113.90686035  -48.87005234],[-121.32241058  -48.86988831]
