,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,12.774749755859375,12.774772644042969,12.774757385253906,[-100.          -48.86999893],[-112.77474976  -48.86999893],[-125.5495224   -48.86999893],[-138.32427979  -48.86999893]
1,12.774749755859375,12.774772644042969,12.774757385253906,[-100.          -48.86999893],[-112.77474976  -48.86999893],[-125.5495224   -48.86999893],[-138.32427979  -48.86999893]
2,12.774749755859375,12.774772644042969,12.774757385253906,[-100.          -48.86999893],[-112.77474976  -48.86999893],[-125.5495224   -48.86999893],[-138.32427979  -48.86999893]
3,12.776702880859375,12.774765014648438,12.774749755859375,[-99.99635315 -48.86999893],[-112.77305603  -48.86999893],[-125.54782104  -48.86999893],[-138.3225708   -48.86999893]
4,12.795700073469638,12.774772644045248,12.774673461914062,[-99.95761871 -48.86987686],[-112.75331879  -48.86995316],[-125.52809143  -48.86996078],[-138.30276489  -48.86996078]
5,12.876708984601018,12.77330017092635,12.722290040855999,[-99.87469482 -48.87005615],[-112.75140381  -48.86997986],[-125.52470398  -48.86995316],[-138.24699402  -48.87016678]
6,12.971649170169238,12.776245117201738,12.714309692529312,[-99.76821899 -48.86988831],[-112.73986816  -48.86996841],[-125.51611328  -48.86994934],[-138.23042297  -48.86988831]
7,13.07370758062206,12.780525207521809,12.73308563238136,[-99.63518524 -48.86982346],[-112.70889282  -48.8698616 ],[-125.48941803  -48.86985397],[-138.22250366  -48.86989212]
8,13.196517944936362,12.792671203709402,12.770172119468809,[-99.46208954 -48.86988068],[-112.65860748  -48.86975479],[-125.45127869  -48.86980438],[-138.22145081  -48.86989594]
9,13.321311952715964,12.81905364993867,12.817863467380432,[-99.25876617 -48.86988068],[-112.58007812  -48.86964798],[-125.39913177  -48.86961746],[-138.21699524  -48.86989594]
10,13.438056946195495,12.86042785848206,12.869537357133947,[-99.02732086 -48.86972046],[-112.46537781  -48.86982346],[-125.32580566  -48.86959457],[-138.19534302  -48.86989975]
11,13.55455018234067,12.915954594927813,12.918487554919919,[-98.76364136 -48.86936951],[-112.31819153  -48.86992645],[-125.23414612  -48.86956406],[-138.15263367  -48.86996078]
12,13.667617836372948,12.988006592522902,12.964843751037671,[-98.46864319 -48.8689003 ],[-112.13626099  -48.86992645],[-125.12426758  -48.86978912],[-138.08911133  -48.86995316]
13,13.776229951564632,13.071281434851082,13.014297488496355,[-98.14409637 -48.86832809],[-111.92032623  -48.86993027],[-124.99160767  -48.86971664],[-138.00590515  -48.87000275]
14,13.88304918814258,13.160964967680078,13.070365906991416,[-97.78945923 -48.86771393],[-111.67250824  -48.86993027],[-124.83347321  -48.86970901],[-137.90383911  -48.86988831]
15,13.991142553887979,13.256599428115882,13.125541687446319,[-97.4056015  -48.86712646],[-111.39674377  -48.86993027],[-124.6533432   -48.86970901],[-137.77888489  -48.8696022 ]
16,14.095528055963587,13.359466554566508,13.175125122534755,[-96.99347687 -48.86654282],[-111.08900452  -48.86993027],[-124.44847107  -48.86970901],[-137.62359619  -48.86959839]
17,14.193932123418257,13.470649721055292,13.227249145970424,[-96.55281067 -48.86600113],[-110.74674225  -48.86993027],[-124.21739197  -48.86970901],[-137.44464111  -48.86959839]
18,14.28817817781807,13.587806703524151,13.286857605409791,[-96.08447266 -48.86549759],[-110.37265015  -48.86993027],[-123.96045685  -48.8697052 ],[-137.24731445  -48.86959839]
19,14.378350130699157,13.712364198562325,13.347946167450615,[-95.58874512 -48.86505127],[-109.96709442  -48.86992645],[-123.67945862  -48.8697052 ],[-137.02740479  -48.86959457]
20,14.457955360964128,13.83898163018662,13.415641785124084,[-95.07236481 -48.86467361],[-109.53031921  -48.86992645],[-123.36930084  -48.8697052 ],[-136.78494263  -48.86959457]
21,14.507744901567312,13.964363099897302,13.49274444625429,[-94.55651093 -48.86436462],[-109.06425476  -48.86992645],[-123.02861786  -48.8697052 ],[-136.5213623   -48.86959457]
22,14.550469597100735,14.086509706387849,13.579872131829868,[-94.02152252 -48.86413574],[-108.57199097  -48.86992645],[-122.65850067  -48.86970139],[-136.2383728   -48.86958694]
23,14.606629627104516,14.199523927564945,13.674484253408561,[-93.45198059 -48.86398315],[-108.05860901  -48.86992645],[-122.25813293  -48.86970139],[-135.93261719  -48.86958694]
24,14.690736093434017,14.283859254584673,13.771476746146485,[-92.85422516 -48.86391449],[-107.54496002  -48.86992645],[-121.82881927  -48.86970901],[-135.60029602  -48.86958694]
25,14.778672481282124,14.3627853403813,13.868705750574097,[-92.23236084 -48.86392975],[-107.0110321   -48.86992645],[-121.37381744  -48.86975479],[-135.24252319  -48.86958313]
26,14.851334787614059,14.45996093851894,13.96535492048862,[-91.58245087 -48.86403275],[-106.43378448  -48.86992645],[-120.89374542  -48.86975479],[-134.85910034  -48.86958313]
27,14.918740411800991,14.563064575842816,14.063880921975143,[-90.90353394 -48.86421585],[-105.82227325  -48.86992645],[-120.38533783  -48.86978912],[-134.44921875  -48.86957932]
28,14.989693676417017,14.681686401843441,14.14411163515268,[-90.19754028 -48.86448288],[-105.18723297  -48.86992645],[-119.86891937  -48.8698082 ],[-134.01303101  -48.86957932]
29,15.058022414330148,14.823226929068767,14.205299378990812,[-89.4642334  -48.86480713],[-104.52225494  -48.86992264],[-119.34548187  -48.86981964],[-133.55078125  -48.86960983]
30,15.118386051358971,14.969062805285146,14.273765565506817,[-88.70302582 -48.86520386],[-103.82141113  -48.86992264],[-118.79047394  -48.86986542],[-133.0642395   -48.86965561]
31,15.17502655434474,15.102760315196258,14.36437225500644,[-87.91442108 -48.86565018],[-103.08944702  -48.86996841],[-118.19220734  -48.86988068],[-132.55657959  -48.86966705]
32,15.22856188586321,15.228866577303236,14.490142823784574,[-87.09934998 -48.86612701],[-102.32791138  -48.86996841],[-117.55677795  -48.86989975],[-132.04692078  -48.86968994]
33,15.275955570721536,15.350036621110814,14.642829896577796,[-86.25850677 -48.86661148],[-101.53446198  -48.86997604],[-116.8844986   -48.86995316],[-131.52732849  -48.86973953]
34,15.317154200720648,15.461006164567722,14.802047730770711,[-85.39253998 -48.86709976],[-100.70969391  -48.86997604],[-116.17070007  -48.86995316],[-130.9727478   -48.86975861]
35,15.35319537554887,15.561042785652013,14.960411072594894,[-84.50218201 -48.86759186],[-99.8553772  -48.86997604],[-115.41641998  -48.86996078],[-130.37683105  -48.86980438]
36,15.38337719629402,15.652359008789062,15.120841980675303,[-83.58824921 -48.86804581],[-98.97162628 -48.86997604],[-114.62398529  -48.86997604],[-129.74482727  -48.86983109]
37,15.407257154507752,15.734107971191406,15.279670715732504,[-82.65136719 -48.86846161],[-98.05862427 -48.86997604],[-113.79273224  -48.86997604],[-129.07240295  -48.86986542]
38,15.425293010077597,15.804695129394531,15.430725097864192,[-81.69223785 -48.86884689],[-97.11753082 -48.86997604],[-112.92222595  -48.86997604],[-128.35295105  -48.86989594]
39,15.437576313946026,15.864013671886466,15.57176208505252,[-80.71157837 -48.86919022],[-96.14915466 -48.86997604],[-112.01316833  -48.86999512],[-127.58493042  -48.86994171]
40,15.444030771085043,15.913932800300284,15.706695556759215,[-79.71005249 -48.86948013],[-95.15408325 -48.87001801],[-111.06801605  -48.87000275],[-126.77471161  -48.86994171]
41,15.444862368302358,15.95452880860515,15.834518432720575,[-78.6883316  -48.86973953],[-94.13319397 -48.87002182],[-110.08772278  -48.87000275],[-125.92224121  -48.86994553]
42,15.440376281761372,15.985130310069973,15.951560974122918,[-77.64707947 -48.86999512],[-93.08745575 -48.87002182],[-109.07258606  -48.87000275],[-125.02414703  -48.86999512]
43,15.430786133991305,16.00637054444496,16.05811309814453,[-76.58690643 -48.87021255],[-92.01769257 -48.87002182],[-108.02406311  -48.87000275],[-124.08217621  -48.87000275]
44,15.416259770632092,16.01879882813227,16.15434265140367,[-75.508461   -48.87041473],[-90.92472076 -48.87002182],[-106.94351959  -48.87003708],[-123.09786224  -48.87000275]
45,15.397193919042161,16.022163391120547,16.2380142212277,[-74.41234589 -48.8705864 ],[-89.80953979 -48.87002182],[-105.83170319  -48.87003708],[-122.06971741  -48.87000275]
46,15.373878495909496,16.01679229737055,16.306716918981454,[-73.29914093 -48.8707428 ],[-88.67301941 -48.87002182],[-104.68981171  -48.87003708],[-120.99652863  -48.87000275]
