,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,10.225204467773438,10.225212097167969,10.225212097167969,[-100.          -48.86999893],[-110.22520447  -48.86999893],[-120.45041656  -48.86999893],[-130.67562866  -48.86999893]
1,10.225204467773438,10.225212097167969,10.225212097167969,[-100.          -48.86999893],[-110.22520447  -48.86999893],[-120.45041656  -48.86999893],[-130.67562866  -48.86999893]
2,10.225204467773438,10.225212097167969,10.225212097167969,[-100.          -48.86999893],[-110.22520447  -48.86999893],[-120.45041656  -48.86999893],[-130.67562866  -48.86999893]
3,10.227149963378906,10.225212097167969,10.225204467773438,[-99.99635315 -48.86999893],[-110.22350311  -48.86999893],[-120.44871521  -48.86999893],[-130.67391968  -48.86999893]
4,10.246116638254605,10.224472046820699,10.22595214912127,[-99.95761871 -48.86987686],[-110.20373535  -48.86991501],[-120.4282074   -48.87005234],[-130.65415955  -48.86993408]
5,10.32732391475854,10.223037721232565,10.225318908851508,[-99.87469482 -48.87005615],[-110.20201874  -48.86989975],[-120.42505646  -48.87007523],[-130.65037537  -48.87001801]
6,10.425804138184292,10.223678590506891,10.224861145122,[-99.76821899 -48.86988831],[-110.19402313  -48.86989212],[-120.41770172  -48.87007523],[-130.64256287  -48.87002945]
7,10.529396057378362,10.226715088030073,10.224334717315655,[-99.63518524 -48.86982346],[-110.1645813   -48.86989594],[-120.39129639  -48.86994934],[-130.6156311   -48.87005234]
8,10.651527405146512,10.24235534668608,10.22087097173735,[-99.46208954 -48.86988068],[-110.11361694  -48.86996841],[-120.35597229  -48.86997986],[-130.57684326  -48.86994553]
9,10.774208073169657,10.274093628445954,10.220352172897124,[-99.25876617 -48.86988068],[-110.03297424  -48.87018585],[-120.30706787  -48.87008286],[-130.52742004  -48.87005234]
10,10.892288225974117,10.313003544667932,10.227699279802941,[-99.02732086 -48.86972046],[-109.91960907  -48.87034607],[-120.23261261  -48.87003708],[-130.46031189  -48.87001801]
11,11.009941133350962,10.365791321205087,10.238220215219693,[-98.76364136 -48.86936951],[-109.77358246  -48.87021255],[-120.13937378  -48.870121  ],[-130.37759399  -48.87003326]
12,11.124916110361339,10.435745241444279,10.251701355025892,[-98.46864319 -48.8689003 ],[-109.59355927  -48.86976624],[-120.0293045   -48.86997986],[-130.28100586  -48.87001038]
13,11.235755958648618,10.519020106868123,10.27040863162078,[-98.14409637 -48.86832809],[-109.37985229  -48.86925507],[-119.89887238  -48.86999893],[-130.16928101  -48.86983871]
14,11.344581648029402,10.614212099900707,10.293983459611193,[-97.78945923 -48.86771393],[-109.13404083  -48.86871338],[-119.74825287  -48.86987686],[-130.04223633  -48.86993027]
