,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,9.784652709960938,9.784660339355469,9.784675598144531,[-100.          -48.86999893],[-109.78465271  -48.86999893],[-119.56931305  -48.86999893],[-129.35398865  -48.86999893]
1,9.784652709960938,9.784660339355469,9.784675598144531,[-100.          -48.86999893],[-109.78465271  -48.86999893],[-119.56931305  -48.86999893],[-129.35398865  -48.86999893]
2,9.784652709960938,9.784660339355469,9.784675598144531,[-100.          -48.86999893],[-109.78465271  -48.86999893],[-119.56931305  -48.86999893],[-129.35398865  -48.86999893]
3,9.786605834960938,9.784652709960938,9.78466796875,[-99.99635315 -48.86999893],[-109.78295898  -48.86999893],[-119.56761169  -48.86999893],[-129.35227966  -48.86999893]
4,9.80570220953276,9.784164430022729,9.784225463927422,[-99.95761871 -48.86987686],[-109.76332092  -48.86991119],[-119.54748535  -48.87007141],[-129.33171082  -48.87003708]
5,9.887298586051488,9.781394964126346,9.784721376761121,[-99.87469482 -48.87005615],[-109.76199341  -48.86985397],[-119.54338837  -48.87018585],[-129.32810974  -48.86997604]
6,9.985626220889658,9.778427130321353,9.78807068064439,[-99.76821899 -48.86988831],[-109.75384521  -48.86982727],[-119.53227234  -48.87017822],[-129.32034302  -48.86998367]
7,10.089256287314127,9.776855475752198,9.791702270935824,[-99.63518524 -48.86982346],[-109.72444153  -48.8697052 ],[-119.501297    -48.87007523],[-129.29299927  -48.86998367]
8,10.212791443128284,9.78461456786712,9.794517517137386,[-99.46208954 -48.86988068],[-109.67488098  -48.8698082 ],[-119.45949554  -48.87011719],[-129.25401306  -48.87008667]
9,10.335800171531998,9.812698364424646,9.792854309093919,[-99.25876617 -48.86988068],[-109.59456635  -48.86999512],[-119.40726471  -48.87005234],[-129.20011902  -48.8700676 ]
10,10.447113037245881,9.86037445163991,9.794479370926165,[-99.02732086 -48.86972046],[-109.4744339   -48.86977386],[-119.33480835  -48.86991119],[-129.12928772  -48.87003708]
11,10.558807376923001,9.917526245734184,9.807144166410843,[-98.76364136 -48.86936951],[-109.32244873  -48.86965561],[-119.23997498  -48.86976624],[-129.04711914  -48.86993027]
12,10.670272845265586,9.989204408784307,9.823570251654454,[-98.46864319 -48.8689003 ],[-109.13891602  -48.86952209],[-119.12812042  -48.86972427],[-128.95169067  -48.86978531]
13,10.776344349636796,10.070808416112982,9.845893863082296,[-98.14409637 -48.86832809],[-108.92044067  -48.86936951],[-118.99124908  -48.86970139],[-128.83714294  -48.86995316]
14,10.881057842534938,10.159286513261968,9.87895202672366,[-97.78945923 -48.86771393],[-108.67051697  -48.8692131 ],[-118.82980347  -48.86975098],[-128.70875549  -48.86966705]
15,10.988075426557414,10.25125124741576,9.924285901062055,[-97.4056015  -48.86712646],[-108.39367676  -48.86906052],[-118.64492798  -48.86980057],[-128.56921387  -48.86930466]
16,11.091453794744478,10.350219773355404,9.982421909006485,[-96.99347687 -48.86654282],[-108.08493042  -48.86886215],[-118.43515015  -48.86984634],[-128.41757202  -48.86902237]
17,11.18917878725123,10.458038402662806,10.046371511205077,[-96.55281067 -48.86600113],[-107.74198914  -48.86867905],[-118.20002747  -48.86991119],[-128.24639893  -48.86889648]
18,11.283218788278814,10.57184611351946,10.114875853121335,[-96.08447266 -48.86549759],[-107.36769104  -48.86851883],[-117.93953705  -48.87001038],[-128.05441284  -48.86891174]
19,11.37339067863578,10.694625997202554,10.188056996332268,[-95.58874512 -48.86505127],[-106.96213531  -48.86835861],[-117.65676117  -48.87010574],[-127.84481812  -48.86909103]
20,11.453217092772624,10.820701787289229,10.269233732238199,[-95.07236481 -48.86467361],[-106.52558136  -48.86819077],[-117.34628296  -48.87020874],[-127.61551666  -48.86944199]
21,11.503487217427985,10.944824456479859,10.360145574791947,[-94.55651093 -48.86436462],[-106.05999756  -48.86803055],[-117.00482178  -48.87031174],[-127.36496735  -48.86996078]
22,11.54668488148394,11.065834325780688,10.458740237136162,[-94.02152252 -48.86413574],[-105.56820679  -48.86790848],[-116.63404083  -48.87039948],[-127.09278107  -48.8706398 ]
23,11.603272111435862,11.178428965205178,10.563995409695632,[-93.45198059 -48.86398315],[-105.05525208  -48.86779785],[-116.23368073  -48.87045288],[-126.79767609  -48.87146378]
24,11.688095714039155,11.262092946027941,10.67410294288275,[-92.85422516 -48.86391449],[-104.54232025  -48.86772537],[-115.80441284  -48.87055588],[-126.47851562  -48.87240219]
25,11.77691709604562,11.340439226144458,10.784851434723304,[-92.23236084 -48.86392975],[-104.00927734  -48.86766434],[-115.34971619  -48.8706131 ],[-126.13456726  -48.87340164]
26,11.850700927868257,11.437286777002441,10.895653440117691,[-91.58245087 -48.86403275],[-103.43315125  -48.86764145],[-114.87043762  -48.8706665 ],[-125.76609039  -48.87448502]
27,11.919304390695135,11.540161541385855,11.00933943146811,[-90.90353394 -48.86421585],[-102.82283783  -48.86765671],[-114.36299896  -48.87072754],[-125.37233734  -48.87554169]
28,11.991432617054631,11.658737595113179,11.103654454139033,[-90.19754028 -48.86448288],[-102.18897247  -48.86768341],[-113.84770966  -48.87078476],[-124.95136261  -48.8765564 ]
29,12.060928707063677,11.800537505960758,11.179033363044208,[-89.4642334  -48.86480713],[-101.52516174  -48.86776352],[-113.32569885  -48.87082291],[-124.50473022  -48.87749481]
30,12.122528366919004,11.94685400727792,11.264338128939112,[-88.70302582 -48.86520386],[-100.82555389  -48.86785889],[-112.77240753  -48.87083054],[-124.03674316  -48.87833023]
31,12.180404888284276,12.08116946358311,11.370082020618169,[-87.91442108 -48.86565018],[-100.09482574  -48.8679924 ],[-112.17599487  -48.87083817],[-123.54607391  -48.87907028]
32,12.23509232824566,12.208069148944633,11.491183822062931,[-87.09934998 -48.86612701],[-99.33444214 -48.86813736],[-111.54251099  -48.87084961],[-123.03369141  -48.87969208]
33,12.2835923435357,12.330246231065054,11.64786902964372,[-86.25850677 -48.86661148],[-98.542099   -48.86832428],[-110.87234497  -48.87085342],[-122.52021027  -48.88018036]
34,12.325874409862696,12.442390653114646,11.834697906421027,[-85.39253998 -48.86709976],[-97.71841431 -48.86851501],[-110.16080475  -48.87080765],[-121.99549866  -48.88053513]
