,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,11.062286376953125,11.062278747558594,11.062294006347656,[-100.          -48.86999893],[-111.06228638  -48.86999893],[-122.12456512  -48.86999893],[-133.18685913  -48.86999893]
1,11.062286376953125,11.062278747558594,11.062294006347656,[-100.          -48.86999893],[-111.06228638  -48.86999893],[-122.12456512  -48.86999893],[-133.18685913  -48.86999893]
2,11.062286376953125,11.062278747558594,11.062294006347656,[-100.          -48.86999893],[-111.06228638  -48.86999893],[-122.12456512  -48.86999893],[-133.18685913  -48.86999893]
3,11.064231872558594,11.062286376953125,11.067039489746094,[-99.99635315 -48.86999893],[-111.06058502  -48.86999893],[-122.1228714   -48.86999893],[-133.18991089  -48.86999893]
4,11.08435058596113,11.0609283456271,11.083976745629101,[-99.95761871 -48.86987686],[-111.0419693   -48.86985397],[-122.10289764  -48.86999512],[-133.18687439  -48.87001801]
5,11.164909362795575,11.06160736112992,11.051788330157786,[-99.87469482 -48.87005615],[-111.03960419  -48.87004852],[-122.10121155  -48.86996841],[-133.15299988  -48.87001038]
6,11.259826661836984,11.066040039654252,11.053771972919543,[-99.76821899 -48.86988831],[-111.02804565  -48.87008286],[-122.09408569  -48.86996841],[-133.14785767  -48.87004471]
7,11.360702521311675,11.072875977561946,11.079093933121888,[-99.63518524 -48.86982346],[-110.99588776  -48.87021255],[-122.06876373  -48.87006378],[-133.14785767  -48.87004471]
8,11.482048039800786,11.087188724011277,11.113021850963058,[-99.46208954 -48.86988068],[-110.94413757  -48.870224  ],[-122.03132629  -48.86995316],[-133.14434814  -48.87004471]
9,11.60348511473578,11.115798959464536,11.148231508619551,[-99.25876617 -48.86988068],[-110.86225128  -48.87029266],[-121.97805023  -48.86983871],[-133.12628174  -48.87006378]
10,11.720771795883303,11.154960636498696,11.180183411634383,[-99.02732086 -48.86972046],[-110.74809265  -48.87010574],[-121.90305328  -48.86980057],[-133.08323669  -48.86994934]
11,11.837020885729368,11.210388183853365,11.211196899419903,[-98.76364136 -48.86936951],[-110.60066223  -48.86989594],[-121.81105042  -48.86981964],[-133.02224731  -48.8698082 ]
12,11.953033464039299,11.274703984836204,11.24702453701845,[-98.46864319 -48.8689003 ],[-110.42167664  -48.86953354],[-121.69638062  -48.86988068],[-132.94340515  -48.86973953]
13,12.064865138900073,11.350418108697996,11.281730651933506,[-98.14409637 -48.86832809],[-110.20896149  -48.86912918],[-121.55937958  -48.86976624],[-132.84111023  -48.8698082 ]
14,12.173881569017945,11.436752365714254,11.321128846192373,[-97.78945923 -48.86771393],[-109.96334076  -48.86867905],[-121.40009308  -48.86970901],[-132.72122192  -48.86985779]
15,12.284034777114293,11.525604338247605,11.371826172898716,[-97.4056015  -48.86712646],[-109.68963623  -48.86821365],[-121.21524048  -48.86965561],[-132.58706665  -48.8698082 ]
16,12.389183098351467,11.623237766985822,11.426185608878697,[-96.99347687 -48.86654282],[-109.38265991  -48.86769867],[-121.00589752  -48.86960983],[-132.43208313  -48.86975861]
17,12.48870855136179,11.730217221500574,11.482398987780206,[-96.55281067 -48.86600113],[-109.04151917  -48.86717606],[-120.77173615  -48.86955643],[-132.25413513  -48.8697052 ]
18,12.584449821147661,11.842537270024197,11.542678833966578,[-96.08447266 -48.86549759],[-108.66892242  -48.86665344],[-120.51145935  -48.86950684],[-132.05413818  -48.86965561]
19,12.675605822200241,11.963783718153097,11.6061706553507,[-95.58874512 -48.86505127],[-108.26435089  -48.86615753],[-120.22813416  -48.86945343],[-131.83430481  -48.86960983]
20,12.756095925384363,12.088677027150595,11.676780701731047,[-95.07236481 -48.86467361],[-107.82846069  -48.86567307],[-119.91713715  -48.86940002],[-131.59391785  -48.86955643]
21,12.806732207527963,12.212158892923537,11.75681305035673,[-94.55651093 -48.86436462],[-107.3632431   -48.86523819],[-119.57540131  -48.8693428 ],[-131.33221436  -48.86949921]
22,12.850097676475876,12.332596621809255,11.847053528967608,[-94.02152252 -48.86413574],[-106.87162018  -48.86485672],[-119.204216   -48.8692894],[-131.05126953  -48.86945343]
23,12.906852734184401,12.4446801462311,11.943817139798252,[-93.45198059 -48.86398315],[-106.35883331  -48.8645401 ],[-118.80351257  -48.86923599],[-130.74732971  -48.86940002]
24,12.991584783321096,12.528214473431644,12.043731689996841,[-92.85422516 -48.86391449],[-105.84580994  -48.86429214],[-118.37402344  -48.86922836],[-130.41775513  -48.8693428 ]
25,13.080055238151996,12.606637080607905,12.144561767983125,[-92.23236084 -48.86392975],[-105.31241608  -48.86411667],[-117.91905212  -48.86922073],[-130.06361389  -48.86931992]
26,13.153060913113043,12.703965302089749,12.244697571172164,[-91.58245087 -48.86403275],[-104.73551178  -48.86400604],[-117.43947601  -48.86921692],[-129.68417358  -48.86931229]
27,13.220703127115529,12.807496186572692,12.34748840365973,[-90.90353394 -48.86421585],[-104.12423706  -48.86397934],[-116.93173218  -48.8692131 ],[-129.27922058  -48.86930466]
28,13.291854865764249,12.926659663804399,12.432472229341004,[-90.19754028 -48.86448288],[-103.48939514  -48.86404037],[-116.41605377  -48.86920929],[-128.848526    -48.86930084]
29,13.360313429996683,13.069024093577307,12.499908447689961,[-89.4642334  -48.86480713],[-102.82454681  -48.86418533],[-115.89356995  -48.86919785],[-128.39347839  -48.86930084]
30,13.420684837683497,13.216011911717777,12.576889038507677,[-88.70302582 -48.86520386],[-102.12371063  -48.86441422],[-115.33972168  -48.86919403],[-127.91661072  -48.86929703]
31,13.47727969470279,13.351006313021696,12.673156738428226,[-87.91442108 -48.86565018],[-101.39170074  -48.86472702],[-114.7427063   -48.86922836],[-127.41586304  -48.8692894 ]
32,13.530677834902162,13.478531529863021,12.791343688973944,[-87.09934998 -48.86612701],[-100.63002777  -48.86509323],[-114.10855865  -48.86926651],[-126.89990234  -48.86928177]
33,13.57789616230296,13.601250225500912,12.945426940974174,[-86.25850677 -48.86661148],[-99.83640289 -48.86551666],[-113.43765259  -48.8693161 ],[-126.38307953  -48.86927795]
34,13.618843123854669,13.713898117808487,13.113761902077401,[-85.39253998 -48.86709976],[-99.01138306 -48.86598969],[-112.72528076  -48.86935425],[-125.83904266  -48.86927795]
35,13.65459446713203,13.815597845618806,13.27500915556338,[-84.50218201 -48.86759186],[-98.15677643 -48.86647415],[-111.97237396  -48.86940765],[-125.24738312  -48.86931992]
36,13.684402508704876,13.909355385263726,13.433868408441976,[-83.58824921 -48.86804581],[-97.27265167 -48.86696243],[-111.18200684  -48.8694458 ],[-124.61587524  -48.86936569]
37,13.707885779181181,13.995918424396956,13.595764160518021,[-82.65136719 -48.86846161],[-96.35925293 -48.86745453],[-110.3551712   -48.86950684],[-123.95093536  -48.86940765]
38,13.725494416585198,14.071388341127438,13.754135132312038,[-81.69223785 -48.86884689],[-95.41773224 -48.86791229],[-109.48912048  -48.86956024],[-123.24325562  -48.8694458 ]
39,13.737327601552165,14.135429442881922,13.900283814272713,[-80.71157837 -48.86919022],[-94.44890594 -48.86834717],[-108.58433533  -48.86965561],[-122.48461914  -48.86950684]
40,13.743301411321871,14.189857515731259,14.031082154235053,[-79.71005249 -48.86948013],[-93.45335388 -48.8687439 ],[-107.64321136  -48.86970901],[-121.67429352  -48.8695488 ]
41,13.743652358691925,14.234069839873177,14.15618896583881,[-78.6883316  -48.86973953],[-92.43198395 -48.86909866],[-106.66605377  -48.86976624],[-120.82224274  -48.86959839]
42,13.738670359799887,14.267509464955287,14.275329590786162,[-77.64707947 -48.86999512],[-91.38574982 -48.86945343],[-105.65325928  -48.86981201],[-119.92858887  -48.86964798]
43,13.728561408498692,14.291152954394818,14.381782532673718,[-76.58690643 -48.87021255],[-90.31546783 -48.86977005],[-104.60662079  -48.8698616 ],[-118.98840332  -48.86969757]
44,13.713531498828722,14.305389404993171,14.47710418802945,[-75.508461   -48.87041473],[-89.22199249 -48.87005615],[-103.5273819   -48.86991501],[-118.00448608  -48.86974335]
45,13.693962099922363,14.30996704522613,14.56309509378516,[-74.41234589 -48.8705864 ],[-88.10630798 -48.87031174],[-102.41627502  -48.8699646 ],[-116.97937012  -48.86979294]
46,13.670135499656938,14.305450448860457,14.635879517608254,[-73.29914093 -48.8707428 ],[-86.96927643 -48.87053299],[-101.27472687  -48.87001419],[-115.91060638  -48.86984253]
47,13.642288208861155,14.29290010016108,14.694007874537865,[-72.16946411 -48.87086868],[-85.81175232 -48.87071609],[-100.1046524  -48.8700676],[-114.79866028  -48.86989594]
48,13.61083984411137,14.272872945195699,14.741149903256382,[-71.02383423 -48.87097168],[-84.63467407 -48.8708725 ],[-98.907547   -48.87010956],[-113.6486969   -48.86994553]
49,13.576110839998636,14.24543001922699,14.776832581039592,[-69.86283875 -48.87105179],[-83.43894958 -48.87098694],[-97.68437958 -48.87011719],[-112.46121216  -48.86999893]
50,13.538597106959928,14.210983309399081,14.799133300940543,[-68.68698883 -48.87111282],[-82.22558594 -48.87108612],[-96.43656921 -48.87011719],[-111.23570251  -48.87004852]
51,13.49849700929082,14.170295752763664,14.809539794929735,[-67.49681854 -48.87116623],[-80.99531555 -48.87114716],[-95.16561127 -48.87011719],[-109.97515106  -48.87010193]
52,13.456100463872055,14.123733562058415,14.808937072793704,[-66.29283905 -48.87118912],[-79.74893951 -48.87120056],[-93.87267303 -48.87011719],[-108.68161011  -48.87015152]
53,13.411636352543946,14.071746868465432,14.796669006444036,[-65.0756073  -48.87119675],[-78.48724365 -48.87120819],[-92.55899048 -48.87011719],[-107.35565948  -48.87017059]
54,13.365364074720642,14.014923138764155,14.773200988880346,[-63.84562683 -48.87119675],[-77.21099091 -48.87121582],[-91.225914   -48.87011719],[-105.99911499  -48.87017441]
55,13.31754684450209,13.953826947847311,14.73925781261107,[-62.6033287  -48.87119675],[-75.92087555 -48.87121964],[-89.87470245 -48.87011719],[-104.61396027  -48.87017441]
56,13.268455505384804,13.888908429984467,14.695144653431717,[-61.34915924 -48.87120056],[-74.61761475 -48.87121964],[-88.50652313 -48.87011719],[-103.20166779  -48.87017441]
57,13.218334197998598,13.820655865515239,14.641288757436032,[-60.08356857 -48.87120056],[-73.30190277 -48.87120438],[-87.12255859 -48.87011719],[-101.76384735  -48.87017441]
58,13.167400360109632,13.749603311212779,14.57833099376464,[-58.80695724 -48.87117004],[-71.9743576  -48.87116241],[-85.72396088 -48.87011719],[-100.30229187  -48.87017441]
59,13.115886688232422,13.676132239509448,14.506546020620664,[-57.5197258  -48.87112808],[-70.63561249 -48.87112808],[-84.31174469 -48.87011719],[-98.81829071 -48.87017441]
60,13.063999176025948,13.600669896449622,14.42661285405434,[-56.22227097 -48.87111664],[-69.28627014 -48.87112045],[-82.88694    -48.87013626],[-97.31355286 -48.87017441]
61,13.011917114257812,13.523681676160422,14.340217590393424,[-54.91496277 -48.87111664],[-67.92687988 -48.87111664],[-81.45056152 -48.87013626],[-95.79077911 -48.87017822]
62,12.959815979006152,13.445526155264387,14.248123169007103,[-53.59818268 -48.87107468],[-66.55799866 -48.87106705],[-80.00352478 -48.87013626],[-94.25164795 -48.87017822]
63,12.907859802251167,13.366615327288772,14.150421142640342,[-52.27226257 -48.87104797],[-65.18012238 -48.87105942],[-78.54673767 -48.87013626],[-92.69715881 -48.87017822]
64,12.856182098393765,13.287319215418469,14.047485351625172,[-50.93755341 -48.87104797],[-63.7937355  -48.87105942],[-77.08105469 -48.87013626],[-91.12854004 -48.87017822]
65,12.80491256713924,13.207950623244898,13.941253662172524,[-49.5943985  -48.87104797],[-62.39931107 -48.87104416],[-75.60726166 -48.87013626],[-89.54851532 -48.87017822]
66,12.754180908203695,13.128818540019136,13.832572937075366,[-48.24309921 -48.87099838],[-60.99728012 -48.87099457],[-74.12609863 -48.87013626],[-87.95867157 -48.87017822]
67,12.704090118408775,13.05025485000249,13.721717834536816,[-46.88396835 -48.87099075],[-59.58805847 -48.87099457],[-72.63831329 -48.87013626],[-86.36003113 -48.87017822]
68,12.654731750488857,12.972507505200948,13.609352111881096,[-45.51729965 -48.87099075],[-58.1720314  -48.87099457],[-71.14453888 -48.87013626],[-84.75389099 -48.87017822]
69,12.606185913086515,12.895816831541682,13.496223449707031,[-44.14338303 -48.87099075],[-56.74956894 -48.87099457],[-69.64538574 -48.87013626],[-83.14160919 -48.87013626]
70,12.558506012009818,12.820442227425657,13.382827758789062,[-42.76249313 -48.87094498],[-55.32099915 -48.87097931],[-68.14144135 -48.87013626],[-81.5242691  -48.87013626]
71,12.51178359985584,12.746532464881442,13.269683837890625,[-41.37490082 -48.87093735],[-53.88668442 -48.87092972],[-66.63321686 -48.87013626],[-79.9029007  -48.87013626]
72,12.466045379641006,12.674282098811284,13.157363891601562,[-39.98085785 -48.87093735],[-52.44690323 -48.87092972],[-65.1211853  -48.87013626],[-78.27854919 -48.87013626]
73,12.421340942385156,12.603836083594446,13.04633712769447,[-38.580616   -48.87093735],[-51.00195694 -48.87092972],[-63.605793   -48.87015152],[-76.65213013 -48.87013626]
74,12.377708435079755,12.535324120835126,12.937011718758999,[-37.17440796 -48.87090683],[-49.55211639 -48.87092972],[-62.08744049 -48.87015152],[-75.02445221 -48.87013626]
75,12.335159301786716,12.468864465202158,12.829814910897746,[-35.76247025 -48.87090302],[-48.09762955 -48.87092972],[-60.56649399 -48.87015152],[-73.3963089  -48.87013626]
76,12.293704986581735,12.404521963987328,12.72511291504821,[-34.34502411 -48.87090302],[-46.6387291  -48.87088776],[-59.04325104 -48.87015152],[-71.76836395 -48.87013626]
77,12.25336074830586,12.342308065715033,12.62327575684516,[-32.92228317 -48.87085724],[-45.17564392 -48.87087631],[-57.51795197 -48.87015152],[-70.14122772 -48.87013626]
78,12.214122772238243,12.2823791717759,12.524459838876483,[-31.49445724 -48.87085342],[-43.70858002 -48.87087631],[-55.99095917 -48.87015152],[-68.51541901 -48.87013626]
79,12.175989151022488,12.224792501954765,12.428840637216398,[-30.06174278 -48.87085342],[-42.23773193 -48.87087631],[-54.46252441 -48.87015152],[-66.89136505 -48.87013626]
80,12.138975143442208,12.169487020643377,12.336616516122717,[-28.62433052 -48.87085342],[-40.76330566 -48.87086868],[-52.93279266 -48.87015152],[-65.26940918 -48.87013626]
81,12.10304450993639,12.116539019855095,12.248081207284896,[-27.18240166 -48.87085342],[-39.28544617 -48.87081909],[-51.40198517 -48.87015152],[-63.65006638 -48.87013626]
82,12.068170547490778,12.065929430681445,12.163421630868946,[-25.7361393  -48.87081909],[-37.80430984 -48.87080765],[-49.87023926 -48.87015152],[-62.03366089 -48.87013626]
83,12.034370422363281,12.017593401492796,12.082599639907633,[-24.28571701 -48.87080765],[-36.32008743 -48.87080765],[-48.33768082 -48.87015533],[-60.42028046 -48.87013626]
84,12.00163459777832,11.971488970408632,12.005649566665541,[-22.83129311 -48.87080765],[-34.8329277  -48.87080765],[-46.80441666 -48.87015533],[-58.81006622 -48.87013626]
85,11.96993637084961,11.92760469313027,11.932769775405868,[-21.3730278  -48.87080765],[-33.34296417 -48.87080765],[-45.27056885 -48.87015533],[-57.20333862 -48.87013626]
