,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,8.818397521972656,8.818405151367188,8.818389892578125,[-100.          -48.86999893],[-108.81839752  -48.86999893],[-117.63680267  -48.86999893],[-126.45519257  -48.86999893]
1,8.818397521972656,8.818405151367188,8.818389892578125,[-100.          -48.86999893],[-108.81839752  -48.86999893],[-117.63680267  -48.86999893],[-126.45519257  -48.86999893]
2,8.818397521972656,8.818405151367188,8.818389892578125,[-100.          -48.86999893],[-108.81839752  -48.86999893],[-117.63680267  -48.86999893],[-126.45519257  -48.86999893]
3,8.820343017578125,8.818405151367188,8.818389892578125,[-99.99635315 -48.86999893],[-108.81669617  -48.86999893],[-117.63510132  -48.86999893],[-126.45349121  -48.86999893]
4,8.840446473294698,8.81719207770356,8.819854736368548,[-99.95761871 -48.86987686],[-108.79806519  -48.87001801],[-117.61525726  -48.86998367],[-126.435112    -48.87001038]
5,8.867942810324429,8.87103271602811,8.819664001531667,[-99.87469482 -48.87005615],[-108.74263763  -48.87012482],[-117.61367035  -48.86997986],[-126.43333435  -48.87001419]
6,8.902580261296668,8.93545532247408,8.819816589408266,[-99.76821899 -48.86988831],[-108.67079926  -48.86992264],[-117.60625458  -48.86998367],[-126.42607117  -48.87001419]
7,8.949325561660837,8.995567325090345,8.81375885065571,[-99.63518524 -48.86982346],[-108.5845108   -48.86987305],[-117.58007812  -48.87011719],[-126.39383698  -48.87001801]
8,9.015830993655571,9.058441164281293,8.851699830416738,[-99.46208954 -48.86988068],[-108.47792053  -48.86988831],[-117.53636169  -48.87008667],[-126.38806152  -48.87023926]
9,9.089096070155664,9.119300847015689,8.905624391690955,[-99.25876617 -48.86988068],[-108.34786224  -48.86975861],[-117.46716309  -48.87005234],[-126.37278748  -48.87024307]
10,9.165390015316067,9.178230294551767,8.961669925097421,[-99.02732086 -48.86972046],[-108.19271088  -48.86960983],[-117.37094116  -48.87001419],[-126.33261108  -48.87025452]
11,9.25196838420508,9.240478525326562,9.02283477953836,[-98.76364136 -48.86936951],[-108.01560974  -48.86945724],[-117.25608826  -48.86988068],[-126.27892303  -48.87005615]
12,9.345993050739537,9.303756732899037,9.091918947646077,[-98.46864319 -48.8689003 ],[-107.81463623  -48.86930466],[-117.11839294  -48.86989975],[-126.21031189  -48.87010574]
13,9.444046054483687,9.368545572954176,9.154441833524707,[-98.14409637 -48.86832809],[-107.5881424   -48.86912918],[-116.95668793  -48.87000275],[-126.11112976  -48.86997986]
14,9.54715736418105,9.430244488409937,9.214302068297803,[-97.78945923 -48.86771393],[-107.33661652  -48.86892319],[-116.76686096  -48.86981964],[-125.98116302  -48.87013245]
15,9.657035965654122,9.49112705613645,9.277427689602353,[-97.40541077 -48.86709213],[-107.06244659  -48.86872482],[-116.55357361  -48.86961746],[-125.83100128  -48.87016678]
16,9.771492211194518,9.553978009084835,9.340095536624748,[-96.99268341 -48.86650467],[-106.76417542  -48.86851501],[-116.31815338  -48.8694191 ],[-125.6582489   -48.86997604]
17,9.885193149484781,9.623535199076189,9.400085464826311,[-96.55155182 -48.86595917],[-106.43674469  -48.86830521],[-116.06027985  -48.8692131 ],[-125.4603653   -48.86975479]
18,9.998344770871709,9.700904888676035,9.456192032779006,[-96.08281708 -48.86545181],[-106.0811615  -48.8680954],[-115.78206635  -48.8690033 ],[-125.23825836  -48.86955643]
19,10.110863151971664,9.784301796809508,9.513732925795333,[-95.58664703 -48.86500931],[-105.69750977  -48.86792374],[-115.48181152  -48.8687973 ],[-124.99554443  -48.8693428 ]
20,10.212418082767527,9.869628941285017,9.577743543914135,[-95.0723877  -48.86462402],[-105.2848053   -48.86775589],[-115.1544342   -48.86858749],[-124.73217773  -48.86909866]
21,10.286110443834446,9.956489594301276,9.648330701816114,[-94.55870819 -48.86431885],[-104.84481812  -48.86758804],[-114.80130768  -48.86837769],[-124.44963837  -48.86888504]
22,10.357651304545461,10.04150393104904,9.722259533745856,[-94.02352142 -48.86408997],[-104.38117218  -48.86745834],[-114.42267609  -48.86816406],[-124.14493561  -48.86865234]
23,10.43935449742815,10.124130270532657,9.798568733617392,[-93.45414734 -48.86393356],[-103.89350128  -48.86733627],[-114.01763153  -48.86799622],[-123.81620026  -48.86839294]
24,10.523094726157304,10.206474320025794,9.875991827124716,[-92.85787201 -48.8638649 ],[-103.38096619  -48.86726379],[-113.58744049  -48.86783218],[-123.46343231  -48.86817169]
25,10.629395052937115,10.266716014139798,9.954505924412679,[-92.23686218 -48.86387634],[-102.86625671  -48.86720657],[-113.13297272  -48.86767578],[-123.08747864  -48.86795807]
26,10.75079393116465,10.317245490171398,10.032821657086476,[-91.58705902 -48.86398697],[-102.33785248  -48.86717987],[-112.65509796  -48.86755371],[-122.68791962  -48.86774445]
27,10.862808644506408,10.384323123357074,10.109092712816917,[-90.90850067 -48.86418533],[-101.7713089   -48.86719513],[-112.15563202  -48.86745453],[-122.26472473  -48.86754608]
28,10.965103501088006,10.475440980115224,10.17483520507884,[-90.20285034 -48.86445236],[-101.16795349  -48.86722946],[-111.64339447  -48.86738205],[-121.81822968  -48.86737823]
29,11.06756620520613,10.594299316474928,10.218025208077794,[-89.46961975 -48.86478806],[-100.53718567  -48.86730957],[-111.13148499  -48.86734772],[-121.34951019  -48.86724091]
30,11.165947185743022,10.720138550263501,10.266738893745357,[-88.70837402 -48.86518097],[-99.87432098 -48.86742401],[-110.59445953  -48.86732483],[-120.86119843  -48.86711502]
31,11.254120037924368,10.84270477505362,10.336708073465912,[-87.91968536 -48.86563492],[-99.17380524 -48.86756134],[-110.01651001  -48.86734772],[-120.35321808  -48.86703873]
32,11.335235711644238,10.965415960452855,10.439453132831124,[-87.10421753 -48.8661232 ],[-98.43945312 -48.86774445],[-109.40486908  -48.86738586],[-119.8443222   -48.86698151]
33,11.410080032836865,11.08890534392118,10.568069470370249,[-86.26280212 -48.86660385],[-97.67288208 -48.86792755],[-108.76178741  -48.86746979],[-119.32985687  -48.86695862]
34,11.47593693794544,11.208709730824017,10.701858538130928,[-85.39627838 -48.86709976],[-96.87221527 -48.86815262],[-108.08092499  -48.86759186],[-118.78278351  -48.86697769]
35,11.532737760021712,11.32319643081155,10.822837852103767,[-84.5052948  -48.86759186],[-96.03803253 -48.86839676],[-107.36122894  -48.86772919],[-118.18406677  -48.8670311 ]
36,11.58152009508123,11.43283083400746,10.944114714377523,[-83.59060669 -48.86806107],[-95.17212677 -48.8686409 ],[-106.60495758  -48.86790848],[-117.54907227  -48.86710739]
37,11.621849065708773,11.53614046662088,11.078056368699217,[-82.6529541  -48.86848831],[-94.27480316 -48.86885071],[-105.8109436  -48.8680954],[-116.88899994  -48.86723709]
38,11.65338134886502,11.63175966734028,11.216262855373111,[-81.69303894 -48.86888504],[-93.34642029 -48.86905289],[-104.97817993  -48.86830902],[-116.19444275  -48.86738586]
39,11.676757812522432,11.719329854776054,11.348716778185576,[-80.71154022 -48.86922836],[-92.38829803 -48.86925125],[-104.10762787  -48.86855316],[-115.4563446   -48.86757278]
40,11.692276001178184,11.798301717429855,11.480094949597309,[-79.70915985 -48.86952591],[-91.40143585 -48.86945724],[-103.19973755  -48.86875916],[-114.67983246  -48.86780167]
41,11.69997406126255,11.867889422645726,11.611053503495455,[-78.68657684 -48.86978531],[-90.3865509  -48.86961746],[-102.25444031  -48.86895752],[-113.86549377  -48.86803436]
42,11.700302127070556,11.927803055166777,11.736030611695368,[-77.64442444 -48.87003708],[-89.34472656 -48.86977005],[-101.2725296  -48.8691597],[-113.00856018  -48.8682785 ]
43,11.693786625803236,11.977828992440637,11.85399630683397,[-76.58334351 -48.87025452],[-88.27713013 -48.86992264],[-100.25495911  -48.86936569],[-112.10895538  -48.86852264]
44,11.680732734316315,12.017692575529889,11.965950038261587,[-75.50397491 -48.8704567 ],[-87.18470764 -48.87004471],[-99.20240021 -48.86956406],[-111.16835022  -48.86877441]
45,11.661567697737128,12.04729462414048,12.069503804368136,[-74.40694427 -48.87062073],[-86.06851196 -48.87014389],[-98.11580658 -48.86972046],[-110.18531036  -48.86902237]
46,11.636772167842283,12.066665655087501,12.162902847154571,[-73.29283905 -48.87077713],[-84.92961121 -48.87024689],[-96.99627686 -48.86987686],[-109.15917969  -48.86927032]
