,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,9.152320861816406,9.152336120605469,9.152320861816406,[-100.          -48.86999893],[-109.15232086  -48.86999893],[-118.30465698  -48.86999893],[-127.45697784  -48.86999893]
1,9.152320861816406,9.152336120605469,9.152320861816406,[-100.          -48.86999893],[-109.15232086  -48.86999893],[-118.30465698  -48.86999893],[-127.45697784  -48.86999893]
2,9.152320861816406,9.152336120605469,9.152320861816406,[-100.          -48.86999893],[-109.15232086  -48.86999893],[-118.30465698  -48.86999893],[-127.45697784  -48.86999893]
3,9.154266357421875,9.152336120605469,9.152328491210938,[-99.99635315 -48.86999893],[-109.15061951  -48.86999893],[-118.30295563  -48.86999893],[-127.45528412  -48.86999893]
4,9.172912598418515,9.151748657322761,9.153701782723353,[-99.95761871 -48.86987686],[-109.13053131  -48.86999512],[-118.28227997  -48.87003708],[-127.43598175  -48.86994171]
5,9.252220153847128,9.154029846230353,9.103416443689532,[-99.87469482 -48.87005615],[-109.12691498  -48.87002945],[-118.28094482  -48.87000275],[-127.38436127  -48.86988068]
6,9.350608826583109,9.155105590833028,9.10042572402135,[-99.76821899 -48.86988831],[-109.11882782  -48.87001801],[-118.27393341  -48.87000275],[-127.37435913  -48.86973953]
7,9.453643805484791,9.15894317767087,9.12145233579378,[-99.63518524 -48.86982346],[-109.08882904  -48.87017822],[-118.24777222  -48.87001801],[-127.36922455  -48.86973953]
8,9.5756607090799,9.172744751396174,9.138908393415738,[-99.46208954 -48.86988068],[-109.03775024  -48.87014008],[-118.210495    -48.87005234],[-127.34940338  -48.86968994]
9,9.699272159759294,9.202438355068574,9.157936105458425,[-99.25876617 -48.86988068],[-108.95803833  -48.87015915],[-118.16047668  -48.87005615],[-127.31841278  -48.86964417]
10,9.817596438214885,9.240776062266828,9.187767032913897,[-99.02732086 -48.86972046],[-108.8449173   -48.86994934],[-118.08569336  -48.87001801],[-127.27346039  -48.86974335]
11,9.935226456470849,9.294265747484436,9.2134246874218,[-98.76364136 -48.86936951],[-108.6988678   -48.86993408],[-117.99313354  -48.87002182],[-127.20655823  -48.86972427]
12,10.04928592182943,9.368354798209056,9.23445892343518,[-98.46864319 -48.8689003 ],[-108.51792908  -48.86971664],[-117.88628387  -48.86984253],[-127.1207428   -48.86980057]
13,10.161361757923295,9.44810486048078,9.267036439951141,[-98.14409637 -48.86832809],[-108.30545807  -48.86946487],[-117.75356293  -48.86966324],[-127.02059937  -48.86985397]
14,10.27104960892258,9.533851631320262,9.311233528637677,[-97.78945923 -48.86771393],[-108.06050873  -48.8692131 ],[-117.59436035  -48.86959839],[-126.90559387  -48.86998749]
15,10.380439913136131,9.629806535782356,9.353164689661506,[-97.4056015  -48.86712646],[-107.78604126  -48.86891937],[-117.41584778  -48.86949539],[-126.76901245  -48.87005615]
16,10.484810079346474,9.734466584145661,9.398597740723428,[-96.99347687 -48.86654282],[-107.47828674  -48.86861038],[-117.2127533  -48.8693924],[-126.61135101  -48.87005615]
17,10.584137212849942,9.844894458756503,9.454963715172152,[-96.55281067 -48.86600113],[-107.13694763  -48.86830139],[-116.98184204  -48.8692894 ],[-126.43680573  -48.87005615]
18,10.679283430831891,9.96162421890485,9.5168991482822,[-96.08447266 -48.86549759],[-106.7637558   -48.86798096],[-116.72537994  -48.86919022],[-126.24227905  -48.87005615]
19,10.769829119901065,10.086441136669595,9.581985522622208,[-95.58874512 -48.86505127],[-106.35857391  -48.86769104],[-116.44501495  -48.86908722],[-126.02700043  -48.87005615]
20,10.849914897455525,10.212989926303553,9.656883300088976,[-95.07236481 -48.86467361],[-105.92227936  -48.86741638],[-116.13526917  -48.86897659],[-125.7921524   -48.87005615]
21,10.900085805912093,10.338066243594241,9.742118907685855,[-94.55651093 -48.86436462],[-105.45659637  -48.86715317],[-115.79466248  -48.86886978],[-125.53678131  -48.87005615]
22,10.942985889962957,10.460128945781863,9.83727272854144,[-94.02152252 -48.86413574],[-104.96450806  -48.86692429],[-115.42463684  -48.86876297],[-125.26190948  -48.87005234]
23,10.999306069923078,10.572937185831464,9.942680456914427,[-93.45198059 -48.86398315],[-104.45128632  -48.86673737],[-115.02422333  -48.86865616],[-124.96690369  -48.87005234]
24,11.083549823942414,10.656929194392156,10.05186473696082,[-92.85422516 -48.86391449],[-103.93777466  -48.86659622],[-114.59470367  -48.86854553],[-124.6465683   -48.87005234]
25,11.171600635909257,10.73548906926917,10.160949833948322,[-92.23236084 -48.86392975],[-103.40396118  -48.86649323],[-114.13945007  -48.86844635],[-124.30039978  -48.87005234]
26,11.244255321116842,10.832390007621253,10.270156996264657,[-91.58245087 -48.86403275],[-102.82670593  -48.86642838],[-113.65909576  -48.8683815 ],[-123.92925262  -48.87005234]
27,11.31153890969841,10.935249494955112,10.382644798399449,[-90.90353394 -48.86421585],[-102.21507263  -48.86641312],[-113.15032196  -48.86832047],[-123.53296661  -48.87005615]
28,11.382362535262667,11.053543240590512,10.475982818786678,[-90.19754028 -48.86448288],[-101.57990265  -48.86644745],[-112.63344574  -48.86826706],[-123.10942841  -48.87005615]
29,11.450538765648819,11.194748056418318,10.550659333975746,[-89.4642334  -48.86480713],[-100.91477203  -48.86653519],[-112.10951996  -48.8682518 ],[-122.66017914  -48.87005615]
30,11.51070413519687,11.340225326530879,10.63519302675537,[-88.70302582 -48.86520386],[-100.21372986  -48.86668015],[-111.55395508  -48.86823654],[-122.18914795  -48.87005615]
31,11.56707007053415,11.470832910140361,10.741417081421691,[-87.91442108 -48.86565018],[-99.48149109 -48.86685944],[-110.95232391  -48.86825943],[-121.69374084  -48.87005615]
32,11.62031559120533,11.582626405898473,10.874641561267211,[-87.09934998 -48.86612701],[-98.71966553 -48.8670845 ],[-110.30229187  -48.86829376],[-121.17693329  -48.87005615]
33,11.667358420713706,11.689735458309007,11.042694221104034,[-86.25850677 -48.86661148],[-97.92586517 -48.86733246],[-109.61560059  -48.86836624],[-120.65829468  -48.87005615]
34,11.7081832999,11.794036895365284,11.217880362892934,[-85.39253998 -48.86709976],[-97.10072327 -48.86761475],[-108.89476013  -48.86845779],[-120.11264038  -48.87005615]
35,11.743827823990113,11.888320940331628,11.383812050406892,[-84.50218201 -48.86759186],[-96.24600983 -48.86790466],[-108.13433075  -48.86854935],[-119.5181427   -48.87005615]
36,11.773582459484878,11.973411570014761,11.547187886384531,[-83.58824921 -48.86804581],[-95.36183167 -48.86819839],[-107.33524323  -48.86868668],[-118.88243103  -48.87005615]
37,11.797019958546052,12.052238468924887,11.71025091811662,[-82.65136719 -48.86846161],[-94.44838715 -48.86849594],[-106.50062561  -48.86882782],[-118.21087646  -48.87004852]
38,11.814575195584087,12.122596742472833,11.865882918900887,[-81.69223785 -48.86884689],[-93.50681305 -48.86876678],[-105.62940979  -48.86897278],[-117.49529266  -48.87001038]
39,11.826385499237961,12.183143616126374,12.011390718358838,[-80.71157837 -48.86919022],[-92.53796387 -48.86902237],[-104.72110748  -48.86912155],[-116.73249817  -48.87000275]
40,11.83235931610538,12.23520660401342,12.149330161237168,[-79.71005249 -48.86948013],[-91.5424118  -48.86925507],[-103.77761841  -48.86927032],[-115.92694855  -48.87000275]
41,11.832717898875014,12.278663635313164,12.27785493330596,[-78.6883316  -48.86973953],[-90.5210495  -48.86945724],[-102.79971313  -48.8694191 ],[-115.07756805  -48.87000275]
42,11.827758793718642,12.312690735546399,12.394508370697595,[-77.64707947 -48.86999512],[-89.47483826 -48.86966324],[-101.78752899  -48.86953354],[-114.18203735  -48.87000275]
43,11.817687993492397,12.337692262795052,12.500053410904925,[-76.58690643 -48.87021255],[-88.40459442 -48.8698616 ],[-100.74228668  -48.86963654],[-113.24234009  -48.86999512]
44,11.802726752273145,12.354110720998529,12.594657899696767,[-75.508461   -48.87041473],[-87.31118774 -48.87001801],[-99.66529846 -48.86973572],[-112.25995636  -48.86994553]
45,11.783195502807825,12.361747746257233,12.677871704519942,[-74.41234589 -48.8705864 ],[-86.19554138 -48.87017441],[-98.55728912 -48.86983871],[-111.23516083  -48.86994171]
46,11.759422310287164,12.360710149696228,12.747520446777344,[-73.29914093 -48.8707428 ],[-85.05856323 -48.87030792],[-97.41927338 -48.86993408],[-110.16679382  -48.86993408]
47,11.73163605614593,12.351806646398378,12.802940369066636,[-72.16946411 -48.87086868],[-83.90110016 -48.87041473],[-96.2529068  -48.87003708],[-109.05584717  -48.86993408]
48,11.700218209489826,12.335777289722563,12.846260071897307,[-71.02383423 -48.87097168],[-82.72405243 -48.87051773],[-95.05982971 -48.87010193],[-107.90608978  -48.86993408]
49,11.665519724101014,12.312583930490177,12.877685548775677,[-69.86283875 -48.87105179],[-81.52835846 -48.87057495],[-93.84094238 -48.87015533],[-106.71862793  -48.86993408]
50,11.628044138510287,12.282386787083988,12.896347048742507,[-68.68698883 -48.87111282],[-80.31503296 -48.87062836],[-92.59741974 -48.87020493],[-105.49376678  -48.86993408]
51,11.588005076045159,12.245925910640876,12.903121952316301,[-67.49681854 -48.87116623],[-79.08482361 -48.87068176],[-91.33074951 -48.87025833],[-104.23387146  -48.86993408]
52,11.545661936756519,12.203544623147899,12.898849492503231,[-66.29283905 -48.87118912],[-77.83850098 -48.87069702],[-90.04204559 -48.87030029],[-102.94089508  -48.86993408]
