,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,8.990142822265625,8.990150451660156,8.990142822265625,[-100.          -48.86999893],[-108.99014282  -48.86999893],[-117.98029327  -48.86999893],[-126.9704361   -48.86999893]
1,8.990142822265625,8.990150451660156,8.990142822265625,[-100.          -48.86999893],[-108.99014282  -48.86999893],[-117.98029327  -48.86999893],[-126.9704361   -48.86999893]
2,8.990142822265625,8.990150451660156,8.990142822265625,[-100.          -48.86999893],[-108.99014282  -48.86999893],[-117.98029327  -48.86999893],[-126.9704361   -48.86999893]
3,8.992088317871094,8.990150451660156,8.990142822265625,[-99.99635315 -48.86999893],[-108.98844147  -48.86999893],[-117.97859192  -48.86999893],[-126.96873474  -48.86999893]
4,9.01189422770915,8.989135742324292,8.990837097167969,[-99.95761871 -48.86987686],[-108.96951294  -48.87004852],[-117.95864868  -48.86999893],[-126.94948578  -48.86999893]
5,9.091102600100857,8.99101257347606,8.987442016808812,[-99.87469482 -48.87005615],[-108.96579742  -48.87004852],[-117.95681     -48.86998367],[-126.94425201  -48.86992264]
6,9.186996462625173,8.99269104092017,8.985008240008465,[-99.76821899 -48.86988831],[-108.95521545  -48.87010956],[-117.94790649  -48.86998367],[-126.93291473  -48.86991501]
7,9.290397645057956,8.993865966877774,8.981292725199955,[-99.63518524 -48.86982346],[-108.92558289  -48.86996078],[-117.91944885  -48.86999893],[-126.90074158  -48.86989594]
8,9.414970397949991,9.001472476152243,8.984367372471356,[-99.46208954 -48.86988068],[-108.87705994  -48.86987686],[-117.87853241  -48.87010956],[-126.86289978  -48.86992645]
9,9.539093017626941,9.024787905012047,9.002395633957073,[-99.25876617 -48.86988068],[-108.79785919  -48.86991119],[-117.82264709  -48.87010956],[-126.82504272  -48.86983871]
10,9.656311036361839,9.062286378302773,9.028877260005968,[-99.02732086 -48.86972046],[-108.6836319   -48.86987305],[-117.74591827  -48.87002945],[-126.77479553  -48.86985397]
11,9.771987924048394,9.11846924043887,9.049827577459604,[-98.76364136 -48.86936951],[-108.53562927  -48.86978912],[-117.65409851  -48.86998749],[-126.70392609  -48.8698082 ]
12,9.88358310447809,9.191459660333999,9.07151031663858,[-98.46864319 -48.8689003 ],[-108.35222626  -48.86973953],[-117.54368591  -48.87002945],[-126.61519623  -48.86985397]
13,9.99253854236778,9.271293649981041,9.100387573561996,[-98.14409637 -48.86832809],[-108.13663483  -48.86967087],[-117.40792847  -48.87009811],[-126.50831604  -48.87002182]
14,10.09933488836517,9.358802801027199,9.136024475595407,[-97.78945923 -48.86771393],[-107.88879395  -48.8695755 ],[-117.24759674  -48.86989975],[-126.38362122  -48.86999512]
15,10.207023890218741,9.4507141130288,9.178077701001026,[-97.4056015  -48.86712646],[-107.61262512  -48.8694725 ],[-117.06333923  -48.86965179],[-126.24141693  -48.86989594]
16,10.311073689633867,9.549598693923848,9.226348885157785,[-96.99347687 -48.86654282],[-107.30455017  -48.86936569],[-116.85414886  -48.86940384],[-126.08049774  -48.86979294]
17,10.409348045153768,9.657714844672894,9.281410234689142,[-96.55281067 -48.86600113],[-106.9621582  -48.8692627],[-116.61987305  -48.86912918],[-125.90128326  -48.86969757]
18,10.503319433045661,9.772094733002241,9.343673733870778,[-96.08447266 -48.86549759],[-106.58779144  -48.86918259],[-116.35988617  -48.86882782],[-125.70355988  -48.8695488 ]
19,10.593231984609092,9.894805926793028,9.40966038061651,[-95.58874512 -48.86505127],[-106.18197632  -48.86912537],[-116.07678223  -48.86851883],[-125.48644257  -48.86940002]
20,10.672684622126859,10.021102942686767,9.48346715923133,[-95.07236481 -48.86467361],[-105.74504852  -48.86907196],[-115.76615143  -48.86820602],[-125.24961853  -48.86924744]
21,10.722283416361957,10.14599615531455,9.56776435720545,[-94.55651093 -48.86436462],[-105.27879333  -48.86901093],[-115.42478943  -48.86789322],[-124.99255371  -48.86909103]
22,10.764802103569536,10.267616364322238,9.66230020476331,[-94.02152252 -48.86413574],[-104.78632355  -48.8689537 ],[-115.05393982  -48.8675766 ],[-124.71623993  -48.86893082]
23,10.820817155519222,10.38074506068372,9.766670342111938,[-93.45198059 -48.86398315],[-104.27279663  -48.86889648],[-114.65354156  -48.86727524],[-124.42021179  -48.86877441]
24,10.904771019876254,10.464576886771503,9.875839365847186,[-92.85422516 -48.86391449],[-103.75899506  -48.86886215],[-114.22357178  -48.86700058],[-124.09941101  -48.86861801]
25,10.992577700584462,10.541336270649182,9.98706070237716,[-92.23236084 -48.86392975],[-103.22493744  -48.86885071],[-113.7662735   -48.86674118],[-123.75333405  -48.86850357]
26,11.065148445496408,10.637520089272272,10.097343617835806,[-91.58245087 -48.86403275],[-102.64759827  -48.86884308],[-113.2851181   -48.86652374],[-123.38246155  -48.86839294]
27,11.132500651727824,10.740486434768375,10.210052674862451,[-90.90353394 -48.86421585],[-102.03603363  -48.86883163],[-112.77651978  -48.86633682],[-122.98657227  -48.8682785 ]
28,11.203385258302166,10.858948082227121,10.304069707052895,[-90.19754028 -48.86448288],[-101.40092468  -48.86886978],[-112.25987244  -48.86619949],[-122.56394196  -48.86816788]
29,11.27165296903497,11.000519155171842,10.379547303619432,[-89.4642334  -48.86480713],[-100.73588562  -48.86891174],[-111.73640442  -48.86611176],[-122.11595154  -48.8680687 ]
30,11.332001352848733,11.146767035662938,10.464584528606105,[-88.70302582 -48.86520386],[-100.03502655  -48.8689537 ],[-111.18179321  -48.86606979],[-121.64637756  -48.86800003]
