,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,9.207633972167969,9.207633972167969,9.2076416015625,[-100.          -48.86999893],[-109.20763397  -48.86999893],[-118.41526794  -48.86999893],[-127.62290955  -48.86999893]
1,9.207633972167969,9.207633972167969,9.2076416015625,[-100.          -48.86999893],[-109.20763397  -48.86999893],[-118.41526794  -48.86999893],[-127.62290955  -48.86999893]
2,9.207633972167969,9.207633972167969,9.2076416015625,[-100.          -48.86999893],[-109.20763397  -48.86999893],[-118.41526794  -48.86999893],[-127.62290955  -48.86999893]
3,9.209579467773438,9.2076416015625,9.207633972167969,[-99.99635315 -48.86999893],[-109.20593262  -48.86999893],[-118.41357422  -48.86999893],[-127.62120819  -48.86999893]
4,9.229682923442493,9.206260681155506,9.209045410220247,[-99.95761871 -48.86987686],[-109.18730164  -48.87001801],[-118.39356232  -48.87001038],[-127.60260773  -48.86997604]
5,9.257179260508563,9.25784302013159,9.209716797368769,[-99.87469482 -48.87005615],[-109.13187408  -48.87012482],[-118.3897171   -48.86990738],[-127.5994339   -48.87000275]
6,9.291816711489208,9.320053100598429,9.211410522915912,[-99.76821899 -48.86988831],[-109.06003571  -48.86992264],[-118.38008881  -48.86990738],[-127.59149933  -48.86999893]
7,9.337944030762499,9.378486633328711,9.21527862656918,[-99.63518524 -48.86982346],[-108.97312927  -48.86981964],[-118.35161591  -48.86984253],[-127.56689453  -48.86998367]
8,9.403038026079276,9.44204712063249,9.22303009038252,[-99.46208954 -48.86988068],[-108.86512756  -48.8697319 ],[-118.30717468  -48.86989975],[-127.53020477  -48.86993027]
9,9.48047638785586,9.500930797531206,9.236686706593384,[-99.25876617 -48.86988068],[-108.73924255  -48.86948013],[-118.24017334  -48.86994553],[-127.47686005  -48.86997604]
10,9.562812814382182,9.560241728455791,9.253372193769852,[-99.02732086 -48.86972046],[-108.59013367  -48.86930084],[-118.15037537  -48.87004852],[-127.40374756  -48.86988831]
11,9.651130676360753,9.619873061911925,9.281738281426378,[-98.76364136 -48.86936951],[-108.41477203  -48.86941147],[-118.03464508  -48.86994934],[-127.31638336  -48.86989212]
12,9.74931337383715,9.672607426106254,9.32386016880117,[-98.46864319 -48.8689003 ],[-108.21795654  -48.86951447],[-117.89056396  -48.86980057],[-127.21442413  -48.86988068]
13,9.852203454011013,9.728401184088762,9.365409854881014,[-98.14409637 -48.86832809],[-107.99629974  -48.86962128],[-117.72470093  -48.86960983],[-127.09011078  -48.86987686]
14,9.958458159829327,9.787567145522937,9.412635808807574,[-97.78945923 -48.86771393],[-107.74791718  -48.86977386],[-117.53548431  -48.86940765],[-126.94812012  -48.8697319 ]
15,10.070770651853891,9.845214869593311,9.466430671444193,[-97.4056015  -48.86712646],[-107.47637177  -48.86992264],[-117.32158661  -48.86920929],[-126.78801727  -48.86958313]
16,10.18701995926451,9.904579223952636,9.524040233538706,[-96.99347687 -48.86654282],[-107.18049622  -48.87007141],[-117.08507538  -48.86896896],[-126.6091156   -48.86943436]
17,10.301094920745454,9.972099419195708,9.585243241949971,[-96.55281067 -48.86600113],[-106.85390472  -48.870224  ],[-116.82600403  -48.86870956],[-126.41124725  -48.86927795]
18,10.414834213458253,10.047790712748398,9.64718629983011,[-96.08447266 -48.86549759],[-106.49930573  -48.8703804 ],[-116.54709625  -48.86845016],[-126.19428253  -48.86907959]
19,10.528108118536693,10.12963894354797,9.711273217634362,[-95.58874512 -48.86505127],[-106.11685181  -48.8705368 ],[-116.24649048  -48.86819077],[-125.95776367  -48.86887741]
20,10.632364069741346,10.214538937353511,9.782585169223923,[-95.07236481 -48.86467361],[-105.70472717  -48.87069321],[-115.91926575  -48.86796951],[-125.70185089  -48.86867142]
21,10.708345469516551,10.301887977884693,9.860504175644877,[-94.55651093 -48.86436462],[-105.26485443  -48.87084961],[-115.56674194  -48.86775208],[-125.42724609  -48.86845779]
22,10.778826012965203,10.388710585497945,9.945899991769764,[-94.02152252 -48.86413574],[-104.80034637  -48.87096024],[-115.1890564   -48.86753845],[-125.13495636  -48.86828995]
23,10.859476497603907,10.47367163347853,10.035621674735705,[-93.45198059 -48.86398315],[-104.31145477  -48.87107468],[-114.78512573  -48.8673172 ],[-124.82074738  -48.86811447]
24,10.944681675341386,10.556893175275869,10.127441439151672,[-92.85422516 -48.86391449],[-103.79890442  -48.8711853 ],[-114.35579681  -48.86712646],[-124.48323822  -48.86794281]
25,11.053003840609362,10.616318624154543,10.220611605479593,[-92.23236084 -48.86392975],[-103.28536224  -48.87126923],[-113.90167999  -48.86695862],[-124.12229156  -48.86778259]
26,11.172655581459997,10.669434544899035,10.31325534028838,[-91.58245087 -48.86403275],[-102.75510406  -48.87133026],[-113.42453766  -48.8668251 ],[-123.73779297  -48.86761475]
27,11.280771632641757,10.741463723999658,10.403770473370423,[-90.90353394 -48.86421585],[-102.18430328  -48.87139511],[-112.92576599  -48.86672211],[-123.32953644  -48.86746597]
28,11.379724706117953,10.833993057108259,10.48645784871123,[-90.19754028 -48.86448288],[-101.57726288  -48.87141418],[-112.41125488  -48.86663818],[-122.89771271  -48.86734772]
29,11.479532244613742,10.953019248128,10.546409625039303,[-89.4642334  -48.86480713],[-100.94376373  -48.87142944],[-111.89678192  -48.86661148],[-122.44319153  -48.86722946]
30,11.57531141938464,11.079362001203972,10.610900892732824,[-88.70302582 -48.86520386],[-100.27833557  -48.87141418],[-111.35769653  -48.8666153 ],[-121.96859741  -48.86715698]
31,11.660912965843957,11.201455158133783,10.696479806834661,[-87.91442108 -48.86565018],[-99.57533264 -48.87137604],[-110.7767868   -48.86665344],[-121.4732666   -48.86710358]
32,11.739617547137662,11.322625138071203,10.798347478602334,[-87.09934998 -48.86612701],[-98.83896637 -48.87133026],[-110.16159058  -48.86673737],[-120.95993805  -48.86708069]
33,11.812149955669163,11.444809799269501,10.932197573117572,[-86.25850677 -48.86661148],[-98.07065582 -48.87124252],[-109.51546478  -48.86685944],[-120.44766235  -48.8670845 ]
34,11.87590858894017,11.563393377169376,11.082031250443832,[-85.39253998 -48.86709976],[-97.26844788 -48.87115097],[-108.83184052  -48.86701965],[-119.91387177  -48.86711884]
35,11.930840042477183,11.675934472316454,11.227378845231046,[-84.50218201 -48.86759186],[-96.43302155 -48.87105942],[-108.10895538  -48.86721039],[-119.33633423  -48.86719131]
36,11.97792088493729,11.7834401577242,11.371971131609776,[-83.58824921 -48.86804581],[-95.56616974 -48.87095261],[-107.34960938  -48.8674469 ],[-118.72158051  -48.86727905]
37,12.016678085456116,11.884849956979563,11.523437503364757,[-82.65136719 -48.86846161],[-94.66804504 -48.87080765],[-106.55289459  -48.86769104],[-118.07633209  -48.86741257]
38,12.046913289041177,11.978294682223218,11.67527008743712,[-81.69223785 -48.86884689],[-93.739151   -48.87069702],[-105.71744537  -48.86797333],[-117.39271545  -48.86757278]
39,12.069091878960851,12.063614116763588,11.82077027472421,[-80.71157837 -48.86919022],[-92.78067017 -48.87059784],[-104.84428406  -48.86826706],[-116.66505432  -48.86775589]
40,12.083557171831998,12.14048782495136,11.962951674768437,[-79.71005249 -48.86948013],[-91.79360962 -48.87049866],[-103.93409729  -48.86856461],[-115.89704895  -48.86797333]
41,12.0903854550229,12.20807657969609,12.10134889234517,[-78.6883316  -48.86973953],[-90.77871704 -48.87039948],[-102.98679352  -48.86881638],[-115.0881424   -48.86820602]
42,12.089981082857504,12.266006531229904,12.231979385727927,[-77.64707947 -48.86999512],[-89.73706055 -48.87029648],[-102.00306702  -48.86906815],[-114.23504639  -48.86845016]
43,12.082801818857291,12.314285311228575,12.354286208550004,[-76.58690643 -48.87021255],[-88.66970825 -48.8701973 ],[-100.98399353  -48.86929703],[-113.33827972  -48.86869431]
44,12.06917572436791,12.352676406120285,12.468475354065978,[-75.508461   -48.87041473],[-87.57763672 -48.87009811],[-99.93031311 -48.86949921],[-112.39878845  -48.86894608]
45,12.049514785015026,12.380989078191337,12.57262421788577,[-74.41234589 -48.8705864 ],[-86.46186066 -48.86999512],[-98.84284973 -48.86970139],[-111.41547394  -48.86916733]
46,12.024345425144931,12.399353027372504,12.66553498456555,[-73.29914093 -48.8707428 ],[-85.32348633 -48.86993408],[-97.72283936 -48.86990738],[-110.38837433  -48.86936951]
47,11.994041482938465,12.408012391271974,12.747016915800252,[-72.16946411 -48.87086868],[-84.16350555 -48.86988831],[-96.57151794 -48.87005615],[-109.31853485  -48.8695755 ]
48,11.959075982126361,12.407829290531973,12.815353401063224,[-71.02383423 -48.87097168],[-82.98291016 -48.86983109],[-95.39073944 -48.87021255],[-108.20609283  -48.86977386]
49,11.920066901589397,12.398948681771495,12.871246343209418,[-69.86283875 -48.87105179],[-81.78290558 -48.86977768],[-94.18185425 -48.87033081],[-107.05310059  -48.86996078]
50,11.877533037057281,12.381378192868091,12.915992740791259,[-68.68698883 -48.87111282],[-80.56452179 -48.86975098],[-92.94589996 -48.87043762],[-105.8618927   -48.87011719]
51,11.831779565537904,12.355743432709643,12.94844055435612,[-67.49681854 -48.87116623],[-79.32859802 -48.86974335],[-91.68434143 -48.87052155],[-104.63278198  -48.87026215]
52,11.783195584301767,12.32267764036536,12.96847534349405,[-66.29283905 -48.87118912],[-78.07603455 -48.86974335],[-90.39871216 -48.87057495],[-103.3671875   -48.87036514]
53,11.732162565610713,12.282424958642489,12.976928711926547,[-65.0756073  -48.87119675],[-76.80776978 -48.86974335],[-89.0901947  -48.87062836],[-102.06712341  -48.87046814]
54,11.678962797954384,12.235641514030213,12.973587036900586,[-63.84562683 -48.87119675],[-75.52458954 -48.86974335],[-87.76023102 -48.87066269],[-100.73381805  -48.87052155]
55,11.623981566692686,12.182952915835228,12.958358764971855,[-62.6033287  -48.87119675],[-74.22731018 -48.86974335],[-86.41026306 -48.8706665 ],[-99.36862183 -48.87057495]
56,11.567581268543366,12.124832188463824,12.931800842467451,[-61.34915924 -48.87120056],[-72.91674042 -48.86974335],[-85.04157257 -48.8706665 ],[-97.97337341 -48.87059784]
57,11.510036561233884,12.0618362782954,12.894348144675705,[-60.08356857 -48.87120056],[-71.59360504 -48.86973953],[-83.65544128 -48.8706665 ],[-96.54978943 -48.87060547]
58,11.451656430900643,11.994506871757066,12.846397400047337,[-58.80695724 -48.87117004],[-70.25861359 -48.86973953],[-82.25312042 -48.8706665 ],[-95.09951782 -48.87060547]
59,11.392726982811844,11.923378026755904,12.788536071905357,[-57.5197258  -48.87112808],[-68.9124527  -48.86973953],[-80.83583069 -48.8706665 ],[-93.62436676 -48.87060928]
60,11.333492362717156,11.84895328332989,12.721481323370874,[-56.22227097 -48.87111664],[-67.55576324 -48.86973953],[-79.40471649 -48.8706665 ],[-92.12619781 -48.87060928]
61,11.274185264768594,11.771789587881756,12.645904541181904,[-54.91496277 -48.87111664],[-66.18914795 -48.86973953],[-77.9609375  -48.87067413],[-90.60684204 -48.87060928]
62,11.214996417364999,11.692420996825003,12.562500000167383,[-53.59818268 -48.87107468],[-64.81317902 -48.86973953],[-76.50559998 -48.87067413],[-89.06809998 -48.87060928]
63,11.156154709298125,11.611324347915959,12.472053528000629,[-52.27226257 -48.87104797],[-63.42841721 -48.86973953],[-75.03974152 -48.87067413],[-87.51179504 -48.87060928]
64,11.09781272972103,11.528972663614319,12.375358581712883,[-50.93755341 -48.87104797],[-62.03536606 -48.86973953],[-73.56433868 -48.87067413],[-85.93969727 -48.87060928]
65,11.040111619284323,11.445842781076951,12.273178101084511,[-49.5943985  -48.87104797],[-60.63451004 -48.86973953],[-72.08035278 -48.87067413],[-84.35353088 -48.87056351]
66,10.983203960519477,11.362350500445004,12.166313171703083,[-48.24309921 -48.87099838],[-59.2263031  -48.86973572],[-70.58865356 -48.87064743],[-82.75496674 -48.87055969]
67,10.927208018850369,11.278881109538847,12.055572510057736,[-46.88396835 -48.87099075],[-57.8111763  -48.86973572],[-69.09005737 -48.87064362],[-81.14562988 -48.87055969]
68,10.87221915813091,11.195838965034488,11.941696167287084,[-45.51729965 -48.87099075],[-56.38951874 -48.86973572],[-67.58535767 -48.87064362],[-79.52705383 -48.87055969]
69,10.818325112891976,11.113548312247673,11.825454712071574,[-44.14338303 -48.87099075],[-54.96170807 -48.86975861],[-66.07525635 -48.87062073],[-77.90071106 -48.87055969]
70,10.765590731838735,11.032341035629178,11.707557678344465,[-42.76249313 -48.87094498],[-53.5280838  -48.86977005],[-64.5604248 -48.8706131],[-76.26798248 -48.87055969]
71,10.71408850352979,10.95247271921368,11.58872604382423,[-41.37490082 -48.87093735],[-52.08898926 -48.86977005],[-63.04146194 -48.8706131 ],[-74.63018799 -48.87055969]
72,10.663864199630057,10.87420657564838,11.469612121706367,[-39.98085785 -48.87093735],[-50.64472198 -48.86977005],[-61.51892853 -48.8706131 ],[-72.98854065 -48.87055969]
