,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,28.245223999023438,28.245254516601562,28.245223999023438,[-100.          -48.86999893],[-128.245224    -48.86999893],[-156.49047852  -48.86999893],[-184.73570251  -48.86999893]
1,28.245223999023438,28.245254516601562,28.245223999023438,[-100.          -48.86999893],[-128.245224    -48.86999893],[-156.49047852  -48.86999893],[-184.73570251  -48.86999893]
2,28.245223999023438,28.245254516601562,28.245223999023438,[-100.          -48.86999893],[-128.245224    -48.86999893],[-156.49047852  -48.86999893],[-184.73570251  -48.86999893]
3,28.247177124023438,28.2452392578125,28.245208740234375,[-99.99635315 -48.86999893],[-128.24353027  -48.86999893],[-156.48876953  -48.86999893],[-184.73397827  -48.86999893]
4,28.266807556178083,28.24476623544456,28.246017456168286,[-99.95761871 -48.86987686],[-128.22442627  -48.86991501],[-156.4691925   -48.86998749],[-184.71520996  -48.86990738]
5,28.347381592059705,28.245559692976315,28.24620056152988,[-99.87469482 -48.87005615],[-128.22207642  -48.87017822],[-156.46763611  -48.86999512],[-184.71383667  -48.86997604]
6,28.445846559017856,28.244216919490412,28.248504638715403,[-99.76821899 -48.86988831],[-128.21406555  -48.87017059],[-156.45828247  -48.86999512],[-184.70678711  -48.86994553]
7,28.549095155319645,28.245651246343602,28.244674682791327,[-99.63518524 -48.86982346],[-128.1842804   -48.87011719],[-156.42993164  -48.86985397],[-184.67460632  -48.86995316]
8,28.669136048868005,28.261306765117688,28.276733399734614,[-99.46208954 -48.86988068],[-128.13122559  -48.87017441],[-156.39253235  -48.86980438],[-184.66926575  -48.87007523]
9,28.792030334876987,28.290695193713688,28.308578494789728,[-99.25876617 -48.86988068],[-128.05079651  -48.87003326],[-156.3414917  -48.8696022],[-184.65007019  -48.87005234]
10,28.910087586512546,28.32846069582609,28.330917360342312,[-99.02732086 -48.86972046],[-127.93740845  -48.86996841],[-156.26586914  -48.86959457],[-184.5967865   -48.86992645]
11,29.028160101792945,28.37842560075997,28.32743835613604,[-98.76364136 -48.86936951],[-127.79180145  -48.86998749],[-156.17022705  -48.8696022 ],[-184.49766541  -48.86990738]
12,29.146606462710928,28.446182251750297,28.397232057029463,[-98.46864319 -48.8689003 ],[-127.61524963  -48.86990738],[-156.06143188  -48.86969757],[-184.45866394  -48.8694191 ]
13,29.2616043463224,28.522583007877806,28.517272951669135,[-98.14409637 -48.86832809],[-127.40570068  -48.86980438],[-155.92828369  -48.86974335],[-184.44555664  -48.86936951]
14,29.372551031853252,28.605674743963927,28.67630005201088,[-97.78945923 -48.86771393],[-127.16201019  -48.8697052 ],[-155.76768494  -48.86983871],[-184.44398499  -48.86941147]
15,29.479393109329838,28.70111084176255,28.852722172771184,[-97.4056015  -48.86712646],[-126.88499451  -48.8696022 ],[-155.58610535  -48.86993408],[-184.43882751  -48.86940765]
16,29.5815125989034,28.804939275041356,29.031448371933152,[-96.99347687 -48.86654282],[-126.57498932  -48.86949921],[-155.37992859  -48.87003708],[-184.41137695  -48.86936951]
17,29.679214672161617,28.91424561484206,29.198562642452966,[-96.55281067 -48.86600113],[-126.23202515  -48.86940002],[-155.14627075  -48.87013626],[-184.34483337  -48.86904526]
18,29.77204156226585,29.030403152746487,29.349502578357203,[-96.08447266 -48.86549759],[-125.85651398  -48.8692894 ],[-154.88691711  -48.87023926],[-184.23641968  -48.86930466]
19,29.86071805922737,29.155014061149377,29.482391367793223,[-95.58874512 -48.86505127],[-125.44946289  -48.86918259],[-154.60447693  -48.87034225],[-184.08686829  -48.86956024]
20,29.939407671709464,29.28215792997325,29.602844247436522,[-95.07236481 -48.86467361],[-125.01177216  -48.86907196],[-154.29393005  -48.87044144],[-183.89677429  -48.8697052 ]
21,29.988106126812845,29.407562298676527,29.716079715558397,[-94.55651093 -48.86436462],[-124.5446167   -48.86896515],[-153.95217896  -48.87055206],[-183.66825867  -48.87008667]
22,30.02971686967485,29.52957158534044,29.81825256354708,[-94.02152252 -48.86413574],[-124.05123901  -48.8689003 ],[-153.58081055  -48.87065506],[-183.39906311  -48.87071991]
23,30.084938441852767,29.64266211044232,29.911346445570995,[-93.45198059 -48.86398315],[-123.53691864  -48.86884308],[-153.17958069  -48.87076187],[-183.09092712  -48.87153625]
24,30.168045436630337,29.727073742667578,29.99731449631992,[-92.85422516 -48.86391449],[-123.0222702   -48.86878204],[-152.74934387  -48.87086868],[-182.74665833  -48.87247849]
25,30.255096817950314,29.805984580896926,30.072082621755367,[-92.23236084 -48.86392975],[-122.48745728  -48.86874008],[-152.29344177  -48.87097549],[-182.36552429  -48.87345505]
26,30.32704198894623,29.90325174117865,30.136078063602874,[-91.58245087 -48.86403275],[-121.90949249  -48.86872482],[-151.81274414  -48.87108612],[-181.94882202  -48.87440491]
27,30.393806790280724,30.006355384344786,30.196319868461877,[-90.90353394 -48.86421585],[-121.29734039  -48.86871338],[-151.30369568  -48.87114716],[-181.50001526  -48.87532043]
28,30.464157399824227,30.12490854962471,30.2324680599738,[-90.19754028 -48.86448288],[-120.66169739  -48.86872482],[-150.78660583  -48.87120819],[-181.01907349  -48.87617874]
29,30.531967418859047,30.26641856143112,30.245407637851788,[-89.4642334  -48.86480713],[-119.99620056  -48.86875916],[-150.26261902  -48.87127304],[-180.50802612  -48.87695312]
30,30.591911526967966,30.412216288852168,30.286850633595257,[-88.70302582 -48.86520386],[-119.29493713  -48.8687973 ],[-149.70715332  -48.87129211],[-179.9940033   -48.87760544]
31,30.648231675057293,30.54585275869867,30.367493445190192,[-87.91442108 -48.86565018],[-118.56265259  -48.86886597],[-149.10850525  -48.87130737],[-179.47599792  -48.87814331]
32,30.70145429272472,30.67202004968272,30.456589604810517,[-87.09934998 -48.86612701],[-117.80080414  -48.8689537 ],[-148.4728241   -48.87131882],[-178.92941284  -48.8785553 ]
33,30.74861154651299,30.793266377802876,30.53781221526174,[-86.25850677 -48.86661148],[-117.00711823  -48.86904526],[-147.80038452  -48.87128448],[-178.3381958   -48.87884521]
34,30.78961188429777,30.904426645925863,30.612595589740184,[-85.39253998 -48.86709976],[-116.18215179  -48.86914444],[-147.08657837  -48.87124252],[-177.69917297  -48.87900925]
35,30.825531049705795,31.004653992182202,30.69247536439693,[-84.50218201 -48.86759186],[-115.32771301  -48.86923599],[-146.33236694  -48.87118912],[-177.02484131  -48.87902069]
36,30.855567959068438,31.096283008926342,30.77761939202274,[-83.58824921 -48.86804581],[-114.44381714  -48.86933517],[-145.5401001   -48.87109756],[-176.31771851  -48.87887955]
37,30.879371658387935,31.178382913147544,30.862183548930798,[-82.65136719 -48.86846161],[-113.53073883  -48.86943436],[-144.7091217   -48.87100601],[-175.57130432  -48.87858963]
38,30.897338874817315,31.249870330635815,30.946259390120286,[-81.69223785 -48.86884689],[-112.58957672  -48.86953354],[-143.83944702  -48.87091064],[-174.78570557  -48.87814331]
39,30.90962219555028,31.311370872084847,31.030731939085243,[-80.71157837 -48.86919022],[-111.62120056  -48.86963272],[-142.93257141  -48.87081909],[-173.96330261  -48.87758636]
40,30.916046143634592,31.363342299771805,31.112778333586256,[-79.71005249 -48.86948013],[-110.62609863  -48.86973572],[-141.98944092  -48.87069321],[-173.10221863  -48.87692261]
41,30.916877746621804,31.40522767134989,31.190842177511968,[-78.6883316  -48.86973953],[-109.60520935  -48.86978912],[-141.01043701  -48.87059021],[-172.20127869  -48.87619019]
42,30.912406921763317,31.437278754168855,31.26495400235275,[-77.64707947 -48.86999512],[-108.55948639  -48.86984253],[-139.99676514  -48.87048721],[-171.26171875  -48.87541962]
43,30.902824403516778,31.45996094140858,31.333816816489303,[-76.58690643 -48.87021255],[-107.48973083  -48.86989212],[-138.94969177  -48.87038803],[-170.2835083  -48.8746376]
44,30.888359073446136,31.473297121055015,31.39613362849545,[-75.508461   -48.87041473],[-106.39682007  -48.86994171],[-137.87011719  -48.87028885],[-169.26625061  -48.87388229]
45,30.869323736278567,31.477546692543825,31.451431411575236,[-74.41234589 -48.8705864 ],[-105.28166962  -48.86998749],[-136.75921631  -48.87018967],[-168.21064758  -48.87312698]
46,30.846000679286107,31.473159790067037,31.49899300559174,[-73.29914093 -48.8707428 ],[-104.1451416   -48.87004471],[-135.61830139  -48.87008667],[-167.11729431  -48.87240982]
47,30.818679819395403,31.460739135923504,31.537612963433148,[-72.16946411 -48.87086868],[-102.98814392  -48.87009048],[-134.44888306  -48.86998367],[-165.98649597  -48.8717308 ]
48,30.787727367085413,31.44109344554994,31.567550680903,[-71.02383423 -48.87097168],[-101.81156158  -48.87014389],[-133.25265503  -48.86993027],[-164.82020569  -48.87110138]
49,30.753486645278134,31.414329530404174,31.58949280490537,[-69.86283875 -48.87105179],[-100.61632538  -48.87019348],[-132.03065491  -48.86987686],[-163.62014771  -48.87054443]
50,30.716415418243777,31.380699160174657,31.60247802817259,[-68.68698883 -48.87111282],[-99.40340424 -48.87022018],[-130.78410339  -48.86982727],[-162.38658142  -48.87005615]
