,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,11.127517700195312,11.127517700195312,11.127517700195312,[-100.          -48.86999893],[-111.1275177   -48.86999893],[-122.2550354   -48.86999893],[-133.3825531   -48.86999893],0.0,0.0,0.0,0.0
1,11.127517700195312,11.127517700195312,11.127517700195312,[-100.          -48.86999893],[-111.1275177   -48.86999893],[-122.2550354   -48.86999893],[-133.3825531   -48.86999893],0.0,0.0,0.0,0.0
2,11.127517700195312,11.127517700195312,11.127517700195312,[-100.          -48.86999893],[-111.1275177   -48.86999893],[-122.2550354   -48.86999893],[-133.3825531   -48.86999893],0.0,0.0,0.0,0.0
3,11.129463195800781,11.127517700195312,11.127510070800781,[-99.99635315 -48.86999893],[-111.12581635  -48.86999893],[-122.25333405  -48.86999893],[-133.38084412  -48.86999893],0.09550646767510092,0.047724678950465296,0.047723621005902196,0.047724209567797576
4,11.148971558462973,11.127265930887862,11.126068115611053,[-99.95761871 -48.86987686],[-111.10659027  -48.87001419],[-122.2338562   -48.86988831],[-133.35992432  -48.86997986],0.6344096147787697,0.3709246604612074,0.3211657576775936,0.39599780412134816
5,11.230125427298573,11.125900269708284,11.06961822869698,[-99.87469482 -48.87005615],[-111.10482025  -48.87002182],[-122.23072052  -48.8698616 ],[-133.30033875  -48.87014389],0.9771261277643981,2.8226830650087505e-05,3.276206018739094e-05,0.7623539597060377
6,11.325286866113892,11.125991821917518,11.069702148916662,[-99.76821899 -48.86988831],[-111.09350586  -48.87002945],[-122.21949768  -48.86991119],[-133.28919983  -48.87001419],1.1549958715889934,0.24793669995729695,0.18826369946683646,9.021917957757632e-05
7,11.426239014323935,11.126846313476562,11.09157562303681,[-99.63518524 -48.86982346],[-111.06142426  -48.86994553],[-122.18827057  -48.86994553],[-133.27984619  -48.87004852],1.4964319537163493,0.4047655761289369,0.3728802204272937,0.13028667115666903
8,11.553199769125063,11.131927490610856,11.130920410502043,[-99.46208954 -48.86988068],[-111.01528931  -48.87003708],[-122.1472168   -48.86994553],[-133.27813721  -48.87003326],1.8566167310947361,0.5631329013331138,0.421420941611494,1.2066637971578903e-05
9,11.681526184306884,11.150199890264616,11.18235015948847,[-99.25876617 -48.86988068],[-110.94029236  -48.86995316],[-122.09049225  -48.86989975],[-133.27284241  -48.87003326],2.141087684251594,0.9274280098978912,0.6756744042588672,0.0703951026286334
10,11.799034118830559,11.185829164424804,11.237602233918444,[-99.02732086 -48.86972046],[-110.82635498  -48.86978531],[-122.01218414  -48.86998749],[-133.24978638  -48.87001419],2.4428016868805393,1.2670435503039972,0.8344708582064252,0.3485443295770252
11,11.916168217619076,11.2381439232292,11.28590393085038,[-98.76364136 -48.86936951],[-110.67980957  -48.8697052 ],[-121.91795349  -48.86993408],[-133.20385742  -48.86999893],2.7707990968181186,1.5897344459601226,1.048167706340768,0.5246195949809391
12,12.030281091086676,11.306480414541959,11.336502076327477,[-98.46864319 -48.8689003 ],[-110.49892426  -48.86966324],[-121.80540466  -48.87005615],[-133.14190674  -48.86989594],3.0741923335910686,1.9441973232184344,1.238379246735517,0.6984255345713054
13,12.139389105752153,11.389907843956914,11.384040832726612,[-98.14409637 -48.86832809],[-110.28348541  -48.86960983],[-121.67339325  -48.87001038],[-133.05743408  -48.86994171],3.3736433217850994,2.2800960915677497,1.4503055461702,0.9657027056766275
14,12.246574541032079,11.482086188626937,11.43187713696622,[-97.78945923 -48.86771393],[-110.03603363  -48.86956024],[-121.51811981  -48.86996078],[-132.94999695  -48.86983109],3.6790065973712633,2.5973511092707264,1.69055466356908,1.1672880048075551
15,12.355003586240148,11.578025824932112,11.483741761594578,[-97.4056015  -48.86712646],[-109.76060486  -48.86950684],[-121.33863068  -48.86991119],[-132.82237244  -48.86973572],3.9638094489314057,2.8874883994948553,1.928464101090826,1.391763758391603
16,12.459541660768105,11.682106025064517,11.536491396707637,[-96.99347687 -48.86654282],[-109.45301819  -48.86945343],[-121.13512421  -48.86985779],[-132.6716156   -48.86960983],4.250201561666419,3.232072383903358,2.1697252278643147,1.639965364475061
17,12.557922823249406,11.796119697003258,11.591835029987497,[-96.55281067 -48.86600113],[-109.11073303  -48.86940002],[-120.90685272  -48.8698082 ],[-132.49868774  -48.86937714],4.532191860723149,3.566913153872615,2.4157112156290914,1.8515104025519427
18,12.65203915853869,11.916587836711578,11.651405351268412,[-96.08447266 -48.86549759],[-108.73651123  -48.8693428 ],[-120.65309906  -48.86975479],[-132.30450439  -48.86912918],4.806607682034843,3.8823454581212977,2.6533611314757066,2.06691928988869
19,12.741997469960868,12.043998725439206,11.713455229445227,[-95.58874512 -48.86505127],[-108.33074188  -48.8692894 ],[-120.3747406  -48.8697052],[-132.0881958   -48.86887741],5.08073741636747,4.199756158284398,2.9067702763872423,2.283968654339192
20,12.821305131678457,12.17404175527858,11.782615706638035,[-95.07236481 -48.86467361],[-107.89366913  -48.86923218],[-120.06771088  -48.86965179],[-131.85032654  -48.86862183],5.162348555072909,4.507747180680191,3.2132781018300447,2.4959282458019056
21,12.87073608743936,12.302429204898791,11.861007755223762,[-94.55651093 -48.86436462],[-107.42724609  -48.86922836],[-119.72967529  -48.8696022 ],[-131.59068298  -48.86836243],5.215997136552218,4.787096025619516,3.5161853255773567,2.699702871961137
22,12.912995384470088,12.427383427283043,11.948768707866476,[-94.02152252 -48.86413574],[-106.93451691  -48.86921692],[-119.36190033  -48.8695488 ],[-131.31066895  -48.86806488],5.508047725290404,5.039008144601927,3.815894403588148,2.8998123122279806
23,12.968682390004215,12.543075564699942,12.04334270943129,[-93.45198059 -48.86398315],[-106.42066193  -48.8692131 ],[-118.96373749  -48.86949539],[-131.00708008  -48.86780167],5.847900410837453,5.1320786489832075,4.119173080787934,3.1583008123637066
24,13.052254797093306,12.629814150092864,12.140632785885991,[-92.85422516 -48.86391449],[-105.90647888  -48.86920929],[-118.53629303  -48.86944199],[-130.67692566  -48.86749268],6.095802317439978,5.171179771678704,4.396116280082552,3.417544235272138
