,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,10.971450805664062,10.971466064453125,10.971466064453125,[-100.          -48.86999893],[-110.97145081  -48.86999893],[-121.94291687  -48.86999893],[-132.91438293  -48.86999893]
1,10.971450805664062,10.971466064453125,10.971466064453125,[-100.          -48.86999893],[-110.97145081  -48.86999893],[-121.94291687  -48.86999893],[-132.91438293  -48.86999893]
2,10.971450805664062,10.971466064453125,10.971466064453125,[-100.          -48.86999893],[-110.97145081  -48.86999893],[-121.94291687  -48.86999893],[-132.91438293  -48.86999893]
3,10.973403930664062,10.971458435058594,10.976219177246094,[-99.99635315 -48.86999893],[-110.96975708  -48.86999893],[-121.94121552  -48.86999893],[-132.91743469  -48.86999893]
4,10.992553710938163,10.970535279663348,10.993690490776265,[-99.95761871 -48.86987686],[-110.95017242  -48.86988068],[-121.9207077   -48.87005234],[-132.91439819  -48.87001801]
5,11.070732117214483,10.972137451894024,10.967063904048095,[-99.87469482 -48.87005615],[-110.94542694  -48.86994934],[-121.91756439  -48.87007523],[-132.8846283   -48.87000275]
6,11.168167114289735,10.973823548532863,10.926368714060796,[-99.76821899 -48.86988831],[-110.93638611  -48.86991501],[-121.91020966  -48.87007523],[-132.83657837  -48.86995316]
7,11.271316530644215,10.971534729009875,10.908248901421215,[-99.63518524 -48.86982346],[-110.90650177  -48.87005234],[-121.8780365   -48.87006378],[-132.7862854   -48.87002945]
8,11.396141052452954,10.940849304311609,10.933952333555943,[-99.46208954 -48.86988068],[-110.85823059  -48.86994934],[-121.7990799   -48.86989975],[-132.73303223  -48.87010956]
9,11.523307801157372,10.989257823178967,10.897048950436352,[-99.25876617 -48.86988068],[-110.78207397  -48.86973953],[-121.77133179  -48.870224  ],[-132.66838074  -48.87015152]
10,11.645027162399629,11.093368534366807,10.892242431640625,[-99.02732086 -48.86972046],[-110.67234802  -48.86992264],[-121.76571655  -48.870224  ],[-132.65795898  -48.870224  ]
11,11.766143808801989,11.210121161146521,10.910789489748762,[-98.76364136 -48.86936951],[-110.52978516  -48.86985397],[-121.73990631  -48.87023163],[-132.6506958  -48.870224 ]
12,11.886863738935249,11.347068791145537,10.94609069930572,[-98.46864319 -48.8689003 ],[-110.3555069   -48.86975098],[-121.70257568  -48.87007141],[-132.64866638  -48.870224  ]
13,12.004417488268523,11.494834914334836,11.000480651909044,[-98.14409637 -48.86832809],[-110.14851379  -48.86961365],[-121.64334869  -48.87018967],[-132.64382935  -48.870224  ]
14,12.117103702617152,11.640571618250263,11.074783325747836,[-97.78945923 -48.86771393],[-109.90656281  -48.86946106],[-121.5471344   -48.87020874],[-132.62191772  -48.87009811]
15,12.225410656830906,11.787345926683779,11.156135564844812,[-97.4056015  -48.86712646],[-109.63101196  -48.86931229],[-121.41835785  -48.87028885],[-132.57449341  -48.86993027]
16,12.32862881776959,11.933143642868304,11.250686645653323,[-96.99347687 -48.86654282],[-109.32210541  -48.8691597 ],[-121.25524902  -48.8699646 ],[-132.50593567  -48.87002182]
17,12.426857357271087,12.0702057091075,11.359107972667209,[-96.55281067 -48.86600113],[-108.97966766  -48.8690033 ],[-121.04987335  -48.86970901],[-132.40898132  -48.86989212]
18,12.51989790384993,12.205093398296752,11.472793582120952,[-96.08447266 -48.86549759],[-108.60437012  -48.86882782],[-120.8094635   -48.86942291],[-132.28225708  -48.86968613]
19,12.60846762175984,12.340263374908965,11.585189831645513,[-95.58874512 -48.86505127],[-108.19721222  -48.86867142],[-120.53747559  -48.86912155],[-132.12266541  -48.86965561]
20,12.686638458834226,12.46754455860595,11.705703764620846,[-95.07236481 -48.86467361],[-107.75900269  -48.8685112 ],[-120.22654724  -48.86878204],[-131.93225098  -48.86960983]
21,12.734573985805374,12.58557128931745,11.835166985746769,[-94.55651093 -48.86436462],[-107.29108429  -48.86834335],[-119.87665558  -48.86842346],[-131.71182251  -48.86956024]
22,12.775246321005126,12.69475555530883,11.968040554096422,[-94.02152252 -48.86413574],[-106.79676819  -48.8682251 ],[-119.49152374  -48.86805725],[-131.45956421  -48.86950684]
23,12.831558891381897,12.787490850416464,12.107574585665606,[-93.45198059 -48.86398315],[-106.28353882  -48.86811066],[-119.07102966  -48.86772919],[-131.17860413  -48.86945343]
24,12.916733445115613,12.846298233380757,12.246757670453384,[-92.85422516 -48.86391449],[-105.77095795  -48.86803436],[-118.61725616  -48.86740112],[-130.86401367  -48.86940002]
25,13.003761919002969,12.898201017074134,12.379928789313334,[-92.23236084 -48.86392975],[-105.23612213  -48.86796951],[-118.13432312  -48.86711502],[-130.51425171  -48.8693428 ]
26,13.076218235963054,12.965301559254282,12.50609612304577,[-91.58245087 -48.86403275],[-104.65866852  -48.86794281],[-117.62397003  -48.86685562],[-130.13006592  -48.8692894 ]
27,13.144432591922639,13.060081545580555,12.604355126107922,[-90.90353394 -48.86421585],[-104.047966    -48.86792755],[-117.10804749  -48.86663818],[-129.71240234  -48.86923599]
28,13.214905242100134,13.165840232982182,12.685310660284648,[-90.19754028 -48.86448288],[-103.41244507  -48.86795807],[-116.57828522  -48.86647034],[-129.26359558  -48.8692131 ]
29,13.281662371090261,13.26469431670876,12.77609284963943,[-89.4642334  -48.86480713],[-102.74589539  -48.86800003],[-116.0105896   -48.86634827],[-128.78668213  -48.86920929]
30,13.341369939779707,13.358764771325953,12.876091336712784,[-88.70302582 -48.86520386],[-102.04439545  -48.86808395],[-115.4031601   -48.86627197],[-128.2792511   -48.86920166]
31,13.397712948403532,13.450752396799137,12.996193264065747,[-87.91442108 -48.86565018],[-101.31213379  -48.86819077],[-114.76288605  -48.86626053],[-127.75907898  -48.86919785]
32,13.45039385685494,13.536041410756335,13.14678986709206,[-87.09934998 -48.86612701],[-100.54974365  -48.86832809],[-114.08578491  -48.8663063 ],[-127.23257446  -48.86919022]
33,13.496948370040963,13.613006748230688,13.30525999441065,[-86.25850677 -48.86661148],[-99.75545502 -48.86846924],[-113.36846161  -48.86640549],[-126.67372131  -48.86918259]
34,13.537742699027985,13.684112701585821,13.450966135904581,[-85.39253998 -48.86709976],[-98.93028259 -48.86861038],[-112.61439514  -48.8665657 ],[-126.06536102  -48.86918259]
35,13.5733566822848,13.748886257051678,13.589660863832695,[-84.50218201 -48.86759186],[-98.07553864 -48.86880112],[-111.82442474  -48.86677933],[-125.41408539  -48.86922073]
36,13.603012116285557,13.806068555344087,13.725570859505531,[-83.58824921 -48.86804581],[-97.19126129 -48.86896896],[-110.99732971  -48.86703873],[-124.72290039  -48.86926651]
37,13.626541153308686,13.856369135043048,13.850258017228178,[-82.65136719 -48.86846161],[-96.27790833 -48.86911392],[-110.13427734  -48.8673172 ],[-123.98453522  -48.86931229]
38,13.644302374616506,13.900039770087915,13.957939255392821,[-81.69223785 -48.86884689],[-95.33654022 -48.86926651],[-109.2365799   -48.86762238],[-123.19451904  -48.86935425]
39,13.656311037074298,13.936523513683765,14.052078321053527,[-80.71157837 -48.86919022],[-94.3678894 -48.8694191],[-108.30441284  -48.86796188],[-122.35649109  -48.86940384]
40,13.662521362586405,13.96588140823643,14.139762928830292,[-79.71005249 -48.86948013],[-93.37257385 -48.86956787],[-107.3384552   -48.86826706],[-121.47821808  -48.86946106]
41,13.663192749036751,13.988372850488206,14.219047581244574,[-78.6883316  -48.86973953],[-92.35152435 -48.86972046],[-106.33989716  -48.86856461],[-120.5589447   -48.86956024]
42,13.65853118999616,14.00393680057259,14.287117023958533,[-77.64707947 -48.86999512],[-91.30561066 -48.86982727],[-105.30954742  -48.86886597],[-119.59666443  -48.86961365]
43,13.648742678700431,14.012573264868637,14.346405039237258,[-76.58690643 -48.87021255],[-90.23564911 -48.86993027],[-104.24822235  -48.869133  ],[-118.59462738  -48.86966705]
44,13.634086614223312,14.014488235042972,14.39696503059327,[-75.508461   -48.87041473],[-89.14254761 -48.87003326],[-103.15703583  -48.86938858],[-117.55400085  -48.86971664]
45,13.614868171503662,14.00980378088518,14.436706543551363,[-74.41234589 -48.8705864 ],[-88.02721405 -48.87013626],[-102.03701782  -48.86963654],[-116.47372437  -48.86976624]
46,13.591362010154752,13.998588566702585,14.466140747102502,[-73.29914093 -48.8707428 ],[-86.89050293 -48.87020493],[-100.88909149  -48.86984253],[-115.35523224  -48.86981201]
47,13.563842787342121,13.98130035581544,14.48701477148015,[-72.16946411 -48.87086868],[-85.73330688 -48.87025452],[-99.71460724 -48.87002945],[-114.20162201  -48.8698616 ]
48,13.532646195477401,13.958633423385324,14.498588564541489,[-71.02383423 -48.87097168],[-84.55648041 -48.87030792],[-98.51511383 -48.87018585],[-113.01370239  -48.86991501]
49,13.498138445393673,13.930526733461637,14.499931339789223,[-69.86283875 -48.87105179],[-83.36097717 -48.87036133],[-97.29150391 -48.87031937],[-111.79143524  -48.8699646 ]
50,13.460800189800208,13.897003173861632,14.491249090438025,[-68.68698883 -48.87111282],[-82.147789   -48.87039948],[-96.04479218 -48.87042999],[-110.53604126  -48.87001419]
51,13.420875571219296,13.858604431563954,14.474609381647817,[-67.49681854 -48.87116623],[-80.91769409 -48.87039948],[-94.77629852 -48.87050629],[-109.2509079  -48.8700676]
52,13.378593467903068,13.81567382901029,14.45026398382611,[-66.29283905 -48.87118912],[-79.6714325  -48.87040329],[-93.48710632 -48.87055969],[-107.9373703   -48.87011719]
53,13.334182762865336,13.768440248180598,14.41790772285553,[-65.0756073  -48.87119675],[-78.40979004 -48.87040329],[-92.17823029 -48.8706131 ],[-106.596138    -48.87013245]
54,13.287933373299065,13.71723175239781,14.378181466071634,[-63.84562683 -48.87119675],[-77.13356018 -48.87040329],[-90.85079193 -48.87063217],[-105.22897339  -48.87013626]
55,13.240100884370978,13.662483217379155,14.331535348201436,[-62.6033287  -48.87119675],[-75.84342957 -48.87040329],[-89.50591278 -48.8706398 ],[-103.83744812  -48.87013626]
56,13.190956139816521,13.60453796592303,14.27806855135956,[-61.34915924 -48.87120056],[-74.54011536 -48.87040329],[-88.14465332 -48.8706398 ],[-102.42272186  -48.87013626]
57,13.14072802101213,13.543746950307257,14.218193063115702,[-60.08356857 -48.87120056],[-73.22429657 -48.87040329],[-86.76804352 -48.8706398 ],[-100.98623657  -48.87013626]
58,13.089656852291101,13.480506899047414,14.152420052903235,[-58.80695724 -48.87117004],[-71.89661407 -48.87040329],[-85.37712097 -48.8706398 ],[-99.52954102 -48.87013626]
59,13.037975331425221,13.41513824678157,14.081192025741727,[-57.5197258  -48.87112808],[-70.55770111 -48.87040329],[-83.97283936 -48.87064362],[-98.05403137 -48.87013626]
60,12.985874195618447,13.348014833706458,14.004905709873546,[-56.22227097 -48.87111664],[-69.20814514 -48.87040329],[-82.55615997 -48.87064362],[-96.56106567 -48.87013626]
61,12.93356325167563,13.279449464929403,13.924110421840934,[-54.91496277 -48.87111664],[-67.848526   -48.87041092],[-81.12797546 -48.87064362],[-95.05208588 -48.87013626]
62,12.881179826671765,13.20977783408078,13.839370736838937,[-53.59818268 -48.87107468],[-66.47936249 -48.87041092],[-79.68914032 -48.87064362],[-93.52851105 -48.87013626]
63,12.828933731637619,13.139282228623026,13.751136789144704,[-52.27226257 -48.87104797],[-65.10119629 -48.87041092],[-78.24047852 -48.87064362],[-91.9916153  -48.87013626]
64,12.776935593274256,13.068309785939896,13.659828195316114,[-50.93755341 -48.87104797],[-63.71448898 -48.87041092],[-76.78279877 -48.8706398 ],[-90.44262695 -48.87013626]
65,12.725326554032026,12.997100831314754,13.565750129665531,[-49.5943985  -48.87104797],[-62.31972504 -48.87041092],[-75.31682587 -48.87059021],[-88.88257599 -48.87013626]
66,12.674228683842083,12.925964357297595,13.469795234572086,[-48.24309921 -48.87099838],[-60.91732788 -48.87036896],[-73.84329224 -48.8705864 ],[-87.31308746 -48.87013626]
67,12.623748794798939,12.855136873241902,13.37256623072052,[-46.88396835 -48.87099075],[-59.50771713 -48.87036514],[-72.362854  -48.8705864],[-85.73542023 -48.87013626]
68,12.573993698424733,12.784790040976988,13.2743835525539,[-45.51729965 -48.87099075],[-58.09129333 -48.87036514],[-70.87608337 -48.8705864 ],[-84.15046692 -48.87013626]
69,12.525032059081274,12.715061189669127,13.175865181028936,[-44.14338303 -48.87099075],[-56.66841507 -48.87036514],[-69.38347626 -48.8705864 ],[-82.55934143 -48.87013626]
70,12.47694016850245,12.646362306622944,13.07727814495409,[-42.76249313 -48.87094498],[-55.23943329 -48.87036514],[-67.88579559 -48.8705864 ],[-80.96307373 -48.87013626]
71,12.429779065905088,12.57886505321536,12.978981025872137,[-41.37490082 -48.87093735],[-53.80467987 -48.87036514],[-66.38354492 -48.8705864 ],[-79.36252594 -48.87013626]
72,12.38361360184537,12.512672427165693,12.881416328665633,[-39.98085785 -48.87093735],[-52.36447144 -48.87031937],[-64.87714386 -48.8705864 ],[-77.75856018 -48.87013626]
73,12.338470474652032,12.447944643147963,12.784923559861255,[-38.580616   -48.87093735],[-50.91908646 -48.87031555],[-63.3670311  -48.87054062],[-76.15195465 -48.87013626]
74,12.294403090390123,12.38484573561889,12.689624792698451,[-37.17440796 -48.87090683],[-49.46881104 -48.87031555],[-61.85365677 -48.8705368 ],[-74.54328156 -48.87013626]
75,12.251419081467434,12.323459627230298,12.596138006856696,[-35.76247025 -48.87090302],[-48.01388931 -48.87031555],[-60.33734894 -48.8705368 ],[-72.93348694 -48.87013626]
76,12.209548964328235,12.263858797161825,12.504756933905188,[-34.34502411 -48.87090302],[-46.55457306 -48.87031555],[-58.81843185 -48.8705368 ],[-71.32318878 -48.87013626]
77,12.168796551363084,12.206134798147826,12.415637976431702,[-32.92228317 -48.87085724],[-45.09107971 -48.87031555],[-57.29721451 -48.8705368 ],[-69.71285248 -48.87013626]
78,12.129161846642873,12.150363924133591,12.329013830969286,[-31.49445724 -48.87085342],[-43.62361908 -48.87031555],[-55.773983  -48.8705368],[-68.10299683 -48.87013626]
79,12.090650570435743,12.096549989816381,12.2451667851154,[-30.06174278 -48.87085342],[-42.15239334 -48.87031555],[-54.24894333 -48.8705368 ],[-66.49411011 -48.87013626]
80,12.053262722572464,12.044750215585694,12.164184576782047,[-28.62433052 -48.87085342],[-40.67759323 -48.87031555],[-52.72234344 -48.87053299],[-64.88652802 -48.87013626]
81,12.016992581007123,11.994960786086457,12.086219792582854,[-27.18240166 -48.87085342],[-39.19939423 -48.87031555],[-51.19435501 -48.8704834 ],[-63.2805748  -48.87013626]
82,11.981824885781702,11.947196961737884,12.01139832044594,[-25.7361393  -48.87081909],[-37.71796417 -48.87030792],[-49.66516113 -48.8704834 ],[-61.67655945 -48.87013626]
83,11.947742473256897,11.901432038881895,11.93984222916741,[-24.28571701 -48.87080765],[-36.23345947 -48.87029266],[-48.13489151 -48.8704834 ],[-60.07473373 -48.87013626]
84,11.914720546407773,11.857685090645345,11.871547704049954,[-22.83129311 -48.87080765],[-34.74601364 -48.87029266],[-46.60369873 -48.8704834 ],[-58.47524643 -48.87013626]
85,11.882755290700407,11.81591034089491,11.806587224341552,[-21.3730278  -48.87080765],[-33.25578308 -48.87029266],[-45.07169342 -48.8704834 ],[-56.87828064 -48.87013626]
86,11.851814280879001,11.776073457355196,11.744945531253101,[-19.91106796 -48.87080002],[-31.76288223 -48.87029266],[-43.53895569 -48.8704834 ],[-55.28390121 -48.87013626]
87,11.821880350503012,11.738132478820555,11.686664586454466,[-18.44556808 -48.87075043],[-30.26744843 -48.87026596],[-42.0055809 -48.8704834],[-53.69224548 -48.87013626]
88,11.792922983584027,11.702049257391218,11.631740575248342,[-16.9766655  -48.87075043],[-28.76958847 -48.87026596],[-40.47163773 -48.8704834 ],[-52.1033783  -48.87013626]
89,11.764926920375286,11.66774940693329,11.580131535964787,[-15.50449181 -48.87075043],[-27.26941872 -48.87026596],[-38.93716812 -48.8704834 ],[-50.51729965 -48.87013626]
90,11.737854013904153,11.635210039263173,11.531768804053014,[-14.02917671 -48.87075043],[-25.76703072 -48.87026596],[-37.40224075 -48.8704834 ],[-48.93400955 -48.87013626]
91,11.711682329661357,11.604345322924955,11.48661041655089,[-12.55085087 -48.87075043],[-24.26253319 -48.87026596],[-35.86687851 -48.87043762],[-47.35348892 -48.87013626]
92,11.686391840486266,11.575096131588039,11.444568637901146,[-11.06962776 -48.87075043],[-22.75601959 -48.87026596],[-34.33111572 -48.87043381],[-45.77568436 -48.87013626]
93,11.661948214103505,11.547403336791152,11.405536655492506,[ -9.58562374 -48.87075043],[-21.24757195 -48.87026596],[-32.79497528 -48.87043381],[-44.20051193 -48.87013626]
94,11.638331421393778,11.521196366579083,11.369424823839795,[ -8.09895039 -48.87070084],[-19.7372818  -48.87026596],[-31.25847816 -48.87043381],[-42.62790298 -48.87013626]
95,11.61551571692184,11.49640274170379,11.336128238668739,[ -6.60971165 -48.87069702],[-18.22522736 -48.87026596],[-29.7216301  -48.87043381],[-41.05775833 -48.87014008]
96,11.593463907511193,11.472967149815945,11.305519107819666,[ -5.11801338 -48.87069702],[-16.71147728 -48.87022018],[-28.18444443 -48.87043381],[-39.48996353 -48.87014008]
97,11.572160015393626,11.450811388101043,11.277488712321338,[ -3.62395167 -48.87069702],[-15.19611168 -48.87022018],[-26.64692307 -48.87043381],[-37.92441177 -48.87014008]
98,11.551574001617189,11.429876329510943,11.251897815723593,[ -2.12762141 -48.87069702],[-13.6791954  -48.87022018],[-25.10907173 -48.87043381],[-36.36096954 -48.87014008]
99,11.531685540998023,11.410088541123292,11.22862434771396,[ -0.62911254 -48.87069702],[-12.16079807 -48.87022018],[-23.57088661 -48.87043381],[-34.79951096 -48.87014008]
100,11.512465605299933,11.391386987781848,11.207532886539552,[  0.87148678 -48.87067795],[-10.64097881 -48.87022018],[-22.0323658  -48.87043381],[-33.23989868 -48.87014008]
101,11.493894585990677,11.373703958077913,11.188497546431073,[  2.37409306 -48.87067413],[ -9.11980152 -48.87022018],[-20.49350548 -48.87040329],[-31.68200302 -48.87014008]
