,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,8.281509399414062,8.281501770019531,8.281517028808594,[-100.          -48.86999893],[-108.2815094   -48.86999893],[-116.56301117  -48.86999893],[-124.8445282   -48.86999893],0.0,0.0,0.0,0.0
1,8.281509399414062,8.281501770019531,8.281517028808594,[-100.          -48.86999893],[-108.2815094   -48.86999893],[-116.56301117  -48.86999893],[-124.8445282   -48.86999893],0.0,0.0,0.0,0.0
2,8.281509399414062,8.281501770019531,8.281517028808594,[-100.          -48.86999893],[-108.2815094   -48.86999893],[-116.56301117  -48.86999893],[-124.8445282   -48.86999893],0.0,0.0,0.0,0.0
3,8.283462524414062,8.281501770019531,8.281509399414062,[-99.99635315 -48.86999893],[-108.27981567  -48.86999893],[-116.56131744  -48.86999893],[-124.84282684  -48.86999893],0.09550646767510092,0.047723971178695014,0.047724392093146675,0.04772420961746055
4,8.303558349665455,8.280265808492981,8.281417848304198,[-99.95761871 -48.86987686],[-108.26117706  -48.86984634],[-116.54144287  -48.86992645],[-124.82286072  -48.87009048],0.6344096147787697,0.35857280649308343,0.3461670884656397,0.3366650586220962
5,8.384109497073784,8.280517579602067,8.227684021424107,[-99.87469482 -48.87005615],[-108.25880432  -48.87004852],[-116.5393219   -48.87020493],[-124.76700592  -48.87028885],0.9771261277643981,2.9188395730869578e-05,2.9866970733077104e-05,0.7104800240549292
6,8.479568482750418,8.283096315177165,8.224632264330106,[-99.76821899 -48.86988831],[-108.24778748  -48.87003708],[-116.53088379  -48.87020493],[-124.75551605  -48.8700676 ],1.1549958715889934,0.17466942064327826,0.16045934519588712,8.881719208119932e-05
7,8.58148193823667,8.286926269848209,8.251922608163408,[-99.63518524 -48.86982346],[-108.21666718  -48.87010574],[-116.50359344  -48.87017822],[-124.75551605  -48.8700676 ],1.4964319537163493,0.3757952342202466,0.31844577063751617,3.010750729927845e-05
8,8.703277593649842,8.299949647261943,8.286796569838266,[-99.46208954 -48.86988068],[-108.16536713  -48.8701973 ],[-116.46531677  -48.87005234],[-124.75211334  -48.8700676 ],1.8566167310947361,0.6287452774812672,0.43560166434690634,0.008674084373005788
9,8.824241638698933,8.330078125734577,8.329345703156447,[-99.25876617 -48.86988068],[-108.08300781  -48.86997604],[-116.41308594  -48.87008667],[-124.74243164  -48.87010956],2.141087684251594,0.9771910256736404,0.5888071080228091,0.18806101620846177
10,8.939628610219192,8.372024536146718,8.367477417139142,[-99.02732086 -48.86972046],[-107.96694946  -48.87012482],[-116.338974    -48.87010956],[-124.70645142  -48.87015915],2.4428016868805393,1.3190970612623754,0.7978096230261964,0.5292504406629246
11,9.05577851961894,8.423828125940608,8.395286560228461,[-98.76364136 -48.86936951],[-107.81941986  -48.86991119],[-116.24324799  -48.87003708],[-124.63853455  -48.87009048],2.7707990968181186,1.6502179375464798,1.064809565172007,0.8145148232986493
12,9.170288126104762,8.48969268813312,8.42562866363268,[-98.46864319 -48.8689003 ],[-107.63893127  -48.86975861],[-116.12862396  -48.8698082 ],[-124.55425262  -48.86996841],3.0741923335910686,1.9778444880961217,1.225693622053831,0.9286975487423685
