,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,19.91075897216797,19.91077423095703,19.9107666015625,[-100.          -48.86999893],[-119.91075897  -48.86999893],[-139.8215332   -48.86999893],[-159.7322998   -48.86999893]
1,19.91075897216797,19.91077423095703,19.9107666015625,[-100.          -48.86999893],[-119.91075897  -48.86999893],[-139.8215332   -48.86999893],[-159.7322998   -48.86999893]
2,19.91075897216797,19.91077423095703,19.9107666015625,[-100.          -48.86999893],[-119.91075897  -48.86999893],[-139.8215332   -48.86999893],[-159.7322998   -48.86999893]
3,19.912704467773438,19.9107666015625,19.910781860351562,[-99.99635315 -48.86999893],[-119.90905762  -48.86999893],[-139.81982422  -48.86999893],[-159.73060608  -48.86999893]
4,19.93162536624744,19.910179138220137,19.910675049075156,[-99.95761871 -48.86987686],[-119.88924408  -48.86991501],[-139.79942322  -48.86995316],[-159.71009827  -48.87005234]
5,20.0121841431104,19.91095733710145,19.909072876476877,[-99.87469482 -48.87005615],[-119.88687897  -48.87009811],[-139.7978363   -48.86993408],[-159.70690918  -48.87007523]
6,20.110633851075953,19.911827087929993,19.916244507283466,[-99.76821899 -48.86988831],[-119.87885284  -48.87008667],[-139.79067993  -48.86994171],[-159.70692444  -48.87007523]
7,20.215400697564398,19.91304016204628,19.94006347733461,[-99.63518524 -48.86982346],[-119.85058594  -48.87009048],[-139.7636261   -48.86989975],[-159.70368958  -48.87007523]
8,20.337440492735066,19.92504882814837,19.964340210334132,[-99.46208954 -48.86988068],[-119.79953003  -48.87016678],[-139.72457886  -48.87013626],[-159.68891907  -48.87001419]
9,20.459152221938943,19.949790956533402,19.98379516746071,[-99.25876617 -48.86988068],[-119.7179184   -48.86998367],[-139.66770935  -48.87026215],[-159.65150452  -48.87002182]
10,20.576492313036,19.986930847313584,20.007843017659948,[-99.02732086 -48.86972046],[-119.60381317  -48.87009811],[-139.59074402  -48.87017441],[-159.59858704  -48.87023163]
11,20.694801335216102,20.040443421145362,20.027938843145446,[-98.76364136 -48.86936951],[-119.45844269  -48.8698082 ],[-139.49888611  -48.86997986],[-159.52682495  -48.87010193]
12,20.809150710783012,20.108833313892852,20.049041748543697,[-98.46864319 -48.8689003 ],[-119.27779388  -48.86968994],[-139.3866272   -48.86988068],[-159.43566895  -48.87002182]
13,20.920013462905192,20.18643951695139,20.080429077209672,[-98.14409637 -48.86832809],[-119.0641098   -48.86954117],[-139.25054932  -48.86987686],[-159.33097839  -48.86992645]
14,21.029457158964473,20.274040228047866,20.121643066510753,[-97.78945923 -48.86771393],[-118.81891632  -48.86938858],[-139.09295654  -48.86987686],[-159.21459961  -48.86981201]
15,21.138801678071413,20.36747742768385,20.167190555511386,[-97.4056015  -48.86712646],[-118.54440308  -48.86921692],[-138.91188049  -48.86987686],[-159.07907104  -48.86948776]
16,21.243095541326692,20.46911622909299,20.2171020588788,[-96.99347687 -48.86654282],[-118.23657227  -48.86901093],[-138.70568848  -48.86987305],[-158.92279053  -48.86930084]
17,21.34227771052686,20.57944491498785,20.274948132004212,[-96.55281067 -48.86600113],[-117.8950882   -48.86880112],[-138.47453308  -48.86990738],[-158.7494812  -48.8692131]
18,21.437408677154284,20.695602456211954,20.33859253778107,[-96.08447266 -48.86549759],[-117.5218811   -48.86863708],[-138.21748352  -48.86991119],[-158.55607605  -48.86932373]
