,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,7.423065185546875,7.423057556152344,7.423065185546875,[-100.          -48.86999893],[-107.42306519  -48.86999893],[-114.84612274  -48.86999893],[-122.26918793  -48.86999893]
1,7.423065185546875,7.423057556152344,7.423065185546875,[-100.          -48.86999893],[-107.42306519  -48.86999893],[-114.84612274  -48.86999893],[-122.26918793  -48.86999893]
2,7.423065185546875,7.423057556152344,7.423065185546875,[-100.          -48.86999893],[-107.42306519  -48.86999893],[-114.84612274  -48.86999893],[-122.26918793  -48.86999893]
3,7.425010681152344,7.423057556152344,7.423065185546875,[-99.99635315 -48.86999893],[-107.42136383  -48.86999893],[-114.84442139  -48.86999893],[-122.26748657  -48.86999893]
4,7.44499969504411,7.42127228136154,7.423088073731449,[-99.95761871 -48.86987686],[-107.40261841  -48.86981964],[-114.82389069  -48.87004852],[-122.24697876  -48.87005234]
5,7.524124150246197,7.421958928708122,7.4230346679697305,[-99.87469482 -48.87005615],[-107.39881897  -48.86978912],[-114.82077789  -48.87007141],[-122.24381256  -48.87007523]
6,7.617591859148033,7.427528388259667,7.4231262207041055,[-99.76821899 -48.86988831],[-107.38581085  -48.86975098],[-114.81333923  -48.87007141],[-122.23646545  -48.87007523]
7,7.718421938683128,7.435089127361462,7.4226760864346035,[-99.63518524 -48.86982346],[-107.35360718  -48.86962128],[-114.78869629  -48.87010956],[-122.21137238  -48.870121  ]
8,7.8377227816622845,7.45257570796613,7.422767639592434,[-99.46208954 -48.86988068],[-107.29981232  -48.86965179],[-114.752388    -48.87025452],[-122.17515564  -48.87017441]
9,7.958908084799211,7.482193007401506,7.423690796462975,[-99.25876617 -48.86988068],[-107.21767426  -48.86963654],[-114.69986725  -48.87009811],[-122.12355804  -48.87018967]
10,8.07633972254545,7.523475661842794,7.4280090333686655,[-99.02732086 -48.86972046],[-107.10366058  -48.8696022 ],[-114.62713623  -48.87007523],[-122.05514526  -48.87012482]
11,8.193267828833577,7.578559880888682,7.437828064317987,[-98.76364136 -48.86936951],[-106.95690918  -48.86969757],[-114.53546906  -48.86998367],[-121.97329712  -48.87005615]
12,8.305908241389462,7.652465827182024,7.4532165542192015,[-98.46864319 -48.8689003 ],[-106.77455139  -48.86969757],[-114.42701721  -48.87002182],[-121.88023376  -48.87017059]
13,8.417915455635539,7.731872563608522,7.47771453957059,[-98.14409637 -48.86832809],[-106.56201172  -48.86969757],[-114.29388428  -48.86997604],[-121.77159882  -48.87009811]
14,8.527908555898884,7.817672729902629,7.507904055994449,[-97.78945923 -48.86771393],[-106.31736755  -48.86969757],[-114.13504028  -48.86977768],[-121.64294434  -48.86999893]
15,8.637268449084294,7.912544251371966,7.543090831983987,[-97.4056015  -48.86712646],[-106.04286957  -48.86969757],[-113.95541382  -48.86957932],[-121.49850464  -48.86999893]
16,8.741959187400143,8.015647895373638,7.586166407318495,[-96.99347687 -48.86654282],[-105.73543549  -48.86969757],[-113.75108337  -48.86935806],[-121.33724976  -48.86997986]
17,8.841873938427922,8.124900838834167,7.638336226083167,[-96.55281067 -48.86600113],[-105.39468384  -48.86968994],[-113.51958466  -48.86910629],[-121.15792084  -48.86993027]
18,8.937539130230938,8.240379375843926,7.698936530787837,[-96.08447266 -48.86549759],[-105.0220108   -48.86968994],[-113.26239014  -48.86885452],[-120.9613266   -48.86988068]
19,9.02868771504357,8.363838266957613,7.766052343234532,[-95.58874512 -48.86505127],[-104.61743164  -48.86968994],[-112.98126984  -48.86859894],[-120.74732208  -48.86982727]
20,9.109506078776342,8.488899337761197,7.843223703626776,[-95.07236481 -48.86467361],[-104.18186951  -48.86968613],[-112.67076874  -48.86833954],[-120.51399231  -48.86977768]
21,9.160401936320998,8.612732084037493,7.930832085987093,[-94.55651093 -48.86436462],[-103.71691132  -48.86968613],[-112.32964325  -48.86807632],[-120.26047516  -48.86975098]
22,9.2040803455556,8.733597001785068,8.028106910625517,[-94.02152252 -48.86413574],[-103.2256012   -48.86968231],[-111.959198    -48.86781311],[-119.98730469  -48.86969757]
23,9.261247481104217,8.84521510263536,8.13673429122026,[-93.45198059 -48.86398315],[-102.71322632  -48.86968231],[-111.55844116  -48.86754227],[-119.69517517  -48.86968613]
24,9.34639154786682,8.928123796547984,8.250274995023764,[-92.85422516 -48.86391449],[-102.20061493  -48.8696785 ],[-111.1287384   -48.86727905],[-119.37901306  -48.86963654]
25,9.43533500324842,9.00571479893118,8.363945403681214,[-92.23236084 -48.86392975],[-101.66769409  -48.8696785 ],[-110.67340851  -48.86705399],[-119.03735352  -48.86962891]
26,9.508889916139937,9.101746039679362,8.47814223451681,[-91.58245087 -48.86403275],[-101.09133911  -48.86967087],[-110.19308472  -48.86685944],[-118.6712265   -48.86962128]
27,9.577050808939852,9.203888421646118,8.595985910547048,[-90.90353394 -48.86421585],[-100.48058319  -48.86967087],[-109.68447113  -48.86669159],[-118.28045654  -48.86961746]
28,9.648728809696772,9.321579495411465,8.694794230061591,[-90.19754028 -48.86448288],[-99.8462677  -48.86966705],[-109.16784668  -48.8665657 ],[-117.86264038  -48.86959839]
29,9.717728897455002,9.462296079971702,8.77500207528283,[-89.4642334  -48.86480713],[-99.18196106 -48.86970901],[-108.64425659  -48.86648941],[-117.41925812  -48.86959457]
30,9.778641797203846,9.607483472879759,8.865158639668358,[-88.70302582 -48.86520386],[-98.48166656 -48.86973572],[-108.08914948  -48.86644745],[-116.95430756  -48.86959457]
31,9.835739993796041,9.740700332144902,8.97421319697283,[-87.91442108 -48.86565018],[-97.75016022 -48.86975861],[-107.49085999  -48.86644363],[-116.46507263  -48.86958694]
32,9.889641493221696,9.866463264407995,9.095093298309074,[-87.09934998 -48.86612701],[-96.98899078 -48.8698082 ],[-106.85545349  -48.86649323],[-115.95054626  -48.86958313]
33,9.937309782997872,9.987412020431726,9.251869685044733,[-86.25850677 -48.86661148],[-96.19581604 -48.86981964],[-106.18322754  -48.86659241],[-115.43509674  -48.86958313]
34,9.978310003079358,10.098679059246617,9.441749999317262,[-85.39253998 -48.86709976],[-95.37084961 -48.86982346],[-105.4695282   -48.86674118],[-114.91127777  -48.86957932]
35,10.012924444719278,10.200226243172878,9.63913763162208,[-84.50218201 -48.86759186],[-94.5151062  -48.86983109],[-104.71533203  -48.8669281 ],[-114.3544693  -48.8695755]
36,10.04168717866088,10.29286229482159,9.820350941972562,[-83.58824921 -48.86804581],[-93.62993622 -48.86987686],[-103.92279816  -48.86716843],[-113.7431488  -48.8695755]
37,10.06477366122998,10.37508421148717,9.980041729282107,[-82.65136719 -48.86846161],[-92.71614075 -48.86989212],[-103.09122467  -48.8674469 ],[-113.07126617  -48.86956787]
38,10.08198552820979,10.446594462195405,10.135528736110107,[-81.69223785 -48.86884689],[-91.77422333 -48.86989594],[-102.22081757  -48.867733  ],[-112.35634613  -48.86959839]
39,10.09345248102395,10.508140737067723,10.290832643066873,[-80.71157837 -48.86919022],[-90.80503082 -48.86993408],[-101.31317139  -48.86802673],[-111.60400391  -48.86962128]
40,10.09935761587997,10.559608585104025,10.435340967738725,[-79.71005249 -48.86948013],[-89.8094101  -48.86994934],[-100.36901855  -48.86832047],[-110.80435944  -48.86966324]
41,10.099823000226099,10.600769126568242,10.56536107888575,[-78.6883316  -48.86973953],[-88.7881546  -48.86994934],[-99.38892365 -48.86861801],[-109.95428467  -48.8697052 ]
42,10.094970703228789,10.632095389802519,10.681243931585419,[-77.64707947 -48.86999512],[-87.74205017 -48.86994934],[-98.37414551 -48.86888885],[-109.0553894   -48.86975479]
43,10.085121157558428,10.65390017894034,10.787506123469443,[-76.58690643 -48.87021255],[-86.67202759 -48.86997604],[-97.32592773 -48.86914444],[-108.11343384  -48.86980057]
44,10.070465097280294,10.666259781802799,10.883285530258837,[-75.508461   -48.87041473],[-85.57892609 -48.86997986],[-96.24518585 -48.8693924 ],[-107.12847137  -48.86980438]
45,10.051284808339558,10.669502263947924,10.965690614518785,[-74.41234589 -48.8705864 ],[-84.46363068 -48.86997986],[-95.13313293 -48.86963272],[-106.09882355  -48.86982727]
46,10.027885463759223,10.664085389565223,11.035743713444838,[-73.29914093 -48.8707428 ],[-83.32702637 -48.87001038],[-93.99111176 -48.86983871],[-105.02685547  -48.86987686]
