,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,15.159164428710938,15.1591796875,15.1591796875,[-100.          -48.86999893],[-115.15916443  -48.86999893],[-130.31834412  -48.86999893],[-145.4775238   -48.86999893]
1,15.159164428710938,15.1591796875,15.1591796875,[-100.          -48.86999893],[-115.15916443  -48.86999893],[-130.31834412  -48.86999893],[-145.4775238   -48.86999893]
2,15.159164428710938,15.1591796875,15.1591796875,[-100.          -48.86999893],[-115.15916443  -48.86999893],[-130.31834412  -48.86999893],[-145.4775238   -48.86999893]
3,15.161117553710938,15.159164428710938,15.1591796875,[-99.99635315 -48.86999893],[-115.1574707   -48.86999893],[-130.31663513  -48.86999893],[-145.47581482  -48.86999893]
4,15.180259704601827,15.158767700243311,15.158493042342101,[-99.95761871 -48.86987686],[-115.13787842  -48.86989594],[-130.29664612  -48.86993408],[-145.45513916  -48.87003708]
5,15.259941101593455,15.160438537628371,15.158737182967096,[-99.87469482 -48.87005615],[-115.13463593  -48.86993027],[-130.29507446  -48.86989975],[-145.45381165  -48.87000275]
6,15.358078002941532,15.161361694337858,15.1661529544513,[-99.76821899 -48.86988831],[-115.126297    -48.86990738],[-130.28765869  -48.86989975],[-145.45381165  -48.87000275]
7,15.462074279832214,15.16511535649329,15.188201905355104,[-99.63518524 -48.86982346],[-115.09725952  -48.8698616 ],[-130.26237488  -48.86982346],[-145.45057678  -48.87000275]
8,15.58717346277716,15.175300598152203,15.211990359506459,[-99.46208954 -48.86988068],[-115.049263    -48.86971664],[-130.2245636  -48.8697319],[-145.43655396  -48.87003708]
9,15.711013794649705,15.202613830624317,15.22497558666438,[-99.25876617 -48.86988068],[-114.96977997  -48.8697319 ],[-130.1723938   -48.86977386],[-145.39736938  -48.86992264]
10,15.8254623413748,15.247512817451527,15.24288940601528,[-99.02732086 -48.86972046],[-114.8527832   -48.86976624],[-130.10029602  -48.86972046],[-145.34318542  -48.86994934]
11,15.94146728936259,15.302871704353082,15.262420657822723,[-98.76364136 -48.86936951],[-114.70510864  -48.86973572],[-130.00798035  -48.86964798],[-145.270401    -48.86997604]
12,16.059989942758513,15.36565399209745,15.2870941181,[-98.46864319 -48.8689003 ],[-114.52863312  -48.86956024],[-129.89428711  -48.86967087],[-145.18138123  -48.86991119]
13,16.172645601644845,15.4455261272983,15.31224060182186,[-98.14409637 -48.86832809],[-114.31674194  -48.86935806],[-129.76226807  -48.86972046],[-145.07450867  -48.86991501]
14,16.28170782786206,15.535934460231458,15.345870972682949,[-97.78945923 -48.86771393],[-114.07116699  -48.8691597 ],[-129.60710144  -48.86977005],[-144.95297241  -48.86994553]
15,16.392944436925543,15.627540614310162,15.382568359545752,[-97.4056015  -48.86712646],[-113.79854584  -48.86894608],[-129.42608643  -48.86984634],[-144.80865479  -48.86977386]
16,16.498993059703317,15.72920994997205,15.422012333819467,[-96.99347687 -48.86654282],[-113.49246979  -48.86869049],[-129.22167969  -48.86994553],[-144.64369202  -48.86956406]
17,16.598457514295205,15.840995871147472,15.469726579479103,[-96.55281067 -48.86600113],[-113.15126801  -48.86843109],[-128.99226379  -48.87004852],[-144.46199036  -48.86932373]
18,16.69423697631579,15.957267877973955,15.52514652138057,[-96.08447266 -48.86549759],[-112.77870941  -48.86821365],[-128.73597717  -48.87014389],[-144.26112366  -48.86907196]
19,16.78534724253609,16.081703344062806,15.584487980692906,[-95.58874512 -48.86505127],[-112.3740921  -48.8679924],[-128.45579529  -48.87024689],[-144.0402832   -48.86881638]
20,16.865364360560356,16.208954061339593,15.653747660397444,[-95.07236481 -48.86467361],[-111.93772888  -48.86777878],[-128.14668274  -48.87034988],[-143.8004303   -48.86856461]
21,16.91544372463786,16.334915415708466,15.733352812440481,[-94.55651093 -48.86436462],[-111.47195435  -48.86757278],[-127.80686951  -48.8704567 ],[-143.54022217  -48.86827469]
22,16.95816071477355,16.457863157097943,15.824066365445882,[-94.02152252 -48.86413574],[-110.97968292  -48.86740112],[-127.43754578  -48.87055969],[-143.26161194  -48.86802292]
23,17.014137585086306,16.57186924504159,15.925285609536973,[-93.45198059 -48.86398315],[-110.46611786  -48.86726761],[-127.03798676  -48.8706665 ],[-142.96327209  -48.867733  ]
24,17.097969362632142,16.657165919075716,16.03024326031896,[-92.85422516 -48.86391449],[-109.95219421  -48.86715698],[-126.60935974  -48.8707695 ],[-142.63960266  -48.86746597]
25,17.18544798173242,16.737129639217656,16.13603252178754,[-92.23236084 -48.86392975],[-109.41780853  -48.86708069],[-126.15493774  -48.87086487],[-142.29096985  -48.86719513]
26,17.257370258913376,16.835586993091372,16.243065371409585,[-91.58245087 -48.86403275],[-108.83982086  -48.86705017],[-125.67540741  -48.87092209],[-141.91847229  -48.8669281 ]
27,17.323913806701118,16.939964749220984,16.354332537296013,[-90.90353394 -48.86421585],[-108.22744751  -48.86705399],[-125.1674118   -48.87097931],[-141.52174377  -48.86667252]
28,17.39395161172161,17.059807280604787,16.446922944607742,[-90.19754028 -48.86448288],[-107.5914917   -48.86709213],[-124.65129852  -48.87104034],[-141.09822083  -48.86644363]
29,17.46128098344702,17.202553239780418,16.52121042488419,[-89.4642334  -48.86480713],[-106.92551422  -48.86717606],[-124.12806702  -48.87108612],[-140.64927673  -48.86624908]
30,17.5205766026732,17.349502978668863,16.607209006109123,[-88.70302582 -48.86520386],[-106.22360229  -48.86730194],[-123.57310486  -48.87109756],[-140.18031311  -48.86609268]
31,17.576133821036027,17.48419227645407,16.71688921862147,[-87.91442108 -48.86565018],[-105.49055481  -48.86745834],[-122.9747467   -48.87111282],[-139.69163513  -48.86597061]
32,17.62852484532462,17.61119876892285,16.838906147835853,[-87.09934998 -48.86612701],[-104.72787476  -48.86764145],[-122.33907318  -48.87112045],[-139.17797852  -48.86588669]
33,17.67477421448012,17.733093555379824,16.99408803814921,[-86.25850677 -48.86661148],[-103.93328094  -48.86786652],[-121.66637421  -48.87109375],[-138.66046143  -48.86581802]
34,17.71482089022599,17.84471917674033,17.169869242691195,[-85.39253998 -48.86709976],[-103.10736084  -48.86810303],[-120.95207977  -48.87105179],[-138.12194824  -48.86589813]
35,17.749748245889013,17.945205887149083,17.340874432824183,[-84.50218201 -48.86759186],[-102.25193024  -48.86834335],[-120.19713593  -48.87101364],[-137.53800964  -48.86603546]
36,17.778816231396622,18.03688827612594,17.49825346244015,[-83.58824921 -48.86804581],[-101.36706543  -48.86858749],[-119.40395355  -48.87094116],[-136.90220642  -48.8663826 ]
37,17.801635746112886,18.11881267298623,17.662727932460438,[-82.65136719 -48.86846161],[-100.45300293  -48.86883545],[-118.57181549  -48.87084961],[-136.23454285  -48.86633682]
38,17.81864166378836,18.189926227027197,17.82904111011483,[-81.69223785 -48.86884689],[-99.51087952 -48.86905289],[-117.70080566  -48.87075424],[-135.52984619  -48.86619568]
