,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
0,7.720222473144531,7.720222473144531,7.72021484375,[-100.          -48.86999893],[-107.72022247  -48.86999893],[-115.44044495  -48.86999893],[-123.16065979  -48.86999893],0.0
1,7.720222473144531,7.720222473144531,7.72021484375,[-100.          -48.86999893],[-107.72022247  -48.86999893],[-115.44044495  -48.86999893],[-123.16065979  -48.86999893],0.0
2,7.720222473144531,7.720222473144531,7.72021484375,[-100.          -48.86999893],[-107.72022247  -48.86999893],[-115.44044495  -48.86999893],[-123.16065979  -48.86999893],0.0
3,7.72216796875,7.7202301025390625,7.720207214355469,[-99.99635315 -48.86999893],[-107.71852112  -48.86999893],[-115.43875122  -48.86999893],[-123.15895844  -48.86999893],0.09550646767510092
4,7.742271423399989,7.7188949589947375,7.719749451370685,[-99.95761871 -48.86987686],[-107.69989014  -48.86984634],[-115.4187851   -48.86993408],[-123.13853455  -48.87003708],0.6344096147787697
5,7.822822570804502,7.719688417035375,7.720069886102132,[-99.87469482 -48.87005615],[-107.6975174   -48.87004852],[-115.41720581  -48.86989594],[-123.1372757   -48.87001038],0.9771261277643981
6,7.9184265149298,7.72314453240407,7.720138550652906,[-99.76821899 -48.86988831],[-107.68664551  -48.87002945],[-115.40979004  -48.86989594],[-123.12992859  -48.87001038],1.1549958715889934
7,8.019073486655671,7.730209350890898,7.711906435559436,[-99.63518524 -48.86982346],[-107.65425873  -48.86989594],[-115.38446808  -48.86982727],[-123.09637451  -48.87002182],1.4964319537163493
8,8.142585755367627,7.741989135743127,7.744232178579955,[-99.46208954 -48.86988068],[-107.60467529  -48.86975479],[-115.34666443  -48.86975861],[-123.09089661  -48.86987305],1.8566167310947361
9,8.26554870612599,7.767379760788088,7.780395507827462,[-99.25876617 -48.86988068],[-107.52431488  -48.86991501],[-115.29169464  -48.86988831],[-123.07209015  -48.86987305],2.141087684251594
10,8.377929691515792,7.811286926720362,7.851715087923985,[-99.02732086 -48.86972046],[-107.40525055  -48.86997986],[-115.21653748  -48.86989594],[-123.06825256  -48.86987305],2.4428016868805393
