,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,8.650543212890625,8.650550842285156,8.650543212890625,[-100.          -48.86999893],[-108.65054321  -48.86999893],[-117.30109406  -48.86999893],[-125.95163727  -48.86999893]
1,8.650543212890625,8.650550842285156,8.650543212890625,[-100.          -48.86999893],[-108.65054321  -48.86999893],[-117.30109406  -48.86999893],[-125.95163727  -48.86999893]
2,8.650543212890625,8.650550842285156,8.650543212890625,[-100.          -48.86999893],[-108.65054321  -48.86999893],[-117.30109406  -48.86999893],[-125.95163727  -48.86999893]
3,8.652488708496094,8.650550842285156,8.650543212890625,[-99.99635315 -48.86999893],[-108.64884186  -48.86999893],[-117.2993927   -48.86999893],[-125.94993591  -48.86999893]
4,8.672508239759518,8.649276733769415,8.650772094734132,[-99.95761871 -48.86987686],[-108.63012695  -48.8698616 ],[-117.27940369  -48.86994171],[-125.93017578  -48.86995316]
5,8.752998352071563,8.650146486154846,8.649063110453353,[-99.87469482 -48.87005615],[-108.62769318  -48.87007523],[-117.27783966  -48.86989975],[-125.92690277  -48.86994171]
6,8.849212648971577,8.652992250808843,8.648437500121148,[-99.76821899 -48.86988831],[-108.61743164  -48.87009811],[-117.27042389  -48.86989975],[-125.91886139  -48.86994553]
7,8.951835637789415,8.657539369693627,8.647087097383375,[-99.63518524 -48.86982346],[-108.58702087  -48.87013626],[-117.24456024  -48.86994934],[-125.89164734  -48.86988831]
8,9.074737552869905,8.67021942610716,8.642791748148738,[-99.46208954 -48.86988068],[-108.53682709  -48.87015152],[-117.20704651  -48.86986542],[-125.84983826  -48.86982346]
9,9.19788361017252,8.699256898519138,8.640258791518063,[-99.25876617 -48.86988068],[-108.45664978  -48.87015915],[-117.15590668  -48.86999512],[-125.79616547  -48.86978912]
10,9.311843872682903,8.745025635035196,8.644165039335217,[-99.02732086 -48.86972046],[-108.33916473  -48.86982727],[-117.08419037  -48.86975861],[-125.72835541  -48.86968994]
11,9.427253727145544,8.804763794184133,8.646919253517504,[-98.76364136 -48.86936951],[-108.19089508  -48.86964417],[-116.99565887  -48.86957932],[-125.64257812  -48.8698082 ]
12,9.545387300413186,8.868362426839857,8.662147525856685,[-98.46864319 -48.8689003 ],[-108.01403046  -48.86968613],[-116.88239288  -48.86964798],[-125.54454041  -48.86990738]
13,9.65840921412622,8.943061829499277,8.690490722991143,[-98.14409637 -48.86832809],[-107.80250549  -48.86968613],[-116.74556732  -48.86981201],[-125.43605804  -48.86988831]
