,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
0,14.765296936035156,14.765312194824219,14.765304565429688,[-100.          -48.86999893],[-114.76529694  -48.86999893],[-129.53060913  -48.86999893],[-144.2959137   -48.86999893],0.0
1,14.765296936035156,14.765312194824219,14.765304565429688,[-100.          -48.86999893],[-114.76529694  -48.86999893],[-129.53060913  -48.86999893],[-144.2959137   -48.86999893],0.0
2,14.765296936035156,14.765312194824219,14.765304565429688,[-100.          -48.86999893],[-114.76529694  -48.86999893],[-129.53060913  -48.86999893],[-144.2959137   -48.86999893],0.0
3,14.767250061035156,14.765296936035156,14.76531982421875,[-99.99635315 -48.86999893],[-114.76360321  -48.86999893],[-129.52890015  -48.86999893],[-144.29421997  -48.86999893],0.09550646767510092
4,14.786773682243396,14.76451873799009,14.76519775454489,[-99.95761871 -48.86987686],[-114.7443924   -48.87001038],[-129.50891113  -48.86993408],[-144.27410889  -48.87007141],0.6344096147787697
5,14.815338134814736,14.817306519026582,14.76245117479722,[-99.87469482 -48.87005615],[-114.69003296  -48.87001801],[-129.50733948  -48.86989975],[-144.26979065  -48.87019348],0.9771261277643981
6,14.848945617707141,14.882759094297436,14.758575442608317,[-99.76821899 -48.86988831],[-114.61716461  -48.86985779],[-129.49992371  -48.86989975],[-144.25849915  -48.87020493],1.1549958715889934
7,14.898124694824707,14.93978881837155,14.754440312848876,[-99.63518524 -48.86982346],[-114.53330994  -48.86982727],[-129.47309875  -48.86984634],[-144.22753906  -48.87023926],1.4964319537163493
8,14.966674805628674,15.002128602191647,14.755661013515853,[-99.46208954 -48.86988068],[-114.42876434  -48.87004852],[-129.43089294  -48.86986542],[-144.18655396  -48.87015152],1.8566167310947361
9,15.041091918993686,15.066627503138742,14.768875122072282,[-99.25876617 -48.86988068],[-114.29985809  -48.86984253],[-129.3664856   -48.86998749],[-144.13536072  -48.86997986],2.141087684251594
10,15.123222351091538,15.125411988605425,14.78657531782567,[-99.02732086 -48.86972046],[-114.15054321  -48.86974335],[-129.2759552   -48.86994171],[-144.06253052  -48.86982727],2.4428016868805393
11,15.214698793982993,15.180564882396112,14.812637330052524,[-98.76364136 -48.86936951],[-113.97834015  -48.86964417],[-129.15890503  -48.86989212],[-143.97154236  -48.86972427],2.7707990968181186
12,15.312126173239475,15.2356796292963,14.851211548292493,[-98.46864319 -48.8689003 ],[-113.78076935  -48.86954498],[-129.01644897  -48.86983871],[-143.86766052  -48.86972427],3.0741923335910686
13,15.414459268762075,15.291435245639477,14.901535035124976,[-98.14409637 -48.86832809],[-113.5585556   -48.86944199],[-128.84999084  -48.86978912],[-143.75152588  -48.86962128],3.3736433217850994
14,15.521522606643464,15.349052433477366,14.956466676120117,[-97.78945923 -48.86771393],[-113.31098175  -48.86933517],[-128.66003418  -48.86969757],[-143.61650085  -48.86949921],3.6790065973712633
15,15.633979932569959,15.406921392227103,15.013488770791767,[-97.4056015  -48.86712646],[-113.0395813   -48.86918259],[-128.44650269  -48.86959457],[-143.45999146  -48.86940002],3.9638094489314057
16,15.749824726993783,15.46656799885628,15.07588195992334,[-96.99347687 -48.86654282],[-112.74330139  -48.86907196],[-128.20986938  -48.86949158],[-143.28575134  -48.86925125],4.250201561666419
17,15.863746910780423,15.533996589233205,15.141120913420147,[-96.55281067 -48.86600113],[-112.41655731  -48.86891556],[-127.95055389  -48.86938858],[-143.0916748   -48.86909866],4.532191860723149
18,15.977295262611861,15.609939582832068,15.205230716680957,[-96.08447266 -48.86549759],[-112.06176758  -48.8687973 ],[-127.67170715  -48.86928558],[-142.87693787  -48.86894608],4.806607682034843
19,16.090156965867255,15.692260750023445,15.271446232984246,[-95.58874512 -48.86505127],[-111.67890167  -48.86868668],[-127.37116241  -48.86918259],[-142.64260864  -48.86879349],5.08073741636747
20,16.194023603448308,15.77742768113349,15.344718939376326,[-95.07236481 -48.86467361],[-111.26638794  -48.86857986],[-127.04381561  -48.86907578],[-142.38853455  -48.86863708],5.162348555072909
21,16.269638578331392,15.865036019476069,15.423912057193787,[-94.55651093 -48.86436462],[-110.82614899  -48.86846542],[-126.691185    -48.86899185],[-142.11509705  -48.86846924],5.215997136552218
22,16.339722225370895,15.952171336083376,15.510314954023283,[-94.02152252 -48.86413574],[-110.3612442   -48.86835861],[-126.31341553  -48.86893463],[-141.82373047  -48.86830902],5.508047725290404
23,16.419952957393022,16.03740693214635,15.600837724355939,[-93.45198059 -48.86398315],[-109.87193298  -48.86828995],[-125.9093399   -48.86887741],[-141.51017761  -48.86815262],5.847900410837453
24,16.504768934490272,16.120880137796508,15.69297792690522,[-92.85422516 -48.86391449],[-109.35899353  -48.8682251 ],[-125.47987366  -48.86881638],[-141.17285156  -48.8679924 ],6.095802317439978
25,16.61268670172925,16.18052674365145,15.786117578518883,[-92.23236084 -48.86392975],[-108.845047    -48.86818314],[-125.02557373  -48.86875916],[-140.81169128  -48.86787415],6.3489271335707365
26,16.73189595775696,16.233886727534635,15.878585843159604,[-91.58245087 -48.86403275],[-108.31434631  -48.86816788],[-124.54823303  -48.86870193],[-140.42681885  -48.86776352],6.641972373933549
27,16.839523776493465,16.306137093214033,15.968856844739172,[-90.90353394 -48.86421585],[-107.74305725  -48.86815643],[-124.04919434  -48.86867523],[-140.01805115  -48.86764526],6.922552192632067
28,16.937988687095615,16.40148926452396,16.048492468724746,[-90.19754028 -48.86448288],[-107.13552856  -48.86819077],[-123.53701782  -48.86865997],[-139.58551025  -48.86756897],7.191156275291616
29,17.03737674589318,16.523185735603278,16.105392497258055,[-89.4642334  -48.86480713],[-106.5016098   -48.86822128],[-123.02479553  -48.86865234],[-139.13018799  -48.86750031],7.4678827728813895
30,17.13275937493927,16.65131378519944,16.167717024069457,[-88.70302582 -48.86520386],[-105.83578491  -48.86830521],[-122.48709869  -48.86864471],[-138.65481567  -48.86745071],7.745932957755351
31,17.218017795974166,16.775840761916076,16.2514191164346,[-87.91442108 -48.86565018],[-105.13243866  -48.86838913],[-121.90827942  -48.86868668],[-138.15969849  -48.86742401],8.01536609900593
32,17.29637162218615,16.89980316317102,16.353370717634668,[-87.09934998 -48.86612701],[-104.39572144  -48.86849594],[-121.2955246   -48.86872482],[-137.64889526  -48.86743164],8.276467856117836
33,17.368629573683744,17.02382659958653,16.487739614603914,[-86.25850677 -48.86661148],[-103.62713623  -48.86863708],[-120.65096283  -48.86876297],[-137.13870239  -48.86745834],8.531242860195384
34,17.43215187523976,17.14371490486834,16.638496451580224,[-85.39253998 -48.86709976],[-102.82469177  -48.86877823],[-119.96840668  -48.86883163],[-136.60690308  -48.86750793],8.778855721491384
35,17.486900379978852,17.257858276367188,16.783073478097297,[-84.50218201 -48.86759186],[-101.98908234  -48.86891937],[-119.24694061  -48.86891937],[-136.03001404  -48.86758804],9.018773319121484
36,17.53379061818355,17.366752624582524,16.908165029246437,[-83.58824921 -48.86804581],[-101.12203979  -48.86906815],[-118.48879242  -48.86901855],[-135.3969574   -48.86770248],9.251632709085985
37,17.57240297033421,17.46910858186951,17.033821153323014,[-82.65136719 -48.86846161],[-100.22377014  -48.86921692],[-117.69287872  -48.86911011],[-134.72669983  -48.86783981],9.477593258562313
38,17.602508552567155,17.56347656319638,17.171913190360836,[-81.69223785 -48.86884689],[-99.2947464  -48.86936569],[-116.85822296  -48.86920929],[-134.03013611  -48.86798859],9.696498537318677
39,17.62460327446707,17.649665833812325,17.311439550984957,[-80.71157837 -48.86919022],[-98.33618164 -48.86951447],[-115.98584747  -48.86930084],[-133.29728699  -48.86817169],9.908522106045934
40,17.63900756892408,17.72715759415416,17.443801910742167,[-79.71005249 -48.86948013],[-97.34906006 -48.86962128],[-115.07621765  -48.86940002],[-132.52001953  -48.86836243],10.113878570344822
41,17.645797729498785,17.79505157564908,17.574951199646257,[-78.6883316  -48.86973953],[-96.33412933 -48.86972427],[-114.12918091  -48.86954117],[-131.70413208  -48.86855316],10.312636674814794
42,17.64534759604984,17.852752686409257,17.704536459539735,[-77.64707947 -48.86999512],[-95.29242706 -48.86982346],[-113.14517975  -48.86964798],[-130.84971619  -48.86877441],10.504909764996997
43,17.638168337281318,17.9007644661921,17.825912492572236,[-76.58690643 -48.87021255],[-94.22507477 -48.86992645],[-112.12583923  -48.86975098],[-129.95175171  -48.86897278],10.69087810554543
44,17.62455749949691,17.939002991507888,17.938919080233724,[-75.508461   -48.87041473],[-93.13301849 -48.87002182],[-111.07202148  -48.86985397],[-129.01094055  -48.86917496],10.870672375381735
45,17.60493469884048,17.966987610577636,18.044921884072306,[-74.41234589 -48.8705864 ],[-92.01728058 -48.87010956],[-109.98426819  -48.86994934],[-128.02919006  -48.86937714],11.044427026621792
46,17.579811105628316,17.98488616992918,18.140747075992245,[-73.29914093 -48.8707428 ],[-90.87895203 -48.87016678],[-108.8638382   -48.87003326],[-127.00458527  -48.86957932],11.212300378324858
47,17.54956055885679,17.993148804206296,18.224143984955504,[-72.16946411 -48.87086868],[-89.71902466 -48.87022018],[-107.71217346  -48.87008667],[-125.93631744  -48.86975479],11.374443104449222
48,17.514648451717793,17.992507935010693,18.295852662612592,[-71.02383423 -48.87097168],[-88.53848267 -48.87026596],[-106.5309906   -48.87014008],[-124.82684326  -48.86990738],11.531001122643518
49,17.475715652555238,17.983024597635687,18.35715484667694,[-69.86283875 -48.87105179],[-87.33855438 -48.87031937],[-105.32157898  -48.87018967],[-123.67873383  -48.87005615],11.682126063372163
50,17.433242814546006,17.96485137971206,18.407997131425127,[-68.68698883 -48.87111282],[-86.12023163 -48.87034988],[-104.08508301  -48.87024307],[-122.49308014  -48.87018967],11.827981004586416
51,17.387603778929265,17.938545227247094,18.446281433124796,[-67.49681854 -48.87116623],[-84.8844223  -48.87034988],[-102.82296753  -48.87026596],[-121.26924896  -48.87029266],11.96870804240113
52,17.339134236434294,17.904701233125127,18.471946716687125,[-66.29283905 -48.87118912],[-83.63197327 -48.8703537 ],[-101.5366745   -48.87026596],[-120.00862122  -48.87038422],12.104110718649085
53,17.28820039897332,17.86364746111712,18.48543548656762,[-65.0756073  -48.87119675],[-82.36380768 -48.8703537 ],[-100.22745514  -48.87027359],[-118.71289062  -48.87043762],12.234047889823557
54,17.23509981309915,17.816009521664476,18.487121583309957,[-63.84562683 -48.87119675],[-81.08072662 -48.8703537 ],[-98.89673615 -48.87027359],[-117.38385773  -48.87049103],12.359395027176054
