,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,10.742927551269531,10.742927551269531,10.742919921875,[-100.          -48.86999893],[-110.74292755  -48.86999893],[-121.4858551   -48.86999893],[-132.22877502  -48.86999893]
1,10.742927551269531,10.742927551269531,10.742919921875,[-100.          -48.86999893],[-110.74292755  -48.86999893],[-121.4858551   -48.86999893],[-132.22877502  -48.86999893]
2,10.742927551269531,10.742927551269531,10.742919921875,[-100.          -48.86999893],[-110.74292755  -48.86999893],[-121.4858551   -48.86999893],[-132.22877502  -48.86999893]
3,10.744873046875,10.742927551269531,10.742927551269531,[-99.99635315 -48.86999893],[-110.7412262   -48.86999893],[-121.48415375  -48.86999893],[-132.2270813   -48.86999893]
4,10.764862060601622,10.741165163181916,10.742973327637396,[-99.95761871 -48.86987686],[-110.72248077  -48.86984253],[-121.46364594  -48.87005234],[-132.20661926  -48.87004852]
5,10.843902589568055,10.741867067478658,10.687805176870485,[-99.87469482 -48.87005615],[-110.71859741  -48.86986542],[-121.46046448  -48.87007523],[-132.14826965  -48.86992264]
6,10.94071197524729,10.744209290333622,10.682540908272737,[-99.76821899 -48.86988831],[-110.70893097  -48.86994553],[-121.45314026  -48.87007523],[-132.13568115  -48.86951447]
7,11.041404724675287,10.750625611180634,10.698638929922634,[-99.63518524 -48.86982346],[-110.67658997  -48.86993408],[-121.42721558  -48.8700676 ],[-132.12585449  -48.86952209]
8,11.15763092042059,10.771575930247828,10.73300172208218,[-99.46208954 -48.86988068],[-110.61972046  -48.86986542],[-121.39129639  -48.87009811],[-132.1242981   -48.86956787]
9,11.278205871768476,10.801841735856684,10.780403143298225,[-99.25876617 -48.86988068],[-110.53697205  -48.86994553],[-121.33881378  -48.86992645],[-132.11921692  -48.86956406]
10,11.394042969577594,10.845458985105584,10.830787664012613,[-99.02732086 -48.86972046],[-110.42136383  -48.86985779],[-121.26682281  -48.86998367],[-132.09761047  -48.86964417]
11,11.511238102819354,10.901596072069696,10.880561832079882,[-98.76364136 -48.86936951],[-110.27487946  -48.86969757],[-121.17647552  -48.86994171],[-132.05703735  -48.86966705]
12,11.625686671045072,10.971084602462058,10.929016121336787,[-98.46864319 -48.8689003 ],[-110.09432983  -48.86967087],[-121.06541443  -48.87008286],[-131.99443054  -48.86966324]
13,11.736465525346208,11.049995428816828,10.976333624660919,[-98.14409637 -48.86832809],[-109.88056183  -48.86962128],[-120.93055725  -48.86999893],[-131.90689087  -48.86962128]
14,11.845741417050286,11.133789069035023,11.02289581650583,[-97.78945923 -48.86771393],[-109.6352005   -48.86956787],[-120.76898956  -48.86994934],[-131.79188538  -48.86967087]
15,11.955139398653946,11.223312384412583,11.070060730217742,[-97.4056015  -48.86712646],[-109.36074066  -48.86951447],[-120.58405304  -48.86989594],[-131.65411377  -48.86982346]
16,12.059578295904576,11.321708685625772,11.122261048033161,[-96.99347687 -48.86654282],[-109.05305481  -48.86946487],[-120.37476349  -48.86984634],[-131.49702454  -48.86996841]
17,12.1589512839296,11.427604681917197,11.179130558791629,[-96.55281067 -48.86600113],[-108.71176147  -48.86941147],[-120.13936615  -48.86980057],[-131.3184967  -48.870121 ]
18,12.254395139328036,11.539451605553118,11.240135206108128,[-96.08447266 -48.86549759],[-108.33886719  -48.86935806],[-119.87831879  -48.86974335],[-131.11845398  -48.87028885]
19,12.345322386678765,11.660255438878051,11.303245572015717,[-95.58874512 -48.86505127],[-107.93406677  -48.86930084],[-119.5943222   -48.86969757],[-130.89756775  -48.87048721]
20,12.425843126944143,11.78415680599459,11.372863817212279,[-95.07236481 -48.86467361],[-107.49820709  -48.86924744],[-119.28236389  -48.86964417],[-130.65522766  -48.87068558]
21,12.47652528623346,11.906700140886795,11.451683117881373,[-94.55651093 -48.86436462],[-107.03303528  -48.86919022],[-118.93973541  -48.86958694],[-130.39141846  -48.87088394]
22,12.519982390741328,12.02624512311717,11.541687117173824,[-94.02152252 -48.86413574],[-106.54150391  -48.86915588],[-118.56774902  -48.86953354],[-130.10943604  -48.87109375]
23,12.576920614701839,12.137275700443093,11.63910689332054,[-93.45198059 -48.86398315],[-106.02890015  -48.86914444],[-118.16617584  -48.86948013],[-129.80528259  -48.87130356]
24,12.661866309761672,12.219802859975578,11.738380617591629,[-92.85422516 -48.86391449],[-105.51609039  -48.869133  ],[-117.73589325  -48.86942673],[-129.47427368  -48.87151337]
25,12.75067244682355,12.297187807599288,11.837791676099206,[-92.23236084 -48.86392975],[-104.98303223  -48.86912918],[-117.28022003  -48.86937332],[-129.11801147  -48.87172318]
26,12.824112949649352,12.393386842288022,11.936363507909373,[-91.58245087 -48.86403275],[-104.40656281  -48.86912537],[-116.79994965  -48.8693161 ],[-128.73631287  -48.8719368 ]
27,12.89217469754199,12.495872498444225,12.036529876522492,[-90.90353394 -48.86421585],[-103.7957077   -48.86911392],[-116.2915802  -48.8692627],[-128.32810974  -48.87210464]
28,12.963768847601804,12.61396026650321,12.118515390307365,[-90.19754028 -48.86448288],[-103.16130829  -48.86915588],[-115.77526855  -48.86925507],[-127.89378357  -48.87227249]
29,13.032715583365327,12.755287170410726,12.182403989896793,[-89.4642334  -48.86480713],[-102.49694824  -48.86919785],[-115.25223541  -48.86920166],[-127.43463898  -48.87242126]
30,13.09360566469729,12.901268005619805,12.255966652549324,[-88.70302582 -48.86520386],[-101.79663086  -48.86924362],[-114.69789886  -48.86916351],[-126.95386505  -48.87254333]
31,13.150734450242215,13.035217285692658,12.349098692402393,[-87.91442108 -48.86565018],[-101.06515503  -48.86928558],[-114.10037231  -48.86916733],[-126.44947052  -48.87263489]
