,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
0,24.225425720214844,24.225425720214844,24.225433349609375,[-100.          -48.86999893],[-124.22542572  -48.86999893],[-148.45085144  -48.86999893],[-172.67628479  -48.86999893],0.0
1,24.225425720214844,24.225425720214844,24.225433349609375,[-100.          -48.86999893],[-124.22542572  -48.86999893],[-148.45085144  -48.86999893],[-172.67628479  -48.86999893],0.0
2,24.225425720214844,24.225425720214844,24.225433349609375,[-100.          -48.86999893],[-124.22542572  -48.86999893],[-148.45085144  -48.86999893],[-172.67628479  -48.86999893],0.0
3,24.227371215820312,24.225418090820312,24.225418090820312,[-99.99635315 -48.86999893],[-124.22372437  -48.86999893],[-148.44914246  -48.86999893],[-172.67456055  -48.86999893],0.09550646767510092
4,24.247894287416642,24.2235031129014,24.22503662110126,[-99.95761871 -48.86987686],[-124.205513    -48.86999893],[-148.42901611  -48.87007141],[-172.65405273  -48.87005234],0.6344096147787697
5,24.32672882146148,24.22348785597462,24.226028442635396,[-99.87469482 -48.87005615],[-124.20142365  -48.86987686],[-148.4249115   -48.87018585],[-172.65093994  -48.87007523],0.9771261277643981
6,24.42287445069104,24.222648622119674,24.231216430899476,[-99.76821899 -48.86988831],[-124.19109344  -48.86990738],[-148.41374207  -48.87017822],[-172.6449585   -48.87007141],1.1549958715889934
7,24.526481628966486,24.221527099624094,24.237655639659245,[-99.63518524 -48.86982346],[-124.16166687  -48.86998749],[-148.38319397  -48.87001419],[-172.62084961  -48.87003708],1.4964319537163493
8,24.653350830419296,24.22763824521032,24.241043090825116,[-99.46208954 -48.86988068],[-124.11544037  -48.87001038],[-148.34307861  -48.86984253],[-172.5841217   -48.86985779],1.8566167310947361
9,24.77916717642169,24.24996948420081,24.24465942383893,[-99.25876617 -48.86988068],[-124.03793335  -48.87011719],[-148.28790283  -48.86982346],[-172.53256226  -48.86980057],2.141087684251594
10,24.896926884449112,24.28810882937458,24.251785278465523,[-99.02732086 -48.86972046],[-123.92424774  -48.8701973 ],[-148.21235657  -48.86977386],[-172.46414185  -48.86968994],2.4428016868805393
11,25.01947022334738,24.337631226490288,24.260421753973677,[-98.76364136 -48.86936951],[-123.78311157  -48.87002182],[-148.1207428   -48.86981201],[-172.38116455  -48.86958694],2.7707990968181186
12,25.13962557821692,24.4001693743728,24.27755737347964,[-98.46864319 -48.8689003 ],[-123.60826874  -48.87010574],[-148.00843811  -48.8698082 ],[-172.28599548  -48.86966324],3.0741923335910686
13,25.252571161485232,24.476425171968586,24.301361084008626,[-98.14409637 -48.86832809],[-123.39666748  -48.87000275],[-147.87309265  -48.86977386],[-172.17445374  -48.86973953],3.3736433217850994
14,25.364730914628428,24.560119629062967,24.3329772953094,[-97.78945923 -48.86771393],[-123.15419006  -48.86972427],[-147.71430969  -48.86963654],[-172.04728699  -48.86977386],3.6790065973712633
15,25.472824184980084,24.653236390331536,24.37228393956395,[-97.4056015  -48.86712646],[-122.8784256   -48.86924744],[-147.53166199  -48.86948776],[-171.90394592  -48.86993027],3.9638094489314057
16,25.574600303920167,24.75637055482128,24.420700086256602,[-96.99347687 -48.86654282],[-122.56807709  -48.86861801],[-147.32444763  -48.86933517],[-171.74514771  -48.87013245],4.250201561666419
17,25.673133918700398,24.865699802291267,24.478347805250603,[-96.55281067 -48.86600113],[-122.22594452  -48.86787796],[-147.09164429  -48.86918259],[-171.56999207  -48.87033081],4.532191860723149
18,25.76755528757957,24.98079688765676,24.544052172168747,[-96.08447266 -48.86549759],[-121.85202789  -48.86711502],[-146.83282471  -48.86903381],[-171.37687683  -48.87057114],4.806607682034843
19,25.85626986914727,25.10634625737662,24.614257889084165,[-95.58874512 -48.86505127],[-121.44501495  -48.86635208],[-146.55136108  -48.86887741],[-171.1656189   -48.87081909],5.08073741636747
20,25.935005205242973,25.23504657402667,24.69332897215259,[-95.07236481 -48.86467361],[-121.00737     -48.86561966],[-146.24241638  -48.86869431],[-170.93574524  -48.87107468],5.162348555072909
21,25.98381806049964,25.361999766289482,24.7838441523068,[-94.55651093 -48.86436462],[-120.54032898  -48.86493683],[-145.90232849  -48.86853027],[-170.68617249  -48.87133026],5.215997136552218
22,26.02500915589102,25.486259782432327,24.883438319133628,[-94.02152252 -48.86413574],[-120.04653168  -48.86431503],[-145.53279114  -48.86836624],[-170.41622925  -48.87158966],5.508047725290404
23,26.081871033469167,25.59972419704697,24.99325588185344,[-93.45198059 -48.86398315],[-119.53385162  -48.86378479],[-145.13357544  -48.86820221],[-170.12683105  -48.87185287],5.847900410837453
24,26.16768646849278,25.683472108282057,25.107345912219944,[-92.85422516 -48.86391449],[-119.02191162  -48.86334991],[-144.7053833   -48.86804199],[-169.81272888  -48.8721199 ],6.095802317439978
