,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,25.46722412109375,25.46722412109375,25.46722412109375,[-100.          -48.86999893],[-125.46722412  -48.86999893],[-150.93444824  -48.86999893],[-176.40167236  -48.86999893],0.0,0.0,0.0,0.0
1,25.46722412109375,25.46722412109375,25.46722412109375,[-100.          -48.86999893],[-125.46722412  -48.86999893],[-150.93444824  -48.86999893],[-176.40167236  -48.86999893],0.0,0.0,0.0,0.0
2,25.46722412109375,25.46722412109375,25.46722412109375,[-100.          -48.86999893],[-125.46722412  -48.86999893],[-150.93444824  -48.86999893],[-176.40167236  -48.86999893],0.0,0.0,0.0,0.0
3,25.46916961669922,25.46723175048828,25.467208862304688,[-99.99635315 -48.86999893],[-125.46552277  -48.86999893],[-150.93275452  -48.86999893],[-176.39996338  -48.86999893],0.09550646767510092,0.0477236023588046,0.047723621005902196,0.047723602358794026
4,25.488922119254806,25.4664840698885,25.46701049817287,[-99.95761871 -48.86987686],[-125.44654083  -48.86995316],[-150.9130249   -48.86989594],[-176.3800354   -48.86997604],0.6344096147787697,0.32911623567290565,0.3443082151388436,0.36060377960370066
5,25.57051086442171,25.465560914149094,25.46766662733675,[-99.87469482 -48.87005615],[-125.44520569  -48.8699646 ],[-150.9107666  -48.8701973],[-176.37843323  -48.86993408],0.9771261277643981,2.572854489462126e-05,2.9822169890277763e-05,2.7617558746164476e-05
6,25.666908264215717,25.46817779669261,25.467895509172678,[-99.76821899 -48.86988831],[-125.43512726  -48.86994171],[-150.90330505  -48.8701973 ],[-176.37120056  -48.86993408],1.1549958715889934,0.22436779524122102,0.1362942664896498,0.17265108566424084
7,25.769897461459554,25.471397400674746,25.459869387399387,[-99.63518524 -48.86982346],[-125.4050827   -48.86998749],[-150.8764801   -48.87018585],[-176.33634949  -48.86981964],1.4964319537163493,0.35588924782614556,0.37365635388626955,0.5229089879557562
8,25.895591735846867,25.478317261222237,25.49473571782167,[-99.46208954 -48.86988068],[-125.35768127  -48.8698616 ],[-150.83599854  -48.87001801],[-176.33073425  -48.86996841],1.8566167310947361,0.5555957598927591,0.462879693512992,4.794982949981016e-05
9,26.018714904818992,25.50840759289923,25.52574157714872,[-99.25876617 -48.86988068],[-125.27748108  -48.86992264],[-150.78588867  -48.87000275],[-176.31163025  -48.86999893],2.141087684251594,0.9681339875530307,0.5927120699855654,0.2678249688873413
10,26.13458251969161,25.556129456491412,25.5921325684151,[-99.02732086 -48.86972046],[-125.16190338  -48.86981201],[-150.71803284  -48.87002945],[-176.31016541  -48.86997604],2.4428016868805393,1.3082422730575995,0.7785678563857346,8.423444787761957e-06
11,26.255134585692335,25.609931947529287,25.676086425972812,[-98.76364136 -48.86936951],[-125.01877594  -48.86977768],[-150.62870789  -48.87007523],[-176.30479431  -48.86997604],2.7707990968181186,1.6010105614129244,0.9824556574791518,0.1042324357485752
12,26.372962973135476,25.67476654115335,25.76579284867222,[-98.46864319 -48.8689003 ],[-124.84160614  -48.8699646 ],[-150.51637268  -48.87014389],[-176.28216553  -48.86982346],3.0741923335910686,1.9636351955329887,1.216598757250537,0.3288507808115028
13,26.48412329327804,25.75712585766617,25.84805297853364,[-98.14409637 -48.86832809],[-124.6282196   -48.87015915],[-150.38534546  -48.86975479],[-176.23339844  -48.86972427],3.3736433217850994,2.3011154352163854,1.414192961775592,0.5907937897623599
14,26.593826426098897,25.849334734389103,25.92517089966002,[-97.78945923 -48.86771393],[-124.38328552  -48.87036514],[-150.23262024  -48.86941147],[-176.15779114  -48.86966324],3.6790065973712633,2.5834194955034766,1.6554498172960825,0.8939276021339239
15,26.70403312258814,25.944595370487473,25.998168949409994,[-97.4056015  -48.86712646],[-124.1096344   -48.87059021],[-150.05422974  -48.86927032],[-176.05239868  -48.8697319 ],3.9638094489314057,2.8831354871839374,1.909182037706353,1.1909843705243424
16,26.808784829578826,26.049057054248408,26.069656376571864,[-96.99347687 -48.86654282],[-123.80226135  -48.87084198],[-149.85131836  -48.86927032],[-175.92097473  -48.86975479],4.250201561666419,3.235579151998126,2.149678261596031,1.4626633459279548
17,26.90774584469364,26.162826589507162,26.138336185258236,[-96.55281067 -48.86600113],[-123.46055603  -48.87110138],[-149.62338257  -48.86946106],[-175.76171875  -48.86989594],4.532191860723149,3.56184153468941,2.411469718655029,1.7479583065359903
18,27.00277773698345,26.28053288165531,26.207092286026906,[-96.08447266 -48.86549759],[-123.08724976  -48.87136459],[-149.36778259  -48.86983109],[-175.57487488  -48.87004471],4.806607682034843,3.8794936591415676,2.690994329105408,2.00943428831811
