,point.objects.object0.color[0],point.objects.object0.color[1],point.objects.object0.color[2],point.objects.object1.color[0],point.objects.object1.color[1],point.objects.object1.color[2],point.objects.object1.heading,point.objects.object1.position[0],point.objects.object1.position[1],point.objects.object1.velocity[0],point.objects.object1.velocity[1],point.objects.object2.color[0],point.objects.object2.color[1],point.objects.object2.color[2],point.objects.object2.heading,point.objects.object2.position[0],point.objects.object2.position[1],point.objects.object2.velocity[0],point.objects.object2.velocity[1],point.objects.object3.color[0],point.objects.object3.color[1],point.objects.object3.color[2],point.objects.object3.heading,point.objects.object3.position[0],point.objects.object3.position[1],point.objects.object3.velocity[0],point.objects.object3.velocity[1],point.params.inter_vehicle_distance,point.params.random_t1,point.params.random_t2,point.params.random_t3,point.params.random_t4,point.params.random_thr_br1,point.params.random_thr_br2,point.params.weather,rho,rho_0,rho_1
0,0.6418330154537204,0.6418330154537204,0.6418330154537204,0.23048100869157295,0.7230291228006296,0.7168401972453917,-1.5703924403491738,-109.9988310277742,-48.87,0.0,0.0,0.8375590602872358,0.7821958412073933,0.7735851551821258,-1.5703924403491738,-119.9976620555484,-48.87,0.0,0.0,0.15055774216971812,0.15055774216971812,0.15055774216971812,-1.5703924403491738,-129.9964930833226,-48.87,0.0,0.0,9.998831027774205,19.15775534184482,23.87505773995833,36.52350541244029,46.82650495763929,0.40896584603750713,0.09418554346413197,10,-0.17056272097537484,-1.0757751466568202,0.34017944336073747
1,0.5733163849633802,0.5297759803702684,0.37506893859159596,0.22673591063610507,0.18252243282056502,0.16155750985216552,-1.5703924403491738,-110.67606522629266,-48.87,0.0,0.0,0.5996600820066252,0.5996600820066252,0.5996600820066252,-1.5703924403491738,-121.35213045258533,-48.87,0.0,0.0,0.5225681054573411,0.5188647790362456,0.5188647790362456,-1.5703924403491738,-132.028195678878,-48.87,0.0,0.0,10.676065226292668,18.45467251103428,23.6687020316154,37.70235992573012,46.771215049999256,0.40761096357355314,0.014945954230156922,12,-0.24719238268849875,-0.9950866729560088,0.59716796875
2,0.7157985229975183,0.8414780153309196,0.6132919261769261,0.9504333672339248,0.948249195743499,0.948249195743499,-1.5703924403491738,-110.27899847535953,-48.87,0.0,0.0,0.22898449604722376,0.33356694203927995,0.4553452879185605,-1.5703924403491738,-120.55799695071906,-48.87,0.0,0.0,0.8085693524364876,0.8085693524364876,0.8085693524364876,-1.5703924403491738,-130.8369954260786,-48.87,0.0,0.0,10.278998475359531,18.757442616751703,23.064748477213953,36.697019682769486,47.30605481312466,0.41061109772999893,0.045661983289693175,4,-0.2255248955028364,-0.86273193359375,-0.13256835162582803
3,0.8713866277608485,0.8472938221787432,0.8305993210021089,1.0,1.0,1.0,-1.5703924403491738,-109.6836977768964,-48.87,0.0,0.0,0.2170639315624826,0.13746793066141488,0.13746793066141488,-1.5703924403491738,-119.36739555379279,-48.87,0.0,0.0,0.7159229352030643,0.5415603305461218,0.22797140139812977,-1.5703924403491738,-129.05109333068918,-48.87,0.0,0.0,9.683697776896395,18.1741359053156,23.970196010663646,36.59281671360688,47.89488022756461,0.44752441296531026,0.04145899536498867,11,-0.25088348382200465,-0.21908569854684234,-0.2216796419270537
4,0.8094983849289475,0.6302589106674719,0.5761184841688535,0.9040399721563972,0.8180349194510177,0.8082603828738022,-1.5703924403491738,-109.14797496878612,-48.87,0.0,0.0,0.8567414639140829,0.3434532477870935,0.3434532477870935,-1.5703924403491738,-118.29594993757223,-48.87,0.0,0.0,0.7163076895528231,0.8493409844761125,0.5780030422797579,-1.5703924403491738,-127.44392490635835,-48.87,0.0,0.0,9.147974968786112,19.045849550755978,23.41491642902689,37.33863810353077,47.56119855011269,0.5829622968920847,0.19147739470799446,1,-0.15100097512051303,-1.111938476581547,0.5448913582419941
5,0.3407435664871302,0.3407435664871302,0.3407435664871302,0.08350685547126258,0.08350685547126258,0.08350685547126258,-1.5703924403491738,-109.70448609851337,-48.87,0.0,0.0,0.6815570957457439,0.6759925695288024,0.6716658110313872,-1.5703924403491738,-119.40897219702674,-48.87,0.0,0.0,0.8432327994829667,0.7743352897242162,0.46014935609233953,-1.5703924403491738,-129.1134582955401,-48.87,0.0,0.0,9.704486098513375,18.211654388858925,23.20762715981625,37.26743229824601,46.92055190416169,0.42036880437651847,0.09870462010986965,1,-0.2503356895296527,-0.8298034670414953,-0.03173822948915106
6,0.38548771398398923,0.3699033721614299,0.3020192367314258,0.8008594752330692,0.7758514666962204,0.7511615877929773,-1.5703924403491738,-110.09010294291052,-48.87,0.0,0.0,0.8351341849506217,0.8239947969450637,0.8187222531328435,-1.5703924403491738,-120.18020588582104,-48.87,0.0,0.0,0.709249590309344,0.7086746625129094,0.7076999562796805,-1.5703924403491738,-130.27030882873157,-48.87,0.0,0.0,10.090102942910521,18.672487290133056,23.545666383715513,37.265586659083205,47.57346750579899,0.4052844869891361,0.0849408952358219,7,-0.01177978515625,-1.064941407478467,0.3702392578246938
7,0.6634874027190557,0.5293823008285307,0.5293823008285307,1.0,1.0,1.0,-1.5703924403491738,-109.8570960421398,-48.87,0.0,0.0,0.4833529083285679,0.6041615442754247,0.585801428557777,-1.5703924403491738,-119.7141920842796,-48.87,0.0,0.0,0.6951017912607957,0.6587542979253944,0.6587542979253944,-1.5703924403491738,-129.5712881264194,-48.87,0.0,0.0,9.857096042139798,18.871192155312706,23.480234925656305,37.019506571932126,47.055432550615095,0.5019023527841376,0.006383981588659759,7,-0.2016601314061388,-0.15365600758883602,-0.23870739719660872
0,0.5876490044763437,0.29104988143106325,0.29104988143106325,0.8612633266244185,0.8612633266244185,0.8612633266244185,-1.5703924403491738,-110.5948229449526,-48.87,0.0,0.0,0.9094861861676076,0.9094861861676076,0.9094861861676076,-1.5703924403491738,-121.1896458899052,-48.87,0.0,0.0,0.1667138122287403,0.1667138122287403,0.1667138122287403,-1.5703924403491738,-131.7844688348578,-48.87,0.0,0.0,10.594822944952602,18.058718876740322,23.221944682526157,38.12565956583596,46.52523595414975,0.480720362419315,0.1328351274831749,7,0.668243408203125,-2.043060302735408,1.2489013672061295
1,0.5057376100881783,0.5382722260816722,0.42727360124066605,0.6837928561493744,0.6710303734361988,0.2612405272917194,-1.5703924403491738,-107.77889453216974,-48.87,0.0,0.0,0.0,0.0,0.0,-1.5703924403491738,-115.55778906433949,-48.87,0.0,0.0,0.8564441479187939,0.8564441479187939,0.8564441479187939,-1.5703924403491738,-123.33668359650923,-48.87,0.0,0.0,7.778894532169744,19.923926191052836,24.499033254568346,36.4799427903014,47.640410881194256,0.5906306486205847,0.04214997723119855,13,-0.2392565827967328,0.2407149304865266,-0.2393822733675819
