,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,26.746475219726562,26.746475219726562,26.746475219726562,[-100.          -48.86999893],[-126.74647522  -48.86999893],[-153.49295044  -48.86999893],[-180.23942566  -48.86999893],0.0,0.0,0.0,0.0
1,26.746475219726562,26.746475219726562,26.746475219726562,[-100.          -48.86999893],[-126.74647522  -48.86999893],[-153.49295044  -48.86999893],[-180.23942566  -48.86999893],0.0,0.0,0.0,0.0
2,26.746475219726562,26.746475219726562,26.746475219726562,[-100.          -48.86999893],[-126.74647522  -48.86999893],[-153.49295044  -48.86999893],[-180.23942566  -48.86999893],0.0,0.0,0.0,0.0
3,26.74842071533203,26.74646759033203,26.746475219726562,[-99.99635315 -48.86999893],[-126.74477386  -48.86999893],[-153.49124146  -48.86999893],[-180.23771667  -48.86999893],0.09550646767510092,0.047723688048015585,0.047723647062021306,0.04772398235460884
4,26.767410278408384,26.746437072754993,26.748123168984485,[-99.95761871 -48.86987686],[-126.72502899  -48.86994553],[-153.47146606  -48.86995316],[-180.21958923  -48.86999893],0.6344096147787697,0.37634540587302034,0.3460999309317452,0.3014708373885757
5,26.8479461671117,26.74638366971254,26.747863774939283,[-99.87469482 -48.87005615],[-126.72264099  -48.87013626],[-153.46902466  -48.86975479],[-180.21688843  -48.87029266],0.9771261277643981,3.15032123466752e-05,3.0375918902426267e-05,2.8926580884513122e-05
6,26.943275453021464,26.750099185243005,26.747848516227204,[-99.76821899 -48.86988831],[-126.71149445  -48.87015915],[-153.46159363  -48.86975098],[-180.20944214  -48.87029266],1.1549958715889934,0.2183988128049453,0.1445880316813135,0.10469394617659367
7,27.045661926618187,26.75273132369937,26.751480106136043,[-99.63518524 -48.86982346],[-126.68084717  -48.86996078],[-153.43357849  -48.86980438],[-180.18505859  -48.87024307],1.4964319537163493,0.35074553641955714,0.36268805303763463,0.35682223140798697
8,27.170989990244014,26.758247375632124,26.754974368768607,[-99.46208954 -48.86988068],[-126.63307953  -48.86985779],[-153.3913269   -48.86977005],[-180.14630127  -48.87020493],1.8566167310947361,0.5801027086595041,0.45748932172700824,0.4213732994588463
9,27.296127320002327,26.783653259690535,26.75520324767104,[-99.25876617 -48.86988068],[-126.55489349  -48.86968994],[-153.33854675  -48.86983871],[-180.09375     -48.87001801],2.141087684251594,0.9267759429759248,0.6335302305687374,0.5749438237875338
