,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,7.778892517089844,7.778900146484375,7.778892517089844,[-100.          -48.86999893],[-107.77889252  -48.86999893],[-115.55779266  -48.86999893],[-123.33668518  -48.86999893],0.0,0.0,0.0,0.0
1,7.778892517089844,7.778900146484375,7.778892517089844,[-100.          -48.86999893],[-107.77889252  -48.86999893],[-115.55779266  -48.86999893],[-123.33668518  -48.86999893],0.0,0.0,0.0,0.0
2,7.778892517089844,7.778900146484375,7.778892517089844,[-100.          -48.86999893],[-107.77889252  -48.86999893],[-115.55779266  -48.86999893],[-123.33668518  -48.86999893],0.0,0.0,0.0,0.0
3,7.7808380126953125,7.778900146484375,7.778892517089844,[-99.99635315 -48.86999893],[-107.77719116  -48.86999893],[-115.55609131  -48.86999893],[-123.33498383  -48.86999893],0.09550646767510092,0.047723971178695014,0.0477242877849194,0.04772423196899174
4,7.800941467344849,7.777687073966303,7.778762818015117,[-99.95761871 -48.86987686],[-107.75856018  -48.86984634],[-115.53624725  -48.86998367],[-123.31501007  -48.87008286],0.6344096147787697,0.358572061308374,0.33305968986749424,0.3386024848282894
5,7.881492614749787,7.778465271299162,7.777938845112089,[-99.87469482 -48.87005615],[-107.75618744  -48.87004852],[-115.53465271  -48.86997986],[-123.31259155  -48.86978912],0.9771261277643981,2.9202836414973594e-05,2.669508782225464e-05,3.052846871837183e-05
6,7.977104188260391,7.781921386853387,7.778221132526317,[-99.76821899 -48.86988831],[-107.74532318  -48.87002945],[-115.52724457  -48.86998367],[-123.3054657   -48.86980057],1.1549958715889934,0.20553928815188754,0.1663159831675286,0.12992586276616355
7,8.077743530598605,7.788444521767094,7.778556829276376,[-99.63518524 -48.86982346],[-107.71292877  -48.86989594],[-115.50137329  -48.87010193],[-123.27993011  -48.8698082 ],1.4964319537163493,0.4254408456923709,0.34512545757308394,0.3328740423874186
8,8.201225281727858,7.800270089708611,7.778717051132558,[-99.46208954 -48.86988068],[-107.66331482  -48.86975479],[-115.4635849   -48.87013245],[-123.24230194  -48.86973572],1.8566167310947361,0.5779588854199279,0.4544630421165241,0.401195802312623
9,8.323448181323677,7.828147889746018,7.778617863735724,[-99.25876617 -48.86988068],[-107.58221436  -48.86982727],[-115.41036224  -48.86998367],[-123.1889801   -48.86970901],2.141087684251594,1.0004979447988462,0.6503225433400591,0.6150776794095802
10,8.436019899207473,7.872962952437383,7.782226564931793,[-99.02732086 -48.86972046],[-107.46334076  -48.86989212],[-115.33630371  -48.87000275],[-123.11853027  -48.8698082 ],2.4428016868805393,1.3326037966280215,0.8043521049011687,0.7398366984061527
11,8.55233002834111,7.928932191409641,7.788307192184457,[-98.76364136 -48.86936951],[-107.31597137  -48.8698082 ],[-115.24490356  -48.86996078],[-123.03321075  -48.86977386],2.7707990968181186,1.5770242573198878,1.0295539581581,0.9119982169611827
12,8.669097942503248,7.994094853616884,7.801826478066379,[-98.46864319 -48.8689003 ],[-107.13774109  -48.86975479],[-115.13183594  -48.87003708],[-122.93366241  -48.86991119],3.0741923335910686,1.947523383232152,1.1875692649048282,1.0413984965631446
13,8.778335678708526,8.076599126026908,7.82097625732794,[-98.14409637 -48.86832809],[-106.92243195  -48.86970139],[-114.99903107  -48.86998367],[-122.82000732  -48.86997604],3.3736433217850994,2.2742694610207077,1.4200420565674505,1.1880964169171864
14,8.88766501713921,8.162544259581285,7.854530334480994,[-97.78945923 -48.86771393],[-106.67712402  -48.86970139],[-114.83966827  -48.87008667],[-122.69419861  -48.87009811],3.6790065973712633,2.5812584935287837,1.6875417248462365,1.3014361008393327
15,8.993675646676527,8.25568390130889,7.897598269189459,[-97.4056015  -48.86712646],[-106.39927673  -48.86985779],[-114.65496063  -48.87005615],[-122.5525589   -48.87025833],3.9638094489314057,2.924117751825668,1.9238671271910308,1.4740875402328335
16,9.094071138513332,8.359169006599206,7.94750977148421,[-96.99347687 -48.86654282],[-106.0875473  -48.870121 ],[-114.44671631  -48.87005615],[-122.39422607  -48.87036133],4.250201561666419,3.2534326452632305,2.1746163409298584,1.6335018343348535
17,9.191437843804998,8.467872628744612,8.007629398489234,[-96.55281067 -48.86600113],[-105.74424744  -48.87044907],[-114.21212006  -48.87005615],[-122.21974945  -48.87030792],4.532191860723149,3.5713753754715487,2.448477752661445,1.8073442746418245
18,9.284959373761687,8.581893948674084,8.075920105002993,[-96.08447266 -48.86549759],[-105.36943054  -48.87075424],[-113.95132446  -48.87006378],[-122.02724457  -48.87008286],4.806607682034843,3.887175765955146,2.702165135863579,1.9895833209491964
19,9.374650978034552,8.70440679967011,8.148048409108512,[-95.58874512 -48.86505127],[-104.96339417  -48.87106705],[-113.6678009   -48.87003326],[-121.8158493   -48.86966705],5.08073741636747,4.198805429233125,2.950577747695118,2.1849891221768583
20,9.454401492750907,8.82983409596705,8.228660636139098,[-95.07236481 -48.86467361],[-104.52676392  -48.87138748],[-113.3565979   -48.86998367],[-121.58525848  -48.86905289],5.162348555072909,4.502082261779237,3.242985738983758,2.378329094101617
21,9.504458367920217,8.954658666323056,8.319107229637586,[-94.55651093 -48.86436462],[-104.06096649  -48.87166214],[-113.015625    -48.86997986],[-121.33473206  -48.8682785 ],5.215997136552218,4.780619321007799,3.5405972046254606,2.587334030099113
22,9.547465650427997,9.075905064635963,8.417618199891963,[-94.02152252 -48.86413574],[-103.56898499  -48.8719368 ],[-112.64488983  -48.86994553],[-121.06250763  -48.8673439 ],5.508047725290404,5.030355490674091,3.8418662647215234,2.811475869847173
23,9.604083685886405,9.187980921013406,8.523514585578598,[-93.45198059 -48.86398315],[-103.05606079  -48.87216568],[-112.24404144  -48.86994171],[-120.76755524  -48.86626816],5.847900410837453,5.122791162989782,4.141242509117777,3.0440704498749236
24,9.688724387561724,9.271522849467248,8.634507557030767,[-92.85422516 -48.86391449],[-102.54294586  -48.87236404],[-111.81446838  -48.86989975],[-120.44897461  -48.86510468],6.095802317439978,5.159453621452591,4.415650376533276,3.2877475766204576
25,9.77740856587442,9.34947241748428,8.74645440035752,[-92.23236084 -48.86392975],[-102.00976562  -48.87252808],[-111.35923767  -48.86989212],[-120.10569     -48.86387634],6.3489271335707365,5.4955970134071785,4.661045553980412,3.5402379283413232
26,9.85091014458348,9.445763038043818,8.858126760134386,[-91.58245087 -48.86403275],[-101.43335724  -48.87265396],[-110.87911987  -48.86989212],[-119.73724365  -48.86262512],6.641972373933549,5.935224111920105,4.923473363512515,3.7944497044786414
27,9.919162599671917,9.548065622230125,8.973156113793411,[-90.90353394 -48.86421585],[-100.82269287  -48.8727417 ],[-110.37075806  -48.86985397],[-119.34391022  -48.86143112],6.922552192632067,6.208339225862224,5.196923262389326,4.046134507850126
28,9.990993133313454,9.665909257463197,9.070134408210828,[-90.19754028 -48.86448288],[-100.18852997  -48.87278366],[-109.85443878  -48.86985397],[-118.92456818  -48.86031723],7.191156275291616,6.447299004155437,5.152625562539708,4.315015808008639
29,10.060237232029593,9.806740247021802,9.148443593618511,[-89.4642334  -48.86480713],[-99.52446747 -48.87278366],[-109.33120728  -48.86984634],[-118.47964478  -48.85928726],7.4678827728813895,6.791671774681254,5.320882323639392,4.548309865209006
30,10.121493276851242,9.951973379279773,9.236670945749312,[-88.70302582 -48.86520386],[-98.8245163  -48.87273026],[-108.77648926  -48.86984634],[-118.01315308  -48.85837173],7.745932957755351,7.137501785625093,5.727746012209716,4.764499933157659
31,10.179018509690549,10.085213093033255,9.344208162667197,[-87.91442108 -48.86565018],[-98.09343719 -48.87263489],[-108.1786499   -48.86984634],[-117.52285004  -48.85759735],8.01536609900593,7.432614929262212,6.143240454459338,5.025133638391277
32,10.233385166377026,10.211044657690346,9.46378441809004,[-87.09934998 -48.86612701],[-97.33273315 -48.87250519],[-107.54377747  -48.86984634],[-117.0075531   -48.85695267],8.276467856117836,7.738971422744899,6.497535230787463,5.183687988913845
33,10.281579654098447,10.332077325729903,9.617921586106288,[-86.25850677 -48.86661148],[-96.54008484 -48.87232971],[-106.87216187  -48.86984253],[-116.49007416  -48.85647202],8.531242860195384,8.061538949027286,6.887514116715785,5.225166485332848
34,10.323533336248317,10.443084969292778,9.794397391561949,[-85.39253998 -48.86709976],[-95.71607208 -48.87214279],[-106.1591568   -48.86984634],[-115.95354462  -48.85615158],8.778855721491384,8.366189288470537,7.306187153581946,5.546907981169481
35,10.360276166901553,10.543304646086556,9.968095834344853,[-84.50218201 -48.86759186],[-94.86245728 -48.87190628],[-105.40576172  -48.86983871],[-115.37384796  -48.85601044],9.018773319121484,8.660182321387822,7.69717645796168,6.0105763085935076
36,10.391106283795107,10.634933628653211,10.137567362758572,[-83.58824921 -48.86804581],[-93.97935486 -48.87166977],[-104.61428833  -48.86984253],[-114.75184631  -48.8560524 ],9.251632709085985,8.956237133189209,8.07834053065536,6.397407160382069
37,10.415565912467066,10.717147944637544,10.308846790452874,[-82.65136719 -48.86846161],[-93.06693268 -48.87142563],[-103.78408051  -48.86983871],[-114.0929184   -48.85629272],9.477593258562313,9.245046887478482,8.469401359857633,6.780517800287352
38,10.43410518835053,10.788742153318532,10.4754491648822,[-81.69223785 -48.86884689],[-92.12634277 -48.87121582],[-102.91508484  -48.86983871],[-113.39052582  -48.85674286],9.696498537318677,9.522446859768582,8.851374626167264,7.251341574337039
