,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,7.8016204833984375,7.801612854003906,7.8016204833984375,[-100.          -48.86999893],[-107.80162048  -48.86999893],[-115.60323334  -48.86999893],[-123.40485382  -48.86999893]
1,7.8016204833984375,7.801612854003906,7.8016204833984375,[-100.          -48.86999893],[-107.80162048  -48.86999893],[-115.60323334  -48.86999893],[-123.40485382  -48.86999893]
2,7.8016204833984375,7.801612854003906,7.8016204833984375,[-100.          -48.86999893],[-107.80162048  -48.86999893],[-115.60323334  -48.86999893],[-123.40485382  -48.86999893]
3,7.803565979003906,7.801612854003906,7.8016204833984375,[-99.99635315 -48.86999893],[-107.79991913  -48.86999893],[-115.60153198  -48.86999893],[-123.40315247  -48.86999893]
4,7.823547363490501,7.800384522323867,7.801483154879773,[-99.95761871 -48.86987686],[-107.78116608  -48.86981964],[-115.5815506   -48.86993408],[-123.38303375  -48.87002945]
5,7.9026794478707805,7.802497867955598,7.80076599434862,[-99.87469482 -48.87005615],[-107.77737427  -48.86978912],[-115.57987213  -48.87004471],[-123.38063812  -48.86982346]
6,7.996147156940991,7.80808258580806,7.80084228758224,[-99.76821899 -48.86988831],[-107.76436615  -48.86975098],[-115.57244873  -48.87003708],[-123.37329102  -48.86984253]
7,8.096977236410892,7.815422067791326,7.798797610893415,[-99.63518524 -48.86982346],[-107.73216248  -48.86962128],[-115.54758453  -48.87001038],[-123.34638214  -48.86977768]
8,8.216041570192006,7.832687390645704,7.7969818190821645,[-99.46208954 -48.86988068],[-107.6781311   -48.86958694],[-115.51081848  -48.87003326],[-123.30780029  -48.86968994]
9,8.337608349144954,7.85962680379139,7.799316421534582,[-99.25876617 -48.86988068],[-107.59637451  -48.86943817],[-115.45600128  -48.87016678],[-123.25531769  -48.8696785 ]
10,8.455780030412045,7.897758494832312,7.805328383705911,[-99.02732086 -48.86972046],[-107.48310089  -48.86958313],[-115.38085938  -48.86999893],[-123.18618774  -48.86952209]
