,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,7.133697509765625,7.133705139160156,7.133697509765625,[-100.          -48.86999893],[-107.13369751  -48.86999893],[-114.26740265  -48.86999893],[-121.40110016  -48.86999893],0.0,0.0,0.0,0.0
1,7.133697509765625,7.133705139160156,7.133697509765625,[-100.          -48.86999893],[-107.13369751  -48.86999893],[-114.26740265  -48.86999893],[-121.40110016  -48.86999893],0.0,0.0,0.0,0.0
2,7.133697509765625,7.133705139160156,7.133697509765625,[-100.          -48.86999893],[-107.13369751  -48.86999893],[-114.26740265  -48.86999893],[-121.40110016  -48.86999893],0.0,0.0,0.0,0.0
3,7.135643005371094,7.133705139160156,7.133697509765625,[-99.99635315 -48.86999893],[-107.13199615  -48.86999893],[-114.26570129  -48.86999893],[-121.3993988   -48.86999893],0.09550646767510092,0.0477236023588046,0.047724764588428656,0.047723621005902196
4,7.1553955082192395,7.132919311548939,7.133987426904678,[-99.95761871 -48.86987686],[-107.11301422  -48.86995316],[-114.24593353  -48.86993408],[-121.37992096  -48.86988831],0.6344096147787697,0.32911623566609577,0.3487483131541461,0.3211657576775936
5,7.23698425350879,7.131805422371405,7.082145694025752,[-99.87469482 -48.87005615],[-107.11167908  -48.8699646 ],[-114.2434845   -48.87015152],[-121.32563019  -48.86994171],0.9771261277643981,2.5728605981900613e-05,3.0354528383070097e-05,0.7467927541583649
6,7.333381653026496,7.133178714023049,7.074523937777361,[-99.76821899 -48.86988831],[-107.10160065  -48.86994171],[-114.23477936  -48.87015152],[-121.30930328  -48.87056351],1.1549958715889934,0.2243669310477247,0.16978480662335407,0.0001158905339977967
7,7.43663025109372,7.135505677127085,7.09367372009545,[-99.63518524 -48.86982346],[-107.07181549  -48.86999893],[-114.20732117  -48.87010956],[-121.30099487  -48.87055588],1.4964319537163493,0.331580317317942,0.3377850742203656,0.21703840880745365
8,7.560737610848712,7.147941589371755,7.129089375759324,[-99.46208954 -48.86988068],[-107.02282715  -48.87000275],[-114.17076874  -48.87001801],[-121.29985809  -48.87055588],1.8566167310947361,0.6336974439230197,0.4246934315964267,1.4386987495822522e-05
9,7.684577943334653,7.172599792562636,7.180198691033875,[-99.25876617 -48.86988068],[-106.94334412  -48.87002945],[-114.11594391  -48.86999512],[-121.29614258  -48.87055206],2.141087684251594,0.9107359788926378,0.6475937629692385,0.043536245229616265
10,7.806114201087302,7.20709991457602,7.235748311291677,[-99.02732086 -48.86972046],[-106.83343506  -48.86997986],[-114.04053497  -48.86999893],[-121.27628326  -48.87054062],2.4428016868805393,1.2532680172261323,0.8042569944666043,0.3063631560161257
11,7.925392167859279,7.260116577184516,7.2820511005749315,[-98.76364136 -48.86936951],[-106.68903351  -48.86988831],[-113.94915009  -48.86986542],[-121.23120117  -48.87031937],2.7707990968181186,1.631748037239423,1.0194397047215786,0.564925282694027
12,8.04133610296636,7.3273696901092205,7.32241059877455,[-98.46864319 -48.8689003 ],[-106.50997925  -48.86973572],[-113.83734894  -48.86968613],[-121.15975952  -48.87015915],3.0741923335910686,1.9582304267860102,1.1812294329225377,0.8170943872403129
13,8.15497598768707,7.404273986982478,7.364219674444177,[-98.14409637 -48.86832809],[-106.29907227  -48.86958313],[-113.70334625  -48.86963272],[-121.06756592  -48.86999512],3.3736433217850994,2.2799408823260285,1.428314255469726,1.0058559546282337
14,8.265510738131713,7.488327027770236,7.413604740223433,[-97.78945923 -48.86771393],[-106.05496979  -48.86943436],[-113.54329681  -48.86957932],[-120.95690155  -48.86981964],3.6790065973712633,2.5768559552733836,1.6793341341914731,1.2331654714459124
15,8.375435145009634,7.579032902925918,7.4637985229735895,[-97.4056015  -48.86712646],[-105.78103638  -48.86925125],[-113.36006927  -48.86952591],[-120.8238678   -48.86950684],3.9638094489314057,2.888579680704235,1.908704616183271,1.4536088602478199
16,8.479965579196701,7.679618847547046,7.518218999878574,[-96.99347687 -48.86654282],[-105.47344208  -48.86904526],[-113.15306091  -48.86947632],[-120.67127991  -48.86918259],4.250201561666419,3.234618690689139,2.162082536174493,1.6399815975354783
17,8.579071513117674,7.7881241066290325,7.579040550706563,[-96.55281067 -48.86600113],[-105.13188171  -48.86883545],[-112.9200058   -48.86942291],[-120.49904633  -48.86882782],4.532191860723149,3.5624832705314713,2.4290844090296266,1.8473085883186704
18,8.673721884419335,7.902732878951411,7.6440430213157375,[-96.08447266 -48.86549759],[-104.75819397  -48.86864471],[-112.66092682  -48.86933136],[-120.30496979  -48.86843491],4.806607682034843,3.8844994422134063,2.6873284462117377,2.0632910234429116
19,8.763550475698235,8.02682498963821,7.710495094177095,[-95.58874512 -48.86505127],[-104.35229492  -48.86848068],[-112.37911987  -48.86926651],[-120.08961487  -48.86803055],5.08073741636747,4.202209787985658,2.930051172371965,2.2714394851755246
20,8.842766560105405,8.15454106079558,7.783447427397549,[-95.07236481 -48.86467361],[-103.91513062  -48.86832047],[-112.06967163  -48.86917877],[-119.8531189   -48.86759186],5.162348555072909,4.509210851617067,3.2322741439243297,2.4833737797884043
21,8.89189228634531,8.280738887254063,7.865448247220118,[-94.55651093 -48.86436462],[-103.4484024   -48.86815262],[-111.72914124  -48.86912155],[-119.59458923  -48.86714172],5.215997136552218,4.791677187617502,3.5373788551973626,2.6955720241316117
22,8.933609851163355,8.403938358456294,7.956085573833344,[-94.02152252 -48.86413574],[-102.95513153  -48.86801529],[-111.35906982  -48.86906052],[-119.31515503  -48.86663818],5.508047725290404,5.044728861850063,3.8319059091111605,2.902648969796784
23,8.988694091062062,8.518638682671513,8.05312396487161,[-93.45198059 -48.86398315],[-102.44067383  -48.86790085],[-110.95931244  -48.86900711],[-119.01243591  -48.86619568],5.847900410837453,5.138837880995414,4.131961874847218,3.1527789887579885
24,9.071587448265829,8.604675367556682,8.153183577612975,[-92.85422516 -48.86391449],[-101.92581177  -48.86781693],[-110.53048706  -48.86894989],[-118.68367004  -48.8658371 ],6.095802317439978,5.178363352839508,4.408802072931351,3.408757798982166
25,9.158158144700865,8.6854782853418,8.253525459852069,[-92.23236084 -48.86392975],[-101.39051819  -48.86774826],[-110.0759964   -48.86888885],[-118.32952118  -48.86553955],6.3489271335707365,5.51798535160539,4.653009439265755,3.6609596261530806
26,9.229302191343399,8.78492743781837,8.352921298630042,[-91.58245087 -48.86403275],[-100.81175232  -48.86772537],[-109.59667969  -48.86883163],[-117.94960022  -48.86525345],6.641972373933549,5.9591393471730925,4.915940295645058,3.9171447864530773
27,9.295136156269932,8.890281743256335,8.454598328580525,[-90.90353394 -48.86421585],[-100.19866943  -48.86771393],[-109.08895111  -48.8687973 ],[-117.54354858  -48.86499405],6.922552192632067,6.232494837640258,5.1912908584896,4.180746096250546
28,9.36454829747549,9.011062681808488,8.537774075466046,[-90.19754028 -48.86448288],[-99.56208801 -48.86774445],[-108.57315063  -48.86878204],[-117.11092377  -48.86476898],7.191156275291616,6.471779855459283,5.1477026947179665,4.4465721192082714
29,9.431328295221421,9.154769949141008,8.602746073961463,[-89.4642334  -48.86480713],[-98.89556122 -48.86780167],[-108.05033112  -48.86877441],[-116.65307617  -48.86458969],7.4678827728813895,6.816319051976518,5.316968917886734,4.677888525973779
30,9.490143201168634,9.302757304558225,8.677498930645218,[-88.70302582 -48.86520386],[-98.19316864 -48.86788559],[-107.4959259   -48.86876297],[-116.17342377  -48.86445999],7.745932957755351,7.161710367417602,5.7255497002956295,4.897388970131352
31,9.545379926036755,9.43843081821402,8.771729624086515,[-87.91434479 -48.86567307],[-97.45972443 -48.86801529],[-106.89815521  -48.86879349],[-115.66988373  -48.8643837 ],8.017875498541414,7.456085352985726,6.143808853049639,5.154811382414305
32,9.597870079611669,9.566383385914483,8.891045740767172,[-87.09884644 -48.86616135],[-96.69671631 -48.86815262],[-106.26309967  -48.86883163],[-115.15414429  -48.86436081],8.28132311555692,7.761839082700221,6.500444904439866,5.125673306674644
33,9.644271995981033,9.689277664497041,9.046853218411313,[-86.25754547 -48.86664581],[-95.90181732 -48.86832047],[-105.59109497  -48.86886978],[-114.63794708  -48.86439514],8.53506812659351,8.084053242227585,6.892359281931407,5.189481356634372
34,9.684333898639585,9.801895150583405,9.230370637721107,[-85.39125061 -48.86713791],[-95.07558441 -48.8685112 ],[-104.87747955  -48.86893082],[-114.10784912  -48.86448669],8.781920915377977,8.388008324653141,7.313148538995329,5.410363924783707
35,9.7192764877552,9.903388981990862,9.417916362405547,[-84.50058746 -48.86763   ],[-94.21986389 -48.86870575],[-104.12325287  -48.86901855],[-113.54116821  -48.86463928],9.02209694080843,8.68082542565854,7.706147720954751,5.880082048385759
36,9.748458895533828,9.996032717045601,9.592377653680867,[-83.58629608 -48.8680954 ],[-93.33475494 -48.8689003 ],[-103.33078766  -48.86911011],[-112.92316437  -48.86485291],9.254662590805527,8.975742513596101,8.089090397727908,6.381556627972182
37,9.771308914366319,10.078987122517605,9.761132143224028,[-82.64911652 -48.86852264],[-92.42042542 -48.86907196],[-102.49941254  -48.86920929],[-112.26054382  -48.86511993],9.480068067050233,9.26345553828607,8.48164659152165,6.803908672259813
38,9.7883300832458,10.151039123882073,9.925644665720474,[-81.68975067 -48.86890411],[-91.47808075 -48.86922073],[-101.62911987  -48.86930466],[-111.55476379  -48.86545944],9.698761606332138,9.539497507733675,8.86483006929538,7.262873261235732
39,9.799674988601518,10.212966918990908,10.076546337165968,[-80.70886993 -48.86924744],[-90.50854492 -48.86937332],[-100.72151184  -48.86940384],[-110.79805756  -48.8658638 ],9.91059921366932,9.809282424744302,9.23280721100308,7.805070859837878
