,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,19.279693603515625,19.279708862304688,19.279708862304688,[-100.          -48.86999893],[-119.2796936   -48.86999893],[-138.55940247  -48.86999893],[-157.83911133  -48.86999893]
1,19.279693603515625,19.279708862304688,19.279708862304688,[-100.          -48.86999893],[-119.2796936   -48.86999893],[-138.55940247  -48.86999893],[-157.83911133  -48.86999893]
2,19.279693603515625,19.279708862304688,19.279708862304688,[-100.          -48.86999893],[-119.2796936   -48.86999893],[-138.55940247  -48.86999893],[-157.83911133  -48.86999893]
3,19.281639099121094,19.27971649169922,19.279693603515625,[-99.99635315 -48.86999893],[-119.27799225  -48.86999893],[-138.55770874  -48.86999893],[-157.83740234  -48.86999893]
4,19.300888061523814,19.278785705821534,19.280334472674742,[-99.95761871 -48.86987686],[-119.25850677  -48.86988068],[-138.53729248  -48.86997986],[-157.81762695  -48.86995316]
5,19.379013061758098,19.2817535400451,19.279083251971617,[-99.87469482 -48.87005615],[-119.25370789  -48.86996078],[-138.53546143  -48.86997604],[-157.81454468  -48.86994934]
6,19.477470397986576,19.283638000562235,19.276535034198183,[-99.76821899 -48.86988831],[-119.24568939  -48.86992645],[-138.52932739  -48.86997986],[-157.80586243  -48.86995316]
7,19.582214356155763,19.288246154788553,19.2726287843794,[-99.63518524 -48.86982346],[-119.2173996   -48.86998749],[-138.50564575  -48.86997604],[-157.77827454  -48.86988831]
8,19.705215454221197,19.30275726318397,19.271362304701093,[-99.46208954 -48.86988068],[-119.16730499  -48.86994934],[-138.47006226  -48.86994553],[-157.74142456  -48.86992264]
9,19.82710266125171,19.3335189822723,19.270034790102873,[-99.25876617 -48.86988068],[-119.08586884  -48.86981201],[-138.41938782  -48.86992645],[-157.68942261  -48.86987686]
10,19.940559387259576,19.378509522499634,19.274658203209935,[-99.02732086 -48.86972046],[-118.96788025  -48.86976624],[-138.34638977  -48.8699646 ],[-157.62104797  -48.86990738]
11,20.058151246379897,19.434661867340264,19.27935791033891,[-98.76364136 -48.86936951],[-118.8217926   -48.86959457],[-138.25645447  -48.86988068],[-157.53581238  -48.8699646 ]
12,20.17439271013347,19.50051880104033,19.29449462894396,[-98.46864319 -48.8689003 ],[-118.64303589  -48.86953354],[-138.14355469  -48.86982727],[-157.43804932  -48.86986542]
13,20.284774811488486,19.57488251082153,19.324295044067306,[-98.14409637 -48.86832809],[-118.42887115  -48.86945343],[-138.00375366  -48.86982346],[-157.32804871  -48.86975479]
14,20.39376837620784,19.659362798751584,19.35440063542877,[-97.78945923 -48.86771393],[-118.18322754  -48.86935043],[-137.84259033  -48.86982727],[-157.19699097  -48.86966705]
15,20.50358592513052,19.748603829090435,19.38162231608839,[-97.4056015  -48.86712646],[-117.90918732  -48.86924744],[-137.65779114  -48.86981964],[-157.03941345  -48.86956787]
16,20.60830704850083,19.845481882419485,19.41967773671331,[-96.99347687 -48.86654282],[-117.60178375  -48.86914062],[-137.44726562  -48.86976624],[-156.86694336  -48.86946487]
17,20.707496865139948,19.951698316666167,19.469421390760818,[-96.55281067 -48.86600113],[-117.26030731  -48.86903381],[-137.21200562  -48.86976624],[-156.681427    -48.86936951]
18,20.802955909486005,20.063697830933958,19.527252202631143,[-96.08447266 -48.86549759],[-116.88742828  -48.86892319],[-136.9511261   -48.86972427],[-156.4783783   -48.86926651]
19,20.893791540035977,20.18445589065107,19.591232307293364,[-95.58874512 -48.86505127],[-116.48253632  -48.86882782],[-136.66699219  -48.8697052 ],[-156.25822449  -48.86916351]
20,20.974007052232157,20.308853169368007,19.665969859075044,[-95.07236481 -48.86467361],[-116.04637146  -48.86876678],[-136.35522461  -48.86966705],[-156.02119446  -48.86902618]
21,21.024391622495145,20.431991599227374,19.752502455269706,[-94.55651093 -48.86436462],[-115.5809021   -48.86870575],[-136.01289368  -48.86965561],[-155.76539612  -48.86891556]
22,21.06752062411753,20.552070640877197,19.849884050623004,[-94.02152252 -48.86413574],[-115.08904266  -48.86864471],[-135.64111328  -48.86962128],[-155.49099731  -48.86878967]
23,21.12405445604326,20.66380312644534,19.959045432217017,[-93.45198059 -48.86398315],[-114.57603455  -48.86858368],[-135.23983765  -48.86961746],[-155.19888306  -48.86867905]
24,21.208527121949885,20.74712374478319,20.073944119008758,[-92.85422516 -48.86391449],[-114.06275177  -48.86856842],[-134.80987549  -48.86961746],[-154.88381958  -48.86857224]
25,21.29680683813578,20.825309780225588,20.189666780914997,[-92.23236084 -48.86392975],[-113.52916718  -48.86855698],[-134.35447693  -48.86961365],[-154.54414368  -48.86846161]
26,21.369667529721543,20.922378567303415,20.30577091304445,[-91.58245087 -48.86403275],[-112.95211792  -48.86854553],[-133.87449646  -48.86961365],[-154.18026733  -48.8683548 ]
27,21.437149492825014,21.026046777969846,20.424392746107703,[-90.90353394 -48.86421585],[-112.34068298  -48.86858368],[-133.36672974  -48.86960983],[-153.79112244  -48.86824036]
28,21.508148591600964,21.145904563741997,20.52438359774142,[-90.19754028 -48.86448288],[-111.70568848  -48.86862183],[-132.85159302  -48.8696022 ],[-153.37597656  -48.86812973]
29,21.57651554174849,21.289070150245553,20.606536922864276,[-89.4642334  -48.86480713],[-111.0407486   -48.86865997],[-132.32981873  -48.8696022 ],[-152.93635559  -48.86806107]
30,21.63679533416619,21.436668412874933,20.6988983774368,[-88.70302582 -48.86520386],[-110.33982086  -48.86874771],[-131.77648926  -48.86959839],[-152.47538757  -48.86799622]
31,21.693329091271625,21.57218171501695,20.810760562692497,[-87.91442108 -48.86565018],[-109.60774994  -48.86883545],[-131.17993164  -48.86959457],[-151.99069214  -48.86795425]
32,21.746704282309622,21.700103769685022,20.932678287825265,[-87.09934998 -48.86612701],[-108.84605408  -48.86893082],[-130.54615784  -48.86958694],[-151.47883606  -48.86793518]
33,21.793853893114786,21.82312775388495,21.086868352026066,[-86.25850677 -48.86661148],[-108.05236053  -48.86902237],[-129.87548828  -48.86958694],[-150.96235657  -48.86791992]
34,21.834770298729353,21.93588257321568,21.272796696475986,[-85.39253998 -48.86709976],[-107.22731018  -48.86914825],[-129.16319275  -48.86960983],[-150.43598938  -48.867939  ]
35,21.870513979257414,22.037597660030013,21.464111394649972,[-84.50218201 -48.86759186],[-106.37269592  -48.86925507],[-128.41029358  -48.86966324],[-149.87440491  -48.86797333]
36,21.90032962915858,22.130615236694826,21.647392334807687,[-83.58824921 -48.86804581],[-105.4885788   -48.86935806],[-127.61919403  -48.8696785 ],[-149.2665863   -48.86804199]
37,21.92381288881857,22.214004518116102,21.82829290436391,[-82.65136719 -48.86846161],[-104.57518005  -48.86945724],[-126.78918457  -48.86971664],[-148.61747742  -48.86812973]
38,21.941452037839493,22.286544800792267,22.00479894312805,[-81.69223785 -48.86884689],[-103.63368988  -48.86955643],[-125.92023468  -48.86976624],[-147.92503357  -48.8682251 ]
39,21.953323369190795,22.349052429575565,22.167991682632334,[-80.71157837 -48.86919022],[-102.66490173  -48.86965561],[-125.01395416  -48.86978531],[-147.1819458  -48.8683815]
40,21.959327699519605,22.40180969247668,22.315208473195145,[-79.71005249 -48.86948013],[-101.66938019  -48.86975861],[-124.07118988  -48.86982346],[-146.38639832  -48.86851883]
41,21.95971679719341,22.44435882568651,22.45523074185839,[-78.6883316  -48.86973953],[-100.6480484   -48.86985779],[-123.09240723  -48.86984634],[-145.54763794  -48.86870575]
42,21.954795837429188,22.476943969897803,22.58576204503807,[-77.64707947 -48.86999512],[-99.60187531 -48.86996078],[-122.07881927  -48.86987305],[-144.6645813   -48.86889648]
43,21.944732666572975,22.500038147686993,22.700851454163423,[-76.58690643 -48.87021255],[-98.5316391  -48.87005615],[-121.03167725  -48.86987686],[-143.73252869  -48.86908722]
44,21.929779054857796,22.513702393354077,22.80329133113881,[-75.508461   -48.87041473],[-97.43824005 -48.87010956],[-119.95194244  -48.86992264],[-142.75523376  -48.86923599]
45,21.910263065541603,22.5181121838195,22.895362860411858,[-74.41234589 -48.8705864 ],[-96.32260895 -48.87016678],[-118.84072113  -48.86993408],[-141.73608398  -48.8693924 ]
46,21.886505133376204,22.51372528248394,22.97602844567751,[-73.29914093 -48.8707428 ],[-95.18564606 -48.87021255],[-117.69937134  -48.86993408],[-140.67539978  -48.86954498]
47,21.85873413916896,22.501312257877448,23.038253785816902,[-72.16946411 -48.87086868],[-94.02819824 -48.87026596],[-116.5295105  -48.8699646],[-139.56776428  -48.86968994]
48,21.827323923666473,22.481582644165123,23.081474304542503,[-71.02383423 -48.87097168],[-92.85115814 -48.87030792],[-115.33274078  -48.86996841],[-138.41421509  -48.86984253]
49,21.7926483279953,22.454658510925416,23.114036560069927,[-69.86283875 -48.87105179],[-91.65548706 -48.87031174],[-114.11014557  -48.86996841],[-137.22418213  -48.86994553]
50,21.755165114846786,22.42079162810573,23.135223388725024,[-68.68698883 -48.87111282],[-90.44215393 -48.87031174],[-112.86294556  -48.87000275],[-135.99816895  -48.87005234]
51,21.715126054260054,22.380691530400952,23.14024353070389,[-67.49681854 -48.87116623],[-89.21194458 -48.87031555],[-111.59263611  -48.87001038],[-134.73287964  -48.87015152]
52,21.67276765676559,22.334823610483348,23.12873840430685,[-66.29283905 -48.87118912],[-87.96560669 -48.87031555],[-110.3004303   -48.87001038],[-133.4291687  -48.870224 ]
