,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,9.186775207519531,9.186775207519531,9.186775207519531,[-100.          -48.86999893],[-109.18677521  -48.86999893],[-118.37355042  -48.86999893],[-127.56032562  -48.86999893]
1,9.186775207519531,9.186775207519531,9.186775207519531,[-100.          -48.86999893],[-109.18677521  -48.86999893],[-118.37355042  -48.86999893],[-127.56032562  -48.86999893]
2,9.186775207519531,9.186775207519531,9.186775207519531,[-100.          -48.86999893],[-109.18677521  -48.86999893],[-118.37355042  -48.86999893],[-127.56032562  -48.86999893]
3,9.188720703125,9.186775207519531,9.186782836914062,[-99.99635315 -48.86999893],[-109.18507385  -48.86999893],[-118.37184906  -48.86999893],[-127.5586319   -48.86999893]
4,9.207771302533848,9.186332702732555,9.1866760258096,[-99.95761871 -48.86987686],[-109.16539001  -48.87002945],[-118.35172272  -48.87007141],[-127.53839874  -48.86998367]
5,9.288909912109375,9.184020997009581,9.189430238020696,[-99.87469482 -48.87005615],[-109.16360474  -48.87005615],[-118.34762573  -48.87018585],[-127.53705597  -48.87003708]
6,9.387374880106885,9.180946350592972,9.194572449934084,[-99.76821899 -48.86988831],[-109.15559387  -48.87009048],[-118.33654022  -48.87018585],[-127.53111267  -48.87003708]
7,9.49299622060376,9.17791748046875,9.20143127512573,[-99.63518524 -48.86982346],[-109.12818146  -48.87012482],[-118.30609894  -48.87012482],[-127.50753021  -48.87001038]
8,9.619560251357322,9.185264591508766,9.202514651189748,[-99.46208954 -48.86988068],[-109.08164978  -48.87031174],[-118.26691437  -48.87003708],[-127.46942902  -48.86981201]
9,9.745475776963632,9.20793915326241,9.20547485442932,[-99.25876617 -48.86988068],[-109.00424194  -48.87027359],[-118.21218109  -48.86996078],[-127.41765594  -48.86983109]
10,9.864021304580733,9.24745178374982,9.20873260821678,[-99.02732086 -48.86972046],[-108.89134216  -48.86997604],[-118.13879395  -48.8698082 ],[-127.34752655  -48.86956406]
11,9.981948861519982,9.3018569947611,9.215454109616584,[-98.76364136 -48.86936951],[-108.74559021  -48.86979294],[-118.0474472   -48.86984253],[-127.26290131  -48.86945724]
12,10.096878071376544,9.368019113231647,9.23036194544166,[-98.46864319 -48.8689003 ],[-108.56552124  -48.86952972],[-117.93354034  -48.86994553],[-127.16390228  -48.86958694]
13,10.209404026822552,9.439575217588414,9.255180364172789,[-98.14409637 -48.86832809],[-108.35350037  -48.86917496],[-117.79307556  -48.86982346],[-127.04825592  -48.86951065]
14,10.319336010152151,9.52178194955591,9.287017823582612,[-97.78945923 -48.86771393],[-108.10879517  -48.86893845],[-117.63057709  -48.86967087],[-126.91759491  -48.86951447]
15,10.424972673633466,9.617012048711821,9.324501037600777,[-97.4056015  -48.86712646],[-107.83057404  -48.86883163],[-117.44758606  -48.86952209],[-126.7720871   -48.86951447]
16,10.525749453737868,9.720771804643451,9.369567872399134,[-96.99347687 -48.86654282],[-107.51922607  -48.86882401],[-117.23999786  -48.86936569],[-126.60956573  -48.86952209]
17,10.622566608430535,9.831848149507277,9.423034675690209,[-96.55281067 -48.86600113],[-107.17537689  -48.86886215],[-117.00722504  -48.86917496],[-126.4302597   -48.86955643]
18,10.715126579094317,9.950004577873644,9.484329242302314,[-96.08447266 -48.86549759],[-106.79959869  -48.86890411],[-116.74960327  -48.86897278],[-126.2339325   -48.86956787]
19,10.80397104032409,10.075683595483834,9.551292457656531,[-95.58874512 -48.86505127],[-106.39271545  -48.86894989],[-116.46839905  -48.86876297],[-126.01969147  -48.86961746]
20,10.882447145817139,10.204017648426932,9.628326480007573,[-95.07236481 -48.86467361],[-105.9548111   -48.86899185],[-116.15882874  -48.86855698],[-125.78715515  -48.86966705]
21,10.931000754714342,10.331840538207889,9.716034032060811,[-94.55651093 -48.86436462],[-105.48751068  -48.86903763],[-115.8193512   -48.86834717],[-125.53538513  -48.86971664]
22,10.972497149922983,10.456848188019244,9.813224928936581,[-94.02152252 -48.86413574],[-104.99401855  -48.86908722],[-115.4508667   -48.86813354],[-125.26409149  -48.86977005]
23,11.027482279810421,10.573036259129418,9.922950919963268,[-93.45198059 -48.86398315],[-104.47946167  -48.86912918],[-115.05249786  -48.86795425],[-124.97544861  -48.86981964]
24,11.110337552675995,10.660835357537467,10.040481784208266,[-92.85422516 -48.86391449],[-103.96456146  -48.86918259],[-114.62539673  -48.86778641],[-124.6658783   -48.86987305]
25,11.197030392864145,10.743423591247357,10.157867683522548,[-92.23236084 -48.86392975],[-103.42938995  -48.86928177],[-114.17281342  -48.86761475],[-124.33068085  -48.86987686]
26,11.268586459796595,10.844291846139823,10.274162580740938,[-91.58245087 -48.86403275],[-102.85103607  -48.86935043],[-113.69532776  -48.86749268],[-123.96949005  -48.86992645]
27,11.334954512895974,10.950836376103814,10.393089619101769,[-90.90353394 -48.86421585],[-102.23848724  -48.86944199],[-113.18932343  -48.86737823],[-123.58241272  -48.86997604]
28,11.404877822266355,11.069931254440053,10.496010183032698,[-90.19754028 -48.86448288],[-101.60241699  -48.86952209],[-112.67234802  -48.86729431],[-123.16835785  -48.87002945]
29,11.472260509287395,11.215767144973755,10.576340085279442,[-89.4642334  -48.86480713],[-100.93649292  -48.86956787],[-112.15225983  -48.86725616],[-122.72859955  -48.87002945]
30,11.531754403746215,11.369301097902639,10.662170781826035,[-88.70302582 -48.86520386],[-100.23477936  -48.86966705],[-111.6040802   -48.86725616],[-122.26625061  -48.87007141]
31,11.587654835349044,11.508537551438852,10.769104367907355,[-87.91442108 -48.86565018],[-99.5020752  -48.86973953],[-111.01061249  -48.86729813],[-121.77971649  -48.87009811]
32,11.640495877544994,11.638244888189469,10.888809554358623,[-87.09934998 -48.86612701],[-98.73984528 -48.86979294],[-110.3780899   -48.86733627],[-121.26689911  -48.87009811]
33,11.687256306001432,11.7629396885999,11.041389779978251,[-86.25850677 -48.86661148],[-97.94576263 -48.86984253],[-109.70870209  -48.86748886],[-120.75009155  -48.87012482]
34,11.727936123438374,11.875213846570073,11.219299605792136,[-85.39253998 -48.86709976],[-97.12047577 -48.86989212],[-108.99568939  -48.86758804],[-120.21498871  -48.87013626]
35,11.763550040150184,11.978454785812145,11.39292932105962,[-84.50218201 -48.86759186],[-96.26573181 -48.86994553],[-108.2441864   -48.86777878],[-119.63711548  -48.87013626]
36,11.793312234485285,12.076095751579224,11.558250631054733,[-83.58824921 -48.86804581],[-95.38156128 -48.86999893],[-107.45765686  -48.86796951],[-119.01590729  -48.87014008]
37,11.816841232043672,12.163543841298532,11.725471656087567,[-82.65136719 -48.86846161],[-94.46820831 -48.87004852],[-106.63175201  -48.86820221],[-118.35722351  -48.87013626]
38,11.834594793109513,12.238762014349941,11.889488343587717,[-81.69223785 -48.86884689],[-93.52683258 -48.87010193],[-105.76559448  -48.86844254],[-117.6550827   -48.87015533]
39,11.846679723172011,12.304321370893598,12.04169472974723,[-80.71157837 -48.86919022],[-92.55825806 -48.87010956],[-104.86257935  -48.86869049],[-116.90427399  -48.87015152]
40,11.852966325713446,12.360015930176177,12.185447759083159,[-79.71005249 -48.86948013],[-91.5630188  -48.87011719],[-103.92303467  -48.86888885],[-116.10848236  -48.87015915]
41,11.853698736484734,12.404533428674272,12.321823166411885,[-78.6883316  -48.86973953],[-90.54203033 -48.87011719],[-102.94656372  -48.86909103],[-115.26838684  -48.87015915]
42,11.849151611956911,12.438789395220066,12.446052581659359,[-77.64707947 -48.86999512],[-89.49623108 -48.87011719],[-101.93502045  -48.8692894 ],[-114.381073    -48.87015915]
43,11.839530945208312,12.463424698127765,12.557586687869597,[-76.58690643 -48.87021255],[-88.42643738 -48.87011719],[-100.88986206  -48.86949539],[-113.44744873  -48.87016678]
44,11.82501221077475,12.478096016419844,12.657928476661262,[-75.508461   -48.87041473],[-87.33347321 -48.87011719],[-99.81156921 -48.86966705],[-112.46949768  -48.87016678]
45,11.805969247605175,12.483070377081313,12.745193486277229,[-74.41234589 -48.8705864 ],[-86.21831512 -48.87011719],[-98.7013855  -48.86981964],[-111.44657898  -48.87017059]
46,11.782699601569538,12.479072571687604,12.817832948371853,[-73.29914093 -48.8707428 ],[-85.08184052 -48.87011719],[-97.56091309 -48.86996841],[-110.37874603  -48.87017059]
47,11.755439782321375,12.466644287114628,12.876701355143767,[-72.16946411 -48.87086868],[-83.92490387 -48.87011719],[-96.39154816 -48.87010574],[-109.26824951  -48.87017059]
48,11.724533112192683,12.446571350434372,12.923049926814114,[-71.02383423 -48.87097168],[-82.74836731 -48.87011719],[-95.19493866 -48.87020874],[-108.11798859  -48.87017059]
49,11.690383948491668,12.419090272519938,12.956443787809377,[-69.86283875 -48.87105179],[-81.55322266 -48.87011719],[-93.97231293 -48.87031174],[-106.92875671  -48.87013626]
50,11.653419537161101,12.384452822540853,12.976921084290323,[-68.68698883 -48.87111282],[-80.34040833 -48.87011719],[-92.72486115 -48.87037659],[-105.70178223  -48.87010956]
51,11.613891648940616,12.343299869686227,12.985473636860776,[-67.49681854 -48.87116623],[-79.11071014 -48.87011719],[-91.45401001 -48.87042999],[-104.43948364  -48.87010574]
52,11.57204442220556,12.296211248129106,12.98223114574127,[-66.29283905 -48.87118912],[-77.86488342 -48.87011719],[-90.16109467 -48.8704834 ],[-103.14332581  -48.87010193]
53,11.528114369395746,12.243583685261337,12.967269905273717,[-65.0756073  -48.87119675],[-76.60372162 -48.87011719],[-88.8473053  -48.87050247],[-101.8145752   -48.87005234]
54,11.482360890593258,12.185974127305732,12.941078194131375,[-63.84562683 -48.87119675],[-75.32798767 -48.87011719],[-87.51396179 -48.87050629],[-100.45503998  -48.87004852]
55,11.43505483001219,12.123939520403924,12.904159554017818,[-62.6033287  -48.87119675],[-74.03838348 -48.87011719],[-86.162323   -48.87050629],[-99.06648254 -48.87004852]
56,11.386451772730696,12.05801392229353,12.856941231293732,[-61.34915924 -48.87120056],[-72.73561096 -48.87011719],[-84.79362488 -48.87050629],[-97.6505661  -48.87004852]
57,11.336788229255305,11.988655096646257,12.800071724494,[-60.08356857 -48.87120056],[-71.42035675 -48.87011719],[-83.40901184 -48.87050629],[-96.20908356 -48.87004852]
58,11.286304522985441,11.916366583500967,12.734252937915214,[-58.80695724 -48.87117004],[-70.09326172 -48.87011719],[-82.0096283  -48.87050629],[-94.74388123 -48.87004852]
59,11.235218093573604,11.84161377592388,12.660148628881343,[-57.5197258  -48.87112808],[-68.75494385 -48.87011719],[-80.59655762 -48.87050629],[-93.25670624 -48.87004852]
60,11.183727309063007,11.764846808192155,12.578536995634256,[-56.22227097 -48.87111664],[-67.40599823 -48.87011719],[-79.17084503 -48.87050629],[-91.74938202 -48.87004852]
61,11.132026717229401,11.686500555793886,12.490188608326758,[-54.91496277 -48.87111664],[-66.04698944 -48.87011719],[-77.73348999 -48.87050629],[-90.22367859 -48.87001419]
62,11.080284160022456,11.60696411784999,12.395866403810677,[-53.59818268 -48.87107468],[-64.6784668  -48.87011719],[-76.28543091 -48.87050629],[-88.6812973  -48.87001419]
63,11.028659859834432,11.526660925886157,12.296371469960935,[-52.27226257 -48.87104797],[-63.30092239 -48.87011719],[-74.82758331 -48.8705101 ],[-87.12395477 -48.87001419]
64,10.977287331942078,11.445983893462655,12.192436228346962,[-50.93755341 -48.87104797],[-61.9148407  -48.87011719],[-73.36082458 -48.8705101 ],[-85.5532608  -48.87001419]
65,10.92630008847388,11.365219123002767,12.084861765546112,[-49.5943985  -48.87104797],[-60.52069855 -48.87011719],[-71.88591766 -48.8705101 ],[-83.97077942 -48.87001419]
66,10.875831639702545,11.284732825443786,11.974342356460337,[-48.24309921 -48.87099838],[-59.11893082 -48.87011719],[-70.40366364 -48.8705101 ],[-82.37800598 -48.87001419]
67,10.825992619473181,11.204788214896888,11.861648569936804,[-46.88396835 -48.87099075],[-57.70996094 -48.87011719],[-68.91474915 -48.8705101 ],[-80.77639771 -48.87001419]
68,10.77686313354987,11.125690466876309,11.747398386612563,[-45.51729965 -48.87099075],[-56.29416275 -48.87011719],[-67.41985321 -48.87050247],[-79.16725159 -48.87001419]
69,10.728515660564891,11.047702794406797,11.632278450655013,[-44.14338303 -48.87099075],[-54.87189865 -48.87011719],[-65.91960144 -48.87045288],[-77.55187988 -48.87001419]
70,10.681030305514701,10.971019750008852,11.516799935112958,[-42.76249313 -48.87094498],[-53.44352341 -48.87011719],[-64.41454315 -48.87045288],[-75.93134308 -48.87001419]
71,10.63448336902881,10.895854955122406,11.401294716691744,[-41.37490082 -48.87093735],[-52.00938416 -48.87011719],[-62.90523911 -48.87045288],[-74.30653381 -48.87001419]
72,10.588901551538,10.822383885821575,11.286735543193423,[-39.98085785 -48.87093735],[-50.56975937 -48.87011719],[-61.39214325 -48.87045288],[-72.67887878 -48.87001419]
73,10.544334443517952,10.75076294469415,11.17368698981288,[-38.580616   -48.87093735],[-49.12495041 -48.87011719],[-59.87571335 -48.87045288],[-71.04940033 -48.87001419]
74,10.500820189601933,10.681114202052544,11.062412270661223,[-37.17440796 -48.87090683],[-47.67522812 -48.87011719],[-58.35634232 -48.87045288],[-69.41875458 -48.87001419]
75,10.45837786765775,10.613559728209166,10.953372964107189,[-35.76247025 -48.87090302],[-46.22084808 -48.87011719],[-56.83440781 -48.87045288],[-67.78778076 -48.87001419]
76,10.417030364112826,10.548168187714735,10.84700394563865,[-34.34502411 -48.87090302],[-44.76205444 -48.87011719],[-55.31022263 -48.87045288],[-66.15722656 -48.87001419]
77,10.376777675315278,10.485034948000804,10.743568429366634,[-32.92228317 -48.87085724],[-43.29906082 -48.87011719],[-53.78409576 -48.87045288],[-64.52766418 -48.87001419]
78,10.33762362240847,10.424201970615094,10.643306741062036,[-31.49445724 -48.87085342],[-41.83208084 -48.87011719],[-52.25628281 -48.87044907],[-62.89958954 -48.87001419]
79,10.299577739326605,10.365688327818361,10.546524054889145,[-30.06174278 -48.87085342],[-40.3613205  -48.87011719],[-50.72700882 -48.87039948],[-61.27353287 -48.87001419]
80,10.262624767009244,10.309543613483827,10.45338440651435,[-28.62433052 -48.87085342],[-38.88695526 -48.87011719],[-49.19649887 -48.87039948],[-59.64988327 -48.87001419]
81,10.22677042750222,10.255733493875198,10.364009864339252,[-27.18240166 -48.87085342],[-37.40917206 -48.87011719],[-47.66490555 -48.87039948],[-58.02891541 -48.87001419]
82,10.191991830199722,10.204269413084244,10.27845764882269,[-25.7361393  -48.87081909],[-35.9281311  -48.87011719],[-46.13240051 -48.87039948],[-56.41085815 -48.87001419]
83,10.158267998318898,10.155143741716413,10.196964271194853,[-24.28571701 -48.87080765],[-34.44398499 -48.87011719],[-44.59912872 -48.87039948],[-54.79609299 -48.87001419]
84,10.12559320896591,10.108299259312721,10.119628913584464,[-22.83129311 -48.87080765],[-32.95688629 -48.87011719],[-43.06518555 -48.87039948],[-53.18481445 -48.87001419]
85,10.09394648052409,10.063688282157342,10.046417243716038,[-21.3730278  -48.87080765],[-31.46697426 -48.87011719],[-41.53066254 -48.87039948],[-51.57707977 -48.87001419]
86,10.063308738986546,10.021282200020774,9.97733307643476,[-19.91106796 -48.87080002],[-29.97437668 -48.87011719],[-39.99565887 -48.87039948],[-49.97299194 -48.87001038]
87,10.033653279259726,9.981002811609086,9.912403114326256,[-18.44556808 -48.87075043],[-28.47922134 -48.87011719],[-38.46022415 -48.87039948],[-48.37262726 -48.87001038]
88,10.004949589741859,9.942804340555085,9.85153961950039,[-16.9766655  -48.87075043],[-26.98161507 -48.87011719],[-36.9244194  -48.87039948],[-46.77595901 -48.87001038]
89,9.977190037795662,9.906597141473052,9.794689186195379,[-15.50449181 -48.87075043],[-25.48168182 -48.87011719],[-35.38827896 -48.87039948],[-45.18296814 -48.87001038]
90,9.950344105843044,9.87232780860127,9.741733558795985,[-14.02917671 -48.87075043],[-23.9795208  -48.87011719],[-33.8518486  -48.87039948],[-43.59358215 -48.87001038]
91,9.92437650769167,9.839916231910005,9.692604070887471,[-12.55085087 -48.87075043],[-22.47522736 -48.870121  ],[-32.31514359 -48.87034988],[-42.00774765 -48.87001038]
92,9.899272938711524,9.809272768695289,9.647203451275125,[-11.06962776 -48.87075043],[-20.96890068 -48.870121  ],[-30.77817345 -48.87034607],[-40.42537689 -48.87001038]
93,9.875002881082482,9.780326845851366,9.605367666388453,[ -9.58562374 -48.87075043],[-19.4606266 -48.870121 ],[-29.24095345 -48.87034607],[-38.84632111 -48.87001038]
94,9.851544397251681,9.752996447299054,9.566970831084848,[ -8.09895039 -48.87070084],[-17.95049477 -48.870121  ],[-27.70349121 -48.87034607],[-37.27046204 -48.87001038]
95,9.828869836519871,9.727201464395785,9.531864172170993,[ -6.60971165 -48.87069702],[-16.43858147 -48.870121  ],[-26.16578293 -48.87034607],[-35.69764709 -48.87001038]
96,9.806954400766573,9.702864649521944,9.499872213572736,[ -5.11801338 -48.87069702],[-14.92496777 -48.870121  ],[-24.62783241 -48.87034607],[-34.12770462 -48.87001038]
97,9.78577257898007,9.67990589403497,9.47085571883993,[ -3.62395167 -48.87069702],[-13.40972424 -48.870121  ],[-23.08963013 -48.87034607],[-32.56048584 -48.87001038]
98,9.765297191442375,9.658247950315252,9.4446430265957,[ -2.12762141 -48.87069702],[-11.89291859 -48.870121  ],[-21.55116653 -48.87034607],[-30.99580956 -48.87001038]
99,9.745509820318269,9.637807848697278,9.421064382811803,[ -0.62911254 -48.87069702],[-10.37462234 -48.870121  ],[-20.01243019 -48.87034607],[-29.43349457 -48.87001038]
100,9.726382390709224,9.6185178783046,9.39995957020316,[  0.87148678 -48.87067795],[ -8.85489559 -48.870121  ],[-18.47341347 -48.87034607],[-27.87337303 -48.87001038]
101,9.707896725200136,9.600305083052026,9.381151205347015,[  2.37409306 -48.87067413],[ -7.33380365 -48.870121  ],[-16.93410873 -48.87034607],[-26.31525993 -48.87001038]
102,9.69002749071161,9.583100798388795,9.364482885655557,[  3.87862563 -48.8706665 ],[ -5.81140184 -48.870121  ],[-15.39450264 -48.87034607],[-24.75898552 -48.87001038]
103,9.672753346954114,9.566844465995825,9.349785810774877,[  5.38500738 -48.87062073],[ -4.28774595 -48.870121  ],[-13.85459042 -48.87034607],[-23.20437622 -48.87001038]
