,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,10.286941528320312,10.286941528320312,10.286941528320312,[-100.          -48.86999893],[-110.28694153  -48.86999893],[-120.57388306  -48.86999893],[-130.86082458  -48.86999893]
1,10.286941528320312,10.286941528320312,10.286941528320312,[-100.          -48.86999893],[-110.28694153  -48.86999893],[-120.57388306  -48.86999893],[-130.86082458  -48.86999893]
2,10.286941528320312,10.286941528320312,10.286941528320312,[-100.          -48.86999893],[-110.28694153  -48.86999893],[-120.57388306  -48.86999893],[-130.86082458  -48.86999893]
3,10.288887023925781,10.286941528320312,10.286933898925781,[-99.99635315 -48.86999893],[-110.28524017  -48.86999893],[-120.5721817   -48.86999893],[-130.8591156   -48.86999893]
4,10.30797576906838,10.287109375057291,10.286575317440105,[-99.95761871 -48.86987686],[-110.26559448  -48.86985397],[-120.55270386  -48.86988831],[-130.83927917  -48.86992264]
5,10.389427186353492,10.285446167037462,10.288124084592177,[-99.87469482 -48.87005615],[-110.26412201  -48.86989212],[-120.54956818  -48.8698616 ],[-130.83769226  -48.86991119]
6,10.486663818376721,10.283210754451844,10.292167663644912,[-99.76821899 -48.86988831],[-110.25488281  -48.86990738],[-120.53809357  -48.86987305],[-130.83026123  -48.86991119]
7,10.590583801517546,10.282310485885132,10.296989442902836,[-99.63518524 -48.86982346],[-110.22576904  -48.86989594],[-120.50807953  -48.86986542],[-130.80506897  -48.86966324]
8,10.716712952051223,10.289596558296727,10.301544190640412,[-99.46208954 -48.86988068],[-110.17880249  -48.86978912],[-120.46839905  -48.86990738],[-130.76994324  -48.86975098]
9,10.843132019338888,10.313346862818367,10.315223694761805,[-99.25876617 -48.86988068],[-110.10189819  -48.86980057],[-120.41524506  -48.86982346],[-130.73046875  -48.86968613]
10,10.966369630371876,10.348999023494448,10.332038881017038,[-99.02732086 -48.86972046],[-109.99369049  -48.86989975],[-120.34268951  -48.86993408],[-130.67472839  -48.86975098]
11,11.088951136046303,10.398948672299491,10.347030639654767,[-98.76364136 -48.86936951],[-109.85259247  -48.87011719],[-120.25154114  -48.86987305],[-130.59857178  -48.8698616 ]
12,11.20774846919932,10.46179962443071,10.365150452471626,[-98.46864319 -48.8689003 ],[-109.6763916   -48.87002182],[-120.13819122  -48.86977768],[-130.50334167  -48.86990738]
13,11.32161723875308,10.542732245670928,10.385505682997975,[-98.14409637 -48.86832809],[-109.4657135   -48.86992264],[-120.00844574  -48.86954117],[-130.39395142  -48.86991501]
14,11.432892036121439,10.632492070258204,10.414886482311564,[-97.78945923 -48.86771393],[-109.22235107  -48.86980057],[-119.85484314  -48.86948013],[-130.26972961  -48.86988068]
15,11.543754853025339,10.723991394076213,10.453407289939124,[-97.4056015  -48.86712646],[-108.94935608  -48.86964798],[-119.67334747  -48.86962128],[-130.12675476  -48.86984253]
16,11.648910896646274,10.828224185612262,10.495620728648243,[-96.99347687 -48.86654282],[-108.64238739  -48.86949539],[-119.47061157  -48.86977005],[-129.9662323   -48.86992264]
17,11.748177048878908,10.942138687440776,10.548957825138114,[-96.55281067 -48.86600113],[-108.30098724  -48.86933899],[-119.24312592  -48.86992264],[-129.79208374  -48.87001801]
18,11.842949486877657,11.060356177399473,10.616394042979715,[-96.08447266 -48.86549759],[-107.92742157  -48.86918259],[-118.98777771  -48.87009048],[-129.60417175  -48.87007523]
19,11.93272466615874,11.187629770102365,10.68749237134685,[-95.58874512 -48.86505127],[-107.52146912  -48.86904144],[-118.70909882  -48.87029648],[-129.39659119  -48.87017059]
20,12.011673728056014,11.317466844438531,10.767349245516323,[-95.07236481 -48.86467361],[-107.08403778  -48.86893082],[-118.40150452  -48.87049866],[-129.16885376  -48.87027359]
21,12.0604332556982,11.44583908461154,10.858848576848942,[-94.55651093 -48.86436462],[-106.61694336  -48.86881638],[-118.06278229  -48.87070847],[-128.92163086  -48.87037659]
22,12.101677803813512,11.571319790147598,10.958847054678973,[-94.02152252 -48.86413574],[-106.12319946  -48.86870575],[-117.69451904  -48.87091064],[-128.65336609  -48.87047195]
23,12.158417628557743,11.685470842507888,11.068679821198113,[-93.45198059 -48.86398315],[-105.61039734  -48.86861038],[-117.29586792  -48.87108231],[-128.36454773  -48.87057495]
24,12.243973655564188,11.769775698753154,11.182380690329701,[-92.85422516 -48.86391449],[-105.09819794  -48.86854935],[-116.86797333  -48.87124252],[-128.050354    -48.87068176]
25,12.331292039913,11.850723627791817,11.296127336659941,[-92.23236084 -48.86392975],[-104.56365204  -48.8684845 ],[-116.41437531  -48.87141037],[-127.71050262  -48.87078476]
26,12.403748347913929,11.949142862495703,11.409873982834554,[-91.58245087 -48.86403275],[-103.98619843  -48.86845779],[-115.93534088  -48.8715744 ],[-127.34521484  -48.87089157]
27,12.471832991599019,12.052170238036702,11.525634789384034,[-90.90353394 -48.86421585],[-103.37536621  -48.86844254],[-115.42753601  -48.87169266],[-126.95317078  -48.87095261]
28,12.54217592042574,12.17198227548358,11.622390774678207,[-90.19754028 -48.86448288],[-102.73971558  -48.86845016],[-114.91169739  -48.87181091],[-126.53408813  -48.87100983]
29,12.608711778933456,12.315865033050079,11.700668363705546,[-89.4642334  -48.86480713],[-102.07294464  -48.8684845 ],[-114.3888092   -48.87188721],[-126.08947754  -48.87106705]
30,12.66805310806903,12.463097091530452,11.788383512950718,[-88.70302582 -48.86520386],[-101.37107849  -48.86852264],[-113.83417511  -48.87195587],[-125.62255859  -48.87112808]
31,12.723968850202178,12.597420191140884,11.89540102795083,[-87.91442108 -48.86565018],[-100.63838959  -48.86861038],[-113.23580933  -48.87198639],[-125.13121033  -48.8711853 ]
32,12.776153823929354,12.724419066991047,12.016868617252749,[-87.09934998 -48.86612701],[-99.87550354 -48.86870193],[-112.59992218  -48.87199783],[-124.61679077  -48.87120819]
33,12.822174257926566,12.846237575627748,12.173934959483407,[-86.25850677 -48.86661148],[-99.08068085 -48.86879349],[-111.92691803  -48.87197113],[-124.10085297  -48.87122345]
34,12.862388741171827,12.957123143500562,12.348716753884327,[-85.39253998 -48.86709976],[-98.25492859 -48.86893082],[-111.21205139  -48.87190247],[-123.56076813  -48.87123489]
35,12.897415246060818,13.056755357211937,12.517120375113773,[-84.50218201 -48.86759186],[-97.39959717 -48.86907196],[-110.45635223  -48.87182999],[-122.9734726   -48.87124252]
36,12.926475575560868,13.147712946394526,12.682121286402705,[-83.58824921 -48.86804581],[-96.51472473 -48.86919022],[-109.66243744  -48.87169647],[-122.34455872  -48.87120438]
37,12.94939425228912,13.228790479888648,12.849914557023894,[-82.65136719 -48.86846161],[-95.60076141 -48.86928558],[-108.8295517   -48.87156677],[-121.67946625  -48.87116623]
38,12.966552747339412,13.298866421051681,13.012474063203827,[-81.69223785 -48.86884689],[-94.65879059 -48.86942673],[-107.95765686  -48.871418  ],[-120.97013092  -48.8711319 ]
39,12.977951054345871,13.358924973577256,13.1637268081352,[-80.71157837 -48.86919022],[-93.68952942 -48.86953354],[-107.04845428  -48.87123108],[-120.21218109  -48.87103271]
40,12.983581543910777,13.409233169565974,13.307426453128802,[-79.71005249 -48.86948013],[-92.69363403 -48.86963654],[-106.10286713  -48.87106705],[-119.41029358  -48.87095261]
41,12.983665466309153,13.449325613512626,13.44273376480486,[-78.6883316  -48.86973953],[-91.67199707 -48.86973572],[-105.12132263  -48.87091827],[-118.5640564   -48.87085342]
42,12.97846222018068,13.47951510781987,13.565437316896677,[-77.64707947 -48.86999512],[-90.62554169 -48.86983871],[-104.10505676  -48.8707695 ],[-117.67049408  -48.87076187]
43,12.968170168843942,13.500343339829875,13.675895690982344,[-76.58690643 -48.87021255],[-89.5550766  -48.86994171],[-103.05541992  -48.87062073],[-116.73131561  -48.87066269]
44,12.95301056575582,13.511833199064752,13.77484893831841,[-75.508461   -48.87041473],[-88.46147156 -48.86999893],[-101.97330475  -48.87046814],[-115.74815369  -48.87056351]
45,12.933319102981422,13.514213564725758,13.860145569646113,[-74.41234589 -48.8705864 ],[-87.34566498 -48.87004852],[-100.85987854  -48.87031937],[-114.72002411  -48.87046814]
46,12.90939332645441,13.508003235037801,13.930953980904452,[-73.29914093 -48.8707428 ],[-86.20853424 -48.87010193],[-99.71653748 -48.87017059],[-113.64749146  -48.87036896]
47,12.881469746526173,13.493927002346204,13.988075258037638,[-72.16946411 -48.87086868],[-85.05093384 -48.87015152],[-98.54486084 -48.87004852],[-112.5329361   -48.87026596]
48,12.849914573657353,13.472694399469857,14.032424928562747,[-71.02383423 -48.87097168],[-83.87374878 -48.87020493],[-97.34644318 -48.86994553],[-111.3788681   -48.87017059]
49,12.815071130757604,13.44445038473037,14.06378174008216,[-69.86283875 -48.87105179],[-82.67790985 -48.87025452],[-96.12236023 -48.86984253],[-110.18614197  -48.8700676 ]
50,12.777420072262931,13.409454354454706,14.082336427021781,[-68.68698883 -48.87111282],[-81.46440887 -48.87026215],[-94.87386322 -48.86977768],[-108.95619965  -48.8699646 ]
51,12.73720553745688,13.368385325761958,14.088966370583785,[-67.49681854 -48.87116623],[-80.23402405 -48.87026215],[-93.60240936 -48.86972427],[-107.69137573  -48.86988831]
52,12.694671664703339,13.321716321715549,14.083999634700366,[-66.29283905 -48.87118912],[-78.98751068 -48.87026215],[-92.30922699 -48.86967087],[-106.39322662  -48.86983109]
53,12.650047336489555,13.269828810954722,14.067352295555473,[-65.0756073  -48.87119675],[-77.7256546  -48.87026596],[-90.9954834  -48.86964417],[-105.06283569  -48.86977768]
54,12.603599582709503,13.213249221173353,14.03948211699773,[-63.84562683 -48.87119675],[-76.44922638 -48.87026596],[-89.66247559 -48.86964417],[-103.7019577   -48.86973572]
