,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,10.301948547363281,10.301933288574219,10.301956176757812,[-100.          -48.86999893],[-110.30194855  -48.86999893],[-120.60388184  -48.86999893],[-130.90583801  -48.86999893],0.0,0.0,0.0,0.0
1,10.301948547363281,10.301933288574219,10.301956176757812,[-100.          -48.86999893],[-110.30194855  -48.86999893],[-120.60388184  -48.86999893],[-130.90583801  -48.86999893],0.0,0.0,0.0,0.0
2,10.301948547363281,10.301933288574219,10.301956176757812,[-100.          -48.86999893],[-110.30194855  -48.86999893],[-120.60388184  -48.86999893],[-130.90583801  -48.86999893],0.0,0.0,0.0,0.0
3,10.303901672363281,10.301933288574219,10.301956176757812,[-99.99635315 -48.86999893],[-110.30025482  -48.86999893],[-120.60218811  -48.86999893],[-130.90414429  -48.86999893],0.09550646767510092,0.04772359120278784,0.04772366943462154,0.047724775764368586
4,10.32294464145442,10.30164337163924,10.302101135508867,[-99.95761871 -48.86987686],[-110.28056335  -48.86996078],[-120.58220673  -48.86999512],[-130.88430786  -48.86992264],0.6344096147787697,0.3668800585025288,0.3755111501124847,0.35588239150144785
5,10.404045105159499,10.301788330112732,10.302192688169082,[-99.87469482 -48.87005615],[-110.27873993  -48.86999512],[-120.58052826  -48.86996841],[-130.88272095  -48.86990738],0.9771261277643981,2.874843030998005e-05,2.816655682382388e-05,2.7016944151297373e-05
6,10.499603272108052,10.305603027400938,10.301879882971411,[-99.76821899 -48.86988831],[-110.26782227  -48.87000275],[-120.57342529  -48.86996841],[-130.87530518  -48.86991119],1.1549958715889934,0.23085004364507936,0.16920938462022753,0.17197896647109126
7,10.600517272993146,10.314193728297615,10.30043029866813,[-99.63518524 -48.86982346],[-110.23570251  -48.86985397],[-120.54989624  -48.87009048],[-130.85032654  -48.86996078],1.4964319537163493,0.3993513128754665,0.2525281240549608,0.317475309397995
8,10.723838807917081,10.327987676732315,10.301254273955506,[-99.46208954 -48.86988068],[-110.18592834  -48.86968613],[-120.51391602  -48.87003326],[-130.81517029  -48.86985779],1.8566167310947361,0.591030920584275,0.42707170173394937,0.3937911969968875
9,10.849815371938316,10.352508551671765,10.302963257242709,[-99.25876617 -48.86988068],[-110.10858154  -48.86961365],[-120.46109009  -48.86998749],[-130.76405334  -48.86989594],2.141087684251594,0.941131641538474,0.6083671493565272,0.6121303020089023
10,10.967155456692241,10.396530155846195,10.303222657379893,[-99.02732086 -48.86972046],[-109.99447632  -48.86977768],[-120.39100647  -48.87008286],[-130.69422913  -48.86993027],2.4428016868805393,1.3074831006063146,0.8027430741842949,0.729259110237647
11,11.086280825526785,10.450416567617738,10.312683105841979,[-98.76364136 -48.86936951],[-109.84992218  -48.86961746],[-120.30033875  -48.86985397],[-130.61302185  -48.86994171],2.7707990968181186,1.6064895513898618,1.0063504379256334,0.8092456365528692
12,11.20449068555979,10.51658630700486,10.333732605099462,[-98.46864319 -48.8689003 ],[-109.67313385  -48.86963272],[-120.18972015  -48.86989594],[-130.52345276  -48.86994553],3.0741923335910686,1.955426158522228,1.1645843983897732,0.9185099604852746
13,11.316459736334082,10.596618653796659,10.36111450232461,[-98.14409637 -48.86832809],[-109.46055603  -48.8696785 ],[-120.05717468  -48.86985397],[-130.41828918  -48.86994171],3.3736433217850994,2.2961042174804307,1.4325651079835582,1.104443550232458
14,11.426300227023274,10.680984497370725,10.397583008014735,[-97.78945923 -48.86771393],[-109.21575928  -48.8697319 ],[-119.89674377  -48.86981201],[-130.29432678  -48.86987686],3.6790065973712633,2.5808322616787325,1.689509868794877,1.2771717903606792
15,11.5369189447648,10.769828796429957,10.442787170881155,[-97.4056015  -48.86712646],[-108.94252014  -48.86977768],[-119.71234894  -48.8698082 ],[-130.15513611  -48.86990738],3.9638094489314057,2.877481000604941,1.9217963223065255,1.4245221459183908
16,11.642281041909113,10.868164062516737,10.497192383661588,[-96.99347687 -48.86654282],[-108.63575745  -48.86982727],[-119.50392151  -48.8698082 ],[-130.00111389  -48.86994171],4.250201561666419,3.2298653310735497,2.1773726940159346,1.5894177989196048
17,11.741745634770894,10.974769592499959,10.559043885931809,[-96.55281067 -48.86600113],[-108.29455566  -48.86987686],[-119.26932526  -48.8698082 ],[-129.82836914  -48.86999512],4.532191860723149,3.5570106678106868,2.44509124756381,1.7893629008134577
18,11.837311619532835,11.087112427388472,10.627014162788107,[-96.08447266 -48.86549759],[-107.92178345  -48.86992645],[-119.00889587  -48.8698082 ],[-129.63591003  -48.87004471],4.806607682034843,3.873940722100429,2.699940681457531,1.983032576191345
19,11.928109233556663,11.208709718111372,10.698814395813915,[-95.58874512 -48.86505127],[-107.51685333  -48.86997986],[-118.72556305  -48.8698082 ],[-129.42437744  -48.87009048],5.08073741636747,4.193827643102713,2.9475386142845115,2.1802815188900238
20,12.008103611392672,11.333847048058015,10.778343207299793,[-95.07236481 -48.86467361],[-107.08046722  -48.87002945],[-118.41431427  -48.8698082 ],[-129.19265747  -48.87018585],5.162348555072909,4.501198779345684,3.2495532036224755,2.3879219353326206
21,12.05810682460836,11.457595828579406,10.86782074906815,[-94.55651093 -48.86436462],[-106.61461639  -48.87008286],[-118.07221222  -48.86980438],[-128.94003296  -48.87025452],5.215997136552218,4.782226094203394,3.5524549485217336,2.6051770256335796
22,12.100762891897963,11.578369144850425,10.96664429920098,[-94.02152252 -48.86413574],[-106.12228394  -48.87011719],[-117.70065308  -48.86980438],[-128.66729736  -48.87031937],5.508047725290404,5.035802369363212,3.847030163130425,2.7994788572576446
23,12.156739828801657,11.690689091098891,11.077178970858757,[-93.45198059 -48.86398315],[-105.60871887  -48.87011719],[-117.29940796  -48.86980438],[-128.37658691  -48.87039566],5.847900410837453,5.129311567023611,4.145886898439315,2.9953156437842288
24,12.240579296486809,11.77449036214027,11.194488543954101,[-92.85422516 -48.86391449],[-105.09480286  -48.87017059],[-116.86929321  -48.86980438],[-128.06378174  -48.87044907],6.095802317439978,5.168712624690496,4.420876503621313,3.2431710564903846
25,12.328088436542563,11.853210455114056,11.31044008768764,[-92.23236084 -48.86392975],[-104.56044769  -48.87017822],[-116.41365814  -48.86980438],[-127.72409821  -48.87054443],6.3489271335707365,5.5089139954739625,4.6640448579804845,3.5165122394725885
26,12.400109864030926,11.95075226451144,11.424476651889446,[-91.58245087 -48.86403275],[-103.9825592   -48.87018585],[-115.93331146  -48.86980057],[-127.35778809  -48.87060547],6.641972373933549,5.950933936482078,4.925824166740023,3.778163964427024
27,12.466737269284183,12.054382330376017,11.540519746557381,[-90.90353394 -48.86421585],[-103.37026978  -48.87018585],[-115.4246521   -48.86980057],[-126.96517181  -48.87066269],6.922552192632067,6.224782469510907,5.20003509756131,4.046971376633666
