,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,19.23332977294922,19.23332977294922,19.233322143554688,[-100.          -48.86999893],[-119.23332977  -48.86999893],[-138.46665955  -48.86999893],[-157.69998169  -48.86999893]
1,19.23332977294922,19.23332977294922,19.233322143554688,[-100.          -48.86999893],[-119.23332977  -48.86999893],[-138.46665955  -48.86999893],[-157.69998169  -48.86999893]
2,19.23332977294922,19.23332977294922,19.233322143554688,[-100.          -48.86999893],[-119.23332977  -48.86999893],[-138.46665955  -48.86999893],[-157.69998169  -48.86999893]
3,19.235275268554688,19.233322143554688,19.233322143554688,[-99.99635315 -48.86999893],[-119.23162842  -48.86999893],[-138.46495056  -48.86999893],[-157.69827271  -48.86999893]
4,19.255256652862638,19.232238769918652,19.23324584961543,[-99.95761871 -48.86987686],[-119.21287537  -48.86984253],[-138.44511414  -48.8699646 ],[-157.67835999  -48.86997986]
5,19.33430481051112,19.18020630010425,19.28695678790763,[-99.87469482 -48.87005615],[-119.20899963  -48.86986542],[-138.38920593  -48.87008667],[-157.67616272  -48.87026215]
6,19.43114471440939,19.17900848389279,19.289398195957904,[-99.76821899 -48.86988831],[-119.19936371  -48.86993408],[-138.37837219  -48.86994934],[-157.66777039  -48.87026596]
7,19.5326919568195,19.203262329186813,19.29475403032985,[-99.63518524 -48.86982346],[-119.1678772   -48.87004471],[-138.37113953  -48.86998749],[-157.66589355  -48.87026596]
8,19.648628235343196,19.25885009766985,19.291946413142647,[-99.46208954 -48.86988068],[-119.11071777  -48.87001801],[-138.36956787  -48.86999512],[-157.66151428  -48.87027359]
9,19.772842407677334,19.33283233643519,19.27134704882221,[-99.25876617 -48.86988068],[-119.03160858  -48.87001419],[-138.36444092  -48.86999512],[-157.63578796  -48.87033081]
10,19.891891482134913,19.421516418520344,19.290588382678017,[-99.02732086 -48.86972046],[-118.91921234  -48.87004471],[-138.34072876  -48.86999512],[-157.63131714  -48.87037659]
11,20.005943304870257,19.521308898998836,19.325317387285683,[-98.76364136 -48.86936951],[-118.76958466  -48.86988068],[-138.29089355  -48.86993408],[-157.61621094  -48.87034988]
12,20.118904128380464,19.627754212315825,19.399154669424547,[-98.46864319 -48.8689003 ],[-118.5875473   -48.86966705],[-138.21530151  -48.86985397],[-157.61445618  -48.87034988]
13,20.228096037722445,19.740661624281575,19.49531555982263,[-98.14409637 -48.86832809],[-118.37219238  -48.8694191 ],[-138.112854    -48.86977386],[-157.60816956  -48.87033463]
14,20.334434560945773,19.857749943479305,19.59613038132517,[-97.78945923 -48.86771393],[-118.12389374  -48.86916351],[-137.98164368  -48.86958694],[-157.57777405  -48.87022018]
15,20.442901685660843,19.968666094942723,19.686294556702254,[-97.4056015  -48.86712646],[-117.84850311  -48.86886978],[-137.81716919  -48.86972427],[-157.50346375  -48.86992645]
16,20.547378639507542,20.080360455226828,19.77465820339323,[-96.99347687 -48.86654282],[-117.54085541  -48.86856461],[-137.62121582  -48.86987305],[-157.39587402  -48.86977005]
17,20.64585125793041,20.19680031016469,19.8679962165619,[-96.55281067 -48.86600113],[-117.1986618  -48.8682518],[-137.39546204  -48.87002945],[-157.26345825  -48.86985779]
18,20.740394735977322,20.31429303665582,19.95916748701447,[-96.08447266 -48.86549759],[-116.82486725  -48.867939  ],[-137.13916016  -48.87022781],[-157.09832764  -48.86971664]
19,20.830848855833633,20.434272955861058,20.04769899364191,[-95.58874512 -48.86505127],[-116.41959381  -48.86764908],[-136.85386658  -48.87043381],[-156.90156555  -48.86956024]
20,20.910736258893838,20.55118586672281,20.14404300952764,[-95.07236481 -48.86467361],[-115.98310089  -48.86737823],[-136.5342865  -48.8706398],[-156.67832947  -48.86935806]
21,20.96089953447729,20.664398529450096,20.24378974370555,[-94.55651093 -48.86436462],[-115.51741028  -48.86712265],[-136.18180847  -48.87084961],[-156.42559814  -48.86915588]
22,21.00400561370772,20.771545825566402,20.34870921500198,[-94.02152252 -48.86413574],[-115.02552795  -48.86689758],[-135.79707336  -48.87105179],[-156.14578247  -48.86894989]
23,21.060554682000955,20.86747028384849,20.456146396111475,[-93.45198059 -48.86398315],[-114.5125351   -48.86671829],[-135.38000488  -48.87126923],[-155.83615112  -48.8687439 ]
24,21.14508073453236,20.933617207647007,20.56069967161574,[-92.85422516 -48.86391449],[-113.99930573  -48.86658096],[-134.93292236  -48.87146378],[-155.49362183  -48.86853409]
25,21.233505402386474,20.99301210626875,20.660599020213024,[-92.23236084 -48.86392975],[-113.46586609  -48.86648178],[-134.45887756  -48.87163162],[-155.11947632  -48.86832047]
26,21.306656018466285,21.06969520267139,20.75590547983982,[-91.58245087 -48.86403275],[-112.88910675  -48.86642838],[-133.95880127  -48.87179565],[-154.71470642  -48.86810303]
27,21.374519462261684,21.164406535621804,20.837173849089762,[-90.90353394 -48.86421585],[-112.27805328  -48.86642456],[-133.44245911  -48.87191772],[-154.27963257  -48.86790085]
28,21.445915313202278,21.27980877326681,20.89256330854081,[-90.19754028 -48.86448288],[-111.64345551  -48.86645889],[-132.92326355  -48.87202835],[-153.81582642  -48.86772919]
29,21.514679025399115,21.39639354415175,20.951309695057706,[-89.4642334  -48.86480713],[-110.97891235  -48.86654663],[-132.37530518  -48.87210464],[-153.32661438  -48.86756897]
30,21.575454762682483,21.505547263610495,21.030762245573904,[-88.70302582 -48.86520386],[-110.27848053  -48.86668396],[-131.7840271   -48.87214661],[-152.81478882  -48.86743927]
31,21.632499728836653,21.61047428519806,21.14369256727025,[-87.91442108 -48.86565018],[-109.54692078  -48.86686325],[-131.15739441  -48.87217331],[-152.30108643  -48.86734772]
32,21.686401388663022,21.711929909622448,21.268845161482453,[-87.09934998 -48.86612701],[-108.78575134  -48.86709213],[-130.49768066  -48.87214661],[-151.76652527  -48.86727905]
33,21.734130871974443,21.80680136029055,21.388260438974388,[-86.25850677 -48.86661148],[-107.99263763  -48.86735153],[-129.79943848  -48.87210464],[-151.18769836  -48.86724854]
34,21.775650030963064,21.89458509601651,21.507355264077873,[-85.39253998 -48.86709976],[-107.16819     -48.86763382],[-129.06277466  -48.87202454],[-150.57012939  -48.86725998]
35,21.811988833091245,21.97603643125859,21.632797727964043,[-84.50218201 -48.86759186],[-106.31417084  -48.86792374],[-128.29020691  -48.87189865],[-149.92300415  -48.86730957]
36,21.842430115420644,22.05034665990296,21.76787611189886,[-83.58824921 -48.86804581],[-105.43067932  -48.86821747],[-127.4810257   -48.87176514],[-149.24890137  -48.86738586]
37,21.866546630924592,22.116935945822114,21.90035286053356,[-82.65136719 -48.86846161],[-104.51791382  -48.86851501],[-126.63484955  -48.87160492],[-148.53520203  -48.86751175]
38,21.88478088386387,22.175956881378944,22.020004589801005,[-81.69223785 -48.86884689],[-103.57701874  -48.86878967],[-125.75297546  -48.87141418],[-147.77297974  -48.86767578]
39,21.89725494435305,22.227218734657413,22.132942454861293,[-80.71157837 -48.86919022],[-102.60883331  -48.86904144],[-124.83605194  -48.87121964],[-146.96899414  -48.86785889]
40,21.903854371122023,22.270454475569657,22.241630748660118,[-79.71005249 -48.86948013],[-101.61390686  -48.86927032],[-123.88436127  -48.87102127],[-146.12599182  -48.86808014]
41,21.90480804601502,22.3056641059571,22.34463515506703,[-78.6883316  -48.86973953],[-100.59313965  -48.86947632],[-122.89880371  -48.87086868],[-145.24343872  -48.86832047]
42,21.900428774261382,22.332870507502122,22.435386761608605,[-77.64707947 -48.86999512],[-99.54750824 -48.8696785 ],[-121.88037872  -48.87071609],[-144.31576538  -48.86855698]
43,21.890914919566086,22.352050792032404,22.511421272600906,[-76.58690643 -48.87021255],[-98.47782135 -48.86987686],[-120.82987213  -48.87057114],[-143.34129333  -48.86880875]
44,21.8764572176814,22.363288882713455,22.57941440874476,[-75.508461   -48.87041473],[-97.38491821 -48.87003326],[-119.74820709  -48.87041855],[-142.32762146  -48.8690567 ]
45,21.857429508064563,22.366744995289274,22.641387960513544,[-74.41234589 -48.8705864 ],[-96.26977539 -48.87018585],[-118.63652039  -48.87027359],[-141.27790833  -48.86929703]
46,21.834106449567617,22.362533570149346,22.68947602180848,[-73.29914093 -48.8707428 ],[-95.13324738 -48.87031174],[-117.49578094  -48.870121  ],[-140.18525696  -48.86949539]
