,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,9.684577941894531,9.684577941894531,9.684585571289062,[-100.          -48.86999893],[-109.68457794  -48.86999893],[-119.36915588  -48.86999893],[-129.05374146  -48.86999893],0.0,0.0,0.0,0.0
1,9.684577941894531,9.684577941894531,9.684585571289062,[-100.          -48.86999893],[-109.68457794  -48.86999893],[-119.36915588  -48.86999893],[-129.05374146  -48.86999893],0.0,0.0,0.0,0.0
2,9.684577941894531,9.684577941894531,9.684585571289062,[-100.          -48.86999893],[-109.68457794  -48.86999893],[-119.36915588  -48.86999893],[-129.05374146  -48.86999893],0.0,0.0,0.0,0.0
3,9.6865234375,9.684577941894531,9.684577941894531,[-99.99635315 -48.86999893],[-109.68287659  -48.86999893],[-119.36745453  -48.86999893],[-129.05203247  -48.86999893],0.09550646767510092,0.04772365825864126,0.047723982354615904,0.047723963728220194
4,9.705497741774186,9.684486389668034,9.68428802492939,[-99.95761871 -48.86987686],[-109.66311646  -48.86991501],[-119.34760284  -48.87001419],[-129.03189087  -48.87003708],0.6344096147787697,0.3801987151491448,0.29298030338426967,0.32300410089687825
5,9.786697388945058,9.68215942586013,9.684020997683579,[-99.87469482 -48.87005615],[-109.66139221  -48.86989975],[-119.34355164  -48.87009811],[-129.02757263  -48.86992264],0.9771261277643981,2.901781423998101e-05,3.59255295025713e-05,3.7650038902961134e-05
6,9.885177612305423,9.680839540765836,9.686164857546506,[-99.76821899 -48.86988831],[-109.65339661  -48.86989212],[-119.33423615  -48.87009811],[-129.020401    -48.86992264],1.1549958715889934,0.14410764985618713,0.1995428547623288,0.1708726624426572
7,9.988769531512958,9.683242798825372,9.687980652624523,[-99.63518524 -48.86982346],[-109.62395477  -48.86989594],[-119.30719757  -48.87003326],[-128.99517822  -48.86991119],1.4964319537163493,0.38704283141370766,0.3405162109087953,0.3294631453752175
8,10.110908508681458,9.695747376812037,9.687660217393308,[-99.46208954 -48.86988068],[-109.57299805  -48.86996841],[-119.26874542  -48.8698082 ],[-128.95640564  -48.86985397],1.8566167310947361,0.6467007764133114,0.4367584710949112,0.4323819064456974
9,10.233261112948906,9.722663886148393,9.688888549912825,[-99.25876617 -48.86988068],[-109.49202728  -48.87018585],[-119.21469116  -48.86982346],[-128.90357971  -48.86977768],2.141087684251594,0.9762313720472722,0.6525253397880428,0.5760843827418072
10,10.350402837725255,9.761543281084311,9.69299316453165,[-99.02732086 -48.86972046],[-109.37772369  -48.87006378],[-119.13926697  -48.86968994],[-128.83226013  -48.86978531],2.4428016868805393,1.2896487399813135,0.8249738660071869,0.8120512367243745
11,10.467185989141957,9.815498353830575,9.700836181832633,[-98.76364136 -48.86936951],[-109.23082733  -48.86993027],[-119.04632568  -48.86974335],[-128.74716187  -48.86980438],2.7707990968181186,1.6559835859432142,1.0032226396402935,0.9325866728962989
12,10.580764803188117,9.884094239838896,9.718856815297348,[-98.46864319 -48.8689003 ],[-109.04940796  -48.8697319 ],[-118.9335022   -48.86955643],[-128.65235901  -48.86982727],3.0741923335910686,1.9798123614387857,1.2022298052532063,1.0426417594555304
13,10.692642279005087,9.958992005142656,9.745849612929419,[-98.14409637 -48.86832809],[-108.83673859  -48.86952591],[-118.79573059  -48.86964798],[-128.5415802   -48.86991119],3.3736433217850994,2.2935229341980516,1.4660648605885647,1.2149803968511652
14,10.802147024847518,10.041503919455625,9.780830384551276,[-97.78945923 -48.86771393],[-108.59160614  -48.86927795],[-118.63311005  -48.86979294],[-128.41394043  -48.86994934],3.6790065973712633,2.585610758521544,1.6965541881266726,1.3773327331876373
15,10.91138474723071,10.131362956750616,9.822845459074001,[-97.4056015  -48.86712646],[-108.31698608  -48.86902237],[-118.448349    -48.86994171],[-128.27119446  -48.86989975],3.9638094489314057,2.8935149506560536,1.9280751850518245,1.527452996888594
16,11.01524375478213,10.230331506535036,9.873497012110057,[-96.99347687 -48.86654282],[-108.0087204   -48.86876678],[-118.23905182  -48.87009048],[-128.11254883  -48.86985397],4.250201561666419,3.2454725388880337,2.185290353072254,1.692449472353232
17,11.113052649914419,10.338112023786652,9.932762156195718,[-96.55281067 -48.86600113],[-107.66586304  -48.86850357],[-118.00397491  -48.87024307],[-127.93673706  -48.86979294],4.532191860723149,3.5736355714167254,2.4468009849688164,1.8644745663456055
18,11.207100250176081,10.451843482373894,10.00027468256891,[-96.08447266 -48.86549759],[-107.29157257  -48.86824036],[-117.74341583  -48.87038803],[-127.74369049  -48.86968994],4.806607682034843,3.886457075759704,2.701713612868367,2.033736150940701
