,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,7.119361877441406,7.119354248046875,7.119377136230469,[-100.          -48.86999893],[-107.11936188  -48.86999893],[-114.23871613  -48.86999893],[-121.35809326  -48.86999893]
1,7.119361877441406,7.119354248046875,7.119377136230469,[-100.          -48.86999893],[-107.11936188  -48.86999893],[-114.23871613  -48.86999893],[-121.35809326  -48.86999893]
2,7.119361877441406,7.119354248046875,7.119377136230469,[-100.          -48.86999893],[-107.11936188  -48.86999893],[-114.23871613  -48.86999893],[-121.35809326  -48.86999893]
3,7.121307373046875,7.119361877441406,7.1193695068359375,[-99.99635315 -48.86999893],[-107.11766052  -48.86999893],[-114.2370224   -48.86999893],[-121.35639191  -48.86999893]
4,7.141059875895837,7.1190109254401435,7.118194581632835,[-99.95761871 -48.86987686],[-107.09867859  -48.86995316],[-114.21768951  -48.86990738],[-121.33588409  -48.87005615]
5,7.22264862118572,7.116500854594428,7.1188583391204405,[-99.87469482 -48.87005615],[-107.09734344  -48.8699646 ],[-114.2138443   -48.86992645],[-121.33270264  -48.87008286]
6,7.319046020702658,7.115516662928962,7.124053958167626,[-99.76821899 -48.86988831],[-107.08726501  -48.86994171],[-114.20278168  -48.86987305],[-121.32683563  -48.87008286]
7,7.4222946187735,7.115386963186147,7.1276550302156005,[-99.63518524 -48.86982346],[-107.05747986  -48.86999893],[-114.17286682  -48.86993408],[-121.30052185  -48.87004852]
8,7.546401978526365,7.123725892914977,7.129684455272523,[-99.46208954 -48.86988068],[-107.00849152  -48.87000275],[-114.13221741  -48.86984253],[-121.26190186  -48.87015915]
9,7.670242311013126,7.146919253241102,7.136528016687436,[-99.25876617 -48.86988068],[-106.92900848  -48.87002945],[-114.07592773  -48.86983109],[-121.21245575  -48.86997986]
10,7.791778568771013,7.180175781935017,7.145523073351027,[-99.02732086 -48.86972046],[-106.81909943  -48.86997986],[-113.99927521  -48.86988068],[-121.14479828  -48.87005234]
11,7.91105653556583,7.231658936513762,7.150474551307016,[-98.76364136 -48.86936951],[-106.67469788  -48.86988831],[-113.90635681  -48.86977005],[-121.05683136  -48.86997604]
12,8.027000470719644,7.300544739057558,7.1604614293183975,[-98.46864319 -48.8689003 ],[-106.49564362  -48.86973572],[-113.79618835  -48.86967087],[-120.95664978  -48.86989594]
13,8.140640355532918,7.380264284593629,7.1791000368805475,[-98.14409637 -48.86832809],[-106.28473663  -48.86958313],[-113.66500092  -48.86977005],[-120.84410095  -48.86983109]
14,8.251175106118577,7.467887882163175,7.207656861886976,[-97.78945923 -48.86771393],[-106.04063416  -48.86943436],[-113.50852203  -48.86967087],[-120.71617889  -48.86981964]
15,8.361091883753241,7.562103278435985,7.241828919907836,[-97.4056015  -48.86712646],[-105.76669312  -48.86925125],[-113.32879639  -48.8695755 ],[-120.57062531  -48.86972046]
16,8.465629947497742,7.666366589053635,7.280326844629897,[-96.99347687 -48.86654282],[-105.45910645  -48.86904526],[-113.12547302  -48.8694725 ],[-120.40579987  -48.86961365]
17,8.56473588157712,7.77877809450493,7.330291748825064,[-96.55281067 -48.86600113],[-105.11754608  -48.86883545],[-112.89632416  -48.86936951],[-120.22661591  -48.86947632]
18,8.659386253040312,7.896942163151593,7.393119812233153,[-96.08447266 -48.86549759],[-104.74385834  -48.86864471],[-112.64080048  -48.86926651],[-120.03392029  -48.86932373]
19,8.749214844473471,8.02364351864053,7.459548950445012,[-95.58874512 -48.86505127],[-104.33795929  -48.86848068],[-112.36160278  -48.86911392],[-119.82115173  -48.86917496]
20,8.828430929002286,8.152900724395383,7.5330886840974856,[-95.07236481 -48.86467361],[-103.90079498  -48.86832047],[-112.05369568  -48.8690033 ],[-119.58678436  -48.86901855]
