,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
0,7.342750549316406,7.342765808105469,7.342750549316406,[-100.          -48.86999893],[-107.34275055  -48.86999893],[-114.68551636  -48.86999893],[-122.02826691  -48.86999893],0.0
1,7.342750549316406,7.342765808105469,7.342750549316406,[-100.          -48.86999893],[-107.34275055  -48.86999893],[-114.68551636  -48.86999893],[-122.02826691  -48.86999893],0.0
2,7.342750549316406,7.342765808105469,7.342750549316406,[-100.          -48.86999893],[-107.34275055  -48.86999893],[-114.68551636  -48.86999893],[-122.02826691  -48.86999893],0.0
3,7.344696044921875,7.342765808105469,7.3427581787109375,[-99.99635315 -48.86999893],[-107.34104919  -48.86999893],[-114.683815    -48.86999893],[-122.02657318  -48.86999893],0.09550646767510092
4,7.363822937534406,7.342208862828914,7.3442077642425225,[-99.95761871 -48.86987686],[-107.32144165  -48.8699646 ],[-114.66365051  -48.87005234],[-122.00785828  -48.86996078],0.6344096147787697
5,7.443016053889364,7.341941833544653,7.345108032346423,[-99.87469482 -48.87005615],[-107.31771088  -48.86989975],[-114.65965271  -48.86992645],[-122.00476074  -48.86996841],0.9771261277643981
6,7.5386657715191205,7.343643188730203,7.3463134766615426,[-99.76821899 -48.86988831],[-107.30688477  -48.86986542],[-114.65052795  -48.86992645],[-121.99684143  -48.8699646 ],1.1549958715889934
7,7.641044616733499,7.347587586879142,7.348129272461928,[-99.63518524 -48.86982346],[-107.27622986  -48.86980057],[-114.62381744  -48.86994553],[-121.97194672  -48.86994171],1.4964319537163493
8,7.764274598251265,7.35996246636938,7.347373963124258,[-99.46208954 -48.86988068],[-107.22636414  -48.86975098],[-114.5863266   -48.86996078],[-121.93370056  -48.87006378],1.8566167310947361
9,7.887489320885388,7.38607788417322,7.350181582266538,[-99.25876617 -48.86988068],[-107.14625549  -48.86970139],[-114.53233337  -48.86992264],[-121.88251495  -48.870121  ],2.141087684251594
10,8.005477905451576,7.427688600616446,7.352172853308214,[-99.02732086 -48.86972046],[-107.03279877  -48.86977386],[-114.46048737  -48.86994553],[-121.81266022  -48.87010574],2.4428016868805393
11,8.128883370947063,7.47924041981621,7.354606629431018,[-98.76364136 -48.86936951],[-106.89252472  -48.86975479],[-114.37176514  -48.86994171],[-121.72637177  -48.87006378],2.7707990968181186
12,8.249061662800855,7.544158935895041,7.364341736159955,[-98.46864319 -48.8689003 ],[-106.71770477  -48.87003708],[-114.26186371  -48.8699646 ],[-121.62620544  -48.87003326],3.0741923335910686
13,8.364250443383668,7.624404920740383,7.379837036231405,[-98.14409637 -48.86832809],[-106.50834656  -48.87041473],[-114.13275146  -48.86996078],[-121.5125885   -48.86999893],3.3736433217850994
14,8.478645849486922,7.709716859207993,7.40586090781114,[-97.78945923 -48.86771393],[-106.26810455  -48.87069702],[-113.97782135  -48.86971664],[-121.38368225  -48.87003708],3.6790065973712633
15,8.58803638229004,7.804397685768485,7.441825885049883,[-97.4056015  -48.86712646],[-105.99363708  -48.87083054],[-113.79803467  -48.86956406],[-121.23986053  -48.87008667],3.9638094489314057
16,8.691498886861057,7.910659927791528,7.48278049201564,[-96.99347687 -48.86654282],[-105.68497467  -48.87088394],[-113.59563446  -48.86940765],[-121.07841492  -48.87013626],4.250201561666419
17,8.791093285583528,8.022834956615865,7.532554689768355,[-96.55281067 -48.86600113],[-105.34390259  -48.87090302],[-113.36673737  -48.86920929],[-120.89929199  -48.87018585],4.532191860723149
18,8.8857056939597,8.140564189186021,7.592506507436393,[-96.08447266 -48.86549759],[-104.9701767   -48.87091827],[-113.11074066  -48.86900711],[-120.70324707  -48.87023163],4.806607682034843
19,8.975709927801045,8.266830716418498,7.657714988267413,[-95.58874512 -48.86505127],[-104.56445312  -48.87092209],[-112.83128357  -48.86880112],[-120.48899841  -48.87028885],5.08073741636747
20,9.055193188008046,8.395065628002968,7.733535963093374,[-95.07236481 -48.86467361],[-104.12755585  -48.87091064],[-112.52262115  -48.86859131],[-120.25615692  -48.87033463],5.162348555072909
21,9.10446399311118,8.521858578285572,7.821251172913641,[-94.55651093 -48.86436462],[-103.6609726   -48.87086868],[-112.18283081  -48.8683815 ],[-120.00408173  -48.87038803],5.215997136552218
22,9.146296084742275,8.645744730227493,7.9187091254662905,[-94.02152252 -48.86413574],[-103.16781616  -48.87082291],[-111.81356049  -48.86817169],[-119.73226929  -48.87043762],5.508047725290404
23,9.201494817755927,8.760376430144989,8.028129977224257,[-93.45198059 -48.86398315],[-102.6534729   -48.87077713],[-111.41384888  -48.86795807],[-119.44197845  -48.87049103],5.847900410837453
24,9.284479736430887,8.846123231897504,8.143471231203515,[-92.85422516 -48.86391449],[-102.13870239  -48.87073135],[-110.98482513  -48.86778641],[-119.1282959   -48.87054443],6.095802317439978
25,9.364038997106832,8.92650657068291,8.25927025307411,[-92.23939514 -48.86392975],[-101.6034317   -48.87068558],[-110.52993774  -48.86761475],[-118.78920746  -48.87059784],6.157200440299865
26,9.391771741250018,9.0250478549612,8.375443106235196,[-91.63297272 -48.8640213 ],[-101.02474213  -48.8706398 ],[-110.04978943  -48.86748123],[-118.42523193  -48.87065506],5.993189118497481
27,9.366312319968978,9.126053429767662,8.494438831691612,[-91.04870605 -48.86417389],[-100.41501617  -48.87059402],[-109.54106903  -48.86735916],[-118.0355072   -48.87070847],5.737473928258062
28,9.302492276929263,9.231880765482336,8.594765415136239,[-90.48999023 -48.86437988],[-99.79248047 -48.87054443],[-109.02436066  -48.86727905],[-117.61912537  -48.87076187],5.511094244390381
29,9.211069077937635,9.343407250516432,8.676071909577377,[-89.94706726 -48.86461639],[-99.15813446 -48.87049866],[-108.50154114  -48.86722565],[-117.1776123   -48.87081528],5.397422160498312
30,9.100274834272177,9.437859141166376,8.765221389673355,[-89.41111755 -48.86488724],[-98.51139069 -48.87045288],[-107.94924927  -48.86720276],[-116.71446991  -48.87082291],5.357595944565955
31,8.981240823879077,9.502663189985318,8.867287414891026,[-88.87632751 -48.86520386],[-97.85756683 -48.87040329],[-107.36022949  -48.86722565],[-116.22751617  -48.87083054],5.365322285090428
32,8.861024263194402,9.544113658123466,8.97108530376277,[-88.33905029 -48.86552811],[-97.20007324 -48.8703537 ],[-106.7441864   -48.86726761],[-115.715271    -48.87083435],5.401803273765201
33,8.742448019298237,9.56396530186617,9.097328857104237,[-87.79714966 -48.86588287],[-96.53959656 -48.87030792],[-106.1035614   -48.86734772],[-115.20088959  -48.87084198],5.454669844241247
