,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
0,16.547080993652344,16.547080993652344,16.547088623046875,[-100.          -48.86999893],[-116.54708099  -48.86999893],[-133.09416199  -48.86999893],[-149.64125061  -48.86999893],0.0
1,16.547080993652344,16.547080993652344,16.547088623046875,[-100.          -48.86999893],[-116.54708099  -48.86999893],[-133.09416199  -48.86999893],[-149.64125061  -48.86999893],0.0
2,16.547080993652344,16.547080993652344,16.547088623046875,[-100.          -48.86999893],[-116.54708099  -48.86999893],[-133.09416199  -48.86999893],[-149.64125061  -48.86999893],0.0
3,16.542327880859375,16.551834106445312,16.547088623046875,[-100.00305176  -48.86999893],[-116.54537964  -48.86999893],[-133.09721375  -48.86999893],[-149.64430237  -48.86999893],0.08192863952988133
4,16.528648376464844,16.568962097178947,16.546630859385992,[-99.99656677 -48.86999893],[-116.52521515  -48.86999893],[-133.09417725  -48.87001801],[-149.64080811  -48.86999893],0.21334264092031968
5,16.573791505282966,16.540977478203292,16.54202270535303,[-99.94966888 -48.87021255],[-116.52346039  -48.86999893],[-133.06443787  -48.87007523],[-149.60646057  -48.86997986],0.6534782947071714
6,16.651306153665555,16.49910736085572,16.522125244373584,[-99.86624908 -48.87020874],[-116.51755524  -48.86999893],[-133.0166626   -48.86997604],[-149.53878784  -48.86988831],0.9704082462008088
7,16.737487793413894,16.471321105968073,16.490356445425455,[-99.75524139 -48.87001038],[-116.49272919  -48.86988831],[-132.96405029  -48.86990738],[-149.45440674  -48.86984634],1.2272378724550146
8,16.831527710189615,16.453979493525157,16.465270996465385,[-99.61218262 -48.86965561],[-116.44371033  -48.86974335],[-132.89768982  -48.86995316],[-149.36296082  -48.86984253],1.636853561142803
9,16.94329071097527,16.444335940621997,16.4459075933154,[-99.42948151 -48.86948776],[-116.37277222  -48.86962128],[-132.81710815  -48.86994171],[-149.26301575  -48.8698082 ],1.9976952402210266
10,17.055641178247964,16.456039431683923,16.424667359738482,[-99.21646881 -48.8692894 ],[-116.27210999  -48.86965561],[-132.72814941  -48.86996841],[-149.15281677  -48.86975861],2.284604959554468
11,17.167823802353535,16.48381042595277,16.406448365279594,[-98.97263336 -48.86908722],[-116.14045715  -48.86969757],[-132.62426758  -48.86989212],[-149.03071594  -48.86970901],2.5783943443559414
12,17.278747575606324,16.52770233264354,16.397689820010832,[-98.69898224 -48.86885452],[-115.9777298   -48.86962128],[-132.50543213  -48.86981201],[-148.90312195  -48.86966324],2.876815735174725
13,17.3938980374542,16.587776187031405,16.391632082443575,[-98.39408875 -48.86860275],[-115.78798676  -48.8695755 ],[-132.37576294  -48.86988831],[-148.76739502  -48.86960983],3.1954518449973217
14,17.508750953931848,16.661643987509677,16.39540100515209,[-98.05755615 -48.86833954],[-115.56630707  -48.86949921],[-132.22795105  -48.86993027],[-148.62335205  -48.86956024],3.5053243750777225
15,17.620864915616917,16.749252325384592,16.412765506520504,[-97.6905365  -48.86811066],[-115.31140137  -48.86940384],[-132.06065369  -48.86985397],[-148.47341919  -48.86951065],3.8094607694345046
16,17.73181157930893,16.850067142015778,16.439727784180793,[-97.29321289 -48.86789322],[-115.02502441  -48.86930084],[-131.87509155  -48.86963654],[-148.31481934  -48.86945724],4.108239705276361
17,17.84009558527441,16.960830688504018,16.478088379840578,[-96.86649323 -48.86767578],[-114.70658875  -48.86920166],[-131.66741943  -48.86923218],[-148.14550781  -48.86940765],4.397037448469892
18,17.944435193558125,17.0802993850904,16.529266375205843,[-96.41114807 -48.86746979],[-114.35558319  -48.86909866],[-131.43588257  -48.86858749],[-147.96514893  -48.86935425],4.681181718162307
19,18.045196617412596,17.207069443020693,16.593109201018212,[-95.92749786 -48.86729431],[-113.9726944   -48.86903763],[-131.17976379  -48.86777878],[-147.77287292  -48.86930466],4.963498765248741
20,18.14221963585921,17.33929457233143,16.669845762638868,[-95.41635895 -48.86715317],[-113.55857849  -48.86898422],[-130.89787292  -48.86679077],[-147.56771851  -48.86925125],5.204684343944857
21,18.212539771135603,17.47501404013686,16.75834693232299,[-94.9013443  -48.86703873],[-113.11388397  -48.86893082],[-130.58889771  -48.86565399],[-147.34724426  -48.86919785],5.164910354324683
22,18.262069801355196,17.61118372819653,16.8577582298621,[-94.37871552 -48.86696625],[-112.64078522  -48.86886978],[-130.25196838  -48.86442184],[-147.10972595  -48.86914444],5.342428689793937
23,18.317695713825835,17.743927912312657,16.967057323369755,[-93.82527924 -48.86693192],[-112.14297485  -48.86880875],[-129.88690186  -48.86312485],[-146.85395813  -48.86909103],5.706634522488544
24,18.388984771338,17.864610096002252,17.085481254311247,[-93.23921967 -48.86693192],[-111.62820435  -48.86876297],[-129.49281311  -48.861866  ],[-146.57829285  -48.86906815],5.985965270627885
25,18.478599634212493,17.9578875614562,17.21046650515536,[-92.63413239 -48.86696625],[-111.11273193  -48.86874771],[-129.07061768  -48.86066437],[-146.28108215  -48.86901855],6.0853276817916475
26,18.54145057854606,18.05171437133192,17.337176028525153,[-92.03083038 -48.86703873],[-110.57228088  -48.86874008],[-128.62399292  -48.85955811],[-145.96116638  -48.86899185],5.993498431394571
27,18.551048346683363,18.158991800497482,17.465548768199188,[-91.44229126 -48.86714172],[-109.99333954  -48.86872864],[-128.15232849  -48.85855865],[-145.61787415  -48.86898804],5.811593686276094
28,18.515220701554714,18.262355338088337,17.59762172072748,[-90.87470245 -48.86727524],[-109.3899231   -48.86875916],[-127.65227509  -48.85770035],[-145.24989319  -48.86898422],5.585958199313497
29,18.442710929024333,18.362163527120202,17.719990018077997,[-90.33094788 -48.86740494],[-108.77365875  -48.8687973 ],[-127.13581848  -48.856987  ],[-144.85580444  -48.86897659],5.340494377573963
30,18.33284764109428,18.475086552123617,17.81614362286946,[-89.8122406  -48.86753845],[-108.1450882   -48.86883545],[-126.62017059  -48.85644531],[-144.43630981  -48.86896896],5.088303826426558
31,18.192726174686168,18.574299463696047,17.91280066370433,[-89.31467438 -48.86768341],[-107.50740051  -48.86888123],[-126.08169556  -48.85606766],[-143.99449158  -48.86896515],4.915882892309044
32,18.036026034205243,18.63714296508534,18.025471665063517,[-88.83116913 -48.86787033],[-106.86719513  -48.86896515],[-125.5043335   -48.85587311],[-143.52980042  -48.8689537 ],4.767520273488779
33,17.865600616290234,18.670445331129013,18.139775243299248,[-88.36277771 -48.86801529],[-106.2283783  -48.8690567],[-124.89881897  -48.85586929],[-143.03858948  -48.86897659],4.615273762569522
34,17.683792141222458,18.680813616656287,18.250798068312584,[-87.90950775 -48.86817169],[-105.59329987  -48.86914825],[-124.27410889  -48.85604477],[-142.52490234  -48.86901855],4.4658688033870835
35,17.493972803285445,18.66345656805174,18.383678978812657,[-87.47090912 -48.86831284],[-104.9648819   -48.86924744],[-123.62833405  -48.85640335],[-142.01200867  -48.86906052],4.32133277774406
36,17.299476645978167,18.616794894522357,18.516666588746308,[-87.04647064 -48.86845779],[-104.34594727  -48.86933899],[-122.96273804  -48.85694885],[-141.47940063  -48.86910629],4.181883665753886
37,17.1030960265295,18.54453649787278,18.61986134492635,[-86.63565063 -48.86859894],[-103.73874664  -48.86938858],[-122.28327942  -48.85763931],[-140.90313721  -48.86914825],4.046552510732657
38,16.907150284918668,18.448687993200824,18.698825109287274,[-86.23805237 -48.8687439 ],[-103.14520264  -48.86948776],[-121.59388733  -48.85845184],[-140.29270935  -48.86919785],3.916194765660037
39,16.71224976904054,18.33032510594714,18.763933885619377,[-85.85472107 -48.86888504],[-102.56697083  -48.8695488 ],[-120.89729309  -48.85934448],[-139.66122437  -48.86924362],3.7591632124731826
40,16.517745981328254,18.191538323131038,18.807344687649937,[-85.48783112 -48.86903381],[-102.00557709  -48.86959839],[-120.19711304  -48.86030579],[-139.00445557  -48.8693161 ],3.5913889977374294
41,16.324676520414915,18.034753821735343,18.821389990275623,[-85.13772583 -48.86917496],[-101.46240234  -48.86964417],[-119.49715424  -48.86130142],[-138.31854248  -48.86940765],3.4241423901174532
42,16.134727482270332,17.861871335629953,18.80948775489619,[-84.80413055 -48.86931992],[-100.93885803  -48.86968994],[-118.80072784  -48.86231232],[-137.61021423  -48.86948013],3.2606198920345815
43,15.948547366056859,17.675851088823954,18.773324106578627,[-84.48661804 -48.86944199],[-100.43516541  -48.86973953],[-118.11101532  -48.86329651],[-136.88433838  -48.86956787],3.101629483227415
44,15.757843019528957,17.488343162308006,18.711174784315634,[-84.18474579 -48.86954117],[-99.94258881 -48.86978912],[-117.43093109  -48.86425018],[-136.1421051   -48.86962891],2.947244150650071
