,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,9.078208923339844,9.078216552734375,9.078208923339844,[-100.          -48.86999893],[-109.07820892  -48.86999893],[-118.15642548  -48.86999893],[-127.2346344   -48.86999893],0.0,0.0,0.0,0.0
1,9.078208923339844,9.078216552734375,9.078208923339844,[-100.          -48.86999893],[-109.07820892  -48.86999893],[-118.15642548  -48.86999893],[-127.2346344   -48.86999893],0.0,0.0,0.0,0.0
2,9.078208923339844,9.078216552734375,9.078208923339844,[-100.          -48.86999893],[-109.07820892  -48.86999893],[-118.15642548  -48.86999893],[-127.2346344   -48.86999893],0.0,0.0,0.0,0.0
3,9.080154418945312,9.078216552734375,9.078208923339844,[-99.99635315 -48.86999893],[-109.07650757  -48.86999893],[-118.15472412  -48.86999893],[-127.23293304  -48.86999893],0.09550646767510092,0.04772422074361559,0.047723963728220194,0.047723688048015585
4,9.099960328767546,9.077201843397184,9.078910827636719,[-99.95761871 -48.86987686],[-109.05757904  -48.87004852],[-118.13478088  -48.86999893],[-127.21369171  -48.86999893],0.6344096147787697,0.334092855527939,0.305540610892613,0.27602661531634437
5,9.179168701175046,9.07908630394254,9.07550811788102,[-99.87469482 -48.87005615],[-109.05386353  -48.87004852],[-118.13294983  -48.86998367],[-127.20845795  -48.86992264],0.9771261277643981,3.550603049471497e-05,2.6686789721461136e-05,3.881240173613517e-05
6,9.275062563674094,9.080757141985842,9.073074341080137,[-99.76821899 -48.86988831],[-109.04328156  -48.87010956],[-118.1240387   -48.86998367],[-127.19711304  -48.86991501],1.1549958715889934,0.21893968877236056,0.16603131334718546,0.2130666841655961
7,9.378463746122645,9.082237243732456,9.069053649941656,[-99.63518524 -48.86982346],[-109.01364899  -48.86996078],[-118.09588623  -48.86992264],[-127.16493988  -48.86989594],1.4964319537163493,0.38528193163196006,0.3067581470173407,0.37637315771888363
8,9.503036499024203,9.089195253546961,9.069541934971813,[-99.46208954 -48.86988068],[-108.96512604  -48.86987686],[-118.05432129  -48.87007141],[-127.12386322  -48.8698082 ],1.8566167310947361,0.5988214112988872,0.46321571358894553,0.47352849520014617
9,9.627159118700714,9.111297608400116,9.073890687960414,[-99.25876617 -48.86988068],[-108.88592529  -48.86991119],[-117.9972229   -48.87004471],[-127.07111359  -48.86985779],2.141087684251594,0.947132283009861,0.6594251094339839,0.6105721211322924
10,9.744377137425161,9.150024415093059,9.07968139946618,[-99.02732086 -48.86972046],[-108.771698    -48.86987305],[-117.92172241  -48.87001038],[-127.00140381  -48.86977768],2.4428016868805393,1.2541543603290788,0.8391581809338494,0.7963330167511854
11,9.86192322686366,9.203987125680099,9.085456858011627,[-98.76364136 -48.86936951],[-108.62556458  -48.86979294],[-117.8295517  -48.8700676],[-126.91500854  -48.86964417],2.7707990968181186,1.5689118119317447,1.0044887021117916,0.9501326686354993
12,9.980201756798406,9.268928529088004,9.09944916152176,[-98.46864319 -48.8689003 ],[-108.44884491  -48.86974335],[-117.71777344  -48.86989594],[-126.8172226   -48.86963272],3.0741923335910686,1.8902127625048124,1.2497025989550885,1.0696237191010087
13,10.094131559037887,9.345092774185721,9.122581484173987,[-98.14409637 -48.86832809],[-108.23822784  -48.86967087],[-117.58332062  -48.86978912],[-126.7059021   -48.86958694],3.3736433217850994,2.24375094474157,1.4658551138373255,1.1948430686237521
14,10.204033067757143,9.435127258328542,9.151062012036787,[-97.78945923 -48.86771393],[-107.99349213  -48.8695755 ],[-117.42861938  -48.86959839],[-126.5796814   -48.86952209],3.6790065973712633,2.5698982595435713,1.675194566805192,1.3729626075663273
15,10.315292625181863,9.529914856293729,9.184646609202915,[-97.4056015  -48.86712646],[-107.72089386  -48.8694725 ],[-117.25080872  -48.8693924 ],[-126.43545532  -48.86961746],3.9638094489314057,2.8597210625669742,1.9137232012335519,1.5451794137626071
16,10.42220344728975,9.632987977887735,9.22743989582595,[-96.99347687 -48.86654282],[-107.41567993  -48.86936951],[-117.04866791  -48.86918259],[-126.27610779  -48.86971664],4.250201561666419,3.2133086796932204,2.154669756952117,1.689105243473819
17,10.521896867813068,9.747009282993865,9.279647868987565,[-96.55281067 -48.86600113],[-107.07470703  -48.8692627 ],[-116.82171631  -48.86893082],[-126.10136414  -48.86981201],4.532191860723149,3.557001685727571,2.4081125564604857,1.8531839616980676
18,10.616837178129682,9.86681367156177,9.340972982665033,[-96.08447266 -48.86549759],[-106.7013092   -48.86915588],[-116.56812286  -48.86867142],[-125.90909576  -48.86991119],4.806607682034843,3.875204877466117,2.650856202877402,2.028397309684189
19,10.707306665973759,9.994056723956028,9.409233229668045,[-95.58874512 -48.86505127],[-106.29605103  -48.86907959],[-116.29010773  -48.86841202],[-125.69934082  -48.87001419],5.08073741636747,4.19717555876065,2.902803540038621,2.2009875686441602
20,10.786606711588329,10.124542273686197,9.48824330483567,[-95.07236481 -48.86467361],[-105.85897064  -48.86902237],[-115.98351288  -48.86815262],[-125.47175598  -48.87010956],5.162348555072909,4.50962310030389,3.208948915161202,2.382650605150249
21,10.835671447818948,10.253662165804911,9.57899503268821,[-94.55651093 -48.86436462],[-105.3921814   -48.86896515],[-115.64584351  -48.8678894 ],[-125.22483826  -48.87021255],5.215997136552218,4.791642705876693,3.5132195676445552,2.580353258052764
