,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
0,10.908828735351562,10.908836364746094,10.908836364746094,[-100.          -48.86999893],[-110.90882874  -48.86999893],[-121.8176651   -48.86999893],[-132.72650146  -48.86999893],0.0
1,10.908828735351562,10.908836364746094,10.908836364746094,[-100.          -48.86999893],[-110.90882874  -48.86999893],[-121.8176651   -48.86999893],[-132.72650146  -48.86999893],0.0
2,10.908828735351562,10.908836364746094,10.908836364746094,[-100.          -48.86999893],[-110.90882874  -48.86999893],[-121.8176651   -48.86999893],[-132.72650146  -48.86999893],0.0
3,10.910774230957031,10.908836364746094,10.908843994140625,[-99.99635315 -48.86999893],[-110.90712738  -48.86999893],[-121.81596375  -48.86999893],[-132.72480774  -48.86999893],0.09550646767510092
4,10.930786132823151,10.9070510880935,10.908447265841108,[-99.95761871 -48.86987686],[-110.88840485  -48.8698616 ],[-121.79545593  -48.87005234],[-132.7039032   -48.86998367],0.6344096147787697
5,11.011276245133708,10.906341552734375,10.910064698228632,[-99.87469482 -48.87005615],[-110.88597107  -48.87007523],[-121.79231262  -48.87007523],[-132.70237732  -48.86993027],0.9771261277643981
6,11.107490541532306,10.909248352074792,10.912048340806583,[-99.76821899 -48.86988831],[-110.87570953  -48.87009811],[-121.78495789  -48.87007523],[-132.69700623  -48.86993027],1.1549958715889934
7,11.210113529754857,10.914123535252248,10.912590027416204,[-99.63518524 -48.86982346],[-110.84529877  -48.87013626],[-121.7594223   -48.87009048],[-132.67201233  -48.86997986],1.4964319537163493
8,11.333229067571047,10.927162170762395,10.910179144852556,[-99.46208954 -48.86988068],[-110.7953186   -48.87012482],[-121.72248077  -48.87021255],[-132.63265991  -48.86983109],1.8566167310947361
9,11.456542974009196,10.954391479494845,10.91196442252166,[-99.25876617 -48.86988068],[-110.71530914  -48.87022781],[-121.66970062  -48.87022018],[-132.58166504  -48.86985779],2.141087684251594
10,11.572738658582281,10.995262146716724,10.915527345766373,[-99.02732086 -48.86972046],[-110.60005951  -48.87022781],[-121.59532166  -48.87010193],[-132.510849    -48.86989212],2.4428016868805393
11,11.689605731091092,11.049652099610034,10.924301147946476,[-98.76364136 -48.86936951],[-110.45324707  -48.87002182],[-121.50289917  -48.87001801],[-132.42720032  -48.86991501],2.7707990968181186
12,11.805007967174962,11.11594390871497,10.943809510237383,[-98.46864319 -48.8689003 ],[-110.27365112  -48.86977768],[-121.38959503  -48.86980057],[-132.33340454  -48.86994553],3.0741923335910686
13,11.916015682548744,11.197647095013114,10.963157658162956,[-98.14409637 -48.86832809],[-110.060112    -48.86949921],[-121.25775909  -48.86957932],[-132.22091675  -48.86988831],3.3736433217850994
14,12.024955841543088,11.286033631160835,10.986953743957983,[-97.78945923 -48.86771393],[-109.81441498  -48.86920166],[-121.10044861  -48.86933517],[-132.08740234  -48.86977005],3.6790065973712633
15,12.134712346665594,11.376701358871484,11.017692574500378,[-97.4056015  -48.86712646],[-109.54031372  -48.86888504],[-120.91701508  -48.86918259],[-131.93470764  -48.86961746],3.9638094489314057
16,12.239479225067438,11.48032380834271,11.05194855200854,[-96.99347687 -48.86654282],[-109.23295593  -48.86852264],[-120.71327972  -48.86914444],[-131.76522827  -48.86946487],4.250201561666419
17,12.33876056555317,11.59182744869334,11.097549438482464,[-96.55281067 -48.86600113],[-108.89157104  -48.86816406],[-120.48339844  -48.86930466],[-131.58094788  -48.8693161 ],4.532191860723149
18,12.434234831908338,11.706337118897789,11.155433664652811,[-96.08447266 -48.86549759],[-108.51870728  -48.86779785],[-120.22504425  -48.86963272],[-131.38047791  -48.86916351],4.806607682034843
19,12.52513908848006,11.826248461860134,11.22235875664529,[-95.58874512 -48.86505127],[-108.11388397  -48.86746979],[-119.94013214  -48.87010193],[-131.16249084  -48.86901093],5.08073741636747
20,12.605453732835034,11.948807290489952,11.300010830743314,[-95.07236481 -48.86467361],[-107.6778183   -48.86714172],[-119.62662506  -48.87069321],[-130.92663574  -48.86885452],5.162348555072909
21,12.65592217968063,12.070793989735707,11.388572999693679,[-94.55651093 -48.86436462],[-107.21243286  -48.86684799],[-119.28322601  -48.87134552],[-130.67179871  -48.86870193],5.215997136552218
22,12.699142693677151,12.189919725014322,11.487335733051973,[-94.02152252 -48.86413574],[-106.72066498  -48.86659241],[-118.9105835   -48.87201691],[-130.3979187   -48.86853409],5.508047725290404
