,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
0,9.166976928710938,9.166984558105469,9.166984558105469,[-100.          -48.86999893],[-109.16697693  -48.86999893],[-118.33396149  -48.86999893],[-127.50094604  -48.86999893],0.0
1,9.166976928710938,9.166984558105469,9.166984558105469,[-100.          -48.86999893],[-109.16697693  -48.86999893],[-118.33396149  -48.86999893],[-127.50094604  -48.86999893],0.0
2,9.166976928710938,9.166984558105469,9.166984558105469,[-100.          -48.86999893],[-109.16697693  -48.86999893],[-118.33396149  -48.86999893],[-127.50094604  -48.86999893],0.0
3,9.168930053710938,9.166976928710938,9.171737670898438,[-99.99635315 -48.86999893],[-109.1652832   -48.86999893],[-118.33226013  -48.86999893],[-127.5039978   -48.86999893],0.09550646767510092
4,9.188728334122997,9.165878295949241,9.188735961914062,[-99.95761871 -48.86987686],[-109.14634705  -48.87004852],[-118.31222534  -48.87001801],[-127.5009613   -48.87001801],0.6344096147787697
5,9.26793670654611,9.165626526907712,9.166084291230444,[-99.87469482 -48.87005615],[-109.14263153  -48.87004852],[-118.30825806  -48.86991119],[-127.47434235  -48.87008667],0.9771261277643981
6,9.363845827719873,9.166831972279326,9.130668642547251,[-99.76821899 -48.86988831],[-109.13206482  -48.87010574],[-118.29889679  -48.86991119],[-127.42956543  -48.870121  ],1.1549958715889934
7,9.467468274507725,9.167648324179742,9.102890016058407,[-99.63518524 -48.86982346],[-109.1026535   -48.87031555],[-118.27030182  -48.86991501],[-127.37319183  -48.87007523],1.4964319537163493
8,9.591537480440856,9.176300050972147,9.074737549370129,[-99.46208954 -48.86988068],[-109.05362701  -48.87018585],[-118.22992706  -48.86998749],[-127.30466461  -48.87008667],1.8566167310947361
9,9.714050293095333,9.201934814987638,9.04628753662431,[-99.25876617 -48.86988068],[-108.97281647  -48.86993027],[-118.17475128  -48.87002945],[-127.22103882  -48.87002182],2.141087684251594
10,9.834899902403675,9.237510682541764,9.030021667509477,[-99.02732086 -48.86972046],[-108.86222076  -48.86975479],[-118.09973145  -48.86991501],[-127.12975311  -48.86989212],2.4428016868805393
11,9.958847054738726,9.285743716896317,9.021217347752865,[-98.76364136 -48.86936951],[-108.7224884   -48.86978912],[-118.00823212  -48.87004471],[-127.02944946  -48.86987686],2.7707990968181186
12,10.079811133715262,9.34971618932496,9.020797731844162,[-98.46864319 -48.8689003 ],[-108.54845428  -48.86977005],[-117.89817047  -48.86999893],[-126.9189682   -48.86979294],3.0741923335910686
13,10.196739293410126,9.424278259527487,9.03514862128272,[-98.14409637 -48.86832809],[-108.34083557  -48.8697319 ],[-117.76511383  -48.86980057],[-126.80026245  -48.86968994],3.3736433217850994
14,10.309715461827642,9.506523132882169,9.062705995993444,[-97.78945923 -48.86771393],[-108.0991745   -48.86969757],[-117.60569763  -48.86980057],[-126.66840363  -48.86959457],3.6790065973712633
15,10.41781646726149,9.6012191784586,9.098854070059208,[-97.4056015  -48.86712646],[-107.82341766  -48.86964798],[-117.42463684  -48.86980057],[-126.52349091  -48.86949539],3.9638094489314057
16,10.520584555728723,9.705001832782024,9.151962289375577,[-96.99347687 -48.86654282],[-107.51406097  -48.86961746],[-117.21906281  -48.86980057],[-126.37102509  -48.8693924 ],4.250201561666419
17,10.61866821185636,9.815444948371308,9.21970368848683,[-96.55281067 -48.86600113],[-107.17147827  -48.86959839],[-116.98692322  -48.86980057],[-126.20662689  -48.8692894 ],4.532191860723149
18,10.711472323725262,9.933082583757166,9.296417256114617,[-96.08447266 -48.86549759],[-106.79594421  -48.8695488 ],[-116.72902679  -48.86980057],[-126.02544403  -48.86919403],4.806607682034843
19,10.799630144753625,10.059669497973353,9.38005068989756,[-95.58874512 -48.86505127],[-106.38837433  -48.86954117],[-116.44804382  -48.86980057],[-125.82809448  -48.86904144],5.08073741636747
20,10.87755693624893,10.189643862973702,9.474166913618568,[-95.07236481 -48.86467361],[-105.94992065  -48.86954117],[-116.13956451  -48.86979294],[-125.61373138  -48.86888504],5.162348555072909
