,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
0,8.617218017578125,8.617210388183594,8.617218017578125,[-100.          -48.86999893],[-108.61721802  -48.86999893],[-117.23442841  -48.86999893],[-125.85164642  -48.86999893],0.0
1,8.617218017578125,8.617210388183594,8.617218017578125,[-100.          -48.86999893],[-108.61721802  -48.86999893],[-117.23442841  -48.86999893],[-125.85164642  -48.86999893],0.0
2,8.617218017578125,8.617210388183594,8.617218017578125,[-100.          -48.86999893],[-108.61721802  -48.86999893],[-117.23442841  -48.86999893],[-125.85164642  -48.86999893],0.0
3,8.619163513183594,8.617218017578125,8.617210388183594,[-99.99635315 -48.86999893],[-108.61551666  -48.86999893],[-117.23273468  -48.86999893],[-125.84994507  -48.86999893],0.09550646767510092
4,8.639266967827337,8.615966797247413,8.617202758931757,[-99.95761871 -48.86987686],[-108.59688568  -48.86984634],[-117.21285248  -48.86992645],[-125.83005524  -48.86997604],0.6344096147787697
5,8.719818115237713,8.61614990383337,8.617797855939322,[-99.87469482 -48.87005615],[-108.59451294  -48.87004852],[-117.21066284  -48.87020874],[-125.82846069  -48.86993408],0.9771261277643981
6,8.815422059235397,8.617843629794724,8.619743351543802,[-99.76821899 -48.86988831],[-108.58364105  -48.87002945],[-117.20148468  -48.87020874],[-125.82122803  -48.86993408],1.1549958715889934
7,8.916061401661782,8.648818975522044,8.596160891821402,[-99.63518524 -48.86982346],[-108.55124664  -48.86989594],[-117.20006561  -48.87021255],[-125.7962265   -48.86997986],1.4964319537163493
8,9.03955078212654,8.693611157071345,8.563644412769388,[-99.46208954 -48.86988068],[-108.50164032  -48.86975479],[-117.19525146  -48.87021255],[-125.75889587  -48.8699646 ],1.8566167310947361
9,9.161941528740417,8.75605011285475,8.53662109462278,[-99.25876617 -48.86988068],[-108.4207077   -48.86996841],[-117.17675781  -48.8701973 ],[-125.71337891  -48.87007523],2.141087684251594
10,9.273841861024106,8.832588196928512,8.521881104138043,[-99.02732086 -48.86972046],[-108.30116272  -48.86996078],[-117.13375092  -48.87010193],[-125.65563202  -48.87020493],2.4428016868805393
11,9.390533452603348,8.913925176386877,8.51403808635112,[-98.76364136 -48.86936951],[-108.1541748   -48.86968613],[-117.06809998  -48.86999893],[-125.58213806  -48.87008286],2.7707990968181186
12,9.505874675342783,9.003684997565866,8.513916017132507,[-98.46864319 -48.8689003 ],[-107.97451782  -48.86978912],[-116.97820282  -48.86980057],[-125.49211884  -48.86996078],3.0741923335910686
13,9.615356558642972,9.103103641838796,8.528465280581951,[-98.14409637 -48.86832809],[-107.75945282  -48.86980438],[-116.86255646  -48.86952972],[-125.39102173  -48.86993408],3.3736433217850994
14,9.723427008925668,9.204940796759226,8.556777963655703,[-97.78945923 -48.86771393],[-107.51288605  -48.86963654],[-116.71782684  -48.86951065],[-125.2746048   -48.86991501],3.6790065973712633
15,9.829490902962233,9.306068423612617,8.603805557404476,[-97.4056015  -48.86712646],[-107.23509216  -48.86930466],[-116.54116058  -48.8695488 ],[-125.14496613  -48.87006378],3.9638094489314057
16,9.92987087633427,9.410514860342897,8.66635133601121,[-96.99347687 -48.86654282],[-106.92334747  -48.86886215],[-116.3338623   -48.86959839],[-125.00021362  -48.87015152],4.250201561666419
17,10.026680268926444,9.518676845656676,8.741485606144098,[-96.55281067 -48.86600113],[-106.57949066  -48.8683548 ],[-116.09816742  -48.86964798],[-124.83965302  -48.87007523],4.532191860723149
18,10.120079316005741,9.629905883577118,8.82681274498471,[-96.08447266 -48.86549759],[-106.2045517   -48.86785889],[-115.8344574   -48.86973572],[-124.66127014  -48.86985779],4.806607682034843
19,10.209678916822227,9.745285340948826,8.919113167501372,[-95.58874512 -48.86505127],[-105.79842377  -48.86738586],[-115.5437088   -48.86983109],[-124.46282196  -48.8694458 ],5.08073741636747
20,10.289177183749317,9.859512793168994,9.023056095771164,[-95.07236481 -48.86467361],[-105.36154175  -48.86690903],[-115.22105408  -48.86993408],[-124.24411011  -48.86884689],5.162348555072909
21,10.339111544111434,9.970841089317911,9.137497166046407,[-94.55651093 -48.86436462],[-104.89562225  -48.86647797],[-114.86646271  -48.87003708],[-124.00395966  -48.86804199],5.215997136552218
22,10.3820802625588,10.077111103329598,9.259087124461944,[-94.02152252 -48.86413574],[-104.4036026   -48.86609268],[-114.48071289  -48.87014008],[-123.7397995   -48.86705017],5.508047725290404
23,10.438614043614686,10.1734171083733,9.38681129249229,[-93.45198059 -48.86398315],[-103.89059448  -48.86576462],[-114.06401062  -48.87020874],[-123.45082092  -48.86589813],5.847900410837453
24,10.523193476739577,10.240754308975855,9.517884993386208,[-92.85422516 -48.86391449],[-103.37741852  -48.86548615],[-113.61817169  -48.87030792],[-123.13605499  -48.86463165],6.095802317439978
25,10.611839379871167,10.3020718745079,9.647989952358794,[-92.23236084 -48.86392975],[-102.84420013  -48.86527634],[-113.14627075  -48.87036514],[-122.79425812  -48.86330032],6.3489271335707365
26,10.68534093821952,10.38129559491823,9.775974113835664,[-91.58245087 -48.86403275],[-102.26779175  -48.86513519],[-112.649086    -48.87041855],[-122.42505646  -48.86196518],6.641972373933549
27,10.75360110666948,10.476273985406502,9.89534481478893,[-90.90353394 -48.86421585],[-101.65713501  -48.86505127],[-112.13340759  -48.87047195],[-122.02874756  -48.86067581],6.922552192632067
28,10.825462356230222,10.59265278558837,9.989065599396877,[-90.19754028 -48.86448288],[-101.02300262  -48.86505127],[-111.61565399  -48.87053299],[-121.60471344  -48.85944748],7.191156275291616
29,10.894767765721022,10.711533987634335,10.083999457705685,[-89.4642334  -48.86480713],[-100.35900116  -48.86511993],[-111.07053375  -48.8705864 ],[-121.15452576  -48.85832596],7.4678827728813895
30,10.956100463997352,10.822526359113635,10.198899355490312,[-88.70302582 -48.86520386],[-99.65912628 -48.86525726],[-110.48165131  -48.87063217],[-120.68054199  -48.85733414],7.745932957755351
31,11.013717652826513,10.929086001956898,10.321260634212617,[-87.91442108 -48.86565018],[-98.92813873 -48.86547089],[-109.85722351  -48.87064362],[-120.17847443  -48.85647964],8.01536609900593
32,11.068176275974196,11.03338731767356,10.460520806324489,[-87.09934998 -48.86612701],[-98.16752625 -48.86574936],[-109.20091248  -48.87064743],[-119.66142273  -48.85578918],8.276467856117836
33,11.116470349742665,11.131775845126747,10.632625254991714,[-86.25850677 -48.86661148],[-97.37497711 -48.86607742],[-108.50675201  -48.87065887],[-119.13936615  -48.85528183],8.531242860195384
34,11.158531208031535,11.222687559200132,10.81194683673662,[-85.39253998 -48.86709976],[-96.55107117 -48.86644745],[-107.77375793  -48.87066269],[-118.58569336  -48.85495377],8.778855721491384
35,11.195404078730606,11.307511013020394,10.97906869259121,[-84.50218201 -48.86759186],[-95.69758606 -48.86682892],[-107.00509644  -48.87062454],[-117.98415375  -48.85481644],9.018773319121484
36,11.226348905534968,11.385559570187276,11.142283953013369,[-83.58824921 -48.86804581],[-94.81459808 -48.86724472],[-106.20015717  -48.87057877],[-117.34243011  -48.85491943],9.251632709085985
37,11.250915556959985,11.455765135433536,11.307673274570426,[-82.65136719 -48.86846161],[-93.90228271 -48.86764526],[-105.35804749  -48.8705368 ],[-116.66571045  -48.85526657],9.477593258562313
38,11.269592313900228,11.518257400662332,11.464097822972235,[-81.69223785 -48.86884689],[-92.96183014 -48.86804199],[-104.48008728  -48.87048721],[-115.94417572  -48.8558197 ],9.696498537318677
39,11.282478358573732,11.573021110994613,11.605408333000039,[-80.71157837 -48.86919022],[-91.9940567  -48.86842346],[-103.56707764  -48.87044144],[-115.17247772  -48.85660553],9.908522106045934
40,11.289466880447355,11.619651908603803,11.7379907183036,[-79.71005249 -48.86948013],[-90.99951935 -48.86876678],[-102.61917114  -48.87039566],[-114.35715485  -48.85756302],10.113878570344822
41,11.29077150411025,11.658065865522056,11.861043933196175,[-78.6883316  -48.86973953],[-89.97910309 -48.86907196],[-101.63716888  -48.87034607],[-113.49820709  -48.85869217],10.312636674814794
42,11.28670503421751,11.688385046221404,11.969753931371418,[-77.64707947 -48.86999512],[-88.93378448 -48.86937332],[-100.62216949  -48.87029648],[-112.59191895  -48.85993958],10.504909764996997
43,11.277427686533105,11.710578932811892,12.06579924850294,[-76.58690643 -48.87021255],[-87.86433411 -48.86966705],[-99.57491302 -48.87024689],[-111.64070892  -48.86125565],10.69087810554543
44,11.26320649268357,11.724617007611572,12.15147635594154,[-75.508461   -48.87041473],[-86.77166748 -48.86992264],[-98.49628448 -48.8701973 ],[-110.64775848  -48.86262894],10.870672375381735
45,11.244369515542987,11.730720520022013,12.226319900033985,[-74.41234589 -48.8705864 ],[-85.65671539 -48.87014389],[-97.38743591 -48.87015152],[-109.61375427  -48.86401367],11.044427026621792
46,11.221229560101639,11.729003908952196,12.285965873478148,[-73.29914093 -48.8707428 ],[-84.52037048 -48.87034988],[-96.24937439 -48.87009811],[-108.53533936  -48.86537552],11.212300378324858
47,11.194023138067495,11.719841012507452,12.331192480830632,[-72.16946411 -48.87086868],[-83.36348724 -48.8705101 ],[-95.08332825 -48.87004852],[-107.41452026  -48.86666489],11.374443104449222
48,11.163116459460731,11.704032916554954,12.365905945578998,[-71.02383423 -48.87097168],[-82.18695068 -48.87065887],[-93.89098358 -48.86999893],[-106.25688934  -48.86786652],11.531001122643518
49,11.128906253677563,11.68170168894753,12.38815311710656,[-69.86283875 -48.87105179],[-80.991745   -48.87076569],[-92.67344666 -48.86994553],[-105.06159973  -48.86893845],11.682126063372163
50,11.091827395611352,11.652824438422499,12.397224426384565,[-68.68698883 -48.87111282],[-79.77881622 -48.87085342],[-91.43164062 -48.86993027],[-103.82886505  -48.86987686],11.827981004586416
51,11.052146914665212,11.61799625686329,12.39597322720415,[-67.49681854 -48.87116623],[-78.54896545 -48.87090683],[-90.16696167 -48.86993027],[-102.56293488  -48.87066269],11.96870804240113
52,11.010116579527471,11.577667282141958,12.385253981542427,[-66.29283905 -48.87118912],[-77.30295563 -48.87096024],[-88.88062286 -48.86993027],[-101.26587677  -48.87129593],12.104110718649085
53,10.96596527330575,11.532119797999126,12.36317457691084,[-65.0756073  -48.87119675],[-76.04157257 -48.87097168],[-87.57369232 -48.86993027],[-99.93686676 -48.8717804 ],12.234047889823557
54,10.919975283003145,11.48176579464573,12.330391127995892,[-63.84562683 -48.87119675],[-74.76560211 -48.87097549],[-86.24736786 -48.86993027],[-98.57775879 -48.87213898],12.359395027176054
55,10.872394564018814,11.427177477001907,12.288223509887565,[-62.6033287  -48.87119675],[-73.47572327 -48.87097549],[-84.9029007  -48.86993027],[-97.19112396 -48.87237549],12.48038196588832
56,10.823501589175468,11.368721056700622,12.236656462294519,[-61.34915924 -48.87120056],[-72.17266083 -48.87097931],[-83.54138184 -48.86993027],[-95.77803802 -48.87251663],12.596862793774216
57,10.773555757887124,11.306808520344552,12.176071458961582,[-60.08356857 -48.87120056],[-70.85712433 -48.87097931],[-82.1639328  -48.86993027],[-94.34000397 -48.87259674],12.709093095746244
58,10.722766877985617,11.241897631598345,12.107567130487533,[-58.80695724 -48.87117004],[-69.52972412 -48.87097549],[-80.7716217  -48.86993027],[-92.87918854 -48.872612  ],12.81729793861493
59,10.671375276501845,11.17440037428583,12.0316775407223,[-57.5197258  -48.87112808],[-68.19110107 -48.87092972],[-79.3655014  -48.86993027],[-91.39717865 -48.87259293],12.921519282023421
60,10.619579317258113,11.104690594697969,11.949020671461104,[-56.22227097 -48.87111664],[-66.84185028 -48.87090683],[-77.94654083 -48.86993027],[-89.89556122 -48.87254333],13.02187824408554
