,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,9.420135498046875,9.420127868652344,9.420127868652344,[-100.          -48.86999893],[-109.4201355   -48.86999893],[-118.84026337  -48.86999893],[-128.26039124  -48.86999893]
1,9.420135498046875,9.420127868652344,9.420127868652344,[-100.          -48.86999893],[-109.4201355   -48.86999893],[-118.84026337  -48.86999893],[-128.26039124  -48.86999893]
2,9.420135498046875,9.420127868652344,9.420127868652344,[-100.          -48.86999893],[-109.4201355   -48.86999893],[-118.84026337  -48.86999893],[-128.26039124  -48.86999893]
3,9.422080993652344,9.420127868652344,9.420120239257812,[-99.99635315 -48.86999893],[-109.41843414  -48.86999893],[-118.83856201  -48.86999893],[-128.25868225  -48.86999893]
4,9.441131592169878,9.419609070519403,9.420745850092084,[-99.95761871 -48.86987686],[-109.39875031  -48.86996078],[-118.81835938  -48.87007523],[-128.23910522  -48.86997986]
5,9.5222244265171,9.418045044946544,9.421806343171685,[-99.87469482 -48.87005615],[-109.39691925  -48.86998749],[-118.81496429  -48.87012482],[-128.23677063  -48.86974335]
6,9.618087769147774,9.41796875084132,9.422515876862509,[-99.76821899 -48.86988831],[-109.38630676  -48.86999512],[-118.80427551  -48.870121  ],[-128.22679138  -48.86973953]
7,9.719352725139183,9.418273925858504,9.424102787205475,[-99.63518524 -48.86982346],[-109.35453796  -48.87006378],[-118.77281189  -48.87010193],[-128.19691467  -48.86982727]
8,9.842575075164932,9.426712036170633,9.425666811590032,[-99.46208954 -48.86988068],[-109.30466461  -48.87007523],[-118.73137665  -48.87004852],[-128.15704346  -48.86983109]
9,9.966728211559586,9.455039978157394,9.430961610519207,[-99.25876617 -48.86988068],[-109.22549438  -48.87002945],[-118.68053436  -48.86997986],[-128.11149597  -48.86980438]
10,10.082138062565527,9.498466491736753,9.442855836132907,[-99.02732086 -48.86972046],[-109.10945892  -48.86986542],[-118.60792542  -48.86989212],[-128.05078125  -48.86974335]
11,10.200965893964542,9.551231384339047,9.456977846161717,[-98.76364136 -48.86936951],[-108.96460724  -48.86987686],[-118.51583862  -48.86984253],[-127.97281647  -48.86965179]
12,10.3227615629989,9.61627197280455,9.471931457547186,[-98.46864319 -48.8689003 ],[-108.79140472  -48.86965179],[-118.4076767  -48.8697052],[-127.87960815  -48.86968231]
13,10.43781285866179,9.695457460604109,9.492271425256128,[-98.14409637 -48.86832809],[-108.58190918  -48.86938477],[-118.27736664  -48.86958694],[-127.76963806  -48.86977768]
14,10.548622219749328,9.785629279030813,9.517372135880331,[-97.78945923 -48.86771393],[-108.33808136  -48.86907959],[-118.12371063  -48.86943817],[-127.64108276  -48.8697319 ]
15,10.656936771747144,9.883445753162905,9.550674449084235,[-97.4056015  -48.86712646],[-108.06253815  -48.86876678],[-117.94598389  -48.86928177],[-127.49665833  -48.8697319 ]
16,10.759773416754589,9.989990257451243,9.592605612228118,[-96.99347687 -48.86654282],[-107.75325012  -48.86841202],[-117.74324036  -48.86909103],[-127.33584595  -48.8697319 ]
17,10.857734873416883,10.104042087759547,9.643417394916234,[-96.55281067 -48.86600113],[-107.41054535  -48.86804962],[-117.5145874   -48.86888504],[-127.15800476  -48.86972427]
18,10.951225504264757,10.22354130640672,9.702926691220753,[-96.08447266 -48.86549759],[-107.03569794  -48.86771011],[-117.2592392   -48.86868668],[-126.96216583  -48.86972427]
19,11.040352114512682,10.350441036503314,9.768196185604374,[-95.58874512 -48.86505127],[-106.62909698  -48.86738586],[-116.97953796  -48.86847687],[-126.74773407  -48.86972427]
20,11.119247693770156,10.478988716356602,9.843872178170143,[-95.07236481 -48.86467361],[-106.19161224  -48.86706543],[-116.67060089  -48.86826706],[-126.51447296  -48.86972427]
21,11.168190261839081,10.606010514922563,9.930587908474134,[-94.55651093 -48.86436462],[-105.72470093  -48.8667717 ],[-116.33071136  -48.86805725],[-126.26129913  -48.86972427]
22,11.209976449017809,10.729629598253103,10.027168451004247,[-94.02152252 -48.86413574],[-105.23149872  -48.86651611],[-115.96112823  -48.86783981],[-125.98829651  -48.86972427]
23,11.265289547758956,10.843841632134993,10.135353309503596,[-93.45198059 -48.86398315],[-104.7172699   -48.86631393],[-115.56111145  -48.86762619],[-125.69646454  -48.86974335]
