,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,10.018325805664062,10.018333435058594,10.018333435058594,[-100.          -48.86999893],[-110.01832581  -48.86999893],[-120.03665924  -48.86999893],[-130.05499268  -48.86999893],0.0,0.0,0.0,0.0
1,10.018325805664062,10.018333435058594,10.018333435058594,[-100.          -48.86999893],[-110.01832581  -48.86999893],[-120.03665924  -48.86999893],[-130.05499268  -48.86999893],0.0,0.0,0.0,0.0
2,10.018325805664062,10.018333435058594,10.018333435058594,[-100.          -48.86999893],[-110.01832581  -48.86999893],[-120.03665924  -48.86999893],[-130.05499268  -48.86999893],0.0,0.0,0.0,0.0
3,10.020278930664062,10.018325805664062,10.023086547851562,[-99.99635315 -48.86999893],[-110.01663208  -48.86999893],[-120.03495789  -48.86999893],[-130.05804443  -48.86999893],0.09550646767510092,0.04772365825864126,0.047723602379070536,0.08195779364183076
4,10.039245605541225,10.017608643467863,10.040199280135903,[-99.95761871 -48.86987686],[-109.99686432  -48.86991501],[-120.01447296  -48.87004852],[-130.05467224  -48.8699646 ],0.6344096147787697,0.3796697572021975,0.38177222070953953,0.17960297913482223
5,10.120437623278846,10.016204835455373,10.013595581061226,[-99.87469482 -48.87005615],[-109.99513245  -48.86989975],[-120.01133728  -48.87007141],[-130.02493286  -48.87008286],0.9771261277643981,2.8996877323789027e-05,3.473861629386491e-05,0.427799038766628
6,10.218925476074219,10.016799928431382,9.974494934695503,[-99.76821899 -48.86988831],[-109.98714447  -48.86988831],[-120.0039444   -48.87007141],[-129.97843933  -48.86996078],1.1549958715889934,0.14385637121011005,0.17560637715188557,0.5104723491726055
7,10.323341370306226,10.020935059999433,9.94581604194185,[-99.63518524 -48.86982346],[-109.95852661  -48.86994171],[-119.97946167  -48.87010956],[-129.92527771  -48.86991501],1.4964319537163493,0.35538784330301487,0.3143085970604068,0.5661858350821989
8,10.445381164986138,10.036224368888947,9.912399296011714,[-99.46208954 -48.86988068],[-109.9074707   -48.86978531],[-119.94369507  -48.87005615],[-129.85609436  -48.86977386],1.8566167310947361,0.6237005264895974,0.37190843457894474,0.762180338083238
9,10.567588806287294,10.066612245387741,9.88105011269383,[-99.25876617 -48.86988068],[-109.82635498  -48.86982727],[-119.89296722  -48.87001419],[-129.77401733  -48.86977768],2.141087684251594,0.9515332896553251,0.6157777999574887,0.8097398107604258
10,10.684043885656392,10.106269836685682,9.868949893646802,[-99.02732086 -48.86972046],[-109.71136475  -48.86989212],[-119.81763458  -48.8699646 ],[-129.68658447  -48.86970139],2.4428016868805393,1.2768962746522057,0.8261153026535443,0.9007841957731149
11,10.798179636658967,10.163146973344245,9.86322784547833,[-98.76364136 -48.86936951],[-109.56182098  -48.86983871],[-119.72496796  -48.86972046],[-129.5881958   -48.86956406],2.7707990968181186,1.6181359826721653,0.9814187431194663,1.0387120481731804
12,10.910728490483061,10.235794067758844,9.864967348035295,[-98.46864319 -48.8689003 ],[-109.37937164  -48.86978531],[-119.61516571  -48.86969757],[-129.48013306  -48.86950684],3.0741923335910686,1.946530497751574,1.1873932754383378,1.1188643834719436
13,11.020004362361234,10.316802979193373,9.881217958383823,[-98.14409637 -48.86832809],[-109.16410065  -48.86973572],[-119.48090363  -48.86961746],[-129.36212158  -48.86942673],3.3736433217850994,2.2827148818181437,1.4349096544043862,1.2443333778353605
14,11.126716787879058,10.40440368775703,9.910301210258863,[-97.78945923 -48.86771393],[-108.91617584  -48.86968231],[-119.32057953  -48.86952209],[-129.23088074  -48.86933517],3.6790065973712633,2.5993795793227026,1.683180209311602,1.361685303304522
15,11.234833043218519,10.495941164283302,9.953025820002777,[-97.4056015  -48.86712646],[-108.64043427  -48.86963272],[-119.13637543  -48.8694191 ],[-129.08940125  -48.8692131 ],3.9638094489314057,2.891129054141173,1.9240271008353684,1.4584087351707407
16,11.339081217119785,10.59511566590696,10.009216310339099,[-96.99347687 -48.86654282],[-108.33255768  -48.86957932],[-118.92767334  -48.86927795],[-128.93688965  -48.86909103],4.250201561666419,3.234258926510575,2.1778840152335572,1.5866432957214136
17,11.437355584639782,10.703056343087473,10.077835084342746,[-96.55281067 -48.86600113],[-107.99016571  -48.86952591],[-118.69322205  -48.86912155],[-128.77105713  -48.86895752],4.532191860723149,3.5675051526783275,2.4426657044535225,1.7173050102044471
18,11.531433790550347,10.817031872071624,10.157836915266584,[-96.08447266 -48.86549759],[-107.61590576  -48.8694725 ],[-118.43293762  -48.86896896],[-128.59077454  -48.86881256],4.806607682034843,3.882683303086121,2.6996673236391935,1.87835423919169
19,11.621407375985376,10.939384477264012,10.243560792209632,[-95.58874512 -48.86505127],[-107.21015167  -48.8694191 ],[-118.14953613  -48.86881256],[-128.39309692  -48.86865616],5.08073741636747,4.199238796787128,2.948272082270624,2.056960863164304
20,11.70080660483497,11.065086387495038,10.339157105618153,[-95.07236481 -48.86467361],[-106.77317047  -48.86936569],[-117.83825684  -48.86865616],[-128.17741394  -48.86850357],5.162348555072909,4.506351483950066,3.249471965234384,2.239103103465102
21,11.750405399549274,11.189247161127117,10.446609498129673,[-94.55651093 -48.86436462],[-106.30691528  -48.86931229],[-117.49616241  -48.86849594],[-127.94277191  -48.86834717],5.215997136552218,4.785198695284507,3.5529029601594075,2.4379663608859556
22,11.792908845958246,11.310066264322607,10.562538147967349,[-94.02152252 -48.86413574],[-105.81443024  -48.86930084],[-117.12449646  -48.86833572],[-127.68703461  -48.86819077],5.508047725290404,5.036553384872344,3.8479599649179943,2.6568908579299038
23,11.848855256501695,11.422363332627253,10.685531617715082,[-93.45198059 -48.86398315],[-105.30083466  -48.86929703],[-116.72319794  -48.86821365],[-127.40872955  -48.86803436],5.847900410837453,5.129453662223027,4.146388682296455,2.8872732666873167
24,11.932725209544998,11.506095948181828,10.813697817127483,[-92.85422516 -48.86391449],[-104.78694916  -48.8692894 ],[-116.29304504  -48.8680954 ],[-127.10674286  -48.86787796],6.095802317439978,5.167847158203081,4.421397331615916,3.1302455954829087
25,12.020470858698971,11.584510877115214,10.942596438621468,[-92.23236084 -48.86392975],[-104.25283051  -48.86928558],[-115.83734131  -48.86797714],[-126.77993774  -48.86771774],6.3489271335707365,5.505643844763074,4.664680078916429,3.380856861865007
26,12.092934792317793,11.681549154339129,11.070785527550461,[-91.58245087 -48.86403275],[-103.67538452  -48.86927795],[-115.35693359  -48.86789322],[-126.42771912  -48.86755753],6.641972373933549,5.945433616807534,4.926112684652608,3.6392145402303147
27,12.16017255925554,11.78457650470153,11.20073700708861,[-90.90353394 -48.86421585],[-103.06370544  -48.86927032],[-114.84828186  -48.86782455],[-126.04901886  -48.86741257],6.922552192632067,6.218560221004587,5.1999302057054555,3.9088782750138393
28,12.23096560507616,11.903144932281673,11.311401377399594,[-90.19754028 -48.86448288],[-102.42850494  -48.8692894 ],[-114.33164978  -48.86777878],[-125.64305115  -48.86729813],7.191156275291616,6.457969195760535,5.155510905317647,4.183063153779661
29,12.299134134303266,12.044784649434538,11.402969375093663,[-89.4642334  -48.86480713],[-101.7633667   -48.86933517],[-113.80815125  -48.86775589],[-125.21112061  -48.86717606],7.4678827728813895,6.802290448807344,5.322880268691387,4.422004777280956
30,12.359375704576708,12.190849412003015,11.503364581700366,[-88.70302582 -48.86520386],[-101.06240082  -48.86937714],[-113.25325012  -48.86775589],[-124.75661469  -48.86709976],7.745932957755351,7.147554406213242,5.72949076753964,4.649592902436823
31,12.415917016068152,12.324844468494025,11.622146631738055,[-87.91442108 -48.86565018],[-100.33033752  -48.86942291],[-112.65518188  -48.86779022],[-124.27732849  -48.86702347],8.01536609900593,7.442244064163058,6.145692858019574,4.918558605287067
32,12.469353170960302,12.451324568439222,11.7493820498383,[-87.09934998 -48.86612701],[-99.5687027 -48.8694725],[-112.02002716  -48.86785126],[-123.76940918  -48.86700058],8.276467856117836,7.74818850890258,6.500268518069423,5.192124367441447
33,12.516655306677768,12.572990517627536,11.9055252454109,[-86.25850677 -48.86661148],[-98.77516174 -48.86952209],[-111.34815216  -48.86793518],[-123.25367737  -48.86698532],8.531242860195384,8.070063605454639,6.89020262023717,5.148016459191418
34,12.557792905366194,12.684539885783728,12.09522251732343,[-85.39253998 -48.86709976],[-97.95033264 -48.86956406],[-110.63487244  -48.86804581],[-122.73009491  -48.86701202],8.778855721491384,8.373963371624336,7.309254299660452,5.332060848349353
35,12.593803568049188,12.785156329602613,12.29035191815255,[-84.50218201 -48.86759186],[-97.09598541 -48.86961365],[-109.88114166  -48.86818695],[-122.17149353  -48.86707306],9.018773319121484,8.667262095916827,7.700567421163522,5.804988483067918
36,12.623947247170658,12.877121039714366,12.47018438116318,[-83.58824921 -48.86804581],[-96.21219635 -48.86966324],[-109.08931732  -48.86833954],[-121.55950165  -48.86716843],9.251632709085985,8.962554949604613,8.081751061661498,6.326398511387344
37,12.647819580556407,12.959579521379784,12.64478308005167,[-82.65136719 -48.86846161],[-95.29918671 -48.86970901],[-108.25876617  -48.86853027],[-120.90354919  -48.86729813],9.477593258562313,9.25055791674682,8.472922540255212,6.722579217997194
38,12.66585544052826,13.031295817372596,12.818885866541477,[-81.69223785 -48.86884689],[-94.35809326 -48.86975861],[-107.38938904  -48.86872482],[-120.20827484  -48.86745071],9.696498537318677,9.527188318050733,8.855040746405235,7.143027548850105
39,12.678154006760577,13.093086272844715,12.98184972924622,[-80.71157837 -48.86919022],[-93.38973236 -48.8698082 ],[-106.4828186   -48.86891937],[-119.46466827  -48.86768341],9.908522106045934,9.797666564066267,9.222023188252113,7.660133295999372
40,12.684631353392291,13.14522554616582,13.130203305601244,[-79.71005249 -48.86948013],[-92.39468384 -48.8698616 ],[-105.53990936  -48.86911392],[-118.67011261  -48.86787415],10.113878570344822,10.061360370628435,9.584412726868319,8.141642882586076
41,12.685516358583342,13.187255875133292,13.270217944198357,[-78.6883316  -48.86973953],[-91.37384796 -48.86991119],[-104.56110382  -48.86926651],[-117.83132172  -48.86812973],10.312636674814794,10.315183649223009,9.939664004469861,8.576970524858009
42,12.681091308640225,13.219383250844373,13.399230998395813,[-77.64707947 -48.86999512],[-90.32817078 -48.86996078],[-103.54755402  -48.8694191 ],[-116.94678497  -48.86836624],10.504909764996997,10.560153968893102,10.281189073143299,9.059112930609244
43,12.671569825771375,13.24208832539261,13.512252839938915,[-76.58690643 -48.87021255],[-89.25847626 -48.87001419],[-102.50056458  -48.86956787],[-116.01281738  -48.86863327],10.69087810554543,10.797119146096044,10.611730675129355,9.544536976874168
44,12.657112126447572,13.255516056692187,13.611961390382532,[-75.508461   -48.87041473],[-88.16557312 -48.87006378],[-101.42108917  -48.86972046],[-115.03305054  -48.86888504],10.870672375381735,11.024938586422104,10.932905281545828,9.987316450322774
45,12.638130198480683,13.259696962049308,13.699073810677616,[-74.41234589 -48.8705864 ],[-87.05047607 -48.87007141],[-100.31017303  -48.86986542],[-114.00924683  -48.86914062],11.044427026621792,11.243487359422483,11.241544788539132,10.43736674979776
46,12.614891070112286,13.255172729892346,13.768989575358317,[-73.29914093 -48.8707428 ],[-85.91403198 -48.87007141],[-99.16920471 -48.86996841],[-112.93819427  -48.86938477],11.212300378324858,11.453432084745307,11.536756562485266,10.92771837610677
47,12.58763125083462,13.242660522460938,13.820663460639631,[-72.16946411 -48.87086868],[-84.75709534 -48.87007141],[-97.99975586 -48.87007141],[-111.82041931  -48.86958694],11.374443104449222,11.654649736282499,11.813921966738064,11.353734195986984
48,12.556739839401752,13.222839355869887,13.86161041795216,[-71.02383423 -48.87097168],[-83.58057404 -48.87007141],[-96.80341339 -48.87017441],[-110.6650238   -48.86978912],11.531001122643518,11.846840860376863,12.077651050385276,11.712553174795737
49,12.52256778739973,13.19589233510092,13.890991213431263,[-69.86283875 -48.87105179],[-82.38540649 -48.87007141],[-95.58129883 -48.87024307],[-109.47229004  -48.86997986],11.682126063372163,12.028920175768251,12.331151977683046,12.106480710425984
50,12.485595746556635,13.16202545358445,13.90535736180733,[-68.68698883 -48.87111282],[-81.17258453 -48.87007141],[-94.33460999 -48.87029648],[-108.23996735  -48.87013245],11.827981004586416,12.202162745001976,12.570691118969645,12.488074379223454
51,12.446029707296365,13.12197113243434,13.90775299093192,[-67.49681854 -48.87116623],[-79.94284821 -48.87011719],[-93.06481934 -48.87034988],[-106.97257233  -48.87027359],11.96870804240113,12.368050577950008,12.796271330501124,12.820866637328958
52,12.404144333425903,13.076148989863416,13.899475097669336,[-66.29283905 -48.87118912],[-78.69698334 -48.87011719],[-91.77313232 -48.87039948],[-105.67260742  -48.8703804 ],12.104110718649085,12.526037216872131,13.010367396332569,13.148674995299569
53,12.360168504176576,13.024955752910342,13.879074096782439,[-65.0756073  -48.87119675],[-77.43577576 -48.87011719],[-90.46073151 -48.87041473],[-104.3398056   -48.87046814],12.234047889823557,12.67610550030073,13.212032318825605,13.471220033675127
54,12.314369248980823,12.968948367759195,13.84724426307836,[-63.84562683 -48.87119675],[-76.15999603 -48.87011719],[-89.1289444  -48.87041855],[-102.97618866  -48.87052155],12.359395027176054,12.818932534264029,13.400496483202803,13.766313560815329
55,12.263191270662682,12.90867615097867,13.805282593659394,[-62.60714722 -48.87119675],[-74.87033844 -48.87011719],[-87.77901459 -48.87041855],[-101.58429718  -48.87057495],12.369840622191928,12.954644204159708,13.576944351383315,14.043073658037267
56,12.184719133856115,12.84405517931668,13.753181458688177,[-61.38334274 -48.87120056],[-73.56806183 -48.87011719],[-86.412117   -48.87041855],[-100.16529846  -48.87059784],12.107121468311265,13.069446564703423,13.741731643787732,14.307842255492561
57,12.062431384100243,12.772315982559194,13.691368104303299,[-60.1947403  -48.87120056],[-72.25717163 -48.87011719],[-85.02948761 -48.87041855],[-98.72085571 -48.87060547],11.706012727332519,13.125145913180035,13.893108367987598,14.552546501349362
58,11.895603229264964,12.687774661782102,13.620384217591198,[-59.04937363 -48.87120056],[-70.94497681 -48.87011719],[-83.63275146 -48.87041855],[-97.25313568 -48.87060547],11.257642748151428,13.104878426653254,14.024497985883528,14.776961326622589
59,11.688823748752924,12.586044315131343,13.539482117989488,[-57.94955063 -48.8711853 ],[-69.63837433 -48.87011719],[-82.22441864 -48.87041855],[-95.76390076 -48.87060547],10.800258639420967,13.022060395408829,14.126530647306168,14.983931541443523
60,11.447917986999101,12.464637759990703,13.447349549638952,[-56.89522171 -48.87117386],[-68.34313965 -48.87011719],[-80.8077774  -48.87041855],[-94.25512695 -48.87060547],10.349122050179236,12.881249429006592,14.19400978090072,15.169150352481275
61,11.179740955698202,12.321258548607315,13.342842103360066,[-55.88542175 -48.87117386],[-67.06516266 -48.87011719],[-79.3864212  -48.87041855],[-92.72926331 -48.87060547],9.90968609153231,12.683020593058377,14.223996162423148,15.328486442574526
62,10.890831040568335,12.154609683911751,13.224586488137398,[-54.91889954 -48.87112808],[-65.80973053 -48.87011719],[-77.96434021 -48.87041855],[-91.1889267  -48.87060547],9.483515745026033,12.436057092217828,14.211853981021143,15.46084403992787
63,10.586971329775539,11.96466064832653,13.091026307486812,[-53.9942894  -48.87111282],[-64.58126068 -48.87011719],[-76.54592133 -48.87041855],[-89.63694763 -48.87060547],9.07071972034334,12.147539140407446,14.155022621155181,15.563172340404902
64,10.27539448793342,11.751987461139354,12.94094085828354,[-53.108284   -48.87111282],[-63.38367844 -48.87011719],[-75.13566589 -48.87041855],[-88.07660675 -48.87060547],8.716593744674359,11.821682931779531,14.053370475769228,15.63138294221241
65,9.965736436263116,11.517829898962049,12.773391725000465,[-52.25448608 -48.87108612],[-62.22022247 -48.87011719],[-73.73805237 -48.87041855],[-86.51144409 -48.87060547],8.413460735848615,11.468868257586927,13.906381607057668,15.663166046156688
66,9.663421678673952,11.264709476687358,12.58757019181753,[-51.42948151 -48.87107849],[-61.09290314 -48.87011719],[-72.35761261 -48.87041855],[-84.9451828  -48.87060547],8.136226656403018,11.100605013154015,13.714735031133262,15.656490325944196
