,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,10.804115295410156,10.804122924804688,10.804130554199219,[-100.          -48.86999893],[-110.8041153   -48.86999893],[-121.60823822  -48.86999893],[-132.41236877  -48.86999893]
1,10.804115295410156,10.804122924804688,10.804130554199219,[-100.          -48.86999893],[-110.8041153   -48.86999893],[-121.60823822  -48.86999893],[-132.41236877  -48.86999893]
2,10.804115295410156,10.804122924804688,10.804130554199219,[-100.          -48.86999893],[-110.8041153   -48.86999893],[-121.60823822  -48.86999893],[-132.41236877  -48.86999893]
3,10.806068420410156,10.804115295410156,10.80413818359375,[-99.99635315 -48.86999893],[-110.80242157  -48.86999893],[-121.60653687  -48.86999893],[-132.41067505  -48.86999893]
4,10.825065612809773,10.803344727694638,10.80413818359375,[-99.95761871 -48.86987686],[-110.78268433  -48.86989594],[-121.58602905  -48.87005234],[-132.39016724  -48.87005234]
5,10.906173706968003,10.801979066129595,10.80417633056708,[-99.87469482 -48.87005615],[-110.78086853  -48.86991501],[-121.5828476   -48.87007523],[-132.38702393  -48.87007141]
6,11.004432678228607,10.802871705922762,10.80411529541083,[-99.76821899 -48.86988831],[-110.77265167  -48.86987686],[-121.57552338  -48.87007523],[-132.37963867  -48.87007141]
7,11.109275817894671,10.804786684092544,10.797874451250287,[-99.63518524 -48.86982346],[-110.74446106  -48.86984634],[-121.54924774  -48.87005234],[-132.34712219  -48.86994171]
8,11.232749939074314,10.81678009102083,10.828987132937081,[-99.46208954 -48.86988068],[-110.69483948  -48.86983109],[-121.51161957  -48.86995316],[-132.34060669  -48.86945724]
9,11.355888366776746,10.846908569604253,10.859298715070489,[-99.25876617 -48.86988068],[-110.61465454  -48.86983871],[-121.46156311  -48.86991501],[-132.32086182  -48.8694725 ]
10,11.474632263234955,10.886138916032333,10.931228640012309,[-99.02732086 -48.86972046],[-110.50195312  -48.86975479],[-121.38809204  -48.86973572],[-132.31932068  -48.86951065]
11,11.591354374235564,10.941795349201556,11.017036439986075,[-98.76364136 -48.86936951],[-110.35499573  -48.8696785 ],[-121.29679108  -48.86972046],[-132.31382751  -48.86951065]
12,11.699272175245707,11.020683288722767,11.103073121165684,[-98.46864319 -48.8689003 ],[-110.16791534  -48.8695755 ],[-121.18859863  -48.86963272],[-132.29167175  -48.86948013]
13,11.798530634114785,11.112236023619703,11.19037628288523,[-98.14409637 -48.86832809],[-109.94262695  -48.8694725 ],[-121.05486298  -48.86959457],[-132.24523926  -48.86943436]
14,11.898315544869373,11.207496647538775,11.275947571271178,[-97.78945923 -48.86771393],[-109.68777466  -48.86936951],[-120.8952713   -48.86968613],[-132.17121887  -48.86958313]
15,12.000869941787453,11.30496979950181,11.356658936521345,[-97.4056015  -48.86712646],[-109.40647125  -48.86926651],[-120.71144104  -48.86978531],[-132.06809998  -48.86963654]
16,12.099678323362168,11.408676170483949,11.433319094322675,[-96.99347687 -48.86654282],[-109.09315491  -48.86916351],[-120.50183105  -48.86988831],[-131.93515015  -48.86964798]
17,12.194153214859124,11.51883701239639,11.507820135844236,[-96.55281067 -48.86600113],[-108.7469635  -48.8690567],[-120.26580048  -48.86998367],[-131.77362061  -48.86959839]
18,12.28582049237048,11.633445795660558,11.580993665012128,[-96.08447266 -48.86549759],[-108.37029266  -48.86894989],[-120.0037384   -48.87009048],[-131.58473206  -48.8695488 ]
19,12.374016389073523,11.75531013572058,11.650260945979959,[-95.58874512 -48.86505127],[-107.96276093  -48.86884308],[-119.71807098  -48.87018967],[-131.36833191  -48.86949539]
20,12.452576343827145,11.878891095181093,11.721275360736493,[-95.07236481 -48.86467361],[-107.52494049  -48.86872864],[-119.40383148  -48.87030029],[-131.12510681  -48.8694458 ]
21,12.502121703016906,12.000244278001984,11.798286485992525,[-94.55651093 -48.86436462],[-107.0586319  -48.8686409],[-119.05887604  -48.8704567 ],[-130.85716248  -48.8693924 ]
22,12.545136285213443,12.117721719352147,11.88134008956372,[-94.02152252 -48.86413574],[-106.56665802  -48.86857986],[-118.68437958  -48.87055969],[-130.5657196   -48.86933899]
23,12.60206685626822,12.226226995272247,11.965591505153052,[-93.45198059 -48.86398315],[-106.05404663  -48.86851883],[-118.28027344  -48.8706665 ],[-130.24586487  -48.86933136]
24,12.687264304981717,12.30606863753828,12.050041291514612,[-92.85422516 -48.86391449],[-105.54148865  -48.86846542],[-117.84755707  -48.87077713],[-129.89759827  -48.86928177]
25,12.777077520832943,12.380081415983616,12.132804983561234,[-92.23236084 -48.86392975],[-105.00943756  -48.86845016],[-117.38951874  -48.87088394],[-129.52232361  -48.86922836]
26,12.852188864270568,12.472351336874473,12.213401923246511,[-91.58245087 -48.86403275],[-104.43463898  -48.86843491],[-116.90699005  -48.87099457],[-129.12039185  -48.86922073]
27,12.922188498921088,12.571403778172481,12.29371657160807,[-90.90353394 -48.86421585],[-103.82572174  -48.86845016],[-116.39712524  -48.87107849],[-128.69084167  -48.86921692]
28,12.99589600181908,12.688804905035266,12.351982267517691,[-90.19754028 -48.86448288],[-103.19343567  -48.8684845 ],[-115.8822403   -48.87114334],[-128.23422241  -48.8692131 ]
29,13.067162091552168,12.826004306288352,12.39495102726342,[-89.4642334  -48.86480713],[-102.53139496  -48.86853409],[-115.35739899  -48.87120438],[-127.75234985  -48.86920929]
30,13.130539385289957,12.965027121881606,12.449279953692956,[-88.70302582 -48.86520386],[-101.83356476  -48.86862183],[-114.79859161  -48.87125015],[-127.2478714   -48.86920166]
31,13.190208789861552,13.093910466727628,12.537750415248581,[-87.91442108 -48.86565018],[-101.10462952  -48.86870956],[-114.19853973  -48.87126541],[-126.73628998  -48.86919403]
32,13.246704371472115,13.217697375413579,12.659332444231632,[-87.09934998 -48.86612701],[-100.34605408  -48.86880112],[-113.56375122  -48.87127686],[-126.2230835   -48.86920929]
33,13.297050675696363,13.33679219719027,12.790245212946509,[-86.25850677 -48.86661148],[-99.55555725 -48.86891556],[-112.89234924  -48.87125397],[-125.6825943   -48.86925125]
34,13.341079855441162,13.446472341928157,12.920234823223465,[-85.39253998 -48.86709976],[-98.73361969 -48.8690567 ],[-112.18009186  -48.87121964],[-125.10032654  -48.86929703]
35,13.379829502208436,13.546875145230462,13.053138861873224,[-84.50218201 -48.86759186],[-97.88201141 -48.86919022],[-111.42888641  -48.87117386],[-124.48202515  -48.86933899]
36,13.412551937534754,13.639404415216363,13.187545885623415,[-83.58824921 -48.86804581],[-97.00080109 -48.8692894 ],[-110.64020538  -48.87108612],[-123.82775116  -48.86938858]
37,13.438797031179957,13.722862334089221,13.3183747251763,[-82.65136719 -48.86846161],[-96.09016418 -48.8694191 ],[-109.81302643  -48.87099457],[-123.13140106  -48.86943436]
38,13.45903779769818,13.796417305056844,13.445137098813536,[-81.69223785 -48.86884689],[-95.15127563 -48.86952209],[-108.94769287  -48.8708992 ],[-122.3928299   -48.86948013]
39,13.473342902403406,13.86067967691111,13.568016112427651,[-80.71157837 -48.86919022],[-94.18492126 -48.86962128],[-108.04560089  -48.87080383],[-121.61361694  -48.86952591]
40,13.481605531995747,13.91556552552662,13.684822129418565,[-79.71005249 -48.86948013],[-93.19165802 -48.86972427],[-107.10722351  -48.87070847],[-120.79204559  -48.8695755 ]
41,13.483535766887021,13.960708640066398,13.793830904549475,[-78.68886566 -48.86973953],[-92.17240143 -48.86982727],[-106.13311005  -48.87060928],[-119.92694092  -48.86965561]
42,13.477470398124133,13.99621583248171,13.894065879589816,[-77.65070343 -48.86999512],[-91.12817383 -48.86992645],[-105.12438965  -48.8705101 ],[-119.01845551  -48.86971664]
43,13.462768556093211,14.022010808835029,13.986045852436984,[-76.59733582 -48.87021255],[-90.06010437 -48.87001801],[-104.08211517  -48.87041473],[-118.06816101  -48.86976624]
44,13.433738712883201,14.03765106406892,14.069038399719357,[-75.53586578 -48.87041473],[-88.96960449 -48.87007141],[-103.00725555  -48.87031174],[-117.07629395  -48.86981964]
45,13.36152649696912,14.04214477568908,14.14164734312781,[-74.49741364 -48.87057495],[-87.85894012 -48.870121  ],[-101.9010849   -48.87021255],[-116.04273224  -48.86986542]
