,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,9.119857788085938,9.119865417480469,9.119865417480469,[-100.          -48.86999893],[-109.11985779  -48.86999893],[-118.23972321  -48.86999893],[-127.35958862  -48.86999893],0.0,0.0,0.0,0.0
1,9.119857788085938,9.119865417480469,9.119865417480469,[-100.          -48.86999893],[-109.11985779  -48.86999893],[-118.23972321  -48.86999893],[-127.35958862  -48.86999893],0.0,0.0,0.0,0.0
2,9.119857788085938,9.119865417480469,9.119865417480469,[-100.          -48.86999893],[-109.11985779  -48.86999893],[-118.23972321  -48.86999893],[-127.35958862  -48.86999893],0.0,0.0,0.0,0.0
3,9.121810913085938,9.119857788085938,9.119865417480469,[-99.99635315 -48.86999893],[-109.11816406  -48.86999893],[-118.23802185  -48.86999893],[-127.35788727  -48.86999893],0.09550646767510092,0.04772422074361559,0.04772395255222868,0.047723669421476614
4,9.14162445236775,9.118110656751048,9.120315551892636,[-99.95761871 -48.86987686],[-109.09924316  -48.87005234],[-118.21735382  -48.87003708],[-127.33766937  -48.86998749],0.6344096147787697,0.3318927065169588,0.36746384100735374,0.3811031288818544
5,9.220878601075007,9.120437622166842,9.120063782456299,[-99.87469482 -48.87005615],[-109.09557343  -48.87005234],[-118.21601105  -48.87001038],[-127.33607483  -48.86989594],0.9771261277643981,3.525613151211396e-05,2.780565220198111e-05,2.8289432998054624e-05
6,9.317855835917493,9.122924804694678,9.119804383042256,[-99.76821899 -48.86988831],[-109.08607483  -48.87002182],[-118.20899963  -48.87001038],[-127.32880402  -48.86989594],1.1549958715889934,0.2119076017944398,0.1672926229586071,0.1736737212673546
7,9.42327118025626,9.124824527090585,9.117172246446943,[-99.63518524 -48.86982346],[-109.05845642  -48.8699646 ],[-118.18328094  -48.87020493],[-127.30045319  -48.86989594],1.4964319537163493,0.3349641723920348,0.30890542236741547,0.3379706582316163
8,9.550155643171315,9.134223938039261,9.116821292862161,[-99.46208954 -48.86988068],[-109.01224518  -48.87014008],[-118.14646912  -48.87017059],[-127.26329041  -48.86990738],1.8566167310947361,0.5944402509283921,0.44959293700983843,0.4279847316321831
9,9.673782357733606,9.163414004323325,9.118988039104103,[-99.25876617 -48.86988068],[-108.93254852  -48.87030029],[-118.09596252  -48.87007141],[-127.21495056  -48.86988068],2.141087684251594,0.9369988063924685,0.6200682315318758,0.5529222069515101
10,9.790840158583618,9.20652008114254,9.127471926327985,[-99.02732086 -48.86972046],[-108.81816101  -48.87015533],[-118.02468109  -48.87005234],[-127.15215302  -48.86983871],2.4428016868805393,1.2818635019504436,0.792770275109473,0.7205005339388141
11,9.909729010672855,9.260925299618593,9.137504583803064,[-98.76364136 -48.86936951],[-108.67337036  -48.86973572],[-117.93429565  -48.87008667],[-127.07180023  -48.86975098],2.7707990968181186,1.5631724200539494,1.0010075652800778,0.8737616393291812
