,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,21.860610961914062,21.860610961914062,21.860610961914062,[-100.          -48.86999893],[-121.86061096  -48.86999893],[-143.72122192  -48.86999893],[-165.58183289  -48.86999893]
1,21.860610961914062,21.860610961914062,21.860610961914062,[-100.          -48.86999893],[-121.86061096  -48.86999893],[-143.72122192  -48.86999893],[-165.58183289  -48.86999893]
2,21.860610961914062,21.860610961914062,21.860610961914062,[-100.          -48.86999893],[-121.86061096  -48.86999893],[-143.72122192  -48.86999893],[-165.58183289  -48.86999893]
3,21.86255645751953,21.86060333251953,21.860595703125,[-99.99635315 -48.86999893],[-121.85890961  -48.86999893],[-143.71951294  -48.86999893],[-165.58010864  -48.86999893]
4,21.88153839123332,21.860595703146302,21.860183715832296,[-99.95761871 -48.86987686],[-121.8391571   -48.86994934],[-143.69975281  -48.86997986],[-165.55993652  -48.87000275]
5,21.962547302392192,21.857917786544625,21.860122681783743,[-99.87469482 -48.87005615],[-121.83724213  -48.86997604],[-143.69515991  -48.86977768],[-165.55528259  -48.86999893]
6,22.05872344996563,21.85715484791709,21.861663820084704,[-99.76821899 -48.86988831],[-121.82694244  -48.86999512],[-143.68409729  -48.86972046],[-165.54576111  -48.86999512]
7,22.1607360842605,21.85819244399445,21.86489868250616,[-99.63518524 -48.86982346],[-121.79592133  -48.86993408],[-143.65411377  -48.86985397],[-165.51901245  -48.87004852]
8,22.28007507326864,21.871330261472988,21.867416382955245,[-99.46208954 -48.86988068],[-121.74216461  -48.86991501],[-143.61349487  -48.86981201],[-165.48091125  -48.87003326]
9,22.40019226139994,21.900535586818368,21.868469238985274,[-99.25876617 -48.86988068],[-121.65895844  -48.87005234],[-143.55949402  -48.86967087],[-165.42796326  -48.86984634]
10,22.517608644912688,21.938514710788983,21.870758056715477,[-99.02732086 -48.86972046],[-121.5449295   -48.87004471],[-143.48344421  -48.86980438],[-165.35420227  -48.8698616 ]
11,22.632705693419634,21.9907531738493,21.8821716310509,[-98.76364136 -48.86936951],[-121.39634705  -48.86984253],[-143.38710022  -48.86987305],[-165.26927185  -48.8699646 ]
12,22.74722291145655,22.055404665939196,21.89784240792964,[-98.46864319 -48.8689003 ],[-121.21586609  -48.86960983],[-143.27127075  -48.8699646 ],[-165.16911316  -48.86978912]
13,22.85884859463888,22.133010872257977,21.915679935231513,[-98.14409637 -48.86832809],[-121.00294495  -48.86935043],[-143.13595581  -48.86994553],[-165.05163574  -48.8695488 ]
14,22.967727700161717,22.219940203020027,21.94274902904134,[-97.78945923 -48.86771393],[-120.75718689  -48.86905289],[-142.97712708  -48.86993408],[-164.9198761   -48.86943817]
15,23.077423152651416,22.311332732774538,21.977081303918663,[-97.4056015  -48.86712646],[-120.4830246   -48.86874771],[-142.7943573   -48.86990738],[-164.7714386   -48.86943436]
16,23.182151871648255,22.412429854737066,22.01744079997008,[-96.99347687 -48.86654282],[-120.17562866  -48.86843491],[-142.58805847  -48.86985779],[-164.60549927  -48.86943436]
17,23.28162393694301,22.522224492271327,22.067306522400504,[-96.55281067 -48.86600113],[-119.83443451  -48.8681221 ],[-142.35665894  -48.86984634],[-164.42396545  -48.86943436]
18,23.37724315591419,22.63751229427552,22.127624514749137,[-96.08447266 -48.86549759],[-119.4617157   -48.86780548],[-142.09922791  -48.86979294],[-164.22685242  -48.86942673]
19,23.46834576868276,22.761116140621745,22.192962648909152,[-95.58874512 -48.86505127],[-119.05709076  -48.86748886],[-141.81820679  -48.86975479],[-164.01116943  -48.86942673]
20,23.54894269807012,22.887176653835105,22.268356324983383,[-95.07236481 -48.86467361],[-118.62130737  -48.86716843],[-141.50848389  -48.86970139],[-163.77684021  -48.86942291]
21,23.59970869224264,23.012329272834045,22.354858400124765,[-94.55651093 -48.86436462],[-118.15621948  -48.86688995],[-141.16854858  -48.86969757],[-163.52340698  -48.86942291]
22,23.64324201637551,23.134750560015792,22.45088195913595,[-94.02152252 -48.86413574],[-117.6647644   -48.86665344],[-140.79951477  -48.86964798],[-163.25039673  -48.86942291]
23,23.700210699404952,23.248306493145595,22.55834961042293,[-93.45198059 -48.86398315],[-117.15219116  -48.86644745],[-140.40049744  -48.86963654],[-162.95884705  -48.8694191 ]
24,23.785194515321557,23.333297969327553,22.671142579131452,[-92.85422516 -48.86391449],[-116.63941956  -48.86628723],[-139.97271729  -48.86963272],[-162.64385986  -48.8694191 ]
25,23.87401591311794,23.413048046177924,22.78388977154537,[-92.23236084 -48.86392975],[-116.10637665  -48.86616898],[-139.51942444  -48.86962891],[-162.30331421  -48.86941147]
26,23.94740304401602,23.51143672604422,22.895767212983095,[-91.58245087 -48.86403275],[-115.52985382  -48.86610794],[-139.04129028  -48.86962891],[-161.9370575   -48.86940765]
27,24.015419079388028,23.61573054983111,23.01097107019093,[-90.90353394 -48.86421585],[-114.91895294  -48.86608887],[-138.53468323  -48.86962128],[-161.5456543   -48.86942291]
28,24.0869751540298,23.732605237145737,23.111114502508478,[-90.19754028 -48.86448288],[-114.28451538  -48.86613083],[-138.01712036  -48.86962128],[-161.12823486  -48.86946106]
29,24.155853313166865,23.876388790642704,23.188858032728593,[-89.4642334  -48.86480713],[-113.62008667  -48.8662262 ],[-137.49647522  -48.86961746],[-160.68533325  -48.86946487]
30,24.216651945191426,24.028106906691942,23.27313232444666,[-88.70302582 -48.86520386],[-112.91967773  -48.8663826 ],[-136.94778442  -48.86961365],[-160.22091675  -48.86951065]
31,24.273643511498097,24.165909003768892,23.379394531310997,[-87.91442108 -48.86565018],[-112.18806458  -48.86658096],[-136.35397339  -48.86961365],[-159.73336792  -48.86956024]
32,24.32744599357705,24.294731301047822,23.498580932617188,[-87.09934998 -48.86612701],[-111.42679596  -48.86681366],[-135.7215271   -48.86960983],[-159.22010803  -48.86960983]
33,24.37503815171165,24.420395026460806,23.649307251036863,[-86.25850677 -48.86661148],[-110.63354492  -48.86709213],[-135.05393982  -48.8696022 ],[-158.70324707  -48.86965561]
34,24.416336061291535,24.536674599265748,23.823486328347645,[-85.39253998 -48.86709976],[-109.80887604  -48.86738968],[-134.34555054  -48.8696022 ],[-158.16903687  -48.8697052 ]
35,24.452415466694227,24.64084632744734,23.997467041236657,[-84.50218201 -48.86759186],[-108.95459747  -48.86772919],[-133.59544373  -48.86965179],[-157.59291077  -48.86975479]
36,24.48255157470703,24.73628240176205,24.16706848177318,[-83.58824921 -48.86804581],[-108.07080078  -48.86804581],[-132.80708313  -48.86966705],[-156.97415161  -48.86979294]
37,24.50632476835173,24.822471656219747,24.338058472045905,[-82.65136719 -48.86846161],[-107.15769196  -48.86834335],[-131.98016357  -48.86970901],[-156.31822205  -48.86984253]
38,24.524185181529194,24.897453333193724,24.50512695328207,[-81.69223785 -48.86884689],[-106.21642303  -48.8686409 ],[-131.11387634  -48.86975861],[-155.6190033   -48.86984634]
39,24.536262513498755,24.9620590349758,24.66172790557555,[-80.71157837 -48.86919022],[-105.24784088  -48.86893845],[-130.2098999   -48.86977386],[-154.87162781  -48.86989594]
40,24.542457582189844,25.016914375214686,24.810165405520074,[-79.71005249 -48.86948013],[-104.25251007  -48.86919785],[-129.26942444  -48.86981201],[-154.07958984  -48.86992264]
41,24.542991639851166,25.061340335232092,24.95028686533965,[-78.6883316  -48.86973953],[-103.23132324  -48.86945343],[-128.29266357  -48.86985397],[-153.24295044  -48.86992645]
42,24.538185121821936,25.09547424388889,25.078422546665532,[-77.64707947 -48.86999512],[-102.18526459  -48.86966705],[-127.28073883  -48.86985779],[-152.35916138  -48.86997604]
43,24.528198244643946,25.11994171142694,25.194274902677595,[-76.58690643 -48.87021255],[-101.11510468  -48.86986542],[-126.23504639  -48.86985779],[-151.42932129  -48.86998749]
44,24.513313295969287,25.134765625535245,25.298431396664128,[-75.508461   -48.87041473],[-100.02177429  -48.87006378],[-125.15653992  -48.86989975],[-150.45497131  -48.86999512]
45,24.493850710860706,25.140029908987376,25.38927459729435,[-74.41234589 -48.8705864 ],[-98.90619659 -48.87021255],[-124.0462265   -48.86991501],[-149.4355011   -48.86999512]
46,24.47009277629316,25.136268619821706,25.465789795179017,[-73.29914093 -48.8707428 ],[-97.7692337  -48.87036896],[-122.90550232  -48.86991501],[-148.37129211  -48.87002945]
47,24.442321780563443,25.12422943650877,25.528144836551473,[-72.16946411 -48.87086868],[-96.61178589 -48.87047195],[-121.73601532  -48.86995316],[-147.26416016  -48.87003326]
48,24.410881045642608,25.104675300481297,25.577552795502324,[-71.02383423 -48.87097168],[-95.43471527 -48.87057877],[-120.53939056  -48.8699646 ],[-146.11694336  -48.87003326]
49,24.376152041928016,25.077705392597046,25.614654541107658,[-69.86283875 -48.87105179],[-94.23899078 -48.87064743],[-119.31669617  -48.8699646 ],[-144.93135071  -48.87003326]
50,24.338645938545508,25.043563853595465,25.638183593841948,[-68.68698883 -48.87111282],[-93.02563477 -48.87070084],[-118.06919861  -48.8699646 ],[-143.7073822   -48.87003326]
51,24.298568729078603,25.002967845424873,25.647979736335216,[-67.49681854 -48.87116623],[-91.79538727 -48.87075424],[-116.7983551   -48.87001419],[-142.44633484  -48.87003326]
52,24.25617218367455,24.95640565119398,25.646286010746728,[-66.29283905 -48.87118912],[-90.54901123 -48.87077713],[-115.50541687  -48.87001801],[-141.15170288  -48.87003326]
53,24.211692813629003,24.904312145475323,25.633262634281884,[-65.0756073  -48.87119675],[-89.28730011 -48.87078094],[-114.19161224  -48.87001801],[-139.82487488  -48.87003326]
54,24.165374759436627,24.84725953319747,25.608505249027985,[-63.84562683 -48.87119675],[-88.01100159 -48.87078094],[-112.85826111  -48.87001801],[-138.46676636  -48.87003326]
55,24.11752701164099,24.785766613304656,25.572937011800974,[-62.6033287  -48.87119675],[-86.72085571 -48.87078094],[-111.50662231  -48.87001801],[-137.07955933  -48.87008286]
56,24.068397525564322,24.720344555348287,25.527244567963443,[-61.34915924 -48.87120056],[-85.41755676 -48.87078476],[-110.13790131  -48.87001801],[-135.66514587  -48.87008667]
57,24.018207553648,24.65140534639717,25.47180938731015,[-60.08356857 -48.87120056],[-84.10177612 -48.87078476],[-108.75318146  -48.87001801],[-134.22499084  -48.87009048]
58,23.96724319767689,24.57922364361163,25.40756225588257,[-58.80695724 -48.87117004],[-82.77420044 -48.87078476],[-107.35342407  -48.87005615],[-132.76098633  -48.87009048]
59,23.915676119407653,24.504676829453977,25.334854125990635,[-57.5197258  -48.87112808],[-81.43540192 -48.87078476],[-105.94007874  -48.87006378],[-131.27493286  -48.87009048]
60,23.86368179614112,24.428245553870678,25.254417419447712,[-56.22227097 -48.87111664],[-80.08595276 -48.8707428 ],[-104.5141983   -48.87006378],[-129.76861572  -48.87009048]
