,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,9.429344177246094,9.429344177246094,9.429351806640625,[-100.          -48.86999893],[-109.42934418  -48.86999893],[-118.85868835  -48.86999893],[-128.28804016  -48.86999893],0.0,0.0,0.0,0.0
1,9.429344177246094,9.429344177246094,9.429351806640625,[-100.          -48.86999893],[-109.42934418  -48.86999893],[-118.85868835  -48.86999893],[-128.28804016  -48.86999893],0.0,0.0,0.0,0.0
2,9.429344177246094,9.429344177246094,9.429351806640625,[-100.          -48.86999893],[-109.42934418  -48.86999893],[-118.85868835  -48.86999893],[-128.28804016  -48.86999893],0.0,0.0,0.0,0.0
3,9.431289672851562,9.429344177246094,9.429344177246094,[-99.99635315 -48.86999893],[-109.42764282  -48.86999893],[-118.856987    -48.86999893],[-128.28633118  -48.86999893],0.09550646767510092,0.04772365825864126,0.047723982354615904,0.047723963728220194
4,9.450256347733243,9.429260254427875,9.429054260281685,[-99.95761871 -48.86987686],[-109.40787506  -48.86991501],[-118.83713531  -48.87001419],[-128.26618958  -48.87003708],0.6344096147787697,0.3801987151491448,0.29298030338426967,0.32300410089687825
5,9.531463624330087,9.426925661266708,9.428787233078177,[-99.87469482 -48.87005615],[-109.40615845  -48.86989975],[-118.83308411  -48.87009811],[-128.26187134  -48.86992264],0.9771261277643981,2.901781423998101e-05,3.5925507917421256e-05,3.764889575645406e-05
6,9.629943847657005,9.425605776176745,9.430931092941087,[-99.76821899 -48.86988831],[-109.39816284  -48.86989212],[-118.82376862  -48.87009811],[-128.25469971  -48.86992264],1.1549958715889934,0.14410764985618713,0.1995428547622349,0.17084116112509473
7,9.733535766871416,9.428024292992358,9.432975770604916,[-99.63518524 -48.86982346],[-109.36872101  -48.86989594],[-118.7967453   -48.87003326],[-128.22972107  -48.8698616 ],1.4964319537163493,0.38704283141370766,0.3403016347530696,0.3185913999171061
8,9.855674744042878,9.440872192790506,9.43234252994561,[-99.46208954 -48.86988068],[-109.31776428  -48.86996841],[-118.75863647  -48.86988068],[-128.190979    -48.86977005],1.8566167310947361,0.64630320842784,0.41208441970783594,0.44214386462890004
9,9.978164676737405,9.466941836355923,9.4335174586493,[-99.25876617 -48.86988068],[-109.23693085  -48.87015915],[-118.70387268  -48.86992645],[-128.13739014  -48.8697052 ],2.141087684251594,0.9353606788995793,0.6462304108923561,0.6113232444356453
10,10.09457398623482,9.504714967811404,9.440040593561463,[-99.02732086 -48.86972046],[-109.12189484  -48.87020493],[-118.6266098   -48.87001038],[-128.06665039  -48.86969757],2.4428016868805393,1.2788944681313021,0.8653669440174607,0.7784016682514893
11,10.209686296639985,9.559806823731229,9.448608401791864,[-98.76364136 -48.86936951],[-108.97332764  -48.8699646 ],[-118.53313446  -48.86996841],[-127.98174286  -48.86971664],2.7707990968181186,1.6058149078300399,0.9901305897947164,0.9324421743679535
12,10.321762116642605,9.631469728765351,9.461807252333047,[-98.46864319 -48.8689003 ],[-108.79040527  -48.86970901],[-118.421875    -48.86991501],[-127.88368225  -48.86975479],3.0741923335910686,1.96925880600222,1.2019265909362566,1.0693695106862775
13,10.428627061687555,9.712768574347212,9.486625673966806,[-98.14409637 -48.86832809],[-108.57272339  -48.86932373],[-118.28549194  -48.86994171],[-127.77211761  -48.86972046],3.3736433217850994,2.2985056320857664,1.4506349236011995,1.193341815946084
14,10.534385750121531,9.800476122493869,9.521972658909911,[-97.78945923 -48.86771393],[-108.32384491  -48.86891937],[-118.12432098  -48.86989212],[-127.64629364  -48.86966705],3.6790065973712633,2.6102680421331073,1.6870799253549502,1.340719095371077
