,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,7.121391296386719,7.12139892578125,7.1214141845703125,[-100.          -48.86999893],[-107.1213913   -48.86999893],[-114.24279022  -48.86999893],[-121.36420441  -48.86999893],0.0,0.0,0.0,0.0
1,7.121391296386719,7.12139892578125,7.1214141845703125,[-100.          -48.86999893],[-107.1213913   -48.86999893],[-114.24279022  -48.86999893],[-121.36420441  -48.86999893],0.0,0.0,0.0,0.0
2,7.121391296386719,7.12139892578125,7.1214141845703125,[-100.          -48.86999893],[-107.1213913   -48.86999893],[-114.24279022  -48.86999893],[-121.36420441  -48.86999893],0.0,0.0,0.0,0.0
3,7.123344421386719,7.121391296386719,7.121421813964844,[-99.99635315 -48.86999893],[-107.11969757  -48.86999893],[-114.24108887  -48.86999893],[-121.36251068  -48.86999893],0.09550646767510092,0.04772367686372638,0.04772478321411316,0.04772358375231308
4,7.142456055226388,7.1211700440689425,7.120742799103264,[-99.95761871 -48.86987686],[-107.10007477  -48.8699646 ],[-114.22124481  -48.86992264],[-121.34198761  -48.87005615],0.6344096147787697,0.3663121353786484,0.35511219816716083,0.38312332924861126
5,7.221679689277258,7.1232910156413425,7.119117738886018,[-99.87469482 -48.87005615],[-107.09637451  -48.86989594],[-114.21966553  -48.86991119],[-121.33878326  -48.87008286],0.9771261277643981,3.699563048757828e-05,2.697897319314915e-05,3.5012240033461365e-05
6,7.315917968774864,7.135528564454145,7.111824037716266,[-99.76821899 -48.86988831],[-107.08413696  -48.86990738],[-114.21966553  -48.86991119],[-121.33148956  -48.87008286],1.1549958715889934,0.22596426008604745,8.355278568026607e-06,0.17419507527024375
7,7.415428161636793,7.165809631714206,7.114372255488962,[-99.63518524 -48.86982346],[-107.0506134   -48.86983871],[-114.21642303  -48.86991119],[-121.33079529  -48.87008286],1.4964319537163493,0.43494004088270194,0.009187021419063936,3.3455027610689135e-06
8,7.539497375512408,7.199493408530566,7.129714967453131,[-99.46208954 -48.86988068],[-107.00158691  -48.8698616 ],[-114.20108032  -48.86993027],[-121.33079529  -48.87008286],1.8566167310947361,0.6108819381708647,0.304237816257369,7.959865132392673e-06
9,7.665458681572187,7.235977175168292,7.166908267231183,[-99.25876617 -48.86988068],[-106.92422485  -48.86968994],[-114.16020203  -48.86987305],[-121.32711029  -48.87008286],2.141087684251594,0.9605725648733767,0.4963712044139857,0.08329321918848287
10,7.781921387350798,7.29254914120376,7.213119508370188,[-99.02732086 -48.86972046],[-106.80924225  -48.86962128],[-114.10179138  -48.86996078],[-121.31491089  -48.87010956],2.4428016868805393,1.2940278525004971,0.6590134762733187,0.24400192951662752
11,7.90075684019583,7.3582763741645625,7.256095887530016,[-98.76364136 -48.86936951],[-106.66439819  -48.86962891],[-114.02267456  -48.86994934],[-121.27877045  -48.87008667],2.7707990968181186,1.571171759461536,0.9267217404220297,0.44579399548102794
12,8.014793467168866,7.435211183535158,7.302726746502169,[-98.46864319 -48.8689003 ],[-106.48343658  -48.86996841],[-113.91864777  -48.86980057],[-121.22137451  -48.86991501],3.0741923335910686,1.966951758706709,1.1693190020479924,0.642349476711628
13,8.120765942483995,7.527656584439456,7.347633365746689,[-98.14409637 -48.86832809],[-106.26486206  -48.87036896],[-113.79251862  -48.8697052 ],[-121.14015198  -48.86994553],3.3736433217850994,2.3036442504682344,1.402571625522089,0.9369044135866481
14,8.227074241118672,7.6236191491653695,7.395561226770844,[-97.78945923 -48.86771393],[-106.0165329   -48.87078094],[-113.64015198  -48.86975098],[-121.0357132   -48.87010574],3.6790065973712633,2.606980830620687,1.6788153160976422,1.1278864483465603
15,8.335404454882541,7.718925609337038,7.4455337530042875,[-97.4056015  -48.86712646],[-105.74100494  -48.87123489],[-113.45993042  -48.86980057],[-120.90546417  -48.86989212],3.9638094489314057,2.886527154665176,1.9467416175331038,1.397223424813773
16,8.439950609123686,7.820167760359461,7.492675781250971,[-96.99347687 -48.86654282],[-105.4334259   -48.87169647],[-113.25359344  -48.86984634],[-120.74626923  -48.86984253],4.250201561666419,3.2332577176917603,2.2049806489440615,1.6991608208953135
17,8.538233135172133,7.929153771626134,7.54002380446748,[-96.55281067 -48.86600113],[-105.09104156  -48.87218475],[-113.02019501  -48.86989975],[-120.56021881  -48.86979294],4.532191860723149,3.5658333078934685,2.481650154254711,1.9226904426447033
18,8.632777325589005,8.042114715173481,7.596130373991248,[-96.08447266 -48.86549759],[-104.71724701  -48.87266159],[-112.75936127  -48.86994934],[-120.35549164  -48.86973953],4.806607682034843,3.8764975500105705,2.71629670954183,2.108480265566047
19,8.72337716175693,8.160828240605651,7.65740204480839,[-95.58874512 -48.86505127],[-104.31211853  -48.87313843],[-112.47294617  -48.86999893],[-120.13034821  -48.86968994],5.08073741636747,4.193512802968453,3.0039875881695206,2.3303320905231577
20,8.80335687766393,8.279434962541004,7.72794343159627,[-95.07236481 -48.86467361],[-103.87571716  -48.87359619],[-112.15515137  -48.87005234],[-119.88309479  -48.86963654],5.162348555072909,4.500435702601421,3.3213947188885493,2.5475061441732034
21,8.85365821437814,8.39641662265102,7.808639543348932,[-94.55651093 -48.86436462],[-103.41016388  -48.87401581],[-111.80657959  -48.87010193],[-119.61521912  -48.86958694],5.215997136552218,4.777687414421838,3.6215410569974016,2.7558997148898507
22,8.896925159418975,8.509408096962495,7.900695825249338,[-94.02152252 -48.86413574],[-102.91844177  -48.87438965],[-111.42784882  -48.87015533],[-119.32854462  -48.86953354],5.508047725290404,5.02883663532041,3.928554566749451,2.9617734407801533
23,8.953634961186221,8.61268733152672,8.000167879858267,[-93.45198059 -48.86398315],[-102.40560913  -48.87470627],[-111.01829529  -48.87020874],[-119.01846313  -48.86948013],5.847900410837453,5.120833477539021,4.231357124232568,3.215381662406203
24,9.038390230663952,8.687241871832216,8.102462811230923,[-92.85422516 -48.86391449],[-101.89260864  -48.87495804],[-110.57984924  -48.87025833],[-118.68231201  -48.86942673],6.095802317439978,5.158957293483683,4.504891416931037,3.4736562122683576
25,9.127005787274467,8.756265064709218,8.205688530221842,[-92.23236084 -48.86392975],[-101.35935974  -48.87514114],[-110.11562347  -48.87031174],[-118.32131195  -48.86937332],6.3489271335707365,5.496848212992294,4.752692716192062,3.7162764373819197
26,9.195090476360603,8.84340803368606,8.309364384586715,[-91.58771515 -48.86403275],[-100.78279877  -48.87526321],[-109.62620544  -48.87036514],[-117.93556976  -48.86931992],6.499773799383506,5.936894431433016,5.016617785410776,3.9754154898582352
27,9.23322201882624,8.939355284752214,8.411163408972852,[-90.93926239 -48.86420441],[-100.17247772  -48.87531662],[-109.11183167  -48.87041855],[-117.522995    -48.86926651],6.485608139054584,6.196721563071323,5.177060609525119,4.245959296314017
