,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,9.816162109375,9.816162109375,9.816162109375,[-100.          -48.86999893],[-109.81616211  -48.86999893],[-119.63232422  -48.86999893],[-129.44848633  -48.86999893],0.0,0.0,0.0,0.0
1,9.816162109375,9.816162109375,9.816162109375,[-100.          -48.86999893],[-109.81616211  -48.86999893],[-119.63232422  -48.86999893],[-129.44848633  -48.86999893],0.0,0.0,0.0,0.0
2,9.816162109375,9.816162109375,9.816162109375,[-100.          -48.86999893],[-109.81616211  -48.86999893],[-119.63232422  -48.86999893],[-129.44848633  -48.86999893],0.0,0.0,0.0,0.0
3,9.818107604980469,9.816162109375,9.820915222167969,[-99.99635315 -48.86999893],[-109.81446075  -48.86999893],[-119.63062286  -48.86999893],[-129.45153809  -48.86999893],0.09550646767510092,0.047723621005902196,0.047723971178695014,0.08195787561036506
4,9.837196350124284,9.81578827104731,9.837852478116833,[-99.95761871 -48.86987686],[-109.79481506  -48.86985397],[-119.61060333  -48.87005234],[-129.44845581  -48.87001038],0.6344096147787697,0.379934460775666,0.3073703715089263,0.15029459771988235
5,9.91864013807511,9.81262970481515,9.811897281783722,[-99.87469482 -48.87005615],[-109.79333496  -48.86989212],[-119.60596466  -48.87020874],[-129.41786194  -48.86993027],0.9771261277643981,2.8018723349841795e-05,3.8491313980225284e-05,0.39641657546527015
6,10.015876770037693,9.812210087635643,9.773033146503945,[-99.76821899 -48.86988831],[-109.78409576  -48.86990738],[-119.59630585  -48.87020874],[-129.36933899  -48.86991501],1.1549958715889934,0.22853267726707355,0.2064619679566846,0.5156525960296022
7,10.119804382583771,9.812362674227073,9.745910644829877,[-99.63518524 -48.86982346],[-109.75498962  -48.86989594],[-119.56735229  -48.87015152],[-129.31326294  -48.87007523],1.4964319537163493,0.35890725639642057,0.37869081769760626,0.5980566020598851
8,10.247169494629617,9.819252017486455,9.717658997211718,[-99.46208954 -48.86988068],[-109.70925903  -48.86987686],[-119.52851105  -48.87013245],[-129.24617004  -48.87002182],1.8566167310947361,0.5276758420439479,0.4425988878478579,0.7071309815066018
9,10.37419891358053,9.842872623786967,9.689308167135435,[-99.25876617 -48.86988068],[-109.63296509  -48.86989212],[-119.47583771  -48.87017822],[-129.16514587  -48.8700676 ],2.141087684251594,0.9542917609811804,0.6408678712480312,0.8320328267425645
10,10.492218020074588,9.881675725045762,9.671905518905143,[-99.02732086 -48.86972046],[-109.51953888  -48.86994934],[-119.4012146   -48.87025833],[-129.07312012  -48.87009811],2.4428016868805393,1.2589634677445976,0.800999158254126,0.9645859102774597
