,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,15.039764404296875,15.039764404296875,15.039749145507812,[-100.          -48.86999893],[-115.0397644   -48.86999893],[-130.07952881  -48.86999893],[-145.11927795  -48.86999893]
1,15.039764404296875,15.039764404296875,15.039749145507812,[-100.          -48.86999893],[-115.0397644   -48.86999893],[-130.07952881  -48.86999893],[-145.11927795  -48.86999893]
2,15.039764404296875,15.039764404296875,15.039749145507812,[-100.          -48.86999893],[-115.0397644   -48.86999893],[-130.07952881  -48.86999893],[-145.11927795  -48.86999893]
3,15.041709899902344,15.039772033691406,15.03973388671875,[-99.99635315 -48.86999893],[-115.03806305  -48.86999893],[-130.07783508  -48.86999893],[-145.11756897  -48.86999893]
4,15.060760498051224,15.039543152030117,15.039550781319665,[-99.95761871 -48.86987686],[-115.01837921  -48.86988831],[-130.05792236  -48.86996078],[-145.09747314  -48.86991501]
5,15.140846253791276,15.04084015202176,15.037673950264987,[-99.87469482 -48.87005615],[-115.01554108  -48.87025833],[-130.05638123  -48.86995316],[-145.09405518  -48.86990738]
6,15.238494878014496,15.0422821078244,15.034255981540168,[-99.76821899 -48.86988831],[-115.00671387  -48.8702774 ],[-130.04899597  -48.86996078],[-145.08325195  -48.86990738]
7,15.341033939388549,15.046394353680903,15.03018188597585,[-99.63518524 -48.86982346],[-114.97621918  -48.87016678],[-130.02261353  -48.86975861],[-145.05279541  -48.86994934]
8,15.46537781012431,15.056617747689303,15.03186035466033,[-99.46208954 -48.86988068],[-114.92746735  -48.87015915],[-129.98408508  -48.86958694],[-145.01594543  -48.86989212]
9,15.592178344846022,15.081199646768017,15.044769287140326,[-99.25876617 -48.86988068],[-114.85094452  -48.86994171],[-129.93214417  -48.86978912],[-144.97691345  -48.86981964]
10,15.712509155407265,15.118980409118159,15.064025879140024,[-99.02732086 -48.86972046],[-114.73983002  -48.86965561],[-129.85881042  -48.8698616 ],[-144.9228363   -48.86977768]
11,15.832847595987344,15.169685371025974,15.082199097700489,[-98.76364136 -48.86936951],[-114.59648895  -48.86952591],[-129.76617432  -48.86999512],[-144.84837341  -48.86981964]
12,15.951347361337241,15.234565740642186,15.105773925829416,[-98.46864319 -48.8689003 ],[-114.41999054  -48.8694725 ],[-129.65455627  -48.86989212],[-144.7603302   -48.86993027]
13,16.065216098207408,15.312431342638016,15.135131835945192,[-98.14409637 -48.86832809],[-114.20931244  -48.86936951],[-129.52174377  -48.86983871],[-144.65687561  -48.86985397]
14,16.17606361210621,15.400093086845457,15.169036865273227,[-97.78945923 -48.86771393],[-113.96552277  -48.86926651],[-129.36561584  -48.86977005],[-144.53465271  -48.86980438]
15,16.287117131782512,15.492889412479744,15.21076965355183,[-97.4056015  -48.86712646],[-113.69271851  -48.86916351],[-129.18560791  -48.86966705],[-144.39637756  -48.86975098]
16,16.392730905647415,15.5953598106234,15.259078980076302,[-96.99347687 -48.86654282],[-113.38620758  -48.8690567 ],[-128.98156738  -48.86956787],[-144.24064636  -48.86970139]
17,16.4923022045316,15.707115181782154,15.313995362468884,[-96.55281067 -48.86600113],[-113.04511261  -48.86894989],[-128.75222778  -48.86946487],[-144.06622314  -48.86965179]
18,16.587585786588523,15.824447640465777,15.377090455862223,[-96.08447266 -48.86549759],[-112.67205811  -48.86884308],[-128.49650574  -48.86936569],[-143.87359619  -48.86959839]
19,16.67797892188248,15.950119027368338,15.445297243860757,[-95.58874512 -48.86505127],[-112.26672363  -48.86873245],[-128.21684265  -48.8692627 ],[-143.66213989  -48.8695488 ]
20,16.75748490205117,16.078529366653417,15.522789005177634,[-95.07236481 -48.86467361],[-111.82984924  -48.86862564],[-127.9083786   -48.86915588],[-143.4311676   -48.86949539]
21,16.80687766101106,16.205780036652847,15.610809331021018,[-94.55651093 -48.86436462],[-111.36338806  -48.86856461],[-127.56916809  -48.86905289],[-143.17997742  -48.86944199]
22,16.848808853736298,16.330154425044494,15.70797730126264,[-94.02152252 -48.86413574],[-110.87033081  -48.86849976],[-127.20048523  -48.86894608],[-142.90846252  -48.8693924 ]
23,16.903984656020135,16.44555664550276,15.815437324910516,[-93.45198059 -48.86398315],[-110.35596466  -48.86843491],[-126.8015213   -48.86883545],[-142.61695862  -48.86933899]
24,16.986977218925347,16.532203677275692,15.926445017196238,[-92.85422516 -48.86391449],[-109.84120178  -48.86841202],[-126.37340546  -48.86872482],[-142.29985046  -48.86928558]
25,17.073517431062246,16.61357116901728,16.03810120649657,[-92.23236084 -48.86392975],[-109.30587769  -48.86840057],[-125.91944885  -48.86865997],[-141.95755005  -48.86923218]
26,17.14453180347339,16.713340760642566,16.149887096639045,[-91.58245087 -48.86403275],[-108.72698212  -48.86838913],[-125.44032288  -48.86860275],[-141.59020996  -48.86921692]
27,17.2101521867106,16.819290161522147,16.263343825051244,[-90.90353394 -48.86421585],[-108.11368561  -48.86842346],[-124.93297577  -48.8685379 ],[-141.19631958  -48.8692131 ]
28,17.27931259098161,16.941207885785136,16.357742325124597,[-90.19754028 -48.86448288],[-107.47685242  -48.86845779],[-124.4180603   -48.86849594],[-140.77580261  -48.86920929]
29,17.345825593248385,17.086029052785904,16.43408204706497,[-89.4642334  -48.86480713],[-106.81005859  -48.86852264],[-123.89608765  -48.86848068],[-140.33016968  -48.86920166]
30,17.404312467166505,17.234710693937323,16.520500199172428,[-88.70302582 -48.86520386],[-106.10733795  -48.86861038],[-123.34204865  -48.86846924],[-139.86254883  -48.86919785]
31,17.459099083300707,17.37090301654576,16.627464309572343,[-87.91442108 -48.86565018],[-105.3735199   -48.86870575],[-122.74442291  -48.8684845 ],[-139.37188721  -48.86919403]
32,17.510795796281627,17.499145509967953,16.75003816042815,[-87.09934998 -48.86612701],[-104.61014557  -48.86879349],[-122.10929108  -48.86851883],[-138.85932922  -48.86919022]
