,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1,v2,v3,v4
0,12.326400756835938,12.326416015625,12.326416015625,[-100.          -48.86999893],[-112.32640076  -48.86999893],[-124.65281677  -48.86999893],[-136.97923279  -48.86999893],0.0,0.0,0.0,0.0
1,12.326400756835938,12.326416015625,12.326416015625,[-100.          -48.86999893],[-112.32640076  -48.86999893],[-124.65281677  -48.86999893],[-136.97923279  -48.86999893],0.0,0.0,0.0,0.0
2,12.326400756835938,12.326416015625,12.326416015625,[-100.          -48.86999893],[-112.32640076  -48.86999893],[-124.65281677  -48.86999893],[-136.97923279  -48.86999893],0.0,0.0,0.0,0.0
3,12.328353881835938,12.326416015625,12.326400756835938,[-99.99635315 -48.86999893],[-112.32470703  -48.86999893],[-124.65112305  -48.86999893],[-136.9775238   -48.86999893],0.09550646767510092,0.04772376255459965,0.04772420961726297,0.0477233229169509
4,12.347351074454458,12.325981140505652,12.326034545899027,[-99.95761871 -48.86987686],[-112.30496979  -48.86995316],[-124.63095093  -48.87004852],[-136.95698547  -48.87005234],0.6344096147787697,0.37419746282888305,0.35566811872833026,0.3815708953355466
5,12.428359985585736,12.326309204130487,12.325180057120699,[-99.87469482 -48.87005615],[-112.30305481  -48.86997986],[-124.62936401  -48.86995316],[-136.95454407  -48.87024307],0.9771261277643981,2.9148147106162453e-05,2.7976908092066056e-05,3.1510472824913576e-05
6,12.52451324508436,12.329299926829218,12.325157168937112,[-99.76821899 -48.86988831],[-112.29273224  -48.86999512],[-124.62203217  -48.86995316],[-136.94718933  -48.87024307],1.1549958715889934,0.14867568635431072,0.17503180599865223,0.12217121930948492
7,12.626724243553598,12.333763122560953,12.326446536263095,[-99.63518524 -48.86982346],[-112.26190948  -48.86992264],[-124.59567261  -48.86991501],[-136.92211914  -48.87018967],1.4964319537163493,0.42015178318231033,0.3305697399753402,0.32065830166471376
8,12.746498109225326,12.350425723617636,12.324424743652344,[-99.46208954 -48.86988068],[-112.20858765  -48.86969757],[-124.55901337  -48.86998749],[-136.88343811  -48.86998749],1.8566167310947361,0.6855896404993128,0.409964033518433,0.4474946427788752
9,12.868232727119198,12.379745484642076,12.32550048828125,[-99.25876617 -48.86988068],[-112.1269989   -48.86983871],[-124.50674438  -48.87001419],[-136.83224487  -48.87001419],2.141087684251594,0.9171656488962682,0.6350380353458316,0.616926908872644
10,12.984451294754471,12.418510437949152,12.336120605540117,[-99.02732086 -48.86972046],[-112.01177216  -48.86986542],[-124.43028259  -48.87001801],[-136.7664032   -48.86997604],2.4428016868805393,1.3538579366441224,0.8215897573728023,0.702438824711084
11,13.095947273361014,12.477973938445436,12.347267150888335,[-98.76364136 -48.86936951],[-111.85958862  -48.86981964],[-124.33756256  -48.86992645],[-136.68482971  -48.86991119],2.7707990968181186,1.6764959815926923,1.00332808682306,0.9174857988532078
12,13.211502102828693,12.545524598859146,12.35951995889405,[-98.46864319 -48.8689003 ],[-111.68014526  -48.86975479],[-124.22566986  -48.86996078],[-136.58518982  -48.8698616 ],3.0741923335910686,1.9504920874356126,1.197557483920399,1.0198670665979084
13,13.324386667449483,12.620140076749609,12.383880616128016,[-98.14409637 -48.86832809],[-111.46848297  -48.86970139],[-124.08862305  -48.86986542],[-136.47250366  -48.86971664],3.3736433217850994,2.3008680956725445,1.4659483890001561,1.19149813088774
14,13.433311601629192,12.70288848880619,12.42124938965078,[-97.78945923 -48.86771393],[-111.22277069  -48.86964798],[-123.92565918  -48.8696785 ],[-136.34690857  -48.86968613],3.6790065973712633,2.576834029574458,1.7020396299819736,1.2886689880871314
15,13.544227825670038,12.790489197359854,12.465629578926071,[-97.4056015  -48.86712646],[-110.9498291   -48.86959839],[-123.7403183   -48.86947632],[-136.20594788  -48.86965561],3.9638094489314057,2.876646108359945,1.9333691496084853,1.4720037677923408
16,13.649566980547812,12.887542727536122,12.514839173816748,[-96.99347687 -48.86654282],[-110.64304352  -48.86954498],[-123.53058624  -48.86927032],[-136.04542542  -48.86946106],4.250201561666419,3.228592463269881,2.1893568259042553,1.6628157746154548
17,13.749435867849316,12.99285126460194,12.574104309290922,[-96.55281067 -48.86600113],[-110.30224609  -48.86949158],[-123.29509735  -48.8690567 ],[-135.86920166  -48.86912918],4.532191860723149,3.550921979054045,2.4510810854307805,1.8110899816613852
18,13.845711315152611,13.104042068707892,12.642669679060345,[-96.08447266 -48.86549759],[-109.93018341  -48.86943817],[-123.03422546  -48.86880112],[-135.67689514  -48.86861801],4.806607682034843,3.866740759204322,2.7040908824680283,1.9905251398975248
19,13.93721838610883,13.22460177223435,12.713333147812687,[-95.58874512 -48.86505127],[-109.52596283  -48.86938477],[-122.75056458  -48.86854553],[-135.46389771  -48.86787033],5.08073741636747,4.186300801905267,2.9496194865928933,2.21512163838534
20,14.018051921270043,13.34887699404603,12.790580819594952,[-95.07236481 -48.86467361],[-109.09041595  -48.86933136],[-122.43929291  -48.86828613],[-135.22987366  -48.86694717],5.162348555072909,4.491847075784931,3.2482477555098064,2.4092971251438704
21,14.069085022756411,13.471839962536055,12.879661741673639,[-94.55651093 -48.86436462],[-108.62559509  -48.86927032],[-122.097435    -48.86802292],[-134.97709656  -48.86585999],5.215997136552218,4.771934536008346,3.5487845291124036,2.6054722470574956
22,14.11277099528252,13.59206398110725,12.976631552678667,[-94.02152252 -48.86413574],[-108.1342926   -48.86921692],[-121.72635651  -48.86776733],[-134.70298767  -48.86459351],5.508047725290404,5.025119795481799,3.841243172660615,2.832768327521341
23,14.16982363842311,13.70401773416002,13.080033075363987,[-93.45198059 -48.86398315],[-107.62180328  -48.8691597 ],[-121.32582092  -48.86754608],[-134.40585327  -48.86318588],5.847900410837453,5.118054397776567,4.137935651256351,3.064296485738781
24,14.254853252928601,13.787521481873487,13.189049968937391,[-92.85422516 -48.86391449],[-107.10907745  -48.86914062],[-120.89659882  -48.86732483],[-134.08564758  -48.86169434],6.095802317439978,5.156222822029668,4.41134252961323,3.3015661580742126
25,14.343659389636645,13.86598982804024,13.299127511589587,[-92.23236084 -48.86392975],[-106.57601929  -48.86912918],[-120.44200897  -48.86713791],[-133.74113464  -48.86014175],6.3489271335707365,5.495810509496656,4.652717358242143,3.552348856511888
26,14.416954939981773,13.963470625912551,13.408648225273675,[-91.58245087 -48.86403275],[-105.99940491  -48.86912537],[-119.96287537  -48.86696625],[-133.371521   -48.8586235],6.641972373933549,5.938448905944876,4.9126359537092315,3.8058144742770246
27,14.484795444847022,14.067047303487541,13.521876923815622,[-90.90353394 -48.86421585],[-105.38832855  -48.86911392],[-119.45537567  -48.86683655],[-132.97724915  -48.85717773],6.922552192632067,6.212597371129541,5.213329379378516,4.053972662697446
28,14.55617597347849,14.183159075544026,13.620319927403822,[-90.19754028 -48.86448288],[-104.75371552  -48.86912918],[-118.93687439  -48.86674118],[-132.55718994  -48.85582352],7.191156275291616,6.452095991701654,5.182391665414258,4.322635779961661
29,14.624855691470508,14.326301790606344,13.695943435357695,[-89.4642334  -48.86480713],[-104.08908844  -48.86916733],[-118.41539001  -48.86668015],[-132.11132812  -48.85460281],7.4678827728813895,6.797945032898789,5.3042273530538955,4.558918849985593
30,14.68540246378412,14.477630841509965,13.777807755644833,[-88.70302582 -48.86520386],[-103.38842773  -48.8692131 ],[-117.86605835  -48.86665344],[-131.64385986  -48.85353851],7.745932957755351,7.145129693242345,5.698398121182685,4.771623871197424
