,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,10.026771545410156,10.026779174804688,10.026786804199219,[-100.          -48.86999893],[-110.02677155  -48.86999893],[-120.05355072  -48.86999893],[-130.08033752  -48.86999893]
1,10.026771545410156,10.026779174804688,10.026786804199219,[-100.          -48.86999893],[-110.02677155  -48.86999893],[-120.05355072  -48.86999893],[-130.08033752  -48.86999893]
2,10.026771545410156,10.026779174804688,10.026786804199219,[-100.          -48.86999893],[-110.02677155  -48.86999893],[-120.05355072  -48.86999893],[-130.08033752  -48.86999893]
3,10.028724670410156,10.026771545410156,10.02679443359375,[-99.99635315 -48.86999893],[-110.02507782  -48.86999893],[-120.05184937  -48.86999893],[-130.0786438   -48.86999893]
4,10.04782104498053,10.026931762721436,10.026451111293392,[-99.95761871 -48.86987686],[-110.00543976  -48.86991119],[-120.03237152  -48.86988831],[-130.05882263  -48.86998367]
5,10.129417421451297,10.025123596194309,10.027984619837893,[-99.87469482 -48.87005615],[-110.00411224  -48.86985397],[-120.02923584  -48.8698616 ],[-130.05722046  -48.86997986]
6,10.226547241210938,10.02324676516285,10.031791687246713,[-99.76821899 -48.86988831],[-109.99476624  -48.86988831],[-120.018013    -48.86991119],[-130.04980469  -48.86997986]
7,10.32999420171721,10.02162170422426,10.03439331208119,[-99.63518524 -48.86982346],[-109.96517944  -48.86978912],[-119.98680115  -48.86983871],[-130.02119446  -48.87001419]
8,10.456657409685365,10.027023315441298,10.036193850266148,[-99.46208954 -48.86988068],[-109.91874695  -48.8698616 ],[-119.94577026  -48.86984634],[-129.98196411  -48.87007523]
9,10.582969665596096,10.051307678918306,10.038963325861703,[-99.25876617 -48.86988068],[-109.84173584  -48.86984253],[-119.89304352  -48.86972427],[-129.93200684  -48.87012482]
10,10.704231262403473,10.088104248064907,10.040313725816427,[-99.02732086 -48.86972046],[-109.73155212  -48.86978531],[-119.81965637  -48.86976624],[-129.85997009  -48.87008667]
11,10.82510376960639,10.13954162638989,10.04666137697123,[-98.76364136 -48.86936951],[-109.58874512  -48.86983109],[-119.72828674  -48.86992264],[-129.77494812  -48.86994171]
12,10.943962136749741,10.20470428816167,10.056625367611632,[-98.46864319 -48.8689003 ],[-109.41260529  -48.86983109],[-119.61730957  -48.87009811],[-129.67393494  -48.86993027]
13,11.057998759368965,10.283653261740243,10.069854736432172,[-98.14409637 -48.86832809],[-109.20209503  -48.86983109],[-119.48574829  -48.87005615],[-129.55560303  -48.87001038]
14,11.168739519512814,10.370330810774197,10.096733093279735,[-97.78945923 -48.86771393],[-108.95819855  -48.86983109],[-119.32852936  -48.86989975],[-129.42526245  -48.86988068]
15,11.279632892615114,10.464492798436309,10.128807067882587,[-97.4056015  -48.86712646],[-108.68523407  -48.86983109],[-119.14972687  -48.86972046],[-129.27853394  -48.86973572]
16,11.384872910294233,10.568763737316171,10.16670227054288,[-96.99347687 -48.86654282],[-108.3783493   -48.86982727],[-118.94711304  -48.86952209],[-129.11381531  -48.8695488 ]
17,11.483994167654382,10.681350720057264,10.213470459029967,[-96.55281067 -48.86600113],[-108.0368042   -48.86982727],[-118.71815491  -48.86931992],[-128.93162537  -48.86935043]
18,11.578774308039735,10.799850487678762,10.269676208566942,[-96.08447266 -48.86549759],[-107.66324615  -48.86982727],[-118.46309662  -48.86911011],[-128.73277283  -48.86914825]
19,11.66861822595107,10.926895180597926,10.332206726159427,[-95.58874512 -48.86505127],[-107.25736237  -48.86982727],[-118.18425751  -48.86890411],[-128.51646423  -48.86894608]
20,11.747544465417246,11.056839051683108,10.405464172733181,[-95.07236481 -48.86467361],[-106.81990814  -48.86982727],[-117.87674713  -48.86865234],[-128.2822113   -48.86874008]
21,11.796311689628347,11.185455409878639,10.490928650446085,[-94.55651093 -48.86436462],[-106.35282135  -48.86982727],[-117.53827667  -48.86842728],[-128.02920532  -48.86853409]
22,11.837594445026376,11.311203117482634,10.586654663704486,[-94.02152252 -48.86413574],[-105.8591156   -48.86982346],[-117.1703186   -48.86821365],[-127.75697327  -48.86832809]
23,11.894387717854114,11.425689840945173,10.694755554659121,[-93.45198059 -48.86398315],[-105.34636688  -48.8698082 ],[-116.77205658  -48.86799622],[-127.46681213  -48.8680954 ]
24,11.979981910995862,11.510391410909836,10.809226990236802,[-92.85422516 -48.86391449],[-104.83420563  -48.86979294],[-116.34459686  -48.86778259],[-127.15382385  -48.86788559]
25,12.067338477244602,11.591766573702063,10.924362182910906,[-92.23236084 -48.86392975],[-104.29969788  -48.86982727],[-115.89146423  -48.86758804],[-126.81582642  -48.86766815]
26,12.139726145491931,11.69075038502111,11.04045104988443,[-91.58245087 -48.86403275],[-103.7221756   -48.86989212],[-115.41292572  -48.86741257],[-126.45337677  -48.86745453]
27,12.204095287081884,11.797737428109693,11.160171508854258,[-90.90353394 -48.86421585],[-103.10762787  -48.8699646 ],[-114.90536499  -48.86727524],[-126.0655365   -48.86723709]
28,12.270272491896387,11.918648076456478,11.26464080872619,[-90.19754028 -48.86448288],[-102.46781158  -48.86988831],[-114.38645935  -48.86716843],[-125.65110016  -48.86705017]
29,12.337678020186848,12.061371158866368,11.347938539537196,[-89.4642334  -48.86480713],[-101.8019104   -48.86981964],[-113.86328125  -48.86708832],[-125.21121979  -48.86687851]
30,12.397362569796762,12.210281658244826,11.438682560223278,[-88.70302582 -48.86520386],[-101.10038757  -48.86969757],[-113.31066895  -48.86705399],[-124.7493515   -48.86674881]
31,12.451836269204449,12.347244531981147,11.55013275894923,[-87.91442108 -48.86565018],[-100.36625671  -48.86963272],[-112.71350098  -48.86705399],[-124.26363373  -48.86663818]
32,12.50437974587493,12.474205263525754,11.673812878080524,[-87.09934998 -48.86612701],[-99.60372925 -48.86956787],[-112.07793427  -48.86708832],[-123.75174713  -48.86656189]
33,12.55176578024911,12.595955114921637,11.829902666492167,[-86.25850677 -48.86661148],[-98.81027222 -48.86952591],[-111.40622711  -48.86717224],[-123.23612976  -48.86652756]
34,12.592437975660225,12.708534434650721,12.009140039126123,[-85.39253998 -48.86709976],[-97.98497772 -48.86951447],[-110.69351196  -48.86729431],[-122.70265198  -48.86652756]
35,12.627929832699605,12.809570478131569,12.187034639345454,[-84.50218201 -48.86759186],[-97.13011169 -48.86950684],[-109.93968201  -48.8674469 ],[-122.12671661  -48.86655807]
36,12.658020104290447,12.901283401232893,12.360092203186408,[-83.58824921 -48.86804581],[-96.24626923 -48.86951065],[-109.14755249  -48.86763   ],[-121.50764465  -48.86663437]
37,12.68181614833191,12.983642689097055,12.533897448722596,[-82.65136719 -48.86846161],[-95.33318329 -48.86955643],[-108.31682587  -48.86785889],[-120.85072327  -48.86675262]
38,12.699653647722954,13.055275049456325,12.702575736181384,[-81.69223785 -48.86884689],[-94.39189148 -48.86959839],[-107.44716644  -48.86809921],[-120.14974213  -48.86694336]
39,12.711883553164068,13.116622989686107,12.85987096821966,[-80.71157837 -48.86919022],[-93.42346191 -48.86964798],[-106.54008484  -48.86834335],[-119.39995575  -48.86712646]
