,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,7.2009429931640625,7.200958251953125,7.200958251953125,[-100.          -48.86999893],[-107.20094299  -48.86999893],[-114.40190125  -48.86999893],[-121.6028595   -48.86999893]
1,7.2009429931640625,7.200958251953125,7.200958251953125,[-100.          -48.86999893],[-107.20094299  -48.86999893],[-114.40190125  -48.86999893],[-121.6028595   -48.86999893]
2,7.2009429931640625,7.200958251953125,7.200958251953125,[-100.          -48.86999893],[-107.20094299  -48.86999893],[-114.40190125  -48.86999893],[-121.6028595   -48.86999893]
3,7.2028961181640625,7.200950622558594,7.200958251953125,[-99.99635315 -48.86999893],[-107.19924927  -48.86999893],[-114.40019989  -48.86999893],[-121.60115814  -48.86999893]
4,7.222007751997795,7.200759887796357,7.20026397815123,[-99.95761871 -48.86987686],[-107.17962646  -48.8699646 ],[-114.38038635  -48.86992645],[-121.58065033  -48.87005234]
5,7.301231386035237,7.200683595059548,7.200874328735543,[-99.87469482 -48.87005615],[-107.17592621  -48.86989594],[-114.3766098   -48.87003326],[-121.57748413  -48.87007523]
6,7.39546966555194,7.203704835084298,7.202743530395668,[-99.76821899 -48.86988831],[-107.16368866  -48.86990738],[-114.36739349  -48.87003326],[-121.57013702  -48.87007523]
7,7.495971680200974,7.234817505912635,7.176307681289662,[-99.63518524 -48.86982346],[-107.13115692  -48.86991119],[-114.36597443  -48.87003326],[-121.5422821   -48.87024307]
8,7.619537354112443,7.279533390453393,7.143966677885577,[-99.46208954 -48.86988068],[-107.08162689  -48.86978531],[-114.36116028  -48.87003326],[-121.50512695  -48.87024307]
9,7.744560242785273,7.338645935067517,7.11718750255577,[-99.25876617 -48.86988068],[-107.00332642  -48.87001038],[-114.34197235  -48.86999893],[-121.45915985  -48.87018967]
10,7.863662719801509,7.407051086618313,7.0982742378493455,[-99.02880859 -48.8697319 ],[-106.89247131  -48.86976624],[-114.2995224   -48.86981964],[-121.39779663  -48.87013245]
11,7.979919437565478,7.482231141852088,7.0909576497292175,[-98.77093506 -48.8693924 ],[-106.75085449  -48.86964417],[-114.23308563  -48.86980438],[-121.32404327  -48.87014389]
12,8.09525301460269,7.567100531686865,7.097717291553976,[-98.48139191 -48.86891174],[-106.5766449   -48.86953354],[-114.14374542  -48.86985397],[-121.24146271  -48.87015533]
13,8.21035010510966,7.658195503473145,7.11516571967817,[-98.16127014 -48.86832809],[-106.37162018  -48.86938858],[-114.02981567  -48.86973572],[-121.14498138  -48.87009811]
14,8.32038893316233,7.753799453374175,7.14495087750274,[-97.81153107 -48.86771393],[-106.13191986  -48.86923599],[-113.8857193   -48.86971664],[-121.03067017  -48.87010956]
15,8.426559683519944,7.854873674108353,7.188293464869691,[-97.43206787 -48.86708832],[-105.85862732  -48.86907959],[-113.71350098  -48.86959457],[-120.90179443  -48.86993027]
16,8.528961521307139,7.961929340502623,7.242355351602422,[-97.02384186 -48.86648178],[-105.55280304  -48.86888885],[-113.51473236  -48.86944199],[-120.75708771  -48.86970901]
17,8.626770473926777,8.071945211807014,7.3087615986955985,[-96.58707428 -48.86590195],[-105.2138443   -48.86870193],[-113.28578949  -48.8692894 ],[-120.59455109  -48.86946106]
18,8.719750019990215,8.185852073535694,7.385879517035999,[-96.12234497 -48.8653717 ],[-104.84209442  -48.86852264],[-113.02794647  -48.869133  ],[-120.41382599  -48.8692131 ]
19,8.808678358853607,8.305381797329309,7.469970703242858,[-95.62995148 -48.86489105],[-104.43862915  -48.86836624],[-112.74401093  -48.86897659],[-120.21398163  -48.86893463]
20,8.889466108515077,8.42297365576341,7.567001345177282,[-95.11482239 -48.86448669],[-104.00428772  -48.86820221],[-112.42726135  -48.86882401],[-119.9942627   -48.86863327]
21,8.940811998922293,8.537994408248457,7.674964912464052,[-94.59952545 -48.86415482],[-103.54033661  -48.86803436],[-112.07833099  -48.8686676 ],[-119.7532959   -48.86832428]
22,8.983841842106814,8.648521443033717,7.791290298985323,[-94.06617737 -48.86389923],[-103.05001831  -48.86791992],[-111.69853973  -48.86850357],[-119.48983002  -48.86800766]
23,9.04055877931699,8.749069230873117,7.9197082785039985,[-93.49746704 -48.86372375],[-102.5380249   -48.86779785],[-111.28709412  -48.86834335],[-119.20680237  -48.86769485]
24,9.125779112774746,8.82024384854558,8.053749126622849,[-92.8998642  -48.86363983],[-102.0256424   -48.86772537],[-110.84588623  -48.86820602],[-118.89963531  -48.86738205]
25,9.216736713507828,8.882621775596098,8.185958926621597,[-92.27861023 -48.86364746],[-101.49534607  -48.86766052],[-110.37796783  -48.86809158],[-118.5639267   -48.86706543]
26,9.293862205264022,8.96107483553303,8.316696258265617,[-91.62947845 -48.86373901],[-100.92333984  -48.86763382],[-109.88441467  -48.86797333],[-118.20111084  -48.86674118]
27,9.365593693551947,9.053192142279638,8.441040163531554,[-90.95092773 -48.86393356],[-100.31652069  -48.86764908],[-109.36971283  -48.86790466],[-117.81075287  -48.86645508]
28,9.440468476920955,9.167449952441752,8.539375465664133,[-90.24520111 -48.86419678],[-99.68566895 -48.8676796 ],[-108.8531189   -48.86783218],[-117.3924942   -48.86617661]
29,9.51265770908229,9.285537719880145,8.638992510963504,[-89.51221466 -48.86453629],[-99.02487183 -48.86775208],[-108.31040955  -48.86780548],[-116.94940186  -48.86594009]
30,9.5770496965029,9.394325256478547,8.758964781700506,[-88.75115967 -48.86494446],[-98.32820892 -48.86785126],[-107.72253418  -48.86780167],[-116.48149872  -48.86573792]
31,9.63755832635802,9.498367310735432,8.885841656597924,[-87.96257019 -48.86540985],[-97.60012817 -48.86798096],[-107.09849548  -48.86783218],[-115.98433685  -48.86557388]
32,9.6946871473705,9.602363589433194,9.021744097566238,[-87.14742279 -48.86588287],[-96.84210968 -48.86811829],[-106.44447327  -48.86787796],[-115.46621704  -48.86546326]
33,9.745582764980933,9.701866156112716,9.194237111674118,[-86.30635834 -48.8664093 ],[-96.05194092 -48.86830521],[-105.75380707  -48.86795807],[-114.94804382  -48.86539841]
34,9.79014600201967,9.793624886919115,9.393715288667462,[-85.44008636 -48.86691284],[-95.23023224 -48.86849594],[-105.02385712  -48.86807632],[-114.41757202  -48.86539078]
35,9.829292380435827,9.8797454949055,9.592697547753598,[-84.54936981 -48.86741257],[-94.37866211 -48.86869049],[-104.25840759  -48.86821365],[-113.85110474  -48.86542892]
36,9.862327625940036,9.95997621040343,9.773193770365031,[-83.63494873 -48.8678894 ],[-93.49727631 -48.86888504],[-103.4572525  -48.8683548],[-113.23044586  -48.86552048]
37,9.888839749657519,10.032493605932316,9.943977770834621,[-82.69752502 -48.86834335],[-92.58636475 -48.86908722],[-102.61885834  -48.86854553],[-112.56283569  -48.86567307]
38,9.90922547646784,10.097404493112984,10.107490938018074,[-81.7378006  -48.86874771],[-91.64702606 -48.86924744],[-101.74443054  -48.86873245],[-111.85192108  -48.86589432]
39,9.923583988722134,10.1549224963684,10.255684270805641,[-80.75650024 -48.86911011],[-90.68008423 -48.86940384],[-100.83500671  -48.86893082],[-111.09069061  -48.86616898]
40,9.931823731366173,10.204460153971024,10.388321252455983,[-79.75428772 -48.86942291],[-89.68611145 -48.86955643],[-99.89057159 -48.86910629],[-110.27889252  -48.86648941]
41,9.934158325201905,10.245712290161519,10.50974300724842,[-78.7318573  -48.86971664],[-88.66601562 -48.8697052 ],[-98.91172791 -48.86925507],[-109.42147064  -48.86687088]
42,9.930900574577421,10.27888489673391,10.617470007131754,[-77.68984222 -48.86996841],[-87.6207428  -48.86983871],[-97.89962769 -48.86940765],[-108.51709747  -48.86724854]
43,9.92221832645047,10.303909308819168,10.709694080580796,[-76.62889099 -48.87021255],[-86.55110931 -48.86994171],[-96.85501862 -48.86956024],[-107.56471252  -48.86764145]
44,9.908393866915716,10.320610051846185,10.788963447840006,[-75.54964447 -48.87041855],[-85.45803833 -48.87004471],[-95.77864838 -48.86970901],[-106.56761169  -48.86803436]
45,9.88972474257585,10.329231265960804,10.855171297368766,[-74.45271301 -48.87060928],[-84.34243774 -48.87014008],[-94.67166901 -48.8698616 ],[-105.52684021  -48.86843491]
46,9.866539015305811,10.329864505604535,10.906288205819894,[-73.33869171 -48.87076187],[-83.20523071 -48.87023926],[-93.53509521 -48.8699646 ],[-104.44138336  -48.86883163]
47,9.839111347056031,10.322830202648865,10.944229161759909,[-72.20817566 -48.87090302],[-82.04728699 -48.87029266],[-92.37011719 -48.8700676 ],[-103.31434631  -48.86918259]
48,9.807769797851073,10.30890655666924,10.971366901943645,[-71.06172943 -48.87100983],[-80.86949921 -48.87034607],[-91.17840576 -48.87017059],[-102.14977264  -48.86951447]
49,9.77298739092834,10.288238526759786,10.986061104205115,[-69.89989471 -48.87110138],[-79.67288208 -48.87039948],[-89.96112061 -48.87023163],[-100.9471817   -48.86981201]
50,9.735199000744739,10.260787965118045,10.988754274612191,[-68.7232132  -48.87116241],[-78.45841217 -48.87044907],[-88.71920013 -48.87028885],[-99.70795441 -48.87007141]
51,9.694648772696292,10.227104187610038,10.981666565071267,[-67.53222656 -48.87121582],[-77.22687531 -48.87045288],[-87.45397949 -48.87034225],[-98.43564606 -48.87028885]
52,9.65160373072127,10.187690735094678,10.965248108125145,[-66.32743835 -48.87124252],[-75.97904205 -48.8704567 ],[-86.16673279 -48.87038803],[-97.1319809 -48.8704567]
53,9.606308015540082,10.142807007019579,10.938171388448907,[-65.10942841 -48.87124252],[-74.71573639 -48.8704567 ],[-84.8585434  -48.87039566],[-95.79671478 -48.87059021]
54,9.559062990694413,10.092895507974703,10.901077274568596,[-63.87867355 -48.87125015],[-73.43773651 -48.8704567 ],[-83.53063202 -48.87039948],[-94.43170929 -48.87069702]
55,9.510173830707451,10.038452148600582,10.855003362730898,[-62.63560867 -48.87125015],[-72.14578247 -48.8704567 ],[-82.18423462 -48.87039948],[-93.03923798 -48.87075424]
56,9.459873233059652,9.979919433757788,10.799888617849088,[-61.38069534 -48.87125397],[-70.84056854 -48.8704567 ],[-80.82048798 -48.87039948],[-91.62037659 -48.87078857]
57,9.408432040616391,9.917732238934597,10.735855109869336,[-60.11437225 -48.87125397],[-69.52280426 -48.8704567 ],[-79.4405365  -48.87039948],[-90.1763916 -48.8707962]
58,9.356098206467477,9.852371215986475,10.66441345967041,[-58.83704758 -48.87122345],[-68.19314575 -48.8704567 ],[-78.04551697 -48.87039948],[-88.70993042 -48.87080002]
59,9.303108242974561,9.784217834639977,10.58632660669855,[-57.54912567 -48.87117386],[-66.85223389 -48.8704567 ],[-76.63645172 -48.87039948],[-87.22277832 -48.87080002]
60,9.249675777654408,9.71372222917244,10.501823432931397,[-56.25099564 -48.87116241],[-65.50067139 -48.8704567 ],[-75.21439362 -48.87039948],[-85.71621704 -48.87080002]
61,9.195991543192433,9.641288757494019,10.411758430556066,[-54.94303894 -48.87116241],[-64.13903046 -48.8704567 ],[-73.78031921 -48.87039948],[-84.19207764 -48.87080002]
