,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,8.465484619140625,8.465476989746094,8.465492248535156,[-100.          -48.86999893],[-108.46548462  -48.86999893],[-116.93096161  -48.86999893],[-125.39645386  -48.86999893]
1,8.465484619140625,8.465476989746094,8.465492248535156,[-100.          -48.86999893],[-108.46548462  -48.86999893],[-116.93096161  -48.86999893],[-125.39645386  -48.86999893]
2,8.465484619140625,8.465476989746094,8.465492248535156,[-100.          -48.86999893],[-108.46548462  -48.86999893],[-116.93096161  -48.86999893],[-125.39645386  -48.86999893]
3,8.467430114746094,8.465484619140625,8.465484619140625,[-99.99635315 -48.86999893],[-108.46378326  -48.86999893],[-116.92926788  -48.86999893],[-125.3947525   -48.86999893]
4,8.487419128487407,8.464347839771515,8.465545654366492,[-99.95761871 -48.86987686],[-108.44503784  -48.86984253],[-116.90938568  -48.86992645],[-125.37493134  -48.86996078]
5,8.566467287279634,8.46611023599715,8.464248660118292,[-99.87469482 -48.87005615],[-108.44116211  -48.86986542],[-116.90727234  -48.8701973 ],[-125.371521    -48.86997604]
6,8.663269043157719,8.467086795965695,8.464324954266445,[-99.76821899 -48.86988831],[-108.43148804  -48.86994553],[-116.89857483  -48.87020493],[-125.36289978  -48.86997604]
7,8.763961792690397,8.472038274539418,8.463958742649103,[-99.63518524 -48.86982346],[-108.39914703  -48.86993408],[-116.8711853   -48.87023926],[-125.33514404  -48.87003708]
8,8.88019561768889,8.492347726551941,8.460990913852909,[-99.46208954 -48.86988068],[-108.34228516  -48.86986542],[-116.83463287  -48.87026215],[-125.29562378  -48.86989212]
9,9.000762939686744,8.52371216000937,8.45893097333346,[-99.25876617 -48.86988068],[-108.25952911  -48.86994553],[-116.78324127  -48.870121  ],[-125.24217224  -48.86985779]
10,9.116653443360478,8.565925598858882,8.461021424063052,[-99.02732086 -48.86972046],[-108.1439743   -48.86985397],[-116.7098999  -48.8699646],[-125.17092133  -48.86985397]
11,9.232841498515079,8.621406556809651,8.46990204039194,[-98.76364136 -48.86936951],[-107.99648285  -48.86972427],[-116.6178894   -48.86989212],[-125.08779144  -48.86971664]
12,9.34764102456347,8.690887451614751,8.482688903809452,[-98.46864319 -48.8689003 ],[-107.81628418  -48.86968994],[-116.50717163  -48.86977768],[-124.98986053  -48.86977386]
13,9.458732703018288,8.769050598165274,8.503158569828807,[-98.14409637 -48.86832809],[-107.60282898  -48.86968994],[-116.37187958  -48.86970901],[-124.87503815  -48.86961746]
14,9.56775685688342,8.85044860843872,8.540107728413942,[-97.78945923 -48.86771393],[-107.35721588  -48.86968994],[-116.20766449  -48.86966324],[-124.74777222  -48.86951065]
15,9.677193027519186,8.93939971959722,8.58285522477553,[-97.4056015  -48.86712646],[-107.08279419  -48.86968994],[-116.02219391  -48.86960983],[-124.60504913  -48.86955643]
16,9.781654862957696,9.038139344363803,8.632530212591986,[-96.99347687 -48.86654282],[-106.77513123  -48.86968613],[-115.81327057  -48.86954498],[-124.44580078  -48.8696022 ]
17,9.880966892281934,9.14365387434684,8.69344330087161,[-96.55281067 -48.86600113],[-106.43377686  -48.86973572],[-115.57743073  -48.86944199],[-124.27087402  -48.86965179]
18,9.976387925759411,9.255455025756888,8.7635727003641,[-96.08447266 -48.86549759],[-106.06085968  -48.86973953],[-115.3163147   -48.86933899],[-124.07988739  -48.86970139]
19,10.067307628034635,9.376602188498213,8.837478652700081,[-95.58874512 -48.86505127],[-105.65605164  -48.86977768],[-115.03265381  -48.86923599],[-123.87013245  -48.86975098]
20,10.14775977903218,9.501014731865663,8.919975305174582,[-95.07236481 -48.86467361],[-105.22012329  -48.86980057],[-114.721138    -48.86914825],[-123.64111328  -48.8698082 ]
21,10.198411505362152,9.624038729312735,9.013488810761324,[-94.55651093 -48.86436462],[-104.75492096  -48.86984253],[-114.37895966  -48.86904526],[-123.39244843  -48.86990738]
22,10.24057166486061,9.74423984560526,9.115699820375847,[-94.022789   -48.86413574],[-104.26335907  -48.86985397],[-114.00759888  -48.86898804],[-123.12329865  -48.8699646 ]
23,10.292085438674377,9.855850266980402,9.227638314650521,[-93.45877075 -48.86398315],[-103.75085449  -48.86989594],[-113.60670471  -48.86893082],[-122.83434296  -48.8700676 ]
24,10.379342860002177,9.938552911408022,9.34323892111912,[-92.85921478 -48.86391449],[-103.23855591  -48.86991501],[-113.17710876  -48.86886978],[-122.5203476   -48.87017059]
25,10.484887875588745,10.015525878546416,9.45881664115715,[-92.22183228 -48.86393356],[-102.70671844  -48.86991501],[-112.72224426  -48.86881256],[-122.18106079  -48.87027359]
26,10.585481396226921,10.111641002483896,9.573845038670491,[-91.54580688 -48.86403656],[-102.13128662  -48.8699646 ],[-112.24292755  -48.86875534],[-121.81677246  -48.870327  ]
27,10.687486281173964,10.217125016046893,9.690498500734723,[-90.83100128 -48.86424255],[-101.51848602  -48.86997986],[-111.73561096  -48.86872482],[-121.42610931  -48.87042236]
28,10.792169042222627,10.34356697253371,9.788620163532894,[-90.0845871  -48.86452484],[-100.87675476  -48.86997986],[-111.22032166  -48.86870956],[-121.00894165  -48.87052536]
29,10.856721193916435,10.49823006248331,9.869285763407351,[-89.34263611 -48.86486053],[-100.19935608  -48.87001419],[-110.69758606  -48.86870193],[-120.56687164  -48.8705864 ]
30,10.855126484634567,10.658294760406847,9.960197640227538,[-88.62892151 -48.86522675],[-99.48404694 -48.87001801],[-110.14234161  -48.86869049],[-120.10253906  -48.87064362]
31,10.79074187097916,10.797943192671376,10.07176990744799,[-87.95322418 -48.86560059],[-98.74396515 -48.87001801],[-109.54190826  -48.86872482],[-119.61367798  -48.87069702]
32,10.669686129983848,10.913536143940657,10.196594432716958,[-87.3197937  -48.86597443],[-97.98947906 -48.87001801],[-108.90301514  -48.86876297],[-119.09960938  -48.87075424]
33,10.460312542768564,11.003273077966309,10.354347425647035,[-86.76507568 -48.86632156],[-97.22538757 -48.87001801],[-108.22866058  -48.8687973 ],[-118.58300781  -48.87081528]
34,10.003647460856952,11.055961667721753,10.528625669439618,[-86.45768738 -48.86652374],[-96.46133423 -48.87001801],[-107.51729584  -48.86887741],[-118.04592133  -48.87083054]
35,9.316811248941512,11.057205250321301,10.691314860665306,[-86.39932251 -48.86656189],[-95.71613312 -48.87001801],[-106.77333832  -48.86896515],[-117.46465302  -48.87083435]
36,8.609673240067886,10.995971721707653,10.837745813546416,[-86.39885712 -48.86656189],[-95.00852966 -48.87001801],[-106.00450134  -48.8690567 ],[-116.84224701  -48.87084198]
37,7.948906696168832,10.871612583619044,10.967743051881968,[-86.39764404 -48.86656189],[-94.34654999 -48.87001801],[-105.21816254  -48.86914825],[-116.18590546  -48.87084961]
38,7.362206313013402,10.685363797315814,11.068603629383535,[-86.37479401 -48.86656952],[-93.73699951 -48.87001801],[-104.42236328  -48.86924744],[-115.4909668   -48.87083435]
39,7.01132279078578,10.297416709148191,11.129173373710996,[-86.31729126 -48.86673355],[-93.32861328 -48.87001801],[-103.62602997  -48.8693428 ],[-114.75520325  -48.8707962 ]
40,6.76617515294126,9.859199540752615,11.144577103176665,[-86.21817017 -48.86665344],[-92.98434448 -48.87001801],[-102.84354401  -48.86944199],[-113.98812103  -48.87075043]
41,6.548813712962564,9.467643749800903,11.10738378936416,[-86.07273865 -48.86668777],[-92.62155151 -48.87001801],[-102.08919525  -48.86954117],[-113.19657898  -48.87070847]
42,6.387604538811774,9.095260628277707,11.022270250759048,[-85.87960052 -48.86686325],[-92.26720428 -48.87001801],[-101.3624649   -48.86963272],[-112.38473511  -48.87066269]
43,6.2906118733714935,8.733818060504792,10.893623391490186,[-85.64128113 -48.86725616],[-91.9318924  -48.87001801],[-100.66571045  -48.86968613],[-111.5593338  -48.8706131]
44,6.256226014441744,8.388847355823756,10.726287871711207,[-85.35572815 -48.86770248],[-91.61195374 -48.87001801],[-100.00080109  -48.86973572],[-110.72708893  -48.8705368 ]
45,6.275650288210055,8.060852054139932,10.52552034735367,[-85.03149414 -48.86819839],[-91.30714417 -48.87001801],[-99.36799622 -48.86978531],[-109.89351654  -48.87047577]
46,6.303566126113259,7.753112795221983,10.296417253746327,[-84.7108078  -48.86865616],[-91.01437378 -48.87001801],[-98.76748657 -48.86983109],[-109.06390381  -48.87042999]
47,6.317840647003117,7.464424134564059,10.044448864970079,[-84.41669464 -48.86907196],[-90.73453522 -48.87001801],[-98.19895935 -48.86988068],[-108.2434082  -48.8703804]
48,6.3139877589090805,7.193183899460869,9.774223335843757,[-84.15488434 -48.86943436],[-90.46887207 -48.87001801],[-97.66205597 -48.86993027],[-107.4362793   -48.87033081]
49,6.291809088026118,6.989067077740824,9.438217167897148,[-83.9265213  -48.86974335],[-90.21833038 -48.87001801],[-97.20739746 -48.86997986],[-106.64561462  -48.87028122]
50,6.215797424545836,6.9257202148532055,8.968955995931111,[-83.76806641 -48.8699646 ],[-89.98386383 -48.87001801],[-96.90958405 -48.87002945],[-105.87854004  -48.87023163]
51,6.006332397582075,6.8318862917435315,8.544761658430964,[-83.76268005 -48.86997986],[-89.76901245 -48.87001801],[-96.60089874 -48.87007523],[-105.1456604   -48.87018585]
52,5.870697021584764,6.6663665779441,8.14876556397913,[-83.76241302 -48.86997986],[-89.63311005 -48.87001419],[-96.29947662 -48.87011719],[-104.44824219  -48.87013245]
53,5.864112854127982,6.39437866293888,7.765830993746036,[-83.76220703 -48.86997986],[-89.62631989 -48.87001801],[-96.02069855 -48.870121  ],[-103.78652954  -48.87008286]
54,5.863510131960027,6.140785218820732,7.39627075302441,[-83.76126099 -48.86997986],[-89.62477112 -48.87001801],[-95.76555634 -48.87015533],[-103.16182709  -48.87002945]
55,5.877693176670609,5.910400392220432,7.039283754095202,[-83.74689484 -48.86994934],[-89.62458801 -48.87001801],[-95.5349884  -48.87015533],[-102.57427216  -48.87000275]
56,5.927322388186324,5.704895021184154,6.7303771990828904,[-83.69715881 -48.86994171],[-89.6244812  -48.87001801],[-95.32937622 -48.87015533],[-102.05975342  -48.86999893]
57,6.016334535008407,5.57623291175465,6.5337371843989445,[-83.60808563 -48.87014389],[-89.62442017 -48.87001801],[-95.20065308 -48.87015152],[-101.73439026  -48.86999893]
58,6.146476762088152,5.5686416645849866,6.216667177558854,[-83.47594452 -48.87046814],[-89.62242126 -48.87001801],[-95.19106293 -48.87016678],[-101.4077301   -48.86999893]
59,6.325332661341664,5.568565370639702,5.892646791941261,[-83.29560089 -48.87051773],[-89.62093353 -48.87001801],[-95.1894989  -48.87016678],[-101.08214569  -48.86999893]
60,6.5534363091581795,5.567825319370434,5.594932558556885,[-83.06627655 -48.87064362],[-89.61971283 -48.87001801],[-95.18753815 -48.87016678],[-100.7824707   -48.87000275]
61,6.825622632326322,5.573532106477774,5.325149538659173,[-82.78839874 -48.87102127],[-89.6140213  -48.87001801],[-95.18755341 -48.87016678],[-100.51270294  -48.87000275]
62,7.124855217381419,5.599327089918049,5.0858459499108575,[-82.46331787 -48.87158203],[-89.58817291 -48.86999893],[-95.1875     -48.87016678],[-100.27334595  -48.87000275]
63,7.435409832302905,5.651031494708432,4.878997805491754,[-82.10102081 -48.87215042],[-89.53643036 -48.87008667],[-95.18746185 -48.87016678],[-100.06645966  -48.87000275]
64,7.7180027642731375,5.724929810714145,4.818008425643846,[-81.74450684 -48.87267303],[-89.46250916 -48.87005234],[-95.18743896 -48.87016678],[-100.00544739  -48.87000275]
65,7.94716702006115,5.823905945323949,4.8145599395837,[-81.41636658 -48.87311935],[-89.36353302 -48.87009048],[-95.18743896 -48.87016678],[-100.0019989   -48.86999512]
66,8.123299403131538,5.9422683744031435,4.813346865854002,[-81.12186432 -48.87349319],[-89.24516296 -48.86998367],[-95.18743134 -48.87016678],[-100.0007782   -48.86999512]
67,8.250664568357106,6.076599121104526,4.811378482066192,[-80.86198425 -48.87381363],[-89.11264801 -48.87015533],[-95.18924713 -48.87016678],[-100.00062561  -48.86999512]
68,8.326569465149115,6.227905274633822,4.8097991973992285,[-80.63625336 -48.87407684],[-88.96282196 -48.87028885],[-95.19072723 -48.87016678],[-100.00052643  -48.86999512]
