,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,7.4807281494140625,7.480743408203125,7.480743408203125,[-100.          -48.86999893],[-107.48072815  -48.86999893],[-114.96147156  -48.86999893],[-122.44221497  -48.86999893]
1,7.4807281494140625,7.480743408203125,7.480743408203125,[-100.          -48.86999893],[-107.48072815  -48.86999893],[-114.96147156  -48.86999893],[-122.44221497  -48.86999893]
2,7.4807281494140625,7.480743408203125,7.480743408203125,[-100.          -48.86999893],[-107.48072815  -48.86999893],[-114.96147156  -48.86999893],[-122.44221497  -48.86999893]
3,7.4806671142578125,7.480735778808594,7.480743408203125,[-99.99836731 -48.86999893],[-107.47903442  -48.86999893],[-114.9597702   -48.86999893],[-122.44051361  -48.86999893]
4,7.462928772113049,7.480804444016864,7.480766296386719,[-99.99550629 -48.86999893],[-107.45843506  -48.86995316],[-114.9392395   -48.87005234],[-122.4200058   -48.87005234]
5,7.476058959995974,7.47968293024266,7.480072023367546,[-99.98104095 -48.86992264],[-107.45709991  -48.86989975],[-114.93678284  -48.87024307],[-122.41685486  -48.87007523]
6,7.471786499058494,7.478187568916111,7.480056764578487,[-99.9794693  -48.86992264],[-107.4512558   -48.86989975],[-114.92944336  -48.87024307],[-122.40950012  -48.87007523]
7,7.446784973144531,7.476829535512515,7.480026250735608,[-99.9794693  -48.86992264],[-107.42625427  -48.86992264],[-114.9030838   -48.87023926],[-122.38311005  -48.86994934]
8,7.411720275941734,7.473045354893728,7.482261667634577,[-99.97946167 -48.86992264],[-107.39118195  -48.86995316],[-114.86422729  -48.87024689],[-122.34648895  -48.8698616 ]
9,7.369461059618691,7.465476996954338,7.481468205448994,[-99.97946167 -48.86992264],[-107.34892273  -48.86994934],[-114.81439972  -48.8702774 ],[-122.29586792  -48.87001038]
10,7.3158645635143955,7.451263432117762,7.480163585564327,[-99.979599   -48.86992264],[-107.29546356  -48.87001038],[-114.74672699  -48.87026596],[-122.22689056  -48.86985397]
11,7.254379272510083,7.42946624817068,7.482635499170945,[-99.97907257 -48.86992264],[-107.23345184  -48.86994934],[-114.66291809  -48.87004471],[-122.14555359  -48.86991501]
12,7.188842773502276,7.404129028324244,7.481391906928899,[-99.97781372 -48.86992264],[-107.16665649  -48.86989212],[-114.57078552  -48.86989975],[-122.05217743  -48.86984634]
13,7.125167847219883,7.3745117187657865,7.4744033813827,[-99.9709549  -48.86991501],[-107.09612274  -48.86982727],[-114.47063446  -48.86981201],[-121.94503784  -48.86978912]
14,7.0510025053400245,7.339134216317516,7.4642028809568535,[-99.97068787 -48.86992264],[-107.02169037  -48.86972046],[-114.36082458  -48.86970901],[-121.82502747  -48.86967087]
15,6.975250250650678,7.297378540048036,7.451316833746069,[-99.97068787 -48.86992264],[-106.94593811  -48.86962128],[-114.24331665  -48.86960983],[-121.69463348  -48.86967087]
16,6.900070199747036,7.249404907348006,7.433113098336388,[-99.97068024 -48.86992264],[-106.87075043  -48.86956406],[-114.12015533  -48.86952209],[-121.55326843  -48.8695755 ]
17,6.8262252920696715,7.194877625896146,7.412513733076043,[-99.97068024 -48.86992264],[-106.79690552  -48.86952972],[-113.99178314  -48.86938858],[-121.40429688  -48.86943817]
18,6.754173287729331,7.134132392973377,7.389144897602732,[-99.97100067 -48.86992264],[-106.72517395  -48.8695755 ],[-113.85930634  -48.86924362],[-121.24845123  -48.8692894 ]
19,6.686386114683736,7.070777911543453,7.358306884790345,[-99.97060394 -48.86992264],[-106.65699005  -48.86963272],[-113.72776794  -48.86912155],[-121.08607483  -48.86914062]
20,6.621902473208452,7.004844692118157,7.322875976571442,[-99.96945953 -48.86992264],[-106.591362    -48.86960983],[-113.59620667  -48.86899948],[-120.91908264  -48.86898804]
21,6.622222904614098,6.881057784129189,7.282821655562165,[-99.96282959 -48.86992264],[-106.58505249  -48.86968613],[-113.46611023  -48.8689003 ],[-120.74893188  -48.86883545]
22,6.632843021527178,6.845817614591447,7.14971924062593,[-99.94789886 -48.86991501],[-106.58074188  -48.86968613],[-113.42655945  -48.86886978],[-120.57627869  -48.86868668]
23,6.633964542790217,6.838707014926822,6.986892710196654,[-99.94687653 -48.86992264],[-106.58084106  -48.86968613],[-113.41954803  -48.86890411],[-120.40644073  -48.86853027]
24,6.630409244940915,6.841415450844052,6.829124467065653,[-99.94687653 -48.86992264],[-106.57728577  -48.86968613],[-113.41870117  -48.86889648],[-120.24782562  -48.86842346]
25,6.6305389446478635,6.83935551433434,6.738075278121294,[-99.94686127 -48.86992264],[-106.57740021  -48.86968613],[-113.41675568  -48.86889648],[-120.15483093  -48.8683548 ]
26,6.626533512521507,6.831825305120823,6.7496490674976695,[-99.94686127 -48.86992264],[-106.57339478  -48.86968613],[-113.40522003  -48.86886978],[-120.15486908  -48.8683548 ]
