,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,16.036392211914062,16.036407470703125,16.036407470703125,[-100.          -48.86999893],[-116.03639221  -48.86999893],[-132.07279968  -48.86999893],[-148.10920715  -48.86999893]
1,16.036392211914062,16.036407470703125,16.036407470703125,[-100.          -48.86999893],[-116.03639221  -48.86999893],[-132.07279968  -48.86999893],[-148.10920715  -48.86999893]
2,16.036392211914062,16.036407470703125,16.036407470703125,[-100.          -48.86999893],[-116.03639221  -48.86999893],[-132.07279968  -48.86999893],[-148.10920715  -48.86999893]
3,16.038345336914062,16.036407470703125,16.036407470703125,[-99.99635315 -48.86999893],[-116.03469849  -48.86999893],[-132.07110596  -48.86999893],[-148.10751343  -48.86999893]
4,16.058601379775578,16.034378051888954,16.03701782236771,[-99.95761871 -48.86987686],[-116.01622009  -48.86998749],[-132.05059814  -48.87005234],[-148.08761597  -48.86999512]
5,16.086067199752264,16.08669281016036,16.035705566413508,[-99.87469482 -48.87005615],[-115.96076202  -48.87001801],[-132.04745483  -48.87007523],[-148.0831604   -48.87009048]
6,16.12130737317731,16.15196228073472,16.03253173828851,[-99.76821899 -48.86988831],[-115.88952637  -48.86995316],[-132.04148865  -48.87007523],[-148.07402039  -48.87009048]
7,16.171890258834054,16.208946231424957,16.029602050783065,[-99.63518524 -48.86982346],[-115.8070755   -48.86978531],[-132.01602173  -48.87011719],[-148.04562378  -48.87010956]
8,16.24250030596598,16.266067509720905,16.03688049321896,[-99.46208954 -48.86988068],[-115.70458984  -48.86972046],[-131.97065735  -48.87011719],[-148.00753784  -48.87015915]
9,16.318870544919136,16.326354987321174,16.050704956548344,[-99.25876617 -48.86988068],[-115.57763672  -48.86975479],[-131.9039917   -48.87022781],[-147.95469666  -48.87010193]
10,16.397918701246862,16.390281680841838,16.066345215007235,[-99.02732086 -48.86972046],[-115.42523956  -48.86967087],[-131.81552124  -48.87001419],[-147.88186646  -48.87008667]
11,16.48859405636898,16.448585517961334,16.09486389218744,[-98.76364136 -48.86936951],[-115.25223541  -48.86956787],[-131.70082092  -48.87007141],[-147.79568481  -48.86993408]
12,16.58650971419841,16.505790716903153,16.132278442386873,[-98.46864319 -48.8689003 ],[-115.05515289  -48.86946487],[-131.5609436   -48.86992645],[-147.69322205  -48.86991501]
13,16.68777469046054,16.56769562041661,16.16914367692026,[-98.14409637 -48.86832809],[-114.83187103  -48.86936569],[-131.39956665  -48.86966705],[-147.56871033  -48.86973953]
14,16.794265818483957,16.63052368200857,16.207138063660818,[-97.78945923 -48.86771393],[-114.58372498  -48.8692627 ],[-131.21424866  -48.86937332],[-147.42138672  -48.86963654]
15,16.9063874513642,16.69208526634387,16.248672491273556,[-97.4056015  -48.86712646],[-114.31198883  -48.8691597 ],[-131.0040741   -48.86907196],[-147.25274658  -48.86951065]
16,17.021705813075574,16.756149294983572,16.295349132811833,[-96.99347687 -48.86654282],[-114.0151825  -48.8690567],[-130.77133179  -48.86874008],[-147.06668091  -48.86935806]
17,17.135299936338786,16.827621469560246,16.347274801232135,[-96.55281067 -48.86600113],[-113.68811035  -48.86894989],[-130.51573181  -48.8683815 ],[-146.86300659  -48.86920929]
18,17.248749103734898,16.905776997433513,16.402008089219173,[-96.08447266 -48.86549759],[-113.33322144  -48.86884308],[-130.23899841  -48.86802292],[-146.64100647  -48.8690567 ]
19,17.361420067999322,16.989181552612436,16.46188359189461,[-95.58874512 -48.86505127],[-112.95016479  -48.86873245],[-129.93934631  -48.86765671],[-146.40122986  -48.8689003 ]
20,17.46516463516302,17.07480626677886,16.531204287523213,[-95.07236481 -48.86467361],[-112.53752899  -48.8686409 ],[-129.61233521  -48.8672905 ],[-146.14353943  -48.8687439 ]
21,17.540779620253648,17.162902912619625,16.60794075749186,[-94.55651093 -48.86436462],[-112.09729004  -48.86857986],[-129.26019287  -48.86691666],[-145.86813354  -48.86858368]
22,17.61087090582214,17.250129806848815,16.69349680452274,[-94.02152252 -48.86413574],[-111.63239288  -48.86851501],[-128.88252258  -48.86659241],[-145.57601929  -48.86842346]
23,17.69113215575691,17.33512892198702,16.78474438492156,[-93.45198059 -48.86398315],[-111.14311218  -48.86845016],[-128.47824097  -48.86626434],[-145.26298523  -48.86828995]
24,17.776039695395667,17.418167286964696,16.87922682907926,[-92.85422516 -48.86391449],[-110.63026428  -48.86842346],[-128.0484314   -48.86597061],[-144.92765808  -48.86817932]
25,17.884056653002695,17.477157802045774,16.976631328238312,[-92.23236084 -48.86392975],[-110.11641693  -48.86841202],[-127.59357452  -48.8657074 ],[-144.57020569  -48.86806488]
26,18.0033650919065,17.529594661129465,17.074150262184315,[-91.58245087 -48.86403275],[-109.58581543  -48.86839676],[-127.11540985  -48.86549759],[-144.18955994  -48.86795425]
27,18.111099730153995,17.60089138383437,17.169708434871772,[-90.90353394 -48.86421585],[-109.01463318  -48.86841583],[-126.61552429  -48.86532974],[-143.78523254  -48.867836  ]
